<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NP.US,5,20131112,153500,40.2500,40.2600,39.9600,39.9600,829,0
NP.US,5,20131112,154000,39.8300,39.8300,39.8300,39.8300,100,0
NP.US,5,20131112,154500,39.9200,39.9200,39.7500,39.7500,400,0
NP.US,5,20131112,155000,39.9800,40.1900,39.8900,39.9000,1725,0
NP.US,5,20131112,155500,39.9000,39.9000,39.9000,39.9000,100,0
NP.US,5,20131112,160000,39.8500,40.0000,39.8500,40.0000,2007,0
NP.US,5,20131112,160500,40.0200,40.0200,39.7800,39.8200,601,0
NP.US,5,20131112,161000,39.8800,39.8800,39.7800,39.8300,450,0
NP.US,5,20131112,162000,39.8300,40.0100,39.8300,39.9300,600,0
NP.US,5,20131112,162500,39.9300,39.9300,39.9300,39.9300,300,0
NP.US,5,20131112,163000,39.8100,39.8100,39.8100,39.8100,100,0
NP.US,5,20131112,163500,39.8500,39.9400,39.8300,39.9400,300,0
NP.US,5,20131112,164500,39.8500,39.8500,39.7800,39.7800,300,0
NP.US,5,20131112,165000,39.7800,39.8300,39.7800,39.8100,800,0
NP.US,5,20131112,165500,39.8100,39.8500,39.7500,39.7500,700,0
NP.US,5,20131112,170000,39.8400,39.8400,39.8400,39.8400,250,0
NP.US,5,20131112,170500,39.7500,40.0000,39.7500,40.0000,2470,0
NP.US,5,20131112,171000,40.1300,40.1300,40.1300,40.1300,100,0
NP.US,5,20131112,172000,40.0900,40.1200,40.0900,40.1200,400,0
NP.US,5,20131112,172500,40.0700,40.0700,40.0300,40.0300,300,0
NP.US,5,20131112,173000,40.0300,40.0300,40.0300,40.0300,200,0
NP.US,5,20131112,174000,39.9700,39.9700,39.9700,39.9700,200,0
NP.US,5,20131112,174500,39.8400,39.8400,39.8400,39.8400,100,0
NP.US,5,20131112,175000,39.8400,39.9500,39.8400,39.9400,700,0
NP.US,5,20131112,180000,39.8000,39.9300,39.8000,39.9100,300,0
NP.US,5,20131112,181000,39.7500,39.8300,39.7500,39.7500,1407,0
NP.US,5,20131112,182000,39.7000,39.7400,39.6500,39.6600,1000,0
NP.US,5,20131112,183000,39.7100,39.7100,39.7100,39.7100,200,0
NP.US,5,20131112,184000,39.6900,39.6900,39.6800,39.6800,300,0
NP.US,5,20131112,184500,39.6900,39.7000,39.6900,39.6900,508,0
NP.US,5,20131112,185500,39.7300,39.7400,39.7300,39.7400,600,0
NP.US,5,20131112,190500,39.6900,39.7500,39.6900,39.7500,900,0
NP.US,5,20131112,191500,39.6900,39.7400,39.6900,39.7400,300,0
NP.US,5,20131112,192000,39.7200,39.7200,39.7200,39.7200,500,0
NP.US,5,20131112,193000,39.8400,39.8400,39.7600,39.7600,800,0
NP.US,5,20131112,193500,39.6900,39.6900,39.6900,39.6900,100,0
NP.US,5,20131112,194000,39.6900,39.7200,39.6900,39.7200,1100,0
NP.US,5,20131112,194500,39.6800,39.7100,39.6800,39.7100,300,0
NP.US,5,20131112,195000,39.6800,39.7300,39.6800,39.7100,1300,0
NP.US,5,20131112,195500,39.7300,39.8000,39.7300,39.8000,570,0
