<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRF-B.US,5,20131112,153500,23.3500,23.3500,23.3500,23.3500,300,0
NRF-B.US,5,20131112,155500,23.3500,23.3500,23.3500,23.3500,618,0
NRF-B.US,5,20131112,160000,23.3700,23.3700,23.3700,23.3700,800,0
NRF-B.US,5,20131112,160500,23.3100,23.3100,23.2500,23.2500,4100,0
NRF-B.US,5,20131112,165000,23.2900,23.2900,23.2900,23.2900,208,0
NRF-B.US,5,20131112,165500,23.3000,23.3000,23.3000,23.3000,430,0
NRF-B.US,5,20131112,171500,23.2900,23.2900,23.2900,23.2900,404,0
NRF-B.US,5,20131112,174500,23.2400,23.2500,23.2400,23.2500,2300,0
NRF-B.US,5,20131112,175500,23.2400,23.2400,23.2400,23.2400,646,0
NRF-B.US,5,20131112,180000,23.2500,23.2500,23.2500,23.2500,1200,0
NRF-B.US,5,20131112,183000,23.2200,23.2200,23.2200,23.2200,100,0
NRF-B.US,5,20131112,184000,23.2200,23.2200,23.2200,23.2200,800,0
NRF-B.US,5,20131112,191500,23.2100,23.2100,23.2000,23.2000,500,0
NRF-B.US,5,20131112,192000,23.2300,23.2300,23.2300,23.2300,200,0
NRF-B.US,5,20131112,195500,23.2000,23.2000,23.2000,23.2000,600,0
NRF-B.US,5,20131112,211500,23.2500,23.2500,23.2500,23.2500,550,0
NRF-B.US,5,20131112,214000,23.2400,23.2400,23.2400,23.2400,410,0
NRF-B.US,5,20131113,161500,23.2900,23.3000,23.2900,23.3000,400,0
NRF-B.US,5,20131113,163500,23.2600,23.2600,23.2600,23.2600,1000,0
NRF-B.US,5,20131113,172000,23.2800,23.2800,23.2800,23.2800,200,0
NRF-B.US,5,20131113,172500,23.2500,23.2500,23.2500,23.2500,600,0
NRF-B.US,5,20131113,173000,23.2500,23.2500,23.2100,23.2100,500,0
NRF-B.US,5,20131113,174500,23.2500,23.2500,23.2500,23.2500,500,0
NRF-B.US,5,20131113,184000,23.2200,23.2200,23.2200,23.2200,940,0
NRF-B.US,5,20131113,190000,23.2000,23.2000,23.2000,23.2000,100,0
NRF-B.US,5,20131113,191000,23.2200,23.2200,23.2200,23.2200,870,0
NRF-B.US,5,20131113,191500,23.2000,23.2000,23.2000,23.2000,360,0
NRF-B.US,5,20131113,194000,23.2400,23.2400,23.2400,23.2400,500,0
NRF-B.US,5,20131113,204000,23.2200,23.2200,23.2200,23.2200,100,0
NRF-B.US,5,20131113,212000,23.2500,23.2500,23.2500,23.2500,403,0
NRF-B.US,5,20131113,213000,23.2300,23.2300,23.2300,23.2300,4000,0
NRF-B.US,5,20131113,215000,23.2300,23.2300,23.2300,23.2300,100,0
NRF-B.US,5,20131114,165000,23.2800,23.2800,23.2800,23.2800,650,0
NRF-B.US,5,20131114,170500,23.2800,23.2800,23.2300,23.2300,1115,0
NRF-B.US,5,20131114,173500,23.2900,23.2900,23.2900,23.2900,100,0
NRF-B.US,5,20131114,174000,23.2900,23.2900,23.2900,23.2900,908,0
NRF-B.US,5,20131114,174500,23.2700,23.2700,23.2600,23.2600,2800,0
NRF-B.US,5,20131114,182000,23.2000,23.2400,23.2000,23.2400,1000,0
NRF-B.US,5,20131114,192000,23.2200,23.2200,23.2100,23.2100,475,0
NRF-B.US,5,20131114,195000,23.2500,23.2500,23.2500,23.2500,167,0
NRF-B.US,5,20131114,212000,23.2400,23.2500,23.2400,23.2500,800,0
NRF-B.US,5,20131114,212500,23.2600,23.2600,23.2600,23.2600,200,0
NRF-B.US,5,20131114,213000,23.2600,23.2600,23.2600,23.2600,1000,0
NRF-B.US,5,20131114,213500,23.2600,23.2600,23.2600,23.2600,300,0
NRF-B.US,5,20131114,214000,23.2600,23.2600,23.2600,23.2600,300,0
NRF-B.US,5,20131114,215500,23.2400,23.2400,23.2400,23.2400,301,0
