<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRF.US,5,20131112,153500,9.4100,9.4400,9.4100,9.4200,10333,0
NRF.US,5,20131112,154000,9.4200,9.4500,9.4200,9.4500,4400,0
NRF.US,5,20131112,154500,9.4400,9.4600,9.4300,9.4600,21012,0
NRF.US,5,20131112,155000,9.4600,9.4600,9.4400,9.4600,17688,0
NRF.US,5,20131112,155500,9.4600,9.4600,9.4500,9.4600,6300,0
NRF.US,5,20131112,160000,9.4500,9.4600,9.4300,9.4600,27100,0
NRF.US,5,20131112,160500,9.4500,9.4600,9.4100,9.4100,24550,0
NRF.US,5,20131112,161000,9.4200,9.4400,9.4100,9.4300,9700,0
NRF.US,5,20131112,161500,9.4400,9.4500,9.4300,9.4500,14200,0
NRF.US,5,20131112,162000,9.4500,9.4700,9.4400,9.4700,15100,0
NRF.US,5,20131112,162500,9.4700,9.4800,9.4600,9.4700,12311,0
NRF.US,5,20131112,163000,9.4700,9.4700,9.4600,9.4700,6515,0
NRF.US,5,20131112,163500,9.4700,9.4900,9.4500,9.4800,40650,0
NRF.US,5,20131112,164000,9.4800,9.4800,9.4500,9.4500,30200,0
NRF.US,5,20131112,164500,9.4600,9.4600,9.4500,9.4600,4348,0
NRF.US,5,20131112,165000,9.4500,9.4700,9.4500,9.4700,11400,0
NRF.US,5,20131112,165500,9.4700,9.4700,9.4400,9.4500,16099,0
NRF.US,5,20131112,170000,9.4400,9.4500,9.4400,9.4400,6500,0
NRF.US,5,20131112,170500,9.4500,9.4500,9.4200,9.4400,31234,0
NRF.US,5,20131112,171000,9.4400,9.4400,9.4300,9.4300,7587,0
NRF.US,5,20131112,171500,9.4400,9.4500,9.4300,9.4500,37725,0
NRF.US,5,20131112,172000,9.4500,9.4500,9.4400,9.4400,4500,0
NRF.US,5,20131112,172500,9.4400,9.4500,9.4200,9.4400,78392,0
NRF.US,5,20131112,173000,9.4400,9.4500,9.4400,9.4500,16431,0
NRF.US,5,20131112,173500,9.4500,9.4600,9.4500,9.4600,6705,0
NRF.US,5,20131112,174000,9.4600,9.4600,9.4400,9.4400,22941,0
NRF.US,5,20131112,174500,9.4300,9.4400,9.4300,9.4400,11000,0
NRF.US,5,20131112,175000,9.4400,9.4400,9.4200,9.4300,12100,0
NRF.US,5,20131112,175500,9.4300,9.4300,9.4100,9.4100,12062,0
NRF.US,5,20131112,180000,9.4200,9.4200,9.4000,9.4100,45239,0
NRF.US,5,20131112,180500,9.4100,9.4100,9.4000,9.4100,2354,0
NRF.US,5,20131112,181000,9.4100,9.4100,9.3900,9.4100,50777,0
NRF.US,5,20131112,181500,9.4100,9.4200,9.4000,9.4200,15645,0
NRF.US,5,20131112,182000,9.4100,9.4200,9.4100,9.4200,7745,0
NRF.US,5,20131112,182500,9.4100,9.4200,9.4100,9.4100,9551,0
NRF.US,5,20131112,183000,9.4100,9.4200,9.4100,9.4200,11300,0
NRF.US,5,20131112,183500,9.4100,9.4200,9.4100,9.4200,11220,0
NRF.US,5,20131112,184000,9.4100,9.4200,9.4100,9.4200,14525,0
NRF.US,5,20131112,184500,9.4100,9.4200,9.4100,9.4200,27145,0
NRF.US,5,20131112,185000,9.4200,9.4400,9.4100,9.4400,44772,0
NRF.US,5,20131112,185500,9.4400,9.4400,9.4300,9.4300,15672,0
NRF.US,5,20131112,190000,9.4300,9.4400,9.4300,9.4400,16713,0
NRF.US,5,20131112,190500,9.4300,9.4400,9.4300,9.4400,51008,0
NRF.US,5,20131112,191000,9.4400,9.4400,9.4300,9.4300,17456,0
NRF.US,5,20131112,191500,9.4300,9.4400,9.4300,9.4400,17353,0
NRF.US,5,20131112,192000,9.4300,9.4400,9.4300,9.4400,10650,0
