<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRT.US,5,20131112,153500,23.2900,23.2900,23.2900,23.2900,200,0
NRT.US,5,20131112,154000,23.3600,23.3600,23.2700,23.2700,1200,0
NRT.US,5,20131112,154500,23.3300,23.3300,23.2200,23.2200,1024,0
NRT.US,5,20131112,155000,23.2000,23.2000,23.1500,23.1500,1054,0
NRT.US,5,20131112,155500,23.0000,23.0200,23.0000,23.0200,450,0
NRT.US,5,20131112,160500,23.1300,23.2000,23.0400,23.2000,2300,0
NRT.US,5,20131112,161000,23.2000,23.2000,23.2000,23.2000,400,0
NRT.US,5,20131112,162000,23.2500,23.5000,23.2500,23.3900,2300,0
NRT.US,5,20131112,164000,23.3400,23.4800,23.2000,23.4300,3200,0
NRT.US,5,20131112,164500,23.3000,23.3700,23.2600,23.3000,492,0
NRT.US,5,20131112,165000,23.3200,23.3300,23.3200,23.3300,666,0
NRT.US,5,20131112,171000,23.3200,23.3200,23.3200,23.3200,100,0
NRT.US,5,20131112,172000,23.3200,23.3200,23.3200,23.3200,500,0
NRT.US,5,20131112,172500,23.3700,23.3700,23.2800,23.3300,1150,0
NRT.US,5,20131112,173000,23.3600,23.3900,23.3600,23.3900,1297,0
NRT.US,5,20131112,173500,23.2200,23.2200,23.2200,23.2200,100,0
NRT.US,5,20131112,180500,23.4900,23.5700,23.4100,23.5600,5370,0
NRT.US,5,20131112,181000,23.5500,23.7300,23.5500,23.7300,2615,0
NRT.US,5,20131112,182500,23.6900,23.7400,23.6900,23.7400,600,0
NRT.US,5,20131112,183000,23.5300,23.5300,23.5300,23.5300,115,0
NRT.US,5,20131112,190000,23.5400,23.5400,23.5400,23.5400,100,0
NRT.US,5,20131112,191500,23.7100,23.7200,23.7100,23.7200,2500,0
NRT.US,5,20131112,194000,23.7000,23.7000,23.7000,23.7000,261,0
NRT.US,5,20131112,194500,23.5400,23.5700,23.5400,23.5700,2500,0
NRT.US,5,20131112,195000,23.5400,23.5900,23.5400,23.5900,301,0
NRT.US,5,20131112,201000,23.6900,23.6900,23.6900,23.6900,100,0
NRT.US,5,20131112,202500,23.6600,23.6600,23.6600,23.6600,275,0
NRT.US,5,20131112,204000,23.6900,23.7000,23.6900,23.7000,300,0
NRT.US,5,20131112,204500,23.5500,23.5500,23.5500,23.5500,500,0
NRT.US,5,20131112,205000,23.6400,23.6400,23.6400,23.6400,100,0
NRT.US,5,20131112,205500,23.6300,23.6500,23.6300,23.6500,200,0
NRT.US,5,20131112,210500,23.6900,23.7000,23.6900,23.7000,984,0
NRT.US,5,20131112,211000,23.7000,23.7000,23.7000,23.7000,100,0
NRT.US,5,20131112,212500,23.7000,23.7000,23.7000,23.7000,100,0
NRT.US,5,20131112,214500,23.6800,23.7000,23.6800,23.7000,400,0
NRT.US,5,20131112,215000,23.6900,23.7000,23.6900,23.7000,715,0
NRT.US,5,20131112,220000,23.6500,23.6500,23.5600,23.5600,600,0
NRT.US,5,20131113,153500,23.1500,23.1500,23.1500,23.1500,700,0
NRT.US,5,20131113,154000,22.9500,22.9500,22.9500,22.9500,500,0
NRT.US,5,20131113,155500,23.1000,23.1000,23.1000,23.1000,300,0
NRT.US,5,20131113,160500,22.9500,23.0900,22.9500,23.0900,1165,0
NRT.US,5,20131113,162500,23.0000,23.2200,23.0000,23.2100,1316,0
NRT.US,5,20131113,163000,23.1500,23.1600,23.1500,23.1600,403,0
NRT.US,5,20131113,163500,23.1500,23.1500,23.1500,23.1500,434,0
NRT.US,5,20131113,165500,23.0100,23.0100,23.0100,23.0100,100,0
NRT.US,5,20131113,171000,23.0900,23.0900,23.0900,23.0900,200,0
NRT.US,5,20131113,180000,22.9100,22.9100,22.8100,22.9000,700,0
NRT.US,5,20131113,180500,22.9600,22.9600,22.9500,22.9500,200,0
NRT.US,5,20131113,181000,22.8600,22.9300,22.8600,22.8800,3459,0
NRT.US,5,20131113,181500,23.0300,23.0300,23.0200,23.0200,400,0
NRT.US,5,20131113,182500,23.0400,23.0400,23.0300,23.0300,400,0
NRT.US,5,20131113,183000,23.0400,23.0400,23.0400,23.0400,200,0
NRT.US,5,20131113,185000,23.0500,23.0500,23.0500,23.0500,100,0
NRT.US,5,20131113,190500,22.8600,22.8600,22.8600,22.8600,152,0
NRT.US,5,20131113,191500,23.0300,23.0300,23.0300,23.0300,900,0
NRT.US,5,20131113,201000,22.8500,22.8600,22.8500,22.8600,200,0
NRT.US,5,20131113,201500,22.9600,22.9600,22.9600,22.9600,1000,0
NRT.US,5,20131113,202000,22.8600,22.8600,22.8600,22.8600,100,0
NRT.US,5,20131113,204000,22.8500,22.8500,22.8500,22.8500,100,0
NRT.US,5,20131113,205500,22.8600,22.8600,22.8600,22.8600,700,0
NRT.US,5,20131113,212500,22.8600,22.8600,22.8600,22.8600,100,0
NRT.US,5,20131113,213000,22.8700,22.8700,22.8000,22.8100,1100,0
NRT.US,5,20131113,214000,22.8100,22.8400,22.8100,22.8400,600,0
NRT.US,5,20131113,215500,22.7400,22.7400,22.7400,22.7400,104,0
NRT.US,5,20131113,220000,22.9300,23.0200,22.8200,23.0100,2900,0
NRT.US,5,20131114,153500,23.4500,23.4500,23.4500,23.4500,100,0
NRT.US,5,20131114,154500,23.1000,23.1000,22.8500,22.8500,1250,0
NRT.US,5,20131114,155500,22.6100,23.2000,22.6100,23.2000,3500,0
NRT.US,5,20131114,165000,23.0200,23.0200,23.0200,23.0200,200,0
NRT.US,5,20131114,165500,23.0100,23.0100,23.0100,23.0100,400,0
NRT.US,5,20131114,170500,23.0100,23.0100,22.8500,22.8500,500,0
NRT.US,5,20131114,171000,22.8600,22.8600,22.8600,22.8600,300,0
NRT.US,5,20131114,171500,22.8600,22.8600,22.8400,22.8400,1900,0
NRT.US,5,20131114,172000,22.7500,22.7500,22.7500,22.7500,100,0
NRT.US,5,20131114,175000,22.6200,22.6200,22.6200,22.6200,106,0
NRT.US,5,20131114,180000,22.8000,22.8600,22.6100,22.8600,4164,0
NRT.US,5,20131114,182500,22.7200,22.7200,22.7200,22.7200,1130,0
