<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTT.US,5,20131112,153500,26.8500,26.8500,26.8500,26.8500,200,0
NTT.US,5,20131112,154000,26.7700,26.7700,26.6900,26.6900,2847,0
NTT.US,5,20131112,155000,26.7200,26.7200,26.6700,26.7100,9426,0
NTT.US,5,20131112,155500,26.7000,26.7200,26.6800,26.7200,4407,0
NTT.US,5,20131112,160000,26.7300,26.7500,26.7300,26.7300,7137,0
NTT.US,5,20131112,160500,26.7300,26.7300,26.7300,26.7300,200,0
NTT.US,5,20131112,161000,26.7400,26.7400,26.7300,26.7300,810,0
NTT.US,5,20131112,161500,26.7200,26.7200,26.7200,26.7200,4325,0
NTT.US,5,20131112,162000,26.7300,26.7500,26.7300,26.7500,1200,0
NTT.US,5,20131112,162500,26.7500,26.7500,26.7200,26.7200,3200,0
NTT.US,5,20131112,163000,26.7300,26.7400,26.7300,26.7300,775,0
NTT.US,5,20131112,163500,26.7300,26.7600,26.7300,26.7600,1600,0
NTT.US,5,20131112,164000,26.7400,26.7600,26.7400,26.7500,660,0
NTT.US,5,20131112,164500,26.7500,26.7600,26.7500,26.7600,693,0
NTT.US,5,20131112,165000,26.7500,26.7500,26.7500,26.7500,2380,0
NTT.US,5,20131112,165500,26.7400,26.7400,26.7400,26.7400,300,0
NTT.US,5,20131112,170000,26.7400,26.7400,26.7400,26.7400,1943,0
NTT.US,5,20131112,171000,26.7300,26.7300,26.7200,26.7200,929,0
NTT.US,5,20131112,171500,26.7400,26.7500,26.7400,26.7500,1000,0
NTT.US,5,20131112,172000,26.7600,26.7600,26.7500,26.7500,535,0
NTT.US,5,20131112,172500,26.7600,26.7600,26.7400,26.7400,300,0
NTT.US,5,20131112,173000,26.7300,26.7300,26.7200,26.7300,2200,0
NTT.US,5,20131112,173500,26.7400,26.7400,26.7400,26.7400,300,0
NTT.US,5,20131112,174000,26.7200,26.7300,26.7200,26.7300,800,0
NTT.US,5,20131112,174500,26.7300,26.7400,26.7300,26.7300,725,0
NTT.US,5,20131112,175000,26.7300,26.7300,26.7100,26.7200,1400,0
NTT.US,5,20131112,175500,26.7300,26.7300,26.7300,26.7300,300,0
NTT.US,5,20131112,180000,26.7300,26.7400,26.7200,26.7400,1617,0
NTT.US,5,20131112,180500,26.7300,26.7300,26.7300,26.7300,200,0
NTT.US,5,20131112,181000,26.7200,26.7200,26.7200,26.7200,1355,0
NTT.US,5,20131112,181500,26.7200,26.7200,26.7100,26.7100,265,0
NTT.US,5,20131112,182000,26.7200,26.7200,26.7100,26.7100,1900,0
NTT.US,5,20131112,182500,26.7200,26.7200,26.7200,26.7200,100,0
NTT.US,5,20131112,183000,26.7100,26.7100,26.7000,26.7000,2960,0
NTT.US,5,20131112,183500,26.7000,26.7200,26.7000,26.7200,900,0
NTT.US,5,20131112,184000,26.7200,26.7200,26.7100,26.7100,831,0
NTT.US,5,20131112,184500,26.7100,26.7200,26.7000,26.7100,5218,0
NTT.US,5,20131112,185000,26.7100,26.7200,26.7000,26.7100,3199,0
NTT.US,5,20131112,185500,26.7100,26.7200,26.7100,26.7200,2300,0
NTT.US,5,20131112,190000,26.7200,26.7200,26.7000,26.7000,1021,0
NTT.US,5,20131112,190500,26.7000,26.7000,26.7000,26.7000,2700,0
NTT.US,5,20131112,191000,26.7000,26.7000,26.6700,26.6800,7744,0
NTT.US,5,20131112,191500,26.6900,26.6900,26.6900,26.6900,500,0
NTT.US,5,20131112,192000,26.6900,26.7000,26.6800,26.7000,1800,0
NTT.US,5,20131112,192500,26.7000,26.7100,26.7000,26.7100,200,0
NTT.US,5,20131112,193000,26.7100,26.7100,26.7100,26.7100,500,0
NTT.US,5,20131112,193500,26.6900,26.7000,26.6900,26.6900,1209,0
NTT.US,5,20131112,194000,26.6700,26.6700,26.6700,26.6700,120,0
NTT.US,5,20131112,194500,26.6800,26.6800,26.6800,26.6800,300,0
NTT.US,5,20131112,195000,26.6700,26.6800,26.6700,26.6800,300,0
NTT.US,5,20131112,195500,26.6800,26.6800,26.6800,26.6800,320,0
NTT.US,5,20131112,200000,26.6800,26.6900,26.6700,26.6800,1480,0
NTT.US,5,20131112,200500,26.6800,26.6900,26.6700,26.6700,400,0
NTT.US,5,20131112,201000,26.6800,26.6800,26.6700,26.6700,890,0
NTT.US,5,20131112,201500,26.6700,26.6700,26.6700,26.6700,200,0
NTT.US,5,20131112,202000,26.6700,26.6800,26.6700,26.6800,517,0
NTT.US,5,20131112,202500,26.6700,26.6700,26.6700,26.6700,200,0
NTT.US,5,20131112,203000,26.6700,26.6800,26.6600,26.6700,700,0
NTT.US,5,20131112,203500,26.6700,26.6700,26.6600,26.6600,1254,0
NTT.US,5,20131112,204000,26.6600,26.6800,26.6600,26.6800,1502,0
NTT.US,5,20131112,204500,26.6700,26.6800,26.6700,26.6800,300,0
NTT.US,5,20131112,205000,26.6700,26.6800,26.6600,26.6800,500,0
NTT.US,5,20131112,205500,26.6700,26.6800,26.6600,26.6700,2725,0
NTT.US,5,20131112,210000,26.6600,26.7000,26.6600,26.7000,1140,0
NTT.US,5,20131112,210500,26.7000,26.7100,26.6900,26.7000,2718,0
NTT.US,5,20131112,211000,26.7100,26.7400,26.7100,26.7400,5975,0
NTT.US,5,20131112,211500,26.7500,26.7800,26.7400,26.7800,9964,0
NTT.US,5,20131112,212000,26.7600,26.7700,26.7600,26.7700,1000,0
NTT.US,5,20131112,212500,26.7700,26.7700,26.7400,26.7400,2900,0
NTT.US,5,20131112,213000,26.7400,26.7400,26.7300,26.7300,1100,0
NTT.US,5,20131112,213500,26.7200,26.7500,26.7200,26.7400,2306,0
NTT.US,5,20131112,214000,26.7500,26.7500,26.7400,26.7500,1397,0
NTT.US,5,20131112,214500,26.7400,26.7500,26.7300,26.7300,2367,0
NTT.US,5,20131112,215000,26.7300,26.7300,26.7200,26.7200,700,0
NTT.US,5,20131112,215500,26.7200,26.7300,26.7100,26.7200,1435,0
NTT.US,5,20131112,220000,26.7100,26.7400,26.7100,26.7300,4606,0
NTT.US,5,20131112,220500,26.7500,26.7500,26.7500,26.7500,2445,0
NTT.US,5,20131113,153500,26.6000,26.6500,26.6000,26.6500,438,0
NTT.US,5,20131113,155000,26.6500,26.6900,26.6300,26.6900,1593,0
NTT.US,5,20131113,155500,26.7100,26.7100,26.7100,26.7100,500,0
NTT.US,5,20131113,160000,26.7000,26.7100,26.7000,26.7100,1529,0
NTT.US,5,20131113,161000,26.6900,26.7000,26.6800,26.6900,2090,0
NTT.US,5,20131113,161500,26.6800,26.6900,26.6800,26.6900,2200,0
NTT.US,5,20131113,162000,26.6900,26.6900,26.6800,26.6800,400,0
NTT.US,5,20131113,162500,26.6800,26.6800,26.6800,26.6800,300,0
NTT.US,5,20131113,163000,26.6800,26.6800,26.6800,26.6800,1100,0
NTT.US,5,20131113,163500,26.7000,26.7000,26.7000,26.7000,292,0
NTT.US,5,20131113,164000,26.7200,26.7200,26.7200,26.7200,255,0
NTT.US,5,20131113,164500,26.7200,26.7200,26.7200,26.7200,400,0
NTT.US,5,20131113,165500,26.7100,26.7100,26.7100,26.7100,510,0
NTT.US,5,20131113,170500,26.7100,26.7100,26.6900,26.7100,500,0
NTT.US,5,20131113,171500,26.6900,26.6900,26.6900,26.6900,440,0
NTT.US,5,20131113,172000,26.6900,26.6900,26.6800,26.6800,200,0
NTT.US,5,20131113,172500,26.6900,26.7000,26.6900,26.7000,600,0
NTT.US,5,20131113,173000,26.7100,26.7100,26.7000,26.7000,200,0
NTT.US,5,20131113,173500,26.7200,26.7200,26.7200,26.7200,100,0
NTT.US,5,20131113,174000,26.7300,26.7300,26.7200,26.7200,813,0
NTT.US,5,20131113,174500,26.7100,26.7100,26.7100,26.7100,100,0
NTT.US,5,20131113,175000,26.7000,26.7000,26.7000,26.7000,325,0
NTT.US,5,20131113,175500,26.7000,26.7300,26.7000,26.7300,4236,0
NTT.US,5,20131113,180000,26.7400,26.7500,26.7400,26.7500,500,0
NTT.US,5,20131113,181000,26.7500,26.7500,26.7500,26.7500,300,0
NTT.US,5,20131113,181500,26.7400,26.7700,26.7400,26.7600,2672,0
NTT.US,5,20131113,182500,26.7600,26.7700,26.7600,26.7700,726,0
NTT.US,5,20131113,183000,26.7700,26.7700,26.7700,26.7700,100,0
NTT.US,5,20131113,183500,26.7700,26.7800,26.7600,26.7600,1410,0
NTT.US,5,20131113,184000,26.7700,26.7700,26.7700,26.7700,100,0
NTT.US,5,20131113,184500,26.7700,26.8000,26.7700,26.8000,1764,0
NTT.US,5,20131113,185000,26.7900,26.7900,26.7600,26.7600,3028,0
NTT.US,5,20131113,185500,26.7600,26.7600,26.7500,26.7600,1200,0
NTT.US,5,20131113,190000,26.7700,26.7800,26.7700,26.7800,936,0
NTT.US,5,20131113,190500,26.7700,26.7700,26.7700,26.7700,636,0
NTT.US,5,20131113,191000,26.7800,26.7800,26.7700,26.7700,300,0
NTT.US,5,20131113,191500,26.7700,26.7700,26.7700,26.7700,200,0
NTT.US,5,20131113,192000,26.7800,26.7800,26.7600,26.7600,555,0
NTT.US,5,20131113,193000,26.7600,26.7800,26.7600,26.7800,1862,0
NTT.US,5,20131113,193500,26.7900,26.7900,26.7900,26.7900,200,0
NTT.US,5,20131113,194000,26.7900,26.8000,26.7900,26.7900,980,0
NTT.US,5,20131113,194500,26.7800,26.7800,26.7600,26.7600,1613,0
NTT.US,5,20131113,195000,26.7700,26.7700,26.7700,26.7700,100,0
NTT.US,5,20131113,195500,26.7700,26.7900,26.7700,26.7800,500,0
NTT.US,5,20131113,200000,26.7800,26.7800,26.7800,26.7800,1080,0
NTT.US,5,20131113,200500,26.7800,26.7800,26.7800,26.7800,300,0
NTT.US,5,20131113,201000,26.7800,26.7800,26.7700,26.7700,566,0
NTT.US,5,20131113,201500,26.7800,26.8000,26.7600,26.8000,1850,0
NTT.US,5,20131113,202000,26.8000,26.8000,26.8000,26.8000,231,0
NTT.US,5,20131113,202500,26.8200,26.8200,26.8100,26.8200,304,0
NTT.US,5,20131113,203000,26.8200,26.8200,26.8200,26.8200,179,0
NTT.US,5,20131113,203500,26.8200,26.8300,26.8200,26.8300,8532,0
NTT.US,5,20131113,204000,26.8400,26.8400,26.8400,26.8400,515,0
NTT.US,5,20131113,204500,26.8300,26.8400,26.8300,26.8400,2911,0
NTT.US,5,20131113,205000,26.8300,26.8400,26.8200,26.8300,3652,0
NTT.US,5,20131113,205500,26.8400,26.8400,26.8400,26.8400,200,0
NTT.US,5,20131113,210000,26.8300,26.8300,26.8300,26.8300,100,0
NTT.US,5,20131113,210500,26.8400,26.8400,26.8400,26.8400,1505,0
NTT.US,5,20131113,211000,26.8300,26.8400,26.8300,26.8300,1411,0
NTT.US,5,20131113,211500,26.8300,26.8300,26.8300,26.8300,300,0
NTT.US,5,20131113,212000,26.8300,26.8400,26.8300,26.8300,4054,0
NTT.US,5,20131113,212500,26.8300,26.8400,26.8200,26.8400,900,0
NTT.US,5,20131113,213000,26.8300,26.8300,26.8200,26.8200,500,0
NTT.US,5,20131113,213500,26.8200,26.8500,26.8100,26.8500,4018,0
