<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTZ.US,5,20131112,160500,2.1600,2.1600,2.1600,2.1600,100,0
NTZ.US,5,20131112,180000,2.2000,2.2000,2.2000,2.2000,4000,0
NTZ.US,5,20131112,215500,2.2000,2.2000,2.2000,2.2000,100,0
NTZ.US,5,20131112,220000,2.1900,2.1900,2.1800,2.1900,2400,0
NTZ.US,5,20131112,220500,2.1800,2.1800,2.1800,2.1800,512,0
NTZ.US,5,20131113,154000,2.1800,2.1800,2.1800,2.1800,100,0
NTZ.US,5,20131113,202000,2.1900,2.1900,2.1900,2.1900,200,0
NTZ.US,5,20131113,202500,2.1800,2.1800,2.1800,2.1800,100,0
NTZ.US,5,20131113,210500,2.1900,2.2000,2.1900,2.2000,900,0
NTZ.US,5,20131113,214500,2.2100,2.2100,2.2000,2.2000,3760,0
NTZ.US,5,20131113,220000,2.2200,2.2200,2.2000,2.2000,660,0
NTZ.US,5,20131113,220500,2.2000,2.2000,2.2000,2.2000,524,0
NTZ.US,5,20131114,153500,2.1700,2.1700,2.1700,2.1700,150,0
NTZ.US,5,20131114,154000,2.2000,2.2000,2.1700,2.1700,2100,0
NTZ.US,5,20131114,155000,2.1800,2.2000,2.1700,2.2000,4600,0
NTZ.US,5,20131114,160500,2.1900,2.1900,2.1700,2.1700,5700,0
NTZ.US,5,20131114,161000,2.1700,2.2000,2.1700,2.2000,1500,0
NTZ.US,5,20131114,164000,2.2000,2.2000,2.2000,2.2000,2000,0
NTZ.US,5,20131114,171500,2.1900,2.2000,2.1900,2.2000,1300,0
NTZ.US,5,20131114,172500,2.1900,2.1900,2.1900,2.1900,3700,0
NTZ.US,5,20131114,173500,2.2000,2.2000,2.1800,2.1800,458,0
NTZ.US,5,20131114,174500,2.2100,2.2100,2.2000,2.2000,14900,0
NTZ.US,5,20131114,175000,2.2000,2.2000,2.2000,2.2000,5000,0
NTZ.US,5,20131114,182000,2.2200,2.2200,2.2200,2.2200,1378,0
NTZ.US,5,20131114,182500,2.2500,2.2500,2.2500,2.2500,1200,0
NTZ.US,5,20131114,192000,2.2300,2.2300,2.2200,2.2200,1296,0
NTZ.US,5,20131114,193500,2.2600,2.2600,2.2600,2.2600,1800,0
NTZ.US,5,20131114,194000,2.1700,2.1700,2.1700,2.1700,100,0
NTZ.US,5,20131114,211000,2.2000,2.2000,2.2000,2.2000,200,0
NTZ.US,5,20131114,212500,2.1900,2.1900,2.1900,2.1900,500,0
NTZ.US,5,20131114,220000,2.1900,2.1900,2.1900,2.1900,100,0
NTZ.US,5,20131114,220500,2.2100,2.2100,2.2100,2.2100,617,0
NTZ.US,5,20131115,173500,2.2000,2.2000,2.1900,2.1900,500,0
NTZ.US,5,20131115,174500,2.1500,2.2000,2.1500,2.2000,600,0
NTZ.US,5,20131115,184500,2.1900,2.2000,2.1900,2.2000,10800,0
NTZ.US,5,20131115,212500,2.2000,2.2000,2.2000,2.2000,300,0
NTZ.US,5,20131115,220500,2.2400,2.2400,2.2400,2.2400,645,0
NTZ.US,5,20131118,180000,2.2400,2.2400,2.2400,2.2400,100,0
NTZ.US,5,20131118,181000,2.2400,2.2400,2.2400,2.2400,750,0
NTZ.US,5,20131118,182500,2.2400,2.2400,2.2400,2.2400,1000,0
NTZ.US,5,20131118,183500,2.2500,2.2500,2.2500,2.2500,1000,0
NTZ.US,5,20131118,193000,2.2100,2.2100,2.2100,2.2100,100,0
NTZ.US,5,20131118,201500,2.2100,2.2100,2.2100,2.2100,900,0
NTZ.US,5,20131118,210000,2.2100,2.2100,2.2100,2.2100,100,0
NTZ.US,5,20131118,211500,2.2100,2.2100,2.2100,2.2100,1100,0
NTZ.US,5,20131118,212000,2.2100,2.2100,2.1600,2.1600,1200,0
NTZ.US,5,20131118,213500,2.1800,2.3200,2.1800,2.3200,21400,0
NTZ.US,5,20131118,214000,2.3000,2.4000,2.3000,2.3500,23129,0
NTZ.US,5,20131118,215000,2.4400,2.4500,2.4400,2.4500,200,0
NTZ.US,5,20131118,215500,2.4500,2.5600,2.4500,2.5500,2200,0
NTZ.US,5,20131118,220000,2.5700,2.6000,2.5400,2.6000,4011,0
NTZ.US,5,20131119,153500,2.5000,2.5300,2.5000,2.5300,300,0
NTZ.US,5,20131119,154000,2.5000,2.5300,2.4500,2.4500,2100,0
NTZ.US,5,20131119,160000,2.4700,2.4900,2.4700,2.4900,350,0
NTZ.US,5,20131119,160500,2.5000,2.5300,2.5000,2.5300,300,0
NTZ.US,5,20131119,162500,2.4900,2.4900,2.4900,2.4900,2000,0
NTZ.US,5,20131119,170000,2.5100,2.5100,2.5100,2.5100,2000,0
NTZ.US,5,20131119,174500,2.5200,2.5200,2.5200,2.5200,1500,0
NTZ.US,5,20131119,175000,2.5200,2.5200,2.5200,2.5200,1800,0
NTZ.US,5,20131119,181000,2.5300,2.5300,2.5300,2.5300,1000,0
NTZ.US,5,20131119,181500,2.5500,2.5500,2.5500,2.5500,1000,0
NTZ.US,5,20131119,182000,2.5200,2.5200,2.5200,2.5200,1300,0
NTZ.US,5,20131119,182500,2.5200,2.5200,2.5200,2.5200,800,0
NTZ.US,5,20131119,192500,2.5100,2.5100,2.5100,2.5100,1500,0
NTZ.US,5,20131119,200500,2.4700,2.4700,2.4700,2.4700,100,0
NTZ.US,5,20131119,211500,2.4700,2.4700,2.4700,2.4700,450,0
NTZ.US,5,20131119,212000,2.4700,2.4700,2.4700,2.4700,100,0
NTZ.US,5,20131119,213500,2.4700,2.4700,2.4700,2.4700,100,0
NTZ.US,5,20131119,215000,2.4800,2.4800,2.4800,2.4800,100,0
NTZ.US,5,20131119,215500,2.4900,2.4900,2.4900,2.4900,500,0
NTZ.US,5,20131119,220000,2.4700,2.4700,2.4200,2.4600,2100,0
NTZ.US,5,20131119,220500,2.4600,2.4600,2.4600,2.4600,3846,0
NTZ.US,5,20131120,185000,2.4500,2.4500,2.4300,2.4300,400,0
NTZ.US,5,20131120,185500,2.4000,2.4000,2.4000,2.4000,100,0
NTZ.US,5,20131120,213000,2.4100,2.4100,2.3100,2.3100,5250,0
NTZ.US,5,20131120,215000,2.3200,2.3200,2.3000,2.3000,400,0
NTZ.US,5,20131120,215500,2.3500,2.3500,2.3500,2.3500,100,0
NTZ.US,5,20131120,220000,2.3100,2.3100,2.3100,2.3100,661,0
NTZ.US,5,20131121,153500,2.3100,2.3100,2.3100,2.3100,1800,0
NTZ.US,5,20131121,165500,2.3600,2.3600,2.3600,2.3600,100,0
NTZ.US,5,20131121,180500,2.3600,2.3600,2.3600,2.3600,100,0
NTZ.US,5,20131121,182000,2.3600,2.3600,2.3600,2.3600,1000,0
NTZ.US,5,20131121,184500,2.3600,2.3600,2.3600,2.3600,5000,0
NTZ.US,5,20131121,192000,2.3600,2.3600,2.3600,2.3600,100,0
NTZ.US,5,20131121,193500,2.3400,2.4400,2.3400,2.4000,2100,0
NTZ.US,5,20131121,194000,2.4000,2.4000,2.3900,2.3900,1501,0
NTZ.US,5,20131121,210000,2.4600,2.4600,2.4600,2.4600,100,0
NTZ.US,5,20131121,212000,2.4400,2.4400,2.4400,2.4400,1000,0
NTZ.US,5,20131121,212500,2.3300,2.3300,2.3300,2.3300,887,0
NTZ.US,5,20131121,214000,2.4700,2.4700,2.4700,2.4700,1000,0
NTZ.US,5,20131121,220000,2.3500,2.3500,2.3500,2.3500,200,0
NTZ.US,5,20131122,155000,2.3900,2.4200,2.3900,2.4200,500,0
NTZ.US,5,20131122,162000,2.3400,2.3900,2.3400,2.3900,850,0
NTZ.US,5,20131122,172500,2.3500,2.3500,2.3400,2.3400,5900,0
NTZ.US,5,20131122,173500,2.3200,2.3200,2.3200,2.3200,100,0
NTZ.US,5,20131122,174000,2.3700,2.3700,2.3700,2.3700,1950,0
NTZ.US,5,20131122,184000,2.3400,2.3400,2.3400,2.3400,200,0
NTZ.US,5,20131122,195500,2.3500,2.3500,2.3500,2.3500,2000,0
NTZ.US,5,20131122,211500,2.3200,2.3200,2.3200,2.3200,700,0
NTZ.US,5,20131122,212500,2.3400,2.3800,2.3200,2.3400,6500,0
NTZ.US,5,20131122,213000,2.3300,2.3500,2.3200,2.3300,4000,0
NTZ.US,5,20131122,213500,2.3200,2.3500,2.1900,2.2400,17394,0
NTZ.US,5,20131122,215000,2.2400,2.2700,2.2400,2.2400,1100,0
NTZ.US,5,20131122,215500,2.2500,2.2700,2.2500,2.2700,2100,0
NTZ.US,5,20131122,220000,2.2700,2.3300,2.2700,2.3300,3750,0
NTZ.US,5,20131122,220500,2.3500,2.3500,2.3500,2.3500,217,0
NTZ.US,5,20131125,153500,2.2300,2.2300,2.1600,2.2200,2100,0
NTZ.US,5,20131125,160000,2.1700,2.2700,2.1700,2.2700,2540,0
NTZ.US,5,20131125,161500,2.2200,2.2200,2.2200,2.2200,100,0
NTZ.US,5,20131125,162500,2.2700,2.2700,2.2700,2.2700,1400,0
NTZ.US,5,20131125,164000,2.3100,2.3100,2.3100,2.3100,300,0
NTZ.US,5,20131125,164500,2.3100,2.3100,2.3100,2.3100,2200,0
NTZ.US,5,20131125,165000,2.3200,2.3500,2.3200,2.3500,200,0
NTZ.US,5,20131125,172000,2.3500,2.3500,2.2900,2.3000,2200,0
NTZ.US,5,20131125,192000,2.3400,2.3400,2.3400,2.3400,293,0
NTZ.US,5,20131125,205000,2.3400,2.3400,2.3400,2.3400,300,0
NTZ.US,5,20131125,214500,2.3500,2.3500,2.3500,2.3500,100,0
NTZ.US,5,20131125,215500,2.3400,2.3500,2.3400,2.3500,900,0
NTZ.US,5,20131125,220000,2.3500,2.3500,2.3500,2.3500,100,0
NTZ.US,5,20131125,221000,2.3500,2.3500,2.3500,2.3500,272,0
NTZ.US,5,20131126,154000,2.2500,2.2500,2.2500,2.2500,625,0
NTZ.US,5,20131126,155000,2.2100,2.2100,2.2000,2.2000,3200,0
NTZ.US,5,20131126,160500,2.2100,2.2100,2.1600,2.1600,1532,0
NTZ.US,5,20131126,162500,2.2000,2.2600,2.2000,2.2000,1946,0
NTZ.US,5,20131126,180000,2.1700,2.1700,2.1700,2.1700,5000,0
NTZ.US,5,20131126,193000,2.1900,2.1900,2.1900,2.1900,2000,0
NTZ.US,5,20131126,193500,2.2600,2.2600,2.2600,2.2600,5000,0
NTZ.US,5,20131126,194000,2.2600,2.2600,2.2600,2.2600,1200,0
NTZ.US,5,20131126,195000,2.3100,2.3100,2.3100,2.3100,200,0
NTZ.US,5,20131126,202000,2.2700,2.2700,2.2700,2.2700,300,0
NTZ.US,5,20131126,203000,2.2800,2.2800,2.2700,2.2800,3800,0
NTZ.US,5,20131126,203500,2.2700,2.2800,2.2700,2.2800,1100,0
NTZ.US,5,20131126,204000,2.2500,2.2800,2.2500,2.2800,1200,0
NTZ.US,5,20131126,205500,2.2800,2.3100,2.2800,2.3100,1384,0
NTZ.US,5,20131126,210000,2.3000,2.3200,2.3000,2.3000,1200,0
NTZ.US,5,20131126,211500,2.3100,2.3100,2.3100,2.3100,1000,0
NTZ.US,5,20131126,220500,2.3200,2.3200,2.3200,2.3200,168,0
NTZ.US,5,20131127,162500,2.3600,2.3600,2.3600,2.3600,100,0
NTZ.US,5,20131127,163000,2.3200,2.3200,2.2700,2.2700,500,0
NTZ.US,5,20131127,180000,2.3200,2.3200,2.3200,2.3200,181,0
NTZ.US,5,20131127,192500,2.3100,2.3100,2.3100,2.3100,200,0
NTZ.US,5,20131127,194000,2.3100,2.3100,2.3100,2.3100,1800,0
NTZ.US,5,20131127,202000,2.2600,2.2600,2.2600,2.2600,100,0
NTZ.US,5,20131127,211000,2.3000,2.3200,2.3000,2.3000,700,0
NTZ.US,5,20131127,211500,2.2500,2.3200,2.2500,2.3000,1880,0
NTZ.US,5,20131127,220500,2.3100,2.3100,2.3100,2.3100,176,0
NTZ.US,5,20131129,175000,2.3000,2.3000,2.2700,2.2700,2600,0
NTZ.US,5,20131129,181000,2.2800,2.2800,2.2800,2.2800,180,0
NTZ.US,5,20131129,184000,2.2800,2.3200,2.2800,2.3200,5919,0
NTZ.US,5,20131129,190500,2.3200,2.3200,2.3200,2.3200,168,0
NTZ.US,5,20131202,182000,2.3400,2.3400,2.3400,2.3400,100,0
NTZ.US,5,20131202,183000,2.2900,2.2900,2.2900,2.2900,400,0
NTZ.US,5,20131202,183500,2.3100,2.3100,2.2500,2.3000,1200,0
NTZ.US,5,20131202,185000,2.3000,2.3000,2.3000,2.3000,100,0
NTZ.US,5,20131202,191000,2.3000,2.3000,2.3000,2.3000,700,0
NTZ.US,5,20131202,192000,2.2900,2.2900,2.2900,2.2900,100,0
NTZ.US,5,20131202,192500,2.2500,2.3000,2.2400,2.3000,3300,0
NTZ.US,5,20131202,193000,2.2900,2.2900,2.2900,2.2900,200,0
NTZ.US,5,20131202,194500,2.2500,2.3000,2.2500,2.3000,400,0
NTZ.US,5,20131202,210000,2.2900,2.3000,2.2900,2.3000,200,0
NTZ.US,5,20131202,215000,2.3200,2.3200,2.3200,2.3200,2400,0
NTZ.US,5,20131202,215500,2.3100,2.3200,2.3100,2.3200,1300,0
NTZ.US,5,20131202,220500,2.3400,2.3400,2.3400,2.3400,640,0
NTZ.US,5,20131203,153500,2.3200,2.3200,2.3200,2.3200,1570,0
NTZ.US,5,20131203,154500,2.3000,2.3000,2.3000,2.3000,800,0
NTZ.US,5,20131203,180000,2.3000,2.3000,2.3000,2.3000,950,0
NTZ.US,5,20131203,191000,2.3100,2.3100,2.3100,2.3100,375,0
NTZ.US,5,20131203,194500,2.3000,2.3100,2.3000,2.3100,300,0
NTZ.US,5,20131203,213000,2.3300,2.3300,2.3100,2.3100,527,0
NTZ.US,5,20131203,220500,2.3200,2.3200,2.3200,2.3200,171,0
NTZ.US,5,20131204,155000,2.2900,2.3000,2.2900,2.3000,1360,0
NTZ.US,5,20131204,162500,2.3000,2.3000,2.3000,2.3000,7340,0
NTZ.US,5,20131204,165500,2.2800,2.2800,2.2000,2.2500,2300,0
NTZ.US,5,20131204,173000,2.2300,2.2300,2.2300,2.2300,280,0
NTZ.US,5,20131204,174000,2.2900,2.2900,2.2900,2.2900,100,0
NTZ.US,5,20131204,182500,2.2300,2.2300,2.2300,2.2300,200,0
NTZ.US,5,20131204,192000,2.2900,2.2900,2.2900,2.2900,100,0
NTZ.US,5,20131204,202500,2.3400,2.3400,2.3200,2.3200,200,0
NTZ.US,5,20131204,220000,2.3400,2.3400,2.3400,2.3400,100,0
NTZ.US,5,20131204,220500,2.3400,2.3400,2.3400,2.3400,150,0
NTZ.US,5,20131205,162500,2.2500,2.2500,2.2500,2.2500,200,0
NTZ.US,5,20131205,165500,2.3000,2.3000,2.3000,2.3000,2300,0
NTZ.US,5,20131205,182500,2.2400,2.2400,2.2400,2.2400,200,0
NTZ.US,5,20131205,185500,2.2200,2.2200,2.2200,2.2200,750,0
NTZ.US,5,20131205,190000,2.2200,2.2200,2.2200,2.2200,1800,0
NTZ.US,5,20131205,215000,2.2100,2.2100,2.2100,2.2100,100,0
NTZ.US,5,20131205,220000,2.2100,2.2100,2.2100,2.2100,300,0
NTZ.US,5,20131206,155000,2.2100,2.2100,2.2100,2.2100,100,0
NTZ.US,5,20131206,160000,2.2400,2.2400,2.2400,2.2400,400,0
NTZ.US,5,20131206,163000,2.2300,2.2300,2.2200,2.2200,7400,0
NTZ.US,5,20131206,163500,2.2200,2.2200,2.2000,2.2000,11270,0
NTZ.US,5,20131206,164000,2.2000,2.2000,2.2000,2.2000,1000,0
NTZ.US,5,20131206,170500,2.2000,2.2000,2.1800,2.1900,22985,0
NTZ.US,5,20131206,190500,2.1900,2.1900,2.1900,2.1900,5000,0
NTZ.US,5,20131206,202000,2.2400,2.2400,2.1900,2.1900,200,0
NTZ.US,5,20131209,154000,2.2500,2.2500,2.2500,2.2500,1491,0
NTZ.US,5,20131209,161000,2.2000,2.2800,2.2000,2.2800,2300,0
NTZ.US,5,20131209,170500,2.2600,2.2600,2.2600,2.2600,500,0
NTZ.US,5,20131209,171000,2.2000,2.2000,2.2000,2.2000,200,0
NTZ.US,5,20131209,172500,2.1900,2.1900,2.1900,2.1900,1000,0
NTZ.US,5,20131209,181000,2.1900,2.1900,2.1900,2.1900,500,0
NTZ.US,5,20131209,184500,2.1900,2.1900,2.1900,2.1900,100,0
NTZ.US,5,20131209,192500,2.2000,2.2000,2.2000,2.2000,200,0
NTZ.US,5,20131209,194500,2.2000,2.2000,2.2000,2.2000,1040,0
NTZ.US,5,20131209,195000,2.2000,2.2100,2.2000,2.2100,3070,0
NTZ.US,5,20131209,212000,2.2200,2.2200,2.2200,2.2200,5000,0
NTZ.US,5,20131209,213500,2.2200,2.2200,2.2200,2.2200,100,0
NTZ.US,5,20131209,215500,2.2200,2.2200,2.2200,2.2200,600,0
NTZ.US,5,20131209,220000,2.2200,2.2200,2.2200,2.2200,300,0
NTZ.US,5,20131209,220500,2.2200,2.2200,2.2200,2.2200,100,0
