<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXQ.US,5,20131112,155000,12.4400,12.4400,12.4400,12.4400,851,0
NXQ.US,5,20131112,155500,12.4500,12.4500,12.4400,12.4400,2000,0
NXQ.US,5,20131112,160000,12.4200,12.4200,12.4200,12.4200,800,0
NXQ.US,5,20131112,160500,12.4100,12.4100,12.3600,12.3800,4134,0
NXQ.US,5,20131112,161500,12.4200,12.4200,12.4200,12.4200,2601,0
NXQ.US,5,20131112,162000,12.3600,12.3600,12.3600,12.3600,100,0
NXQ.US,5,20131112,163000,12.3900,12.3900,12.3900,12.3900,1186,0
NXQ.US,5,20131112,163500,12.3900,12.3900,12.3900,12.3900,1900,0
NXQ.US,5,20131112,164000,12.3900,12.3900,12.3900,12.3900,1500,0
NXQ.US,5,20131112,164500,12.3900,12.4300,12.3900,12.3900,2470,0
NXQ.US,5,20131112,170500,12.4300,12.4300,12.4300,12.4300,403,0
NXQ.US,5,20131112,173000,12.4300,12.4300,12.4300,12.4300,1600,0
NXQ.US,5,20131112,173500,12.4300,12.4800,12.4300,12.4800,4000,0
NXQ.US,5,20131112,181500,12.4400,12.4400,12.4400,12.4400,822,0
NXQ.US,5,20131112,182500,12.4700,12.4700,12.4700,12.4700,2000,0
NXQ.US,5,20131112,185000,12.4200,12.4200,12.4200,12.4200,525,0
NXQ.US,5,20131112,193000,12.4000,12.4000,12.3800,12.3800,3631,0
NXQ.US,5,20131112,195000,12.3900,12.3900,12.3800,12.3900,4293,0
NXQ.US,5,20131112,200500,12.4400,12.4500,12.4400,12.4400,2000,0
NXQ.US,5,20131112,202500,12.4700,12.4700,12.4500,12.4500,300,0
NXQ.US,5,20131112,203000,12.4600,12.4600,12.4500,12.4500,293,0
NXQ.US,5,20131112,204000,12.4600,12.4600,12.4600,12.4600,200,0
NXQ.US,5,20131112,204500,12.4700,12.4700,12.4700,12.4700,1175,0
NXQ.US,5,20131112,205000,12.4500,12.4500,12.4500,12.4500,200,0
NXQ.US,5,20131112,211500,12.4500,12.4500,12.4500,12.4500,2400,0
NXQ.US,5,20131112,212500,12.4700,12.4700,12.4700,12.4700,500,0
NXQ.US,5,20131112,215000,12.4500,12.4500,12.4500,12.4500,1500,0
NXQ.US,5,20131112,215500,12.4500,12.4500,12.4500,12.4500,3807,0
NXQ.US,5,20131112,220000,12.4500,12.4500,12.4500,12.4500,300,0
NXQ.US,5,20131112,221000,12.4700,12.4700,12.4700,12.4700,424,0
NXQ.US,5,20131113,153500,12.3800,12.3800,12.3800,12.3800,104,0
NXQ.US,5,20131113,155000,12.3900,12.3900,12.3800,12.3800,385,0
NXQ.US,5,20131113,160000,12.4000,12.4000,12.3800,12.3800,1929,0
NXQ.US,5,20131113,161000,12.3900,12.3900,12.3800,12.3800,617,0
NXQ.US,5,20131113,165000,12.3900,12.3900,12.3800,12.3800,2780,0
NXQ.US,5,20131113,165500,12.3800,12.4100,12.3200,12.3700,4825,0
NXQ.US,5,20131113,170000,12.3700,12.3700,12.3700,12.3700,795,0
NXQ.US,5,20131113,172500,12.3300,12.3300,12.3100,12.3100,4045,0
NXQ.US,5,20131113,175000,12.3600,12.3600,12.3600,12.3600,500,0
NXQ.US,5,20131113,175500,12.3300,12.3300,12.3300,12.3300,100,0
NXQ.US,5,20131113,182500,12.3200,12.3200,12.3200,12.3200,300,0
NXQ.US,5,20131113,183000,12.3400,12.3400,12.3400,12.3400,901,0
NXQ.US,5,20131113,184500,12.3100,12.3200,12.2900,12.3000,1912,0
NXQ.US,5,20131113,193000,12.3300,12.3300,12.3300,12.3300,2000,0
NXQ.US,5,20131113,195000,12.3100,12.3100,12.2900,12.2900,2992,0
NXQ.US,5,20131113,200500,12.2900,12.3300,12.2900,12.3200,1639,0
NXQ.US,5,20131113,201000,12.3100,12.3100,12.3100,12.3100,100,0
NXQ.US,5,20131113,201500,12.3100,12.3200,12.3100,12.3200,380,0
NXQ.US,5,20131113,203500,12.3100,12.3100,12.3100,12.3100,200,0
NXQ.US,5,20131113,204000,12.3300,12.3300,12.3300,12.3300,800,0
NXQ.US,5,20131113,211500,12.3300,12.3300,12.3200,12.3300,2384,0
NXQ.US,5,20131113,212000,12.3200,12.3200,12.2800,12.2900,3767,0
NXQ.US,5,20131113,213500,12.3200,12.3200,12.2600,12.2800,3623,0
NXQ.US,5,20131113,214000,12.2600,12.2700,12.2600,12.2700,600,0
NXQ.US,5,20131113,214500,12.2800,12.2800,12.2800,12.2800,200,0
NXQ.US,5,20131113,220000,12.2800,12.2800,12.2800,12.2800,100,0
NXQ.US,5,20131114,153500,12.3400,12.3400,12.3400,12.3400,394,0
NXQ.US,5,20131114,154000,12.3400,12.3400,12.3400,12.3400,355,0
NXQ.US,5,20131114,155500,12.3100,12.3100,12.3100,12.3100,100,0
NXQ.US,5,20131114,160000,12.3100,12.3100,12.3100,12.3100,300,0
NXQ.US,5,20131114,160500,12.3200,12.3200,12.3200,12.3200,100,0
NXQ.US,5,20131114,161000,12.3100,12.3100,12.3100,12.3100,373,0
NXQ.US,5,20131114,161500,12.3500,12.3500,12.3500,12.3500,200,0
