<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NYCB.US,5,20131112,153500,16.3800,16.3900,16.3100,16.3500,18400,0
NYCB.US,5,20131112,154000,16.3400,16.4300,16.3400,16.4200,14445,0
NYCB.US,5,20131112,154500,16.4100,16.4500,16.4000,16.4100,18600,0
NYCB.US,5,20131112,155000,16.4100,16.4300,16.4000,16.4300,15527,0
NYCB.US,5,20131112,155500,16.4300,16.4300,16.4000,16.4100,15182,0
NYCB.US,5,20131112,160000,16.4100,16.4200,16.4000,16.4200,13907,0
NYCB.US,5,20131112,160500,16.4100,16.4200,16.3900,16.4200,34696,0
NYCB.US,5,20131112,161000,16.4100,16.4500,16.4100,16.4500,19425,0
NYCB.US,5,20131112,161500,16.4400,16.4500,16.4300,16.4500,17712,0
NYCB.US,5,20131112,162000,16.4400,16.4700,16.4200,16.4600,32621,0
NYCB.US,5,20131112,162500,16.4600,16.4600,16.4100,16.4300,13100,0
NYCB.US,5,20131112,163000,16.4200,16.4400,16.4200,16.4400,10704,0
NYCB.US,5,20131112,163500,16.4400,16.4400,16.4200,16.4300,5980,0
NYCB.US,5,20131112,164000,16.4200,16.4400,16.4200,16.4400,11918,0
NYCB.US,5,20131112,164500,16.4300,16.4400,16.4200,16.4400,20617,0
NYCB.US,5,20131112,165000,16.4400,16.4500,16.4400,16.4400,12634,0
NYCB.US,5,20131112,165500,16.4300,16.4400,16.4300,16.4300,7305,0
NYCB.US,5,20131112,170000,16.4400,16.4400,16.4000,16.4100,20074,0
NYCB.US,5,20131112,170500,16.4100,16.4300,16.4100,16.4300,39706,0
NYCB.US,5,20131112,171000,16.4200,16.4300,16.4200,16.4200,15995,0
NYCB.US,5,20131112,171500,16.4200,16.4300,16.4100,16.4200,33580,0
NYCB.US,5,20131112,172000,16.4200,16.4300,16.4200,16.4200,16231,0
NYCB.US,5,20131112,172500,16.4200,16.4300,16.4000,16.4000,20890,0
NYCB.US,5,20131112,173000,16.4100,16.4300,16.4100,16.4200,16075,0
NYCB.US,5,20131112,173500,16.4200,16.4300,16.4100,16.4300,16730,0
NYCB.US,5,20131112,174000,16.4200,16.4300,16.3900,16.3900,27263,0
NYCB.US,5,20131112,174500,16.3800,16.4000,16.3800,16.3900,17315,0
NYCB.US,5,20131112,175000,16.4000,16.4000,16.3900,16.3900,11818,0
NYCB.US,5,20131112,175500,16.3800,16.4000,16.3700,16.3900,18202,0
NYCB.US,5,20131112,180000,16.3900,16.3900,16.3700,16.3700,14000,0
NYCB.US,5,20131112,180500,16.3800,16.3900,16.3700,16.3900,17444,0
NYCB.US,5,20131112,181000,16.3800,16.3800,16.3400,16.3400,25742,0
NYCB.US,5,20131112,181500,16.3500,16.3700,16.3400,16.3500,20476,0
NYCB.US,5,20131112,182000,16.3600,16.3600,16.3400,16.3600,27475,0
NYCB.US,5,20131112,182500,16.3500,16.3600,16.3400,16.3500,10299,0
NYCB.US,5,20131112,183000,16.3400,16.3700,16.3400,16.3500,24642,0
NYCB.US,5,20131112,183500,16.3600,16.3600,16.3400,16.3400,12862,0
NYCB.US,5,20131112,184000,16.3500,16.3500,16.3300,16.3500,30283,0
NYCB.US,5,20131112,184500,16.3500,16.3500,16.3300,16.3500,17166,0
NYCB.US,5,20131112,185000,16.3500,16.3500,16.3400,16.3500,3105,0
NYCB.US,5,20131112,185500,16.3400,16.3600,16.3400,16.3600,9700,0
NYCB.US,5,20131112,190000,16.3600,16.3700,16.3600,16.3700,12056,0
NYCB.US,5,20131112,190500,16.3600,16.3700,16.3500,16.3600,12681,0
NYCB.US,5,20131112,191000,16.3600,16.3900,16.3500,16.3800,151715,0
NYCB.US,5,20131112,191500,16.3800,16.3900,16.3700,16.3700,43435,0
NYCB.US,5,20131112,192000,16.3700,16.3800,16.3500,16.3700,27951,0
NYCB.US,5,20131112,192500,16.3700,16.3800,16.3600,16.3800,20678,0
NYCB.US,5,20131112,193000,16.3800,16.3800,16.3600,16.3600,10330,0
NYCB.US,5,20131112,193500,16.3600,16.3700,16.3400,16.3500,19766,0
NYCB.US,5,20131112,194000,16.3400,16.3600,16.3400,16.3500,73493,0
NYCB.US,5,20131112,194500,16.3500,16.3600,16.3200,16.3300,70189,0
NYCB.US,5,20131112,195000,16.3400,16.3500,16.3300,16.3500,14466,0
NYCB.US,5,20131112,195500,16.3500,16.3500,16.3200,16.3300,23100,0
NYCB.US,5,20131112,200000,16.3300,16.3300,16.2800,16.2800,36581,0
NYCB.US,5,20131112,200500,16.2800,16.3300,16.2700,16.3300,53410,0
NYCB.US,5,20131112,201000,16.3300,16.3500,16.3200,16.3500,38085,0
NYCB.US,5,20131112,201500,16.3500,16.3500,16.3300,16.3400,16013,0
