<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODP.US,5,20131112,153500,5.2100,5.2400,5.1900,5.2300,55869,0
ODP.US,5,20131112,154000,5.2300,5.2700,5.2300,5.2400,318158,0
ODP.US,5,20131112,154500,5.2300,5.2400,5.2200,5.2300,48028,0
ODP.US,5,20131112,155000,5.2200,5.2400,5.2200,5.2400,47479,0
ODP.US,5,20131112,155500,5.2400,5.2500,5.2300,5.2300,69111,0
ODP.US,5,20131112,160000,5.2300,5.2400,5.1900,5.1900,192595,0
ODP.US,5,20131112,160500,5.2000,5.2000,5.1400,5.1800,179371,0
ODP.US,5,20131112,161000,5.1800,5.1900,5.1600,5.1800,209164,0
ODP.US,5,20131112,161500,5.1900,5.2000,5.1600,5.1600,178816,0
ODP.US,5,20131112,162000,5.1600,5.1800,5.1600,5.1700,139232,0
ODP.US,5,20131112,162500,5.1700,5.2100,5.1700,5.2100,137756,0
ODP.US,5,20131112,163000,5.2100,5.2100,5.2000,5.2000,12900,0
ODP.US,5,20131112,163500,5.2100,5.2200,5.2000,5.2100,151923,0
ODP.US,5,20131112,164000,5.2100,5.2200,5.2100,5.2200,27884,0
ODP.US,5,20131112,164500,5.2100,5.2200,5.2100,5.2200,43400,0
ODP.US,5,20131112,165000,5.2200,5.2200,5.2100,5.2100,35800,0
ODP.US,5,20131112,165500,5.2100,5.2200,5.2100,5.2200,36400,0
ODP.US,5,20131112,170000,5.2100,5.2200,5.1800,5.2100,231644,0
ODP.US,5,20131112,170500,5.2100,5.2300,5.2000,5.2300,130887,0
ODP.US,5,20131112,171000,5.2200,5.2400,5.2100,5.2200,123604,0
ODP.US,5,20131112,171500,5.2100,5.2300,5.2100,5.2300,96878,0
ODP.US,5,20131112,172000,5.2200,5.2300,5.2200,5.2300,82693,0
ODP.US,5,20131112,172500,5.2300,5.2300,5.2200,5.2200,38937,0
ODP.US,5,20131112,173000,5.2200,5.2300,5.2200,5.2200,20070,0
ODP.US,5,20131112,173500,5.2200,5.2300,5.2200,5.2200,16600,0
ODP.US,5,20131112,174000,5.2200,5.2300,5.2000,5.2100,85627,0
ODP.US,5,20131112,174500,5.2000,5.2100,5.2000,5.2000,39598,0
ODP.US,5,20131112,175000,5.2000,5.2100,5.1900,5.2000,238544,0
ODP.US,5,20131112,175500,5.1900,5.2200,5.1900,5.2000,183985,0
ODP.US,5,20131112,180000,5.2100,5.2100,5.1900,5.1900,17352,0
ODP.US,5,20131112,180500,5.1900,5.2000,5.1800,5.1800,54068,0
ODP.US,5,20131112,181000,5.1800,5.1800,5.1600,5.1600,45214,0
ODP.US,5,20131112,181500,5.1700,5.1900,5.1600,5.1900,200322,0
ODP.US,5,20131112,182000,5.1800,5.2000,5.1800,5.1800,105147,0
ODP.US,5,20131112,182500,5.1800,5.1800,5.1700,5.1700,12672,0
ODP.US,5,20131112,183000,5.1800,5.1800,5.1700,5.1700,8500,0
ODP.US,5,20131112,183500,5.1700,5.1800,5.1500,5.1700,90378,0
ODP.US,5,20131112,184000,5.1600,5.1800,5.1600,5.1600,68842,0
ODP.US,5,20131112,184500,5.1600,5.1800,5.1500,5.1700,204731,0
ODP.US,5,20131112,185000,5.1700,5.1700,5.1500,5.1500,62174,0
ODP.US,5,20131112,185500,5.1600,5.1600,5.1500,5.1500,34490,0
ODP.US,5,20131112,190000,5.1600,5.1600,5.1500,5.1500,100900,0
ODP.US,5,20131112,190500,5.1600,5.1600,5.1500,5.1500,18300,0
ODP.US,5,20131112,191000,5.1500,5.1700,5.1500,5.1700,63262,0
ODP.US,5,20131112,191500,5.1700,5.1700,5.1600,5.1600,6000,0
ODP.US,5,20131112,192000,5.1700,5.1900,5.1600,5.1800,180792,0
ODP.US,5,20131112,192500,5.1800,5.1900,5.1700,5.1800,84709,0
ODP.US,5,20131112,193000,5.1700,5.1800,5.1600,5.1600,24700,0
ODP.US,5,20131112,193500,5.1700,5.1700,5.1300,5.1400,170397,0
ODP.US,5,20131112,194000,5.1300,5.1400,5.1300,5.1300,19971,0
ODP.US,5,20131112,194500,5.1300,5.1400,5.1000,5.1000,129388,0
ODP.US,5,20131112,195000,5.1000,5.1100,5.0400,5.0600,494017,0
ODP.US,5,20131112,195500,5.0600,5.1100,5.0400,5.1100,377045,0
ODP.US,5,20131112,200000,5.1100,5.1200,5.0900,5.1200,159732,0
ODP.US,5,20131112,200500,5.1200,5.1400,5.1100,5.1400,94411,0
ODP.US,5,20131112,201000,5.1400,5.1500,5.1200,5.1300,178372,0
ODP.US,5,20131112,201500,5.1300,5.1300,5.1200,5.1300,24997,0
ODP.US,5,20131112,202000,5.1300,5.1500,5.1300,5.1400,43248,0
ODP.US,5,20131112,202500,5.1500,5.1600,5.1400,5.1600,77528,0
