<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OEH.US,5,20131112,153500,14.7200,14.7200,14.6800,14.6800,2668,0
OEH.US,5,20131112,154000,14.7500,14.7600,14.7200,14.7500,1400,0
OEH.US,5,20131112,154500,14.7700,14.7700,14.6600,14.6600,2700,0
OEH.US,5,20131112,155000,14.6500,14.7300,14.6400,14.7300,1100,0
OEH.US,5,20131112,155500,14.7800,14.8000,14.7600,14.8000,600,0
OEH.US,5,20131112,160000,14.7700,14.8000,14.7600,14.7900,1400,0
OEH.US,5,20131112,160500,14.7800,14.7800,14.6200,14.6800,7687,0
OEH.US,5,20131112,161000,14.6400,14.6700,14.6300,14.6300,1200,0
OEH.US,5,20131112,161500,14.6600,14.7000,14.6000,14.6000,64000,0
OEH.US,5,20131112,162000,14.5800,14.6100,14.5300,14.5800,3897,0
OEH.US,5,20131112,162500,14.5500,14.5800,14.5300,14.5400,6356,0
OEH.US,5,20131112,163000,14.5400,14.5500,14.5200,14.5300,4420,0
OEH.US,5,20131112,163500,14.5400,14.5600,14.5400,14.5600,3192,0
OEH.US,5,20131112,164000,14.5300,14.5500,14.5200,14.5500,3800,0
OEH.US,5,20131112,164500,14.5700,14.5700,14.5700,14.5700,400,0
OEH.US,5,20131112,165000,14.5800,14.6400,14.5700,14.6300,4796,0
OEH.US,5,20131112,165500,14.6000,14.6200,14.6000,14.6200,500,0
OEH.US,5,20131112,170000,14.6000,14.6100,14.6000,14.6100,950,0
OEH.US,5,20131112,170500,14.6000,14.6300,14.5900,14.6300,2800,0
OEH.US,5,20131112,171000,14.6100,14.6200,14.5500,14.5700,2975,0
OEH.US,5,20131112,171500,14.5800,14.6200,14.5700,14.6200,47056,0
OEH.US,5,20131112,172000,14.6200,14.6200,14.6000,14.6000,200,0
OEH.US,5,20131112,172500,14.5900,14.6100,14.5900,14.5900,5131,0
OEH.US,5,20131112,173000,14.6000,14.6400,14.6000,14.6300,3925,0
