<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OFC.US,5,20131112,153500,23.5000,23.5000,23.5000,23.5000,100,0
OFC.US,5,20131112,154000,23.4400,23.4900,23.4400,23.4900,400,0
OFC.US,5,20131112,154500,23.4800,23.5200,23.4700,23.4700,1900,0
OFC.US,5,20131112,155000,23.4200,23.4500,23.4200,23.4500,1600,0
OFC.US,5,20131112,155500,23.3900,23.4000,23.3700,23.3800,1200,0
OFC.US,5,20131112,160000,23.3800,23.3900,23.3800,23.3900,897,0
OFC.US,5,20131112,160500,23.3400,23.3400,23.3100,23.3300,2100,0
OFC.US,5,20131112,161000,23.3400,23.3400,23.3100,23.3400,3050,0
OFC.US,5,20131112,161500,23.3200,23.3200,23.2900,23.3200,1470,0
OFC.US,5,20131112,162000,23.2900,23.3600,23.2900,23.3600,1297,0
OFC.US,5,20131112,163000,23.3400,23.3700,23.3400,23.3700,1600,0
OFC.US,5,20131112,163500,23.3600,23.3800,23.3400,23.3400,2100,0
OFC.US,5,20131112,164000,23.3500,23.3500,23.3300,23.3400,2000,0
OFC.US,5,20131112,164500,23.3300,23.3800,23.3300,23.3800,14300,0
OFC.US,5,20131112,165000,23.3600,23.3900,23.3300,23.3300,767,0
OFC.US,5,20131112,165500,23.3300,23.3400,23.3100,23.3400,2300,0
OFC.US,5,20131112,170000,23.2900,23.2900,23.2900,23.2900,100,0
OFC.US,5,20131112,170500,23.3100,23.3100,23.2900,23.2900,2409,0
OFC.US,5,20131112,171000,23.2800,23.3100,23.2800,23.2900,1500,0
OFC.US,5,20131112,171500,23.2800,23.3100,23.2800,23.3000,2410,0
OFC.US,5,20131112,172000,23.3000,23.3000,23.2700,23.3000,1700,0
OFC.US,5,20131112,172500,23.2800,23.3100,23.2700,23.3100,2690,0
OFC.US,5,20131112,173000,23.3000,23.3100,23.2500,23.2700,1600,0
OFC.US,5,20131112,173500,23.2400,23.2800,23.2400,23.2500,400,0
OFC.US,5,20131112,174000,23.2400,23.2600,23.2300,23.2400,3400,0
OFC.US,5,20131112,174500,23.2300,23.2800,23.2300,23.2300,2888,0
OFC.US,5,20131112,175000,23.2500,23.2500,23.2100,23.2500,4676,0
OFC.US,5,20131112,175500,23.2500,23.2700,23.2300,23.2500,2308,0
OFC.US,5,20131112,180000,23.2600,23.2800,23.2200,23.2600,1792,0
OFC.US,5,20131112,180500,23.2300,23.2500,23.2100,23.2500,2647,0
OFC.US,5,20131112,181000,23.2300,23.2600,23.1800,23.2200,3200,0
OFC.US,5,20131112,181500,23.2200,23.2200,23.1600,23.2100,1392,0
OFC.US,5,20131112,182000,23.2000,23.2300,23.1500,23.2300,1989,0
OFC.US,5,20131112,182500,23.1700,23.2100,23.1600,23.2100,700,0
OFC.US,5,20131112,183000,23.2000,23.2400,23.2000,23.2400,1700,0
OFC.US,5,20131112,183500,23.2000,23.2100,23.1800,23.2100,1770,0
OFC.US,5,20131112,184000,23.2000,23.2200,23.1800,23.2000,1650,0
OFC.US,5,20131112,184500,23.2100,23.2100,23.1800,23.1800,600,0
OFC.US,5,20131112,185000,23.1800,23.2100,23.1700,23.2100,2059,0
OFC.US,5,20131112,185500,23.1900,23.1900,23.1900,23.1900,100,0
OFC.US,5,20131112,190000,23.1700,23.2100,23.1700,23.2000,881,0
OFC.US,5,20131112,190500,23.1900,23.2500,23.1900,23.2200,2700,0
OFC.US,5,20131112,191000,23.2200,23.2300,23.2100,23.2300,574,0
OFC.US,5,20131112,191500,23.2100,23.2200,23.2000,23.2200,800,0
OFC.US,5,20131112,192000,23.2000,23.2300,23.1900,23.2100,1400,0
OFC.US,5,20131112,192500,23.2400,23.2700,23.2300,23.2500,2803,0
OFC.US,5,20131112,193000,23.2400,23.3000,23.2400,23.2800,23797,0
OFC.US,5,20131112,193500,23.3100,23.3100,23.2400,23.2600,2000,0
OFC.US,5,20131112,194000,23.2300,23.2300,23.1500,23.1700,827,0
OFC.US,5,20131112,194500,23.1500,23.2600,23.1500,23.2600,5980,0
OFC.US,5,20131112,195000,23.2500,23.2700,23.2200,23.2700,6038,0
OFC.US,5,20131112,195500,23.2500,23.3100,23.2500,23.2900,7200,0
OFC.US,5,20131112,200000,23.2900,23.3200,23.2900,23.3000,500,0
OFC.US,5,20131112,200500,23.3000,23.3200,23.2900,23.2900,626,0
OFC.US,5,20131112,201000,23.2600,23.3300,23.2600,23.3300,4200,0
OFC.US,5,20131112,201500,23.3100,23.3200,23.3100,23.3100,514,0
OFC.US,5,20131112,202000,23.2800,23.2800,23.2500,23.2800,1628,0
OFC.US,5,20131112,202500,23.2900,23.2900,23.2700,23.2900,1500,0
OFC.US,5,20131112,203000,23.2600,23.2600,23.2400,23.2400,2100,0
OFC.US,5,20131112,203500,23.2200,23.2500,23.2200,23.2500,1293,0
OFC.US,5,20131112,204000,23.2100,23.2300,23.2100,23.2300,200,0
OFC.US,5,20131112,204500,23.2100,23.2500,23.2100,23.2300,2100,0
OFC.US,5,20131112,205000,23.2300,23.2400,23.2300,23.2300,1018,0
OFC.US,5,20131112,205500,23.2500,23.2800,23.2500,23.2500,1762,0
OFC.US,5,20131112,210000,23.2600,23.3600,23.2600,23.3100,2286,0
OFC.US,5,20131112,210500,23.3100,23.3100,23.3000,23.3000,800,0
OFC.US,5,20131112,211000,23.3100,23.3500,23.3100,23.3500,2374,0
OFC.US,5,20131112,211500,23.3500,23.3800,23.3400,23.3500,2800,0
OFC.US,5,20131112,212000,23.3300,23.3700,23.3100,23.3600,10392,0
OFC.US,5,20131112,212500,23.3500,23.3700,23.3300,23.3500,3066,0
