<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMC.US,5,20131112,153500,70.5700,70.6900,70.1900,70.3100,18022,0
OMC.US,5,20131112,154000,70.3100,70.4000,70.2800,70.3300,2400,0
OMC.US,5,20131112,154500,70.3300,70.4100,70.3200,70.4100,4581,0
OMC.US,5,20131112,155000,70.4700,70.5900,70.3600,70.4800,14960,0
OMC.US,5,20131112,155500,70.4300,70.4400,70.3500,70.3700,3264,0
OMC.US,5,20131112,160000,70.3700,70.5000,70.3700,70.4400,7322,0
OMC.US,5,20131112,160500,70.4600,70.5000,70.3400,70.5000,9955,0
OMC.US,5,20131112,161000,70.5300,70.5400,70.3700,70.4000,4546,0
OMC.US,5,20131112,161500,70.3900,70.4200,70.3700,70.4200,18364,0
OMC.US,5,20131112,162000,70.3800,70.4400,70.2800,70.4300,49012,0
OMC.US,5,20131112,162500,70.4300,70.4600,70.3700,70.4300,5667,0
OMC.US,5,20131112,163000,70.4500,70.4500,70.3700,70.4400,2500,0
OMC.US,5,20131112,163500,70.4500,70.4500,70.3100,70.3100,27409,0
OMC.US,5,20131112,164000,70.3400,70.3900,70.3300,70.3600,3200,0
OMC.US,5,20131112,164500,70.3600,70.3600,70.2600,70.3500,3286,0
OMC.US,5,20131112,165000,70.3900,70.4400,70.3400,70.3600,2600,0
OMC.US,5,20131112,165500,70.3800,70.4000,70.3200,70.3400,3856,0
OMC.US,5,20131112,170000,70.3400,70.3500,70.2600,70.2600,7447,0
OMC.US,5,20131112,170500,70.2600,70.3300,70.2600,70.3300,2652,0
OMC.US,5,20131112,171000,70.4100,70.4100,70.2300,70.2300,3070,0
OMC.US,5,20131112,171500,70.2300,70.3400,70.2300,70.3200,8759,0
OMC.US,5,20131112,172000,70.3300,70.3800,70.2700,70.3200,18458,0
OMC.US,5,20131112,172500,70.3200,70.3800,70.2700,70.2900,3656,0
OMC.US,5,20131112,173000,70.2800,70.2900,70.1800,70.2200,8451,0
OMC.US,5,20131112,173500,70.2200,70.2700,70.2200,70.2600,3025,0
OMC.US,5,20131112,174000,70.2900,70.3400,70.1700,70.1700,11300,0
OMC.US,5,20131112,174500,70.1300,70.2400,70.1300,70.2100,2900,0
OMC.US,5,20131112,175000,70.2000,70.2000,70.1100,70.1700,2199,0
OMC.US,5,20131112,175500,70.1500,70.1800,70.1100,70.1100,2800,0
OMC.US,5,20131112,180000,70.1200,70.1600,69.9500,69.9500,11000,0
OMC.US,5,20131112,180500,69.9900,70.0900,69.9900,70.0800,2400,0
OMC.US,5,20131112,181000,70.0600,70.0600,69.9400,69.9400,1500,0
OMC.US,5,20131112,181500,69.9700,70.0700,69.9700,70.0700,1300,0
OMC.US,5,20131112,182000,70.0700,70.1000,69.9300,69.9900,11317,0
OMC.US,5,20131112,182500,69.9900,70.0700,69.9900,70.0700,47800,0
OMC.US,5,20131112,183000,70.0900,70.1600,70.0800,70.1600,5150,0
OMC.US,5,20131112,183500,70.1700,70.1800,70.0300,70.0500,6767,0
OMC.US,5,20131112,184000,70.0700,70.0700,69.9900,70.0200,1883,0
OMC.US,5,20131112,184500,70.0400,70.0800,70.0300,70.0800,500,0
OMC.US,5,20131112,185000,70.0700,70.1000,70.0600,70.1000,600,0
OMC.US,5,20131112,185500,70.1300,70.1300,70.0900,70.1100,3758,0
OMC.US,5,20131112,190000,70.0900,70.1000,70.0600,70.0600,1000,0
OMC.US,5,20131112,190500,70.0600,70.0800,70.0300,70.0400,2100,0
OMC.US,5,20131112,191000,70.0500,70.0900,70.0500,70.0600,2100,0
OMC.US,5,20131112,191500,70.0700,70.0800,70.0000,70.0600,14683,0
OMC.US,5,20131112,192000,70.0400,70.0700,70.0400,70.0600,1602,0
OMC.US,5,20131112,192500,70.0600,70.0800,70.0400,70.0400,2100,0
OMC.US,5,20131112,193000,70.0300,70.0600,69.9800,69.9800,1610,0
OMC.US,5,20131112,193500,69.9900,69.9900,69.9000,69.9000,4403,0
OMC.US,5,20131112,194000,69.8900,69.8900,69.8100,69.8100,3300,0
OMC.US,5,20131112,194500,69.7900,69.8600,69.7700,69.7700,9250,0
OMC.US,5,20131112,195000,69.7700,69.8300,69.7700,69.8300,5940,0
OMC.US,5,20131112,195500,69.8300,69.8400,69.7900,69.8200,5411,0
OMC.US,5,20131112,200000,69.8300,69.9000,69.8300,69.8900,3775,0
OMC.US,5,20131112,200500,69.8800,69.8800,69.8300,69.8400,4578,0
OMC.US,5,20131112,201000,69.8500,69.8500,69.8100,69.8100,4955,0
OMC.US,5,20131112,201500,69.8200,69.8600,69.8200,69.8600,1639,0
OMC.US,5,20131112,202000,69.8600,69.8700,69.8500,69.8600,2910,0
OMC.US,5,20131112,202500,69.8900,69.9300,69.8900,69.9000,2335,0
OMC.US,5,20131112,203000,69.9100,69.9100,69.8300,69.8400,3912,0
OMC.US,5,20131112,203500,69.8300,69.9000,69.8300,69.8700,20828,0
OMC.US,5,20131112,204000,69.8500,69.8700,69.8300,69.8600,9145,0
OMC.US,5,20131112,204500,69.8900,69.9000,69.8600,69.8700,2675,0
OMC.US,5,20131112,205000,69.8600,69.8900,69.8500,69.8800,5400,0
OMC.US,5,20131112,205500,69.9000,69.9100,69.8600,69.8600,2748,0
OMC.US,5,20131112,210000,69.8700,70.0700,69.8700,70.0700,6015,0
OMC.US,5,20131112,210500,70.0600,70.1100,70.0600,70.0800,4697,0
OMC.US,5,20131112,211000,70.0800,70.0900,70.0100,70.0300,7090,0
OMC.US,5,20131112,211500,70.0300,70.0800,70.0300,70.0500,4796,0
OMC.US,5,20131112,212000,70.0400,70.1100,70.0400,70.0900,6750,0
OMC.US,5,20131112,212500,70.0800,70.1000,70.0300,70.0700,6984,0
OMC.US,5,20131112,213000,70.0700,70.0700,69.9500,69.9700,5435,0
OMC.US,5,20131112,213500,69.9700,70.0100,69.9600,69.9700,6345,0
OMC.US,5,20131112,214000,69.9600,70.0300,69.9600,70.0200,6118,0
OMC.US,5,20131112,214500,70.0200,70.0400,70.0000,70.0100,6251,0
OMC.US,5,20131112,215000,70.0000,70.0000,69.9400,69.9600,10516,0
OMC.US,5,20131112,215500,69.9600,69.9700,69.9000,69.9400,10580,0
OMC.US,5,20131112,220000,69.9300,70.0400,69.9100,70.0200,14112,0
OMC.US,5,20131112,220500,69.9900,69.9900,69.9900,69.9900,40370,0
OMC.US,5,20131113,153500,68.9900,69.2100,68.9000,68.9600,31028,0
OMC.US,5,20131113,154000,68.9900,69.0700,68.8700,68.8700,56327,0
OMC.US,5,20131113,154500,68.8600,68.8600,68.6100,68.7300,20905,0
OMC.US,5,20131113,155000,68.8100,68.8500,68.6600,68.8500,18114,0
OMC.US,5,20131113,155500,68.8500,69.0200,68.7900,69.0200,17350,0
OMC.US,5,20131113,160000,69.0200,69.0600,68.8900,68.9600,48733,0
OMC.US,5,20131113,160500,68.9700,69.0100,68.9700,68.9700,4038,0
OMC.US,5,20131113,161000,68.9800,69.0200,68.8800,68.9000,8503,0
OMC.US,5,20131113,161500,68.9300,68.9500,68.8800,68.9100,14472,0
OMC.US,5,20131113,162000,68.9100,68.9800,68.8400,68.8900,33042,0
OMC.US,5,20131113,162500,68.8700,68.8900,68.8200,68.8500,32405,0
OMC.US,5,20131113,163000,68.8700,68.9600,68.8500,68.9100,19824,0
OMC.US,5,20131113,163500,68.9100,68.9500,68.9100,68.9400,7474,0
OMC.US,5,20131113,164000,68.9400,69.0200,68.9400,69.0000,33541,0
OMC.US,5,20131113,164500,68.9900,69.0700,68.9500,69.0300,30770,0
OMC.US,5,20131113,165000,69.0300,69.1000,69.0100,69.0500,16795,0
OMC.US,5,20131113,165500,69.0600,69.1000,69.0200,69.0500,23813,0
OMC.US,5,20131113,170000,69.0500,69.1000,69.0100,69.1000,16992,0
OMC.US,5,20131113,170500,69.1000,69.2000,69.0800,69.2000,20638,0
OMC.US,5,20131113,171000,69.2100,69.2100,69.1100,69.1300,18428,0
OMC.US,5,20131113,171500,69.1300,69.2200,69.1200,69.1500,14521,0
OMC.US,5,20131113,172000,69.1500,69.2800,69.0900,69.2200,104050,0
OMC.US,5,20131113,172500,69.2100,69.4300,69.1900,69.3500,99110,0
OMC.US,5,20131113,173000,69.3600,69.4700,69.3400,69.3900,24336,0
OMC.US,5,20131113,173500,69.3800,69.5100,69.3800,69.5000,4503,0
OMC.US,5,20131113,174000,69.5000,69.5200,69.4600,69.4800,4900,0
OMC.US,5,20131113,174500,69.4700,69.4700,69.3200,69.3300,6800,0
OMC.US,5,20131113,175000,69.3600,69.3800,69.2600,69.2700,3600,0
OMC.US,5,20131113,175500,69.2600,69.2800,69.2500,69.2700,5820,0
OMC.US,5,20131113,180000,69.2900,69.2900,69.2500,69.2900,4000,0
OMC.US,5,20131113,180500,69.2900,69.3200,69.2600,69.3200,2363,0
OMC.US,5,20131113,181000,69.3100,69.3500,69.2900,69.3500,3663,0
OMC.US,5,20131113,181500,69.3600,69.4000,69.3200,69.4000,4782,0
OMC.US,5,20131113,182000,69.4100,69.4700,69.4100,69.4700,4063,0
OMC.US,5,20131113,182500,69.4700,69.5400,69.4700,69.4700,5796,0
OMC.US,5,20131113,183000,69.4900,69.5000,69.4400,69.4700,4300,0
OMC.US,5,20131113,183500,69.4900,69.5000,69.4700,69.4800,3300,0
OMC.US,5,20131113,184000,69.4500,69.4600,69.4300,69.4500,1500,0
OMC.US,5,20131113,184500,69.4300,69.4600,69.3900,69.4500,5500,0
OMC.US,5,20131113,185000,69.4700,69.4900,69.4100,69.4600,4450,0
OMC.US,5,20131113,185500,69.4600,69.5300,69.4600,69.5300,4600,0
OMC.US,5,20131113,190000,69.5200,69.6700,69.5200,69.6500,8045,0
OMC.US,5,20131113,190500,69.6400,69.6600,69.5800,69.5800,16822,0
OMC.US,5,20131113,191000,69.5800,69.5900,69.5300,69.5400,4200,0
OMC.US,5,20131113,191500,69.5300,69.6000,69.5200,69.5900,5800,0
OMC.US,5,20131113,192000,69.6000,69.7000,69.5900,69.6800,6928,0
OMC.US,5,20131113,192500,69.6800,69.7000,69.6800,69.6900,2878,0
OMC.US,5,20131113,193000,69.6700,69.7400,69.6600,69.7400,6100,0
OMC.US,5,20131113,193500,69.7600,69.7600,69.6400,69.7000,8770,0
OMC.US,5,20131113,194000,69.7300,69.7400,69.6400,69.7100,15305,0
OMC.US,5,20131113,194500,69.7400,69.7400,69.7300,69.7400,1300,0
OMC.US,5,20131113,195000,69.7500,69.8800,69.7400,69.8800,3200,0
OMC.US,5,20131113,195500,69.8800,69.9600,69.8800,69.9500,5335,0
OMC.US,5,20131113,200000,69.9400,69.9900,69.9400,69.9800,5695,0
OMC.US,5,20131113,200500,69.9800,70.0500,69.9800,70.0200,5531,0
OMC.US,5,20131113,201000,70.0200,70.0200,69.9600,69.9600,4400,0
OMC.US,5,20131113,201500,69.9600,69.9600,69.8900,69.8900,7201,0
OMC.US,5,20131113,202000,69.8800,69.9000,69.8500,69.9000,5441,0
OMC.US,5,20131113,202500,69.9100,69.9800,69.9100,69.9500,3882,0
OMC.US,5,20131113,203000,69.9600,69.9800,69.9300,69.9300,4600,0
OMC.US,5,20131113,203500,69.9200,69.9200,69.8100,69.8100,4500,0
OMC.US,5,20131113,204000,69.8100,69.8100,69.6700,69.6700,11941,0
OMC.US,5,20131113,204500,69.6700,69.6900,69.6100,69.6900,7000,0
OMC.US,5,20131113,205000,69.6800,69.6900,69.6000,69.6000,11434,0
OMC.US,5,20131113,205500,69.6000,69.6000,69.5000,69.5100,22352,0
OMC.US,5,20131113,210000,69.5100,69.5600,69.5000,69.5600,7764,0
OMC.US,5,20131113,210500,69.5600,69.6300,69.5600,69.5600,12100,0
OMC.US,5,20131113,211000,69.5600,69.6100,69.5300,69.5300,10010,0
OMC.US,5,20131113,211500,69.5300,69.6200,69.5300,69.5500,11459,0
OMC.US,5,20131113,212000,69.5500,69.5500,69.5000,69.5100,8924,0
OMC.US,5,20131113,212500,69.5100,69.6400,69.5100,69.6400,11258,0
OMC.US,5,20131113,213000,69.6200,69.6400,69.5300,69.5700,19057,0
OMC.US,5,20131113,213500,69.5500,69.6100,69.5300,69.5900,15859,0
OMC.US,5,20131113,214000,69.6000,69.6900,69.6000,69.6900,13233,0
OMC.US,5,20131113,214500,69.6900,69.7200,69.6700,69.7000,20414,0
OMC.US,5,20131113,215000,69.7200,69.7800,69.7100,69.7600,21273,0
OMC.US,5,20131113,215500,69.7500,69.7800,69.6900,69.7100,28466,0
OMC.US,5,20131113,220000,69.7100,69.7600,69.6900,69.7300,35367,0
OMC.US,5,20131113,220500,69.7700,69.7700,69.7700,69.7700,161166,0
OMC.US,5,20131114,153500,69.6200,69.7000,69.3900,69.4600,20040,0
OMC.US,5,20131114,154000,69.4600,69.5300,69.4300,69.4700,22305,0
OMC.US,5,20131114,154500,69.4700,69.4700,69.3600,69.3600,13285,0
OMC.US,5,20131114,155000,69.3600,69.4400,69.3500,69.4300,8559,0
OMC.US,5,20131114,155500,69.4300,69.4500,69.3200,69.4100,21786,0
OMC.US,5,20131114,160000,69.4100,69.4300,69.3300,69.3600,17555,0
OMC.US,5,20131114,160500,69.3600,69.3700,69.2600,69.2700,15446,0
OMC.US,5,20131114,161000,69.2800,69.3300,69.2400,69.2800,13449,0
OMC.US,5,20131114,161500,69.2600,69.3300,69.2400,69.3200,21141,0
OMC.US,5,20131114,162000,69.3100,69.3600,69.2900,69.3200,6600,0
OMC.US,5,20131114,162500,69.3300,69.3900,69.2600,69.3400,39021,0
OMC.US,5,20131114,163000,69.3400,69.3500,69.2200,69.2500,18168,0
OMC.US,5,20131114,163500,69.2700,69.3500,69.2400,69.3000,23448,0
OMC.US,5,20131114,164000,69.3000,69.3400,69.3000,69.3400,13104,0
OMC.US,5,20131114,164500,69.3000,69.3300,69.2900,69.3200,10154,0
OMC.US,5,20131114,165000,69.3000,69.3500,69.2900,69.3000,24666,0
OMC.US,5,20131114,165500,69.3000,69.3200,69.2900,69.3200,20724,0
OMC.US,5,20131114,170000,69.3000,69.3200,69.2800,69.3100,9623,0
OMC.US,5,20131114,170500,69.2900,69.3100,69.2700,69.3100,12581,0
OMC.US,5,20131114,171000,69.3100,69.3300,69.3000,69.3200,15660,0
OMC.US,5,20131114,171500,69.3200,69.4200,69.3000,69.4200,21538,0
