<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSK.US,5,20131112,153500,49.6000,49.6100,49.5700,49.5700,1300,0
OSK.US,5,20131112,154000,49.6300,49.7300,49.6200,49.7000,3621,0
OSK.US,5,20131112,154500,49.6300,49.7500,49.6300,49.7500,1000,0
OSK.US,5,20131112,155000,49.7500,49.8200,49.7100,49.7700,4850,0
OSK.US,5,20131112,155500,49.7300,49.7300,49.6600,49.6600,1044,0
OSK.US,5,20131112,160000,49.6600,49.6600,49.5300,49.6300,4800,0
OSK.US,5,20131112,160500,49.6700,49.7300,49.4800,49.4800,4500,0
OSK.US,5,20131112,161000,49.4500,49.5100,49.4200,49.4900,6300,0
OSK.US,5,20131112,161500,49.4600,49.5700,49.4500,49.5200,6300,0
OSK.US,5,20131112,162000,49.4700,49.7000,49.4300,49.7000,13874,0
OSK.US,5,20131112,162500,49.6900,49.6900,49.5000,49.5900,6519,0
OSK.US,5,20131112,163000,49.5900,49.6700,49.5200,49.6700,3800,0
OSK.US,5,20131112,163500,49.7100,49.7100,49.6300,49.6900,6292,0
OSK.US,5,20131112,164000,49.6900,49.7400,49.6900,49.7200,3900,0
OSK.US,5,20131112,164500,49.7200,49.8000,49.7000,49.7900,6784,0
OSK.US,5,20131112,165000,49.8300,49.9400,49.7900,49.9000,11794,0
OSK.US,5,20131112,165500,49.8800,49.8800,49.8100,49.8400,4720,0
OSK.US,5,20131112,170000,49.8500,49.8600,49.7600,49.7700,9392,0
OSK.US,5,20131112,170500,49.7500,49.7700,49.7300,49.7400,2273,0
OSK.US,5,20131112,171000,49.7300,49.7600,49.6800,49.6800,9678,0
OSK.US,5,20131112,171500,49.7100,49.8700,49.7100,49.8500,2260,0
OSK.US,5,20131112,172000,49.8500,49.9200,49.8500,49.8800,1500,0
OSK.US,5,20131112,172500,49.8800,49.9700,49.8700,49.9700,10139,0
OSK.US,5,20131112,173000,49.9600,49.9900,49.9400,49.9600,4600,0
OSK.US,5,20131112,173500,49.9600,49.9900,49.9600,49.9600,3500,0
OSK.US,5,20131112,174000,49.9800,49.9800,49.8700,49.8800,14470,0
OSK.US,5,20131112,174500,49.8700,49.9400,49.8700,49.8900,2995,0
OSK.US,5,20131112,175000,49.8800,49.8800,49.8400,49.8500,7213,0
OSK.US,5,20131112,175500,49.8500,49.8600,49.7100,49.7100,15002,0
OSK.US,5,20131112,180000,49.6800,49.7200,49.6600,49.7100,4199,0
OSK.US,5,20131112,180500,49.6800,49.7100,49.6600,49.6700,24407,0
OSK.US,5,20131112,181000,49.6600,49.6600,49.4800,49.5300,6800,0
OSK.US,5,20131112,181500,49.5000,49.6400,49.5000,49.6400,4199,0
OSK.US,5,20131112,182000,49.6200,49.6500,49.6000,49.6400,40125,0
OSK.US,5,20131112,182500,49.6200,49.6300,49.5700,49.6100,2700,0
OSK.US,5,20131112,183000,49.5800,49.6600,49.5700,49.6500,5093,0
OSK.US,5,20131112,183500,49.6400,49.7300,49.6200,49.7300,30963,0
OSK.US,5,20131112,184000,49.7400,49.7400,49.6900,49.7400,3565,0
OSK.US,5,20131112,184500,49.7300,49.8300,49.6300,49.6300,37990,0
OSK.US,5,20131112,185000,49.6100,49.6200,49.5000,49.5300,23899,0
OSK.US,5,20131112,185500,49.5600,49.5600,49.4800,49.4800,18700,0
OSK.US,5,20131112,190000,49.4600,49.4600,49.2700,49.2700,6548,0
OSK.US,5,20131112,190500,49.2500,49.3300,49.2100,49.3300,4041,0
OSK.US,5,20131112,191000,49.3000,49.3000,49.2700,49.2700,3811,0
OSK.US,5,20131112,191500,49.2800,49.3800,49.2800,49.3700,1800,0
OSK.US,5,20131112,192000,49.3200,49.3500,49.3200,49.3500,700,0
OSK.US,5,20131112,192500,49.3700,49.4100,49.3300,49.3300,4045,0
OSK.US,5,20131112,193000,49.3500,49.3800,49.3100,49.3500,10501,0
