<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PACD.US,5,20131112,153500,11.9800,11.9800,11.9800,11.9800,200,0
PACD.US,5,20131112,154000,11.9900,11.9900,11.9200,11.9200,4607,0
PACD.US,5,20131112,154500,11.9100,11.9200,11.9000,11.9000,900,0
PACD.US,5,20131112,155000,11.8900,11.8900,11.8900,11.8900,600,0
PACD.US,5,20131112,155500,11.8900,11.9000,11.8900,11.9000,1500,0
PACD.US,5,20131112,160000,11.9200,11.9200,11.8700,11.8700,2600,0
PACD.US,5,20131112,160500,11.8700,11.8700,11.8600,11.8700,900,0
PACD.US,5,20131112,161000,11.8700,11.8900,11.8700,11.8900,900,0
PACD.US,5,20131112,161500,11.9100,11.9100,11.9000,11.9000,600,0
PACD.US,5,20131112,162000,11.9000,11.9100,11.9000,11.9100,200,0
PACD.US,5,20131112,162500,11.9100,11.9100,11.9000,11.9000,500,0
PACD.US,5,20131112,163000,11.9000,11.9000,11.9000,11.9000,100,0
PACD.US,5,20131112,163500,11.9300,11.9300,11.9100,11.9100,600,0
PACD.US,5,20131112,164000,11.9100,11.9300,11.9100,11.9200,2200,0
PACD.US,5,20131112,164500,11.9300,11.9300,11.9200,11.9300,1200,0
PACD.US,5,20131112,165000,11.9300,11.9300,11.9300,11.9300,1500,0
PACD.US,5,20131112,165500,11.9200,11.9500,11.9200,11.9400,2200,0
PACD.US,5,20131112,170000,11.9400,11.9600,11.9400,11.9500,2400,0
PACD.US,5,20131112,170500,11.9600,11.9600,11.9500,11.9500,1100,0
PACD.US,5,20131112,171000,11.9500,11.9600,11.9300,11.9300,3100,0
PACD.US,5,20131112,171500,11.9300,11.9400,11.9300,11.9400,700,0
PACD.US,5,20131112,172000,11.9400,11.9600,11.9400,11.9500,1500,0
PACD.US,5,20131112,172500,11.9600,12.0000,11.9600,11.9900,5700,0
PACD.US,5,20131112,173000,11.9900,11.9900,11.9700,11.9800,12600,0
PACD.US,5,20131112,173500,11.9900,11.9900,11.9400,11.9500,14800,0
PACD.US,5,20131112,174000,11.9500,11.9500,11.9200,11.9200,1700,0
PACD.US,5,20131112,174500,11.9300,11.9300,11.9300,11.9300,800,0
PACD.US,5,20131112,175000,11.9300,11.9300,11.9200,11.9200,5000,0
PACD.US,5,20131112,175500,11.9200,11.9400,11.9200,11.9300,2900,0
PACD.US,5,20131112,180000,11.9300,11.9300,11.9200,11.9200,2000,0
PACD.US,5,20131112,180500,11.9300,11.9300,11.9200,11.9200,1600,0
PACD.US,5,20131112,181000,11.9100,11.9300,11.8800,11.8800,3600,0
PACD.US,5,20131112,182000,11.9000,11.9000,11.8900,11.8900,4850,0
PACD.US,5,20131112,182500,11.9000,11.9000,11.8500,11.8500,5000,0
PACD.US,5,20131112,183000,11.8700,11.8700,11.8700,11.8700,1700,0
PACD.US,5,20131112,183500,11.8700,11.8800,11.8700,11.8700,1500,0
PACD.US,5,20131112,184000,11.8800,11.8800,11.8700,11.8800,1900,0
PACD.US,5,20131112,184500,11.8800,11.8800,11.8700,11.8800,2100,0
PACD.US,5,20131112,185000,11.8800,11.8800,11.8700,11.8800,4000,0
PACD.US,5,20131112,185500,11.8800,11.8800,11.8700,11.8700,3100,0
PACD.US,5,20131112,190000,11.8800,11.8800,11.8700,11.8700,1900,0
PACD.US,5,20131112,190500,11.8700,11.8700,11.8700,11.8700,1500,0
PACD.US,5,20131112,191000,11.8700,11.8800,11.8700,11.8800,1000,0
PACD.US,5,20131112,191500,11.8800,11.8800,11.8600,11.8700,2100,0
PACD.US,5,20131112,192000,11.8700,11.8700,11.8600,11.8600,28050,0
PACD.US,5,20131112,192500,11.8600,11.8600,11.8500,11.8600,1500,0
PACD.US,5,20131112,193000,11.8400,11.8400,11.8300,11.8300,3443,0
PACD.US,5,20131112,193500,11.8300,11.8400,11.8200,11.8200,2900,0
PACD.US,5,20131112,194000,11.8100,11.8200,11.8100,11.8100,2000,0
PACD.US,5,20131112,194500,11.8100,11.8200,11.8100,11.8200,700,0
