<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAG.US,5,20131112,153500,39.3400,39.3400,39.1100,39.1100,211,0
PAG.US,5,20131112,154000,39.1800,39.1800,39.1800,39.1800,200,0
PAG.US,5,20131112,154500,39.2100,39.3200,39.2100,39.2800,1129,0
PAG.US,5,20131112,155000,39.3200,39.3500,39.2800,39.3500,1400,0
PAG.US,5,20131112,155500,39.3100,39.5200,39.3100,39.4600,4000,0
PAG.US,5,20131112,160000,39.4500,39.6500,39.4200,39.6400,4500,0
PAG.US,5,20131112,160500,39.6300,39.6500,39.4300,39.4600,5250,0
PAG.US,5,20131112,161000,39.5000,39.6000,39.4700,39.6000,1300,0
PAG.US,5,20131112,161500,39.5700,39.7400,39.5200,39.6800,4610,0
PAG.US,5,20131112,162000,39.6700,39.8000,39.6000,39.7600,2900,0
PAG.US,5,20131112,162500,39.7800,39.8400,39.7300,39.8400,3050,0
PAG.US,5,20131112,163000,39.8700,39.9400,39.8600,39.9100,5448,0
PAG.US,5,20131112,163500,39.9100,39.9600,39.9000,39.9400,1900,0
PAG.US,5,20131112,164000,39.9100,40.0200,39.9000,40.0100,3150,0
PAG.US,5,20131112,164500,40.0200,40.0200,39.9900,40.0200,1100,0
PAG.US,5,20131112,165000,40.0200,40.0400,39.9400,39.9400,2400,0
PAG.US,5,20131112,165500,39.9200,39.9900,39.9200,39.9900,400,0
PAG.US,5,20131112,170000,39.9600,39.9600,39.9000,39.9100,1400,0
PAG.US,5,20131112,170500,39.9400,40.0200,39.9400,40.0200,4945,0
PAG.US,5,20131112,171000,40.0000,40.0300,39.9500,39.9500,1800,0
PAG.US,5,20131112,171500,39.9500,40.0600,39.9500,40.0600,8550,0
PAG.US,5,20131112,172000,40.0600,40.1500,40.0300,40.1500,4400,0
PAG.US,5,20131112,172500,40.1500,40.2000,40.0900,40.0900,3300,0
PAG.US,5,20131112,173000,40.0900,40.1500,40.0700,40.1500,2500,0
PAG.US,5,20131112,173500,40.1600,40.2300,40.1600,40.2000,2300,0
PAG.US,5,20131112,174000,40.2000,40.2100,40.1500,40.1500,4000,0
PAG.US,5,20131112,174500,40.1500,40.2300,40.1500,40.1500,4974,0
PAG.US,5,20131112,175000,40.1800,40.2200,40.0600,40.1500,5490,0
PAG.US,5,20131112,175500,40.1400,40.1500,40.0600,40.0900,2402,0
PAG.US,5,20131112,180000,40.0900,40.1800,40.0900,40.1800,2021,0
PAG.US,5,20131112,180500,40.1800,40.2200,40.1800,40.2200,600,0
PAG.US,5,20131112,181000,40.2300,40.2300,40.0300,40.1200,4800,0
PAG.US,5,20131112,181500,40.1400,40.2500,40.1300,40.2500,3429,0
PAG.US,5,20131112,182000,40.2500,40.3000,40.2500,40.3000,1100,0
PAG.US,5,20131112,182500,40.3100,40.3300,40.2800,40.2900,2200,0
PAG.US,5,20131112,183000,40.3400,40.3400,40.3000,40.3400,2995,0
PAG.US,5,20131112,183500,40.3200,40.3200,40.2100,40.2800,2300,0
PAG.US,5,20131112,184000,40.2000,40.2000,40.2000,40.2000,100,0
PAG.US,5,20131112,184500,40.2300,40.2300,40.1600,40.2000,868,0
PAG.US,5,20131112,185000,40.2300,40.2700,40.2100,40.2100,2776,0
PAG.US,5,20131112,185500,40.2100,40.2300,40.2000,40.2300,1000,0
PAG.US,5,20131112,190000,40.2300,40.2300,40.2000,40.2000,700,0
PAG.US,5,20131112,190500,40.1700,40.1700,40.1700,40.1700,300,0
PAG.US,5,20131112,191000,40.2000,40.2100,40.1600,40.1700,3140,0
PAG.US,5,20131112,191500,40.1900,40.2400,40.1900,40.2000,1397,0
PAG.US,5,20131112,192000,40.2000,40.2000,40.1300,40.1700,800,0
PAG.US,5,20131112,192500,40.1800,40.2300,40.1800,40.2300,1085,0
PAG.US,5,20131112,193000,40.2500,40.2900,40.2400,40.2500,1414,0
PAG.US,5,20131112,193500,40.2400,40.2400,40.1900,40.1900,700,0
PAG.US,5,20131112,194000,40.2000,40.2800,40.2000,40.2800,700,0
PAG.US,5,20131112,194500,40.2600,40.2600,40.2000,40.2600,2700,0
PAG.US,5,20131112,195000,40.2600,40.2600,40.2400,40.2400,1300,0
PAG.US,5,20131112,195500,40.2500,40.2800,40.2500,40.2800,2221,0
PAG.US,5,20131112,200000,40.2900,40.3400,40.2900,40.3400,400,0
PAG.US,5,20131112,200500,40.3400,40.4300,40.3400,40.4300,3998,0
PAG.US,5,20131112,201000,40.4200,40.4200,40.3500,40.3500,3200,0
