<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PANW.US,5,20131112,153500,41.8900,41.8900,41.8500,41.8500,300,0
PANW.US,5,20131112,154000,41.8200,41.8500,41.8200,41.8300,300,0
PANW.US,5,20131112,154500,41.6600,41.8100,41.6300,41.7800,2700,0
PANW.US,5,20131112,155000,41.8300,42.0000,41.8000,42.0000,4800,0
PANW.US,5,20131112,155500,41.9800,42.0200,41.9600,41.9800,23054,0
PANW.US,5,20131112,160000,41.9500,41.9600,41.8600,41.8900,5254,0
PANW.US,5,20131112,160500,41.8900,41.8900,41.6500,41.6500,4400,0
PANW.US,5,20131112,161000,41.6400,41.7200,41.5300,41.5900,5300,0
PANW.US,5,20131112,161500,41.6300,41.7300,41.5600,41.7200,14100,0
PANW.US,5,20131112,162000,41.7200,41.8400,41.7100,41.8100,3600,0
PANW.US,5,20131112,162500,41.8000,41.8000,41.7000,41.7200,3700,0
PANW.US,5,20131112,163000,41.7200,41.7700,41.6100,41.6100,2600,0
PANW.US,5,20131112,163500,41.6000,41.6000,41.5200,41.5600,1000,0
PANW.US,5,20131112,164000,41.5000,41.5700,41.5000,41.5400,4691,0
PANW.US,5,20131112,164500,41.5300,41.6900,41.5300,41.6500,10560,0
PANW.US,5,20131112,165000,41.6900,41.7300,41.6500,41.7100,9130,0
PANW.US,5,20131112,165500,41.6600,41.6600,41.6000,41.6600,1400,0
PANW.US,5,20131112,170000,41.6000,41.6300,41.5600,41.6300,2260,0
PANW.US,5,20131112,170500,41.6000,41.6500,41.5900,41.6500,1100,0
PANW.US,5,20131112,171000,41.6300,41.7500,41.5800,41.6500,21119,0
PANW.US,5,20131112,171500,41.6500,41.7800,41.6000,41.6200,21199,0
PANW.US,5,20131112,172000,41.6300,41.6300,41.6000,41.6000,1000,0
PANW.US,5,20131112,172500,41.6000,41.6700,41.5400,41.6700,13625,0
PANW.US,5,20131112,173000,41.6800,41.7800,41.6500,41.7400,3600,0
PANW.US,5,20131112,173500,41.7500,41.8000,41.7100,41.7100,5262,0
PANW.US,5,20131112,174000,41.7700,41.7700,41.6400,41.6400,1700,0
PANW.US,5,20131112,174500,41.6000,41.6700,41.5800,41.6600,3400,0
PANW.US,5,20131112,175000,41.6400,41.6900,41.5900,41.6700,1900,0
PANW.US,5,20131112,175500,41.6800,41.7500,41.6800,41.7200,3200,0
PANW.US,5,20131112,180000,41.7200,41.7500,41.7200,41.7300,800,0
PANW.US,5,20131112,180500,41.7600,41.8000,41.6800,41.6800,2462,0
PANW.US,5,20131112,181000,41.6300,41.6300,41.6000,41.6300,600,0
PANW.US,5,20131112,181500,41.6300,41.7900,41.6300,41.7000,10100,0
PANW.US,5,20131112,182000,41.7100,41.7300,41.6900,41.7200,4600,0
PANW.US,5,20131112,182500,41.7100,41.7100,41.6000,41.6000,4200,0
PANW.US,5,20131112,183000,41.5900,41.5900,41.5900,41.5900,300,0
PANW.US,5,20131112,183500,41.6500,41.6600,41.6300,41.6500,1100,0
PANW.US,5,20131112,184000,41.6300,41.6300,41.5900,41.5900,2500,0
PANW.US,5,20131112,184500,41.5700,41.6200,41.5500,41.6000,2700,0
PANW.US,5,20131112,185000,41.6000,41.6000,41.5700,41.5700,300,0
PANW.US,5,20131112,185500,41.6000,41.6000,41.5800,41.5800,1855,0
PANW.US,5,20131112,190000,41.6100,41.6200,41.5300,41.5300,2300,0
PANW.US,5,20131112,190500,41.5300,41.5600,41.5300,41.5400,1900,0
PANW.US,5,20131112,191000,41.5200,41.6900,41.5200,41.6900,11020,0
PANW.US,5,20131112,191500,41.7000,41.7000,41.6700,41.6700,300,0
PANW.US,5,20131112,192000,41.6700,41.6700,41.6400,41.6700,1000,0
PANW.US,5,20131112,192500,41.6900,41.7000,41.6800,41.7000,1500,0
PANW.US,5,20131112,193000,41.7400,41.7800,41.5800,41.5900,4605,0
PANW.US,5,20131112,193500,41.5900,41.6000,41.5500,41.5500,1300,0
PANW.US,5,20131112,194000,41.5700,41.5700,41.5500,41.5500,325,0
PANW.US,5,20131112,194500,41.5500,41.6000,41.5300,41.6000,3200,0
PANW.US,5,20131112,195000,41.6000,41.6600,41.6000,41.6600,1100,0
PANW.US,5,20131112,195500,41.6400,41.6500,41.5900,41.5900,2300,0
PANW.US,5,20131112,200000,41.6100,41.6100,41.5900,41.5900,500,0
PANW.US,5,20131112,200500,41.6000,41.6200,41.5900,41.5900,1000,0
PANW.US,5,20131112,201000,41.5900,41.5900,41.5600,41.5700,2016,0
PANW.US,5,20131112,201500,41.5900,41.5900,41.5800,41.5800,400,0
PANW.US,5,20131112,202000,41.5900,41.5900,41.5600,41.5900,1995,0
PANW.US,5,20131112,202500,41.6000,41.6000,41.5500,41.5600,2729,0
PANW.US,5,20131112,203000,41.5700,41.5700,41.5000,41.5300,2500,0
PANW.US,5,20131112,203500,41.5200,41.5500,41.5200,41.5400,1700,0
PANW.US,5,20131112,204000,41.5400,41.5700,41.5100,41.5100,2836,0
PANW.US,5,20131112,204500,41.5100,41.5400,41.5100,41.5300,1800,0
PANW.US,5,20131112,205000,41.5200,41.5300,41.3700,41.4300,15420,0
PANW.US,5,20131112,205500,41.4100,41.4500,41.4100,41.4300,2000,0
PANW.US,5,20131112,210000,41.4200,41.5300,41.4200,41.5300,1820,0
PANW.US,5,20131112,210500,41.5400,41.5600,41.4800,41.5100,2600,0
PANW.US,5,20131112,211000,41.4700,41.4900,41.4100,41.4300,3000,0
PANW.US,5,20131112,211500,41.4400,41.4400,41.3700,41.3900,5000,0
PANW.US,5,20131112,212000,41.3900,41.4200,41.3600,41.3700,4775,0
PANW.US,5,20131112,212500,41.3700,41.3900,41.3400,41.3600,7200,0
PANW.US,5,20131112,213000,41.3600,41.3900,41.3500,41.3600,3300,0
PANW.US,5,20131112,213500,41.3500,41.4400,41.3500,41.4200,3600,0
PANW.US,5,20131112,214000,41.4300,41.4400,41.3900,41.3900,7500,0
PANW.US,5,20131112,214500,41.4000,41.4300,41.3900,41.4200,9400,0
PANW.US,5,20131112,215000,41.4200,41.4200,41.3400,41.3700,11200,0
PANW.US,5,20131112,215500,41.3700,41.4100,41.3200,41.3200,18853,0
PANW.US,5,20131112,220000,41.3100,41.3300,41.2400,41.2800,29753,0
