<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBA.US,5,20131112,153500,32.4700,32.4800,32.4000,32.4800,5128,0
PBA.US,5,20131112,154000,32.4900,32.5300,32.4900,32.5200,866,0
PBA.US,5,20131112,154500,32.5100,32.5300,32.5100,32.5300,1590,0
PBA.US,5,20131112,155000,32.5700,32.6000,32.5700,32.5800,600,0
PBA.US,5,20131112,155500,32.5500,32.5500,32.5000,32.5300,1700,0
PBA.US,5,20131112,160000,32.5300,32.5300,32.5200,32.5200,1000,0
PBA.US,5,20131112,160500,32.5000,32.5200,32.5000,32.5000,891,0
PBA.US,5,20131112,161000,32.5300,32.5400,32.5100,32.5100,1300,0
PBA.US,5,20131112,161500,32.5400,32.5400,32.4500,32.4600,3600,0
PBA.US,5,20131112,162000,32.4600,32.4600,32.4600,32.4600,100,0
PBA.US,5,20131112,162500,32.4700,32.4700,32.4400,32.4500,665,0
PBA.US,5,20131112,163000,32.4100,32.4300,32.4100,32.4200,1037,0
PBA.US,5,20131112,163500,32.4000,32.4500,32.4000,32.4500,1036,0
PBA.US,5,20131112,164000,32.4700,32.4700,32.4700,32.4700,100,0
PBA.US,5,20131112,164500,32.4800,32.4900,32.4700,32.4700,2100,0
PBA.US,5,20131112,165000,32.4900,32.4900,32.4500,32.4500,1400,0
PBA.US,5,20131112,165500,32.4700,32.5200,32.4700,32.5200,1400,0
PBA.US,5,20131112,170000,32.5200,32.5200,32.5200,32.5200,100,0
PBA.US,5,20131112,170500,32.5200,32.5600,32.4800,32.5200,2900,0
PBA.US,5,20131112,171000,32.5200,32.5200,32.5000,32.5000,610,0
PBA.US,5,20131112,171500,32.5000,32.5300,32.4900,32.5300,2000,0
PBA.US,5,20131112,172000,32.5500,32.5700,32.5500,32.5700,868,0
PBA.US,5,20131112,172500,32.5300,32.5500,32.5200,32.5500,800,0
PBA.US,5,20131112,173000,32.5500,32.5800,32.5300,32.5600,2300,0
PBA.US,5,20131112,173500,32.5700,32.5800,32.5600,32.5800,900,0
PBA.US,5,20131112,174000,32.5500,32.5500,32.5300,32.5300,975,0
PBA.US,5,20131112,174500,32.5400,32.5400,32.5400,32.5400,100,0
PBA.US,5,20131112,175000,32.5600,32.5600,32.5400,32.5600,560,0
PBA.US,5,20131112,175500,32.5700,32.6000,32.5700,32.6000,1501,0
PBA.US,5,20131112,180000,32.5800,32.5800,32.5700,32.5700,600,0
PBA.US,5,20131112,180500,32.5800,32.5900,32.5800,32.5800,630,0
PBA.US,5,20131112,181000,32.5600,32.5800,32.5500,32.5700,500,0
PBA.US,5,20131112,181500,32.5800,32.5900,32.5800,32.5900,900,0
PBA.US,5,20131112,182000,32.5800,32.5900,32.5800,32.5900,1980,0
PBA.US,5,20131112,182500,32.6100,32.6100,32.6100,32.6100,150,0
PBA.US,5,20131112,183000,32.5800,32.6300,32.5800,32.6200,1100,0
PBA.US,5,20131112,183500,32.6200,32.6400,32.6200,32.6300,1415,0
PBA.US,5,20131112,184000,32.6300,32.6600,32.6300,32.6300,1600,0
PBA.US,5,20131112,184500,32.6100,32.6100,32.6000,32.6000,500,0
PBA.US,5,20131112,185000,32.5900,32.6000,32.5600,32.5600,1500,0
PBA.US,5,20131112,185500,32.5500,32.5500,32.5500,32.5500,100,0
PBA.US,5,20131112,190000,32.5400,32.5400,32.5100,32.5100,200,0
PBA.US,5,20131112,190500,32.5400,32.5400,32.5400,32.5400,100,0
PBA.US,5,20131112,191000,32.5600,32.5600,32.5200,32.5200,800,0
PBA.US,5,20131112,191500,32.5500,32.5500,32.5500,32.5500,300,0
PBA.US,5,20131112,192000,32.5400,32.5400,32.5400,32.5400,200,0
PBA.US,5,20131112,192500,32.5100,32.5100,32.5100,32.5100,500,0
PBA.US,5,20131112,193500,32.4900,32.4900,32.4800,32.4900,400,0
PBA.US,5,20131112,194000,32.4800,32.4800,32.4700,32.4800,900,0
PBA.US,5,20131112,194500,32.4800,32.4800,32.4700,32.4700,1370,0
PBA.US,5,20131112,195000,32.4700,32.4900,32.4700,32.4700,973,0
PBA.US,5,20131112,195500,32.5000,32.5000,32.5000,32.5000,227,0
PBA.US,5,20131112,200000,32.5100,32.5100,32.5100,32.5100,100,0
PBA.US,5,20131112,201000,32.5000,32.5200,32.5000,32.5200,273,0
PBA.US,5,20131112,201500,32.5200,32.5200,32.5000,32.5000,900,0
PBA.US,5,20131112,202000,32.4800,32.5200,32.4800,32.5200,1200,0
PBA.US,5,20131112,202500,32.5200,32.5900,32.5200,32.5900,700,0
PBA.US,5,20131112,203000,32.5200,32.5200,32.5200,32.5200,200,0
PBA.US,5,20131112,203500,32.5100,32.5100,32.5100,32.5100,400,0
PBA.US,5,20131112,204000,32.5400,32.5500,32.5100,32.5200,7772,0
PBA.US,5,20131112,204500,32.5300,32.5600,32.5100,32.5200,7320,0
PBA.US,5,20131112,205000,32.5400,32.5500,32.4700,32.4700,3925,0
PBA.US,5,20131112,205500,32.4700,32.4700,32.4500,32.4600,700,0
PBA.US,5,20131112,210000,32.4700,32.4800,32.4700,32.4700,927,0
PBA.US,5,20131112,210500,32.4700,32.4700,32.4700,32.4700,100,0
PBA.US,5,20131112,211000,32.4700,32.4700,32.4400,32.4400,440,0
PBA.US,5,20131112,211500,32.4600,32.4600,32.4400,32.4500,890,0
PBA.US,5,20131112,212000,32.4400,32.4500,32.4400,32.4500,840,0
PBA.US,5,20131112,212500,32.4400,32.4400,32.4400,32.4400,400,0
PBA.US,5,20131112,213000,32.4300,32.4500,32.4300,32.4500,2900,0
PBA.US,5,20131112,213500,32.4500,32.4600,32.4500,32.4600,200,0
PBA.US,5,20131112,214000,32.4600,32.4700,32.4500,32.4600,2956,0
PBA.US,5,20131112,214500,32.4700,32.5400,32.4700,32.5300,4600,0
PBA.US,5,20131112,215000,32.5300,32.5500,32.5300,32.5500,1250,0
PBA.US,5,20131112,215500,32.5700,32.6400,32.5600,32.6300,3800,0
PBA.US,5,20131112,220000,32.6300,32.6400,32.6200,32.6400,6662,0
PBA.US,5,20131112,220500,32.6500,32.6500,32.6500,32.6500,1145,0
PBA.US,5,20131113,153500,32.5200,32.5600,32.4500,32.4500,7411,0
PBA.US,5,20131113,154000,32.4500,32.4600,32.4400,32.4500,1034,0
PBA.US,5,20131113,154500,32.5000,32.5100,32.5000,32.5100,700,0
PBA.US,5,20131113,155000,32.5000,32.5000,32.4900,32.4900,300,0
PBA.US,5,20131113,155500,32.5200,32.5200,32.4800,32.4800,500,0
PBA.US,5,20131113,160000,32.4700,32.5000,32.4700,32.5000,615,0
PBA.US,5,20131113,160500,32.5200,32.5500,32.5100,32.5200,885,0
PBA.US,5,20131113,161000,32.5000,32.5200,32.4800,32.5200,1759,0
PBA.US,5,20131113,161500,32.5000,32.5100,32.4400,32.5100,700,0
PBA.US,5,20131113,162000,32.4900,32.5100,32.4700,32.4700,428,0
PBA.US,5,20131113,162500,32.4800,32.5000,32.4600,32.4900,2000,0
PBA.US,5,20131113,163000,32.4500,32.4700,32.4300,32.4300,1800,0
PBA.US,5,20131113,163500,32.4200,32.4500,32.4200,32.4500,320,0
PBA.US,5,20131113,164000,32.4400,32.4400,32.3900,32.4100,1168,0
PBA.US,5,20131113,164500,32.4100,32.4400,32.3900,32.4200,3163,0
PBA.US,5,20131113,165000,32.4500,32.4500,32.4500,32.4500,300,0
PBA.US,5,20131113,165500,32.4800,32.5500,32.4800,32.5500,1625,0
PBA.US,5,20131113,170000,32.5400,32.6200,32.5400,32.6200,704,0
PBA.US,5,20131113,170500,32.6200,32.6200,32.4900,32.5300,2300,0
PBA.US,5,20131113,171000,32.5400,32.5500,32.5300,32.5300,3092,0
PBA.US,5,20131113,171500,32.5200,32.5500,32.5100,32.5500,840,0
PBA.US,5,20131113,172000,32.5500,32.5800,32.4900,32.5800,857,0
PBA.US,5,20131113,172500,32.6000,32.6000,32.6000,32.6000,500,0
PBA.US,5,20131113,173000,32.6200,32.6200,32.5900,32.6000,1720,0
PBA.US,5,20131113,173500,32.6100,32.6500,32.6100,32.6100,823,0
PBA.US,5,20131113,174000,32.6300,32.6500,32.6300,32.6400,300,0
PBA.US,5,20131113,174500,32.6400,32.6400,32.6300,32.6300,600,0
PBA.US,5,20131113,175000,32.6100,32.6400,32.6100,32.6200,1000,0
PBA.US,5,20131113,175500,32.6100,32.6500,32.6100,32.6200,401,0
PBA.US,5,20131113,180000,32.6500,32.6800,32.6500,32.6800,2080,0
PBA.US,5,20131113,180500,32.7000,32.7000,32.6800,32.6900,800,0
PBA.US,5,20131113,181000,32.6600,32.6600,32.6300,32.6300,699,0
PBA.US,5,20131113,181500,32.6400,32.6400,32.6300,32.6300,200,0
PBA.US,5,20131113,182000,32.6500,32.6900,32.6400,32.6500,1427,0
PBA.US,5,20131113,182500,32.6700,32.6700,32.6700,32.6700,100,0
PBA.US,5,20131113,183000,32.6900,32.7000,32.6600,32.6600,2850,0
PBA.US,5,20131113,183500,32.6600,32.6800,32.6600,32.6800,500,0
