<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBI-A.US,5,20131112,154000,25.0800,25.0800,25.0800,25.0800,800,0
PBI-A.US,5,20131112,154500,25.0800,25.0800,25.0800,25.0800,1326,0
PBI-A.US,5,20131112,162500,25.1200,25.1200,25.1200,25.1200,500,0
PBI-A.US,5,20131112,170500,25.1200,25.3300,25.1200,25.2400,1662,0
PBI-A.US,5,20131112,175000,25.1500,25.3300,25.1500,25.3300,2000,0
PBI-A.US,5,20131112,184500,25.1200,25.1200,25.1200,25.1200,100,0
PBI-A.US,5,20131112,185000,25.1800,25.1800,25.1600,25.1600,900,0
PBI-A.US,5,20131112,192000,25.0700,25.0700,25.0700,25.0700,600,0
PBI-A.US,5,20131112,212000,25.0500,25.0700,25.0500,25.0700,2000,0
PBI-A.US,5,20131112,220000,25.1200,25.4300,25.1200,25.4300,2390,0
PBI-A.US,5,20131113,154000,25.0500,25.0500,25.0500,25.0500,250,0
PBI-A.US,5,20131113,184000,25.0500,25.0500,25.0500,25.0500,100,0
PBI-A.US,5,20131113,204000,25.1500,25.1500,25.1500,25.1500,2000,0
PBI-A.US,5,20131113,215500,25.0500,25.0500,25.0500,25.0500,100,0
PBI-A.US,5,20131114,165000,25.1000,25.1200,25.0200,25.1200,3300,0
PBI-A.US,5,20131114,170000,25.1800,25.2000,25.1600,25.1600,2000,0
PBI-A.US,5,20131114,173000,25.1700,25.2000,25.1700,25.1700,800,0
PBI-A.US,5,20131114,173500,25.2000,25.2000,25.2000,25.2000,1200,0
PBI-A.US,5,20131114,180500,25.2000,25.2000,25.2000,25.2000,1500,0
PBI-A.US,5,20131114,182000,25.0600,25.0600,25.0600,25.0600,2125,0
PBI-A.US,5,20131114,214000,25.2000,25.2000,25.2000,25.2000,962,0
PBI-A.US,5,20131114,220000,25.1000,25.1000,25.1000,25.1000,100,0
PBI-A.US,5,20131115,165000,25.2000,25.2000,25.2000,25.2000,600,0
PBI-A.US,5,20131115,165500,25.1100,25.1100,25.1100,25.1100,460,0
PBI-A.US,5,20131115,180500,25.2000,25.2000,25.2000,25.2000,500,0
PBI-A.US,5,20131115,200000,25.1500,25.1500,25.1000,25.1500,1788,0
PBI-A.US,5,20131118,183000,25.2500,25.2500,25.2500,25.2500,250,0
PBI-A.US,5,20131118,203000,25.2200,25.2200,25.2200,25.2200,600,0
PBI-A.US,5,20131118,204500,25.2300,25.2300,25.2300,25.2300,300,0
PBI-A.US,5,20131118,205500,25.2500,25.2500,25.2500,25.2500,561,0
PBI-A.US,5,20131118,212500,25.2400,25.2400,25.2400,25.2400,1730,0
PBI-A.US,5,20131118,213000,25.2400,25.2400,25.2400,25.2400,100,0
PBI-A.US,5,20131119,155500,25.5700,25.5700,25.4900,25.4900,600,0
PBI-A.US,5,20131119,172000,25.4300,25.4300,25.4300,25.4300,537,0
PBI-A.US,5,20131119,181500,25.1800,25.1800,25.1800,25.1800,300,0
PBI-A.US,5,20131119,213000,25.2500,25.2500,25.2500,25.2500,100,0
PBI-A.US,5,20131119,213500,25.2500,25.2500,25.1800,25.2000,3286,0
PBI-A.US,5,20131119,215000,25.1900,25.1900,25.1900,25.1900,100,0
PBI-A.US,5,20131119,215500,25.1900,25.1900,25.1900,25.1900,220,0
PBI-A.US,5,20131119,220000,25.2500,25.2500,25.1900,25.2000,600,0
PBI-A.US,5,20131120,154500,25.1500,25.1800,25.1500,25.1800,400,0
PBI-A.US,5,20131120,155500,25.1000,25.1000,25.1000,25.1000,200,0
PBI-A.US,5,20131120,160000,25.1000,25.1000,25.1000,25.1000,400,0
PBI-A.US,5,20131120,162000,25.1000,25.1000,25.0900,25.0900,401,0
PBI-A.US,5,20131120,162500,25.0900,25.0900,25.0900,25.0900,350,0
PBI-A.US,5,20131120,163000,25.2300,25.2300,25.2300,25.2300,1200,0
PBI-A.US,5,20131120,172000,25.2100,25.2200,25.2100,25.2200,600,0
PBI-A.US,5,20131120,173000,25.2200,25.2200,25.2200,25.2200,200,0
PBI-A.US,5,20131120,180000,25.1500,25.1500,25.1500,25.1500,200,0
PBI-A.US,5,20131120,181500,25.2200,25.2200,25.2200,25.2200,500,0
PBI-A.US,5,20131120,191000,25.2800,25.2800,25.2800,25.2800,2000,0
PBI-A.US,5,20131120,195500,25.2900,25.3000,25.2900,25.3000,400,0
PBI-A.US,5,20131120,201000,25.1500,25.1500,25.1500,25.1500,2000,0
PBI-A.US,5,20131120,203000,25.2900,25.2900,25.2900,25.2900,1100,0
PBI-A.US,5,20131120,205000,25.2900,25.3000,25.2900,25.3000,500,0
PBI-A.US,5,20131120,214000,25.2400,25.3000,25.2400,25.3000,400,0
PBI-A.US,5,20131120,215500,25.2900,25.2900,25.2900,25.2900,318,0
PBI-A.US,5,20131120,220000,25.3000,25.3000,25.3000,25.3000,392,0
PBI-A.US,5,20131121,181500,25.1800,25.1800,25.1800,25.1800,800,0
PBI-A.US,5,20131121,203000,25.3000,25.3000,25.3000,25.3000,300,0
PBI-A.US,5,20131121,213000,25.5700,25.5700,25.2700,25.2700,2100,0
PBI-A.US,5,20131121,214500,25.2500,25.2500,25.2500,25.2500,1000,0
PBI-A.US,5,20131121,220000,25.2700,25.2700,25.2700,25.2700,100,0
PBI-A.US,5,20131122,171000,25.3000,25.3000,25.2500,25.2500,200,0
PBI-A.US,5,20131122,173500,25.2500,25.2500,25.2500,25.2500,700,0
PBI-A.US,5,20131122,175000,25.2500,25.2500,25.2500,25.2500,100,0
PBI-A.US,5,20131122,180000,25.2100,25.2100,25.2100,25.2100,500,0
PBI-A.US,5,20131122,180500,25.3000,25.3000,25.3000,25.3000,1300,0
PBI-A.US,5,20131122,181000,25.3000,25.3000,25.3000,25.3000,100,0
PBI-A.US,5,20131122,182000,25.2900,25.2900,25.2900,25.2900,100,0
PBI-A.US,5,20131122,185500,25.4500,25.4500,25.4500,25.4500,100,0
PBI-A.US,5,20131122,192000,25.5100,25.5100,25.3000,25.3000,700,0
PBI-A.US,5,20131122,204500,25.2500,25.2500,25.2500,25.2500,168,0
