<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBR_A.US,5,20131112,153500,17.1100,17.1400,17.0800,17.1400,86849,0
PBR_A.US,5,20131112,154000,17.1400,17.1800,17.1200,17.1500,132266,0
PBR_A.US,5,20131112,154500,17.1500,17.1700,17.1100,17.1700,91283,0
PBR_A.US,5,20131112,155000,17.1700,17.1800,17.1300,17.1500,164441,0
PBR_A.US,5,20131112,155500,17.1500,17.1600,17.1200,17.1400,51943,0
PBR_A.US,5,20131112,160000,17.1400,17.1500,17.1100,17.1500,162267,0
PBR_A.US,5,20131112,160500,17.1400,17.1400,17.0700,17.0800,80469,0
PBR_A.US,5,20131112,161000,17.0900,17.1300,17.0900,17.1200,178669,0
PBR_A.US,5,20131112,161500,17.1300,17.1500,17.1100,17.1100,79588,0
PBR_A.US,5,20131112,162000,17.1100,17.1600,17.1100,17.1600,94961,0
PBR_A.US,5,20131112,162500,17.1600,17.1600,17.1200,17.1300,92631,0
PBR_A.US,5,20131112,163000,17.1300,17.1500,17.1100,17.1300,110554,0
PBR_A.US,5,20131112,163500,17.1300,17.1300,17.0700,17.0900,96524,0
PBR_A.US,5,20131112,164000,17.1000,17.1100,17.0800,17.0800,45888,0
PBR_A.US,5,20131112,164500,17.0800,17.1300,17.0500,17.1300,117261,0
PBR_A.US,5,20131112,165000,17.1300,17.1300,17.0900,17.1100,54419,0
PBR_A.US,5,20131112,165500,17.1200,17.1200,17.0800,17.1000,87291,0
PBR_A.US,5,20131112,170000,17.1000,17.1000,17.0100,17.0100,99034,0
PBR_A.US,5,20131112,170500,17.0100,17.1000,17.0100,17.0900,62376,0
PBR_A.US,5,20131112,171000,17.0900,17.0900,17.0400,17.0600,59067,0
PBR_A.US,5,20131112,171500,17.0700,17.1000,17.0600,17.0700,49756,0
PBR_A.US,5,20131112,172000,17.0600,17.0900,17.0600,17.0700,22200,0
PBR_A.US,5,20131112,172500,17.0700,17.0800,17.0200,17.0200,45561,0
PBR_A.US,5,20131112,173000,17.0300,17.0400,17.0100,17.0300,86822,0
PBR_A.US,5,20131112,173500,17.0200,17.0500,17.0000,17.0100,48833,0
PBR_A.US,5,20131112,174000,17.0100,17.0600,17.0100,17.0300,59908,0
PBR_A.US,5,20131112,174500,17.0200,17.0500,17.0100,17.0200,40320,0
PBR_A.US,5,20131112,175000,17.0300,17.0300,17.0000,17.0200,69350,0
PBR_A.US,5,20131112,175500,17.0200,17.0200,16.9800,16.9900,115469,0
PBR_A.US,5,20131112,180000,16.9900,16.9900,16.9800,16.9900,38407,0
PBR_A.US,5,20131112,180500,16.9900,17.0000,16.9800,16.9900,22034,0
PBR_A.US,5,20131112,181000,16.9800,16.9900,16.9500,16.9500,34244,0
PBR_A.US,5,20131112,181500,16.9400,16.9700,16.9300,16.9700,28076,0
PBR_A.US,5,20131112,182000,16.9600,16.9700,16.9300,16.9500,64831,0
PBR_A.US,5,20131112,182500,16.9400,16.9400,16.9000,16.9100,46993,0
PBR_A.US,5,20131112,183000,16.9000,16.9200,16.8900,16.8900,70648,0
PBR_A.US,5,20131112,183500,16.9000,16.9100,16.8800,16.9100,89577,0
PBR_A.US,5,20131112,184000,16.9200,16.9300,16.9100,16.9200,20048,0
PBR_A.US,5,20131112,184500,16.9200,16.9200,16.8900,16.8900,54324,0
PBR_A.US,5,20131112,185000,16.8900,16.9300,16.8800,16.9300,28025,0
PBR_A.US,5,20131112,185500,16.9300,16.9600,16.9100,16.9500,34746,0
PBR_A.US,5,20131112,190000,16.9500,16.9500,16.9300,16.9300,29677,0
PBR_A.US,5,20131112,190500,16.9300,16.9400,16.8900,16.8900,83109,0
PBR_A.US,5,20131112,191000,16.8900,16.9000,16.8900,16.9000,22490,0
PBR_A.US,5,20131112,191500,16.9000,16.9000,16.8900,16.9000,8580,0
PBR_A.US,5,20131112,192000,16.9000,16.9000,16.8400,16.8500,34700,0
PBR_A.US,5,20131112,192500,16.8600,16.8800,16.8600,16.8600,32940,0
PBR_A.US,5,20131112,193000,16.8600,16.8800,16.8500,16.8500,26590,0
PBR_A.US,5,20131112,193500,16.8500,16.8600,16.7800,16.8000,52848,0
PBR_A.US,5,20131112,194000,16.8000,16.8400,16.8000,16.8400,48462,0
PBR_A.US,5,20131112,194500,16.8300,16.8500,16.8200,16.8500,46784,0
PBR_A.US,5,20131112,195000,16.8500,16.8600,16.8400,16.8600,34226,0
PBR_A.US,5,20131112,195500,16.8600,16.8700,16.8500,16.8500,56509,0
PBR_A.US,5,20131112,200000,16.8500,16.8700,16.8400,16.8400,54803,0
PBR_A.US,5,20131112,200500,16.8400,16.8500,16.8100,16.8100,34102,0
PBR_A.US,5,20131112,201000,16.8100,16.8300,16.8100,16.8300,61280,0
PBR_A.US,5,20131112,201500,16.8300,16.8300,16.8000,16.8100,101546,0
PBR_A.US,5,20131112,202000,16.8100,16.8200,16.8000,16.8100,41710,0
PBR_A.US,5,20131112,202500,16.8100,16.8200,16.7800,16.7900,32035,0
PBR_A.US,5,20131112,203000,16.7900,16.7900,16.7600,16.7600,14022,0
PBR_A.US,5,20131112,203500,16.7500,16.7900,16.7500,16.7900,62800,0
PBR_A.US,5,20131112,204000,16.7800,16.8000,16.7800,16.7800,34285,0
PBR_A.US,5,20131112,204500,16.7800,16.8200,16.7700,16.8200,34845,0
PBR_A.US,5,20131112,205000,16.8200,16.8300,16.8100,16.8100,73800,0
PBR_A.US,5,20131112,205500,16.8200,16.8200,16.8100,16.8100,16239,0
PBR_A.US,5,20131112,210000,16.8100,16.8500,16.8100,16.8300,29349,0
PBR_A.US,5,20131112,210500,16.8300,16.8500,16.8300,16.8500,15893,0
PBR_A.US,5,20131112,211000,16.8500,16.8500,16.8300,16.8300,13558,0
PBR_A.US,5,20131112,211500,16.8200,16.8200,16.8100,16.8100,7986,0
PBR_A.US,5,20131112,212000,16.8100,16.8500,16.8000,16.8500,69194,0
PBR_A.US,5,20131112,212500,16.8600,16.8700,16.8300,16.8400,27484,0
PBR_A.US,5,20131112,213000,16.8400,16.8500,16.8300,16.8300,14900,0
PBR_A.US,5,20131112,213500,16.8300,16.8600,16.8300,16.8600,26351,0
PBR_A.US,5,20131112,214000,16.8500,16.8600,16.8400,16.8400,15940,0
PBR_A.US,5,20131112,214500,16.8400,16.8400,16.8200,16.8200,6050,0
PBR_A.US,5,20131112,215000,16.8200,16.8200,16.7900,16.8000,49053,0
PBR_A.US,5,20131112,215500,16.8000,16.8000,16.7700,16.7800,25573,0
PBR_A.US,5,20131112,220000,16.7800,16.8100,16.7700,16.8000,100356,0
PBR_A.US,5,20131112,220500,16.8000,16.8000,16.8000,16.8000,30528,0
PBR_A.US,5,20131113,153500,16.7800,16.8600,16.7800,16.8400,107085,0
PBR_A.US,5,20131113,154000,16.8400,16.9100,16.8400,16.8600,146518,0
PBR_A.US,5,20131113,154500,16.8600,16.8800,16.8600,16.8700,39718,0
PBR_A.US,5,20131113,155000,16.8700,16.9900,16.8600,16.9900,285484,0
PBR_A.US,5,20131113,155500,16.9800,17.0600,16.9300,17.0200,132660,0
