<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCM.US,5,20131112,160000,11.4000,11.4100,11.4000,11.4100,300,0
PCM.US,5,20131112,162000,11.4100,11.4100,11.4100,11.4100,100,0
PCM.US,5,20131112,164000,11.3800,11.3800,11.3800,11.3800,100,0
PCM.US,5,20131112,171500,11.3500,11.3600,11.3500,11.3600,700,0
PCM.US,5,20131112,173000,11.4100,11.4100,11.4100,11.4100,100,0
PCM.US,5,20131112,174500,11.3800,11.3800,11.3400,11.3400,985,0
PCM.US,5,20131112,180500,11.3200,11.3200,11.3200,11.3200,825,0
PCM.US,5,20131112,182000,11.3200,11.3200,11.3200,11.3200,500,0
PCM.US,5,20131112,183000,11.3200,11.3200,11.3200,11.3200,362,0
PCM.US,5,20131112,183500,11.3400,11.3400,11.3400,11.3400,300,0
PCM.US,5,20131112,184500,11.3700,11.3700,11.3700,11.3700,294,0
PCM.US,5,20131112,185000,11.3300,11.3400,11.3300,11.3400,3121,0
PCM.US,5,20131112,191000,11.3600,11.3800,11.3500,11.3600,800,0
PCM.US,5,20131112,192000,11.3900,11.3900,11.3800,11.3800,1530,0
PCM.US,5,20131112,201000,11.3900,11.3900,11.3800,11.3900,4018,0
PCM.US,5,20131112,203500,11.3800,11.3800,11.3800,11.3800,2700,0
PCM.US,5,20131112,204500,11.3500,11.3500,11.3500,11.3500,100,0
PCM.US,5,20131112,211000,11.3800,11.3800,11.3800,11.3800,800,0
PCM.US,5,20131112,215000,11.3800,11.3800,11.3800,11.3800,100,0
PCM.US,5,20131112,215500,11.3500,11.3800,11.3500,11.3600,750,0
PCM.US,5,20131112,220000,11.3500,11.3600,11.3500,11.3500,300,0
PCM.US,5,20131112,221000,11.4800,11.4800,11.4800,11.4800,560,0
PCM.US,5,20131113,155500,11.2600,11.2600,11.2600,11.2600,100,0
PCM.US,5,20131113,160000,11.4000,11.4000,11.3000,11.3000,2375,0
PCM.US,5,20131113,160500,11.3700,11.3700,11.3700,11.3700,300,0
PCM.US,5,20131113,162000,11.3700,11.3800,11.3700,11.3800,300,0
PCM.US,5,20131113,162500,11.4000,11.4000,11.4000,11.4000,100,0
PCM.US,5,20131113,163000,11.4000,11.4000,11.3900,11.4000,400,0
PCM.US,5,20131113,174000,11.3700,11.3800,11.3700,11.3800,200,0
PCM.US,5,20131113,175500,11.3500,11.3500,11.3500,11.3500,100,0
PCM.US,5,20131113,180000,11.3500,11.3500,11.3400,11.3400,400,0
PCM.US,5,20131113,183000,11.3200,11.3300,11.3200,11.3300,300,0
PCM.US,5,20131113,183500,11.3300,11.3300,11.2700,11.2700,2100,0
PCM.US,5,20131113,184000,11.3300,11.3300,11.3300,11.3300,200,0
PCM.US,5,20131113,190000,11.3300,11.3300,11.3300,11.3300,100,0
PCM.US,5,20131113,192500,11.3300,11.3300,11.3300,11.3300,100,0
PCM.US,5,20131113,195500,11.3300,11.3300,11.3300,11.3300,100,0
PCM.US,5,20131113,200000,11.3300,11.3500,11.3300,11.3500,450,0
PCM.US,5,20131113,200500,11.3300,11.3300,11.3300,11.3300,173,0
PCM.US,5,20131113,201500,11.3300,11.3300,11.3300,11.3300,2000,0
PCM.US,5,20131113,202000,11.3200,11.3200,11.3200,11.3200,523,0
PCM.US,5,20131113,202500,11.3400,11.3600,11.3400,11.3600,1100,0
PCM.US,5,20131113,204500,11.3700,11.3900,11.3700,11.3900,1000,0
PCM.US,5,20131113,212000,11.3600,11.3600,11.3600,11.3600,100,0
PCM.US,5,20131113,212500,11.3600,11.3600,11.3600,11.3600,300,0
PCM.US,5,20131113,214000,11.3300,11.3300,11.3300,11.3300,100,0
PCM.US,5,20131113,214500,11.3500,11.3500,11.3500,11.3500,200,0
PCM.US,5,20131113,220000,11.3400,11.3400,11.3300,11.3400,300,0
PCM.US,5,20131113,221000,11.3500,11.3500,11.3500,11.3500,189,0
PCM.US,5,20131114,154500,11.3800,11.3800,11.3800,11.3800,100,0
PCM.US,5,20131114,155000,11.4000,11.4000,11.3600,11.3600,300,0
PCM.US,5,20131114,162000,11.3500,11.3500,11.3100,11.3100,3000,0
PCM.US,5,20131114,162500,11.3400,11.3600,11.3400,11.3600,200,0
PCM.US,5,20131114,170000,11.3600,11.3600,11.3600,11.3600,300,0
PCM.US,5,20131114,170500,11.3500,11.3500,11.3500,11.3500,100,0
PCM.US,5,20131114,181000,11.3700,11.3700,11.3700,11.3700,500,0
PCM.US,5,20131114,182000,11.3300,11.3300,11.3300,11.3300,180,0
PCM.US,5,20131114,183000,11.3500,11.3500,11.3400,11.3400,300,0
PCM.US,5,20131114,183500,11.3500,11.3500,11.3400,11.3500,1800,0
PCM.US,5,20131114,192000,11.3600,11.3600,11.3600,11.3600,249,0
PCM.US,5,20131114,201000,11.3600,11.3600,11.3600,11.3600,100,0
PCM.US,5,20131114,201500,11.3600,11.3600,11.3600,11.3600,2136,0
PCM.US,5,20131114,202000,11.3600,11.3600,11.3600,11.3600,958,0
PCM.US,5,20131114,204500,11.3400,11.3400,11.3400,11.3400,750,0
PCM.US,5,20131114,210500,11.3400,11.3400,11.3400,11.3400,355,0
PCM.US,5,20131114,214500,11.3400,11.3400,11.3300,11.3300,300,0
PCM.US,5,20131114,215500,11.3400,11.3400,11.3400,11.3400,200,0
PCM.US,5,20131114,220000,11.3400,11.3400,11.3400,11.3400,600,0
PCM.US,5,20131115,160000,11.3000,11.3000,11.2500,11.2600,3350,0
PCM.US,5,20131115,162500,11.2800,11.2800,11.2800,11.2800,100,0
PCM.US,5,20131115,171500,11.2900,11.2900,11.2900,11.2900,450,0
PCM.US,5,20131115,172000,11.2900,11.2900,11.2800,11.2800,200,0
PCM.US,5,20131115,173000,11.2800,11.2800,11.2800,11.2800,100,0
PCM.US,5,20131115,174000,11.2900,11.2900,11.2900,11.2900,1000,0
PCM.US,5,20131115,174500,11.2800,11.2800,11.2800,11.2800,100,0
PCM.US,5,20131115,175000,11.2800,11.2800,11.2500,11.2500,2400,0
PCM.US,5,20131115,185000,11.2600,11.2600,11.2600,11.2600,153,0
PCM.US,5,20131115,185500,11.2900,11.2900,11.2800,11.2800,645,0
PCM.US,5,20131115,194500,11.2900,11.2900,11.2900,11.2900,100,0
PCM.US,5,20131115,195500,11.3300,11.3300,11.3300,11.3300,2000,0
PCM.US,5,20131115,203000,11.3000,11.3000,11.3000,11.3000,500,0
PCM.US,5,20131115,211000,11.3300,11.3300,11.3300,11.3300,1000,0
PCM.US,5,20131115,212000,11.3400,11.3400,11.3400,11.3400,1410,0
PCM.US,5,20131115,215500,11.3400,11.3400,11.3300,11.3300,400,0
PCM.US,5,20131115,220500,11.3400,11.3400,11.3400,11.3400,137,0
PCM.US,5,20131118,153500,11.3100,11.3100,11.3100,11.3100,518,0
PCM.US,5,20131118,155000,11.2600,11.3000,11.0700,11.2700,8687,0
PCM.US,5,20131118,155500,11.2700,11.2700,11.2500,11.2500,200,0
PCM.US,5,20131118,161500,11.2900,11.2900,11.2900,11.2900,1000,0
PCM.US,5,20131118,164000,11.2900,11.2900,11.2900,11.2900,500,0
PCM.US,5,20131118,164500,11.2600,11.2600,11.2600,11.2600,100,0
PCM.US,5,20131118,165000,11.2400,11.2400,11.2400,11.2400,100,0
PCM.US,5,20131118,171500,11.2800,11.2800,11.2600,11.2600,600,0
PCM.US,5,20131118,173000,11.2800,11.2800,11.1800,11.2600,12894,0
PCM.US,5,20131118,173500,11.2600,11.2600,11.2600,11.2600,700,0
PCM.US,5,20131118,174000,11.2300,11.2400,11.1700,11.2400,31420,0
PCM.US,5,20131118,174500,11.2100,11.2100,11.1200,11.1500,8920,0
PCM.US,5,20131118,175000,11.1700,11.1700,11.1700,11.1700,1000,0
PCM.US,5,20131118,175500,11.1600,11.1600,11.1600,11.1600,300,0
PCM.US,5,20131118,180000,11.1500,11.1600,11.1200,11.1300,8805,0
PCM.US,5,20131118,180500,11.1300,11.1400,11.1300,11.1300,4400,0
PCM.US,5,20131118,181000,11.1400,11.1400,11.1300,11.1400,1100,0
PCM.US,5,20131118,181500,11.1300,11.1300,11.1300,11.1300,600,0
PCM.US,5,20131118,182000,11.1300,11.1400,11.1300,11.1400,1600,0
PCM.US,5,20131118,182500,11.1300,11.1400,11.1300,11.1400,2000,0
PCM.US,5,20131118,183500,11.1300,11.1400,11.1300,11.1400,835,0
PCM.US,5,20131118,184000,11.1400,11.1400,11.1300,11.1400,1370,0
PCM.US,5,20131118,184500,11.1300,11.1300,11.1300,11.1300,600,0
PCM.US,5,20131118,185000,11.1300,11.1400,11.1300,11.1400,800,0
PCM.US,5,20131118,185500,11.1400,11.1400,11.1300,11.1300,1712,0
PCM.US,5,20131118,190000,11.1200,11.1200,11.1200,11.1200,1000,0
PCM.US,5,20131118,190500,11.1100,11.1100,11.1100,11.1100,800,0
PCM.US,5,20131118,191000,11.1200,11.1200,11.1100,11.1100,1200,0
PCM.US,5,20131118,191500,11.1100,11.1100,11.1000,11.1000,750,0
PCM.US,5,20131118,192000,11.1100,11.1100,11.1000,11.1000,824,0
PCM.US,5,20131118,192500,11.1200,11.1200,11.1200,11.1200,237,0
PCM.US,5,20131118,193000,11.1000,11.1000,11.1000,11.1000,600,0
PCM.US,5,20131118,193500,11.1100,11.1100,11.1100,11.1100,600,0
PCM.US,5,20131118,194000,11.1200,11.1200,11.1100,11.1200,2100,0
PCM.US,5,20131118,195000,11.1100,11.1200,11.1100,11.1200,2000,0
PCM.US,5,20131118,195500,11.1200,11.1200,11.1200,11.1200,2050,0
PCM.US,5,20131118,200000,11.1200,11.1200,11.1200,11.1200,3600,0
PCM.US,5,20131118,200500,11.1200,11.1200,11.1200,11.1200,899,0
