<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCXCQ.US,5,20131112,153500,0.0805,0.0850,0.0805,0.0850,36409,0
PCXCQ.US,5,20131112,154500,0.0805,0.0805,0.0805,0.0805,20000,0
PCXCQ.US,5,20131112,162500,0.0850,0.0850,0.0850,0.0850,25000,0
PCXCQ.US,5,20131112,163000,0.0810,0.0810,0.0810,0.0810,2500,0
PCXCQ.US,5,20131112,164500,0.0825,0.0825,0.0825,0.0825,700,0
PCXCQ.US,5,20131112,165000,0.0825,0.0825,0.0810,0.0810,25565,0
PCXCQ.US,5,20131112,165500,0.0810,0.0810,0.0810,0.0810,105,0
PCXCQ.US,5,20131112,170000,0.0850,0.0850,0.0850,0.0850,21000,0
PCXCQ.US,5,20131112,170500,0.0850,0.0850,0.0850,0.0850,9000,0
PCXCQ.US,5,20131112,171000,0.0850,0.0850,0.0842,0.0850,4044,0
PCXCQ.US,5,20131112,172000,0.0850,0.0850,0.0850,0.0850,520,0
PCXCQ.US,5,20131112,172500,0.0850,0.0850,0.0850,0.0850,3200,0
PCXCQ.US,5,20131112,173500,0.0842,0.0850,0.0842,0.0850,10000,0
PCXCQ.US,5,20131112,174500,0.0810,0.0810,0.0810,0.0810,1000,0
PCXCQ.US,5,20131112,180000,0.0810,0.0810,0.0810,0.0810,11000,0
PCXCQ.US,5,20131112,181500,0.0810,0.0810,0.0810,0.0810,125,0
PCXCQ.US,5,20131112,182000,0.0816,0.0816,0.0810,0.0810,18000,0
PCXCQ.US,5,20131112,182500,0.0840,0.0840,0.0840,0.0840,833,0
PCXCQ.US,5,20131112,191000,0.0820,0.0840,0.0820,0.0840,22000,0
PCXCQ.US,5,20131112,191500,0.0840,0.0840,0.0840,0.0840,2212,0
PCXCQ.US,5,20131112,192500,0.0840,0.0840,0.0840,0.0840,5000,0
PCXCQ.US,5,20131112,194000,0.0822,0.0822,0.0822,0.0822,2181,0
PCXCQ.US,5,20131112,195000,0.0825,0.0825,0.0825,0.0825,2400,0
PCXCQ.US,5,20131112,201500,0.0825,0.0825,0.0825,0.0825,400,0
PCXCQ.US,5,20131112,202000,0.0825,0.0828,0.0820,0.0820,46500,0
PCXCQ.US,5,20131112,202500,0.0820,0.0820,0.0820,0.0820,75000,0
PCXCQ.US,5,20131112,203000,0.0820,0.0820,0.0820,0.0820,20000,0
PCXCQ.US,5,20131112,204500,0.0820,0.0840,0.0820,0.0824,9740,0
PCXCQ.US,5,20131112,205500,0.0820,0.0820,0.0820,0.0820,32356,0
PCXCQ.US,5,20131112,212500,0.0820,0.0820,0.0820,0.0820,2000,0
PCXCQ.US,5,20131112,213000,0.0840,0.0865,0.0820,0.0865,67880,0
PCXCQ.US,5,20131112,213500,0.0865,0.0865,0.0865,0.0865,25300,0
PCXCQ.US,5,20131112,214000,0.0820,0.0840,0.0820,0.0840,9499,0
PCXCQ.US,5,20131112,214500,0.0820,0.0820,0.0820,0.0820,7100,0
PCXCQ.US,5,20131112,215500,0.0820,0.0840,0.0820,0.0840,10400,0
PCXCQ.US,5,20131113,153500,0.0870,0.0870,0.0820,0.0820,8348,0
PCXCQ.US,5,20131113,160500,0.0840,0.0840,0.0840,0.0840,240,0
PCXCQ.US,5,20131113,162000,0.0870,0.0870,0.0870,0.0870,2620,0
PCXCQ.US,5,20131113,162500,0.0870,0.0870,0.0870,0.0870,1000,0
PCXCQ.US,5,20131113,163500,0.0870,0.0870,0.0870,0.0870,10000,0
PCXCQ.US,5,20131113,164000,0.0840,0.0860,0.0840,0.0860,6952,0
PCXCQ.US,5,20131113,164500,0.0820,0.0840,0.0820,0.0820,50000,0
PCXCQ.US,5,20131113,165000,0.0850,0.0850,0.0820,0.0820,3400,0
PCXCQ.US,5,20131113,165500,0.0850,0.0850,0.0850,0.0850,34996,0
PCXCQ.US,5,20131113,170000,0.0820,0.0820,0.0820,0.0820,225,0
PCXCQ.US,5,20131113,170500,0.0820,0.0820,0.0820,0.0820,400,0
PCXCQ.US,5,20131113,173000,0.0850,0.0850,0.0850,0.0850,8000,0
PCXCQ.US,5,20131113,173500,0.0850,0.0850,0.0850,0.0850,2000,0
PCXCQ.US,5,20131113,174500,0.0820,0.0820,0.0820,0.0820,1400,0
PCXCQ.US,5,20131113,175500,0.0830,0.0830,0.0830,0.0830,2000,0
PCXCQ.US,5,20131113,180000,0.0820,0.0820,0.0820,0.0820,2400,0
PCXCQ.US,5,20131113,185000,0.0820,0.0820,0.0806,0.0806,29500,0
PCXCQ.US,5,20131113,190500,0.0805,0.0805,0.0805,0.0805,204,0
PCXCQ.US,5,20131113,191500,0.0805,0.0805,0.0805,0.0805,258,0
PCXCQ.US,5,20131113,192500,0.0824,0.0824,0.0824,0.0824,12000,0
PCXCQ.US,5,20131113,193000,0.0805,0.0805,0.0805,0.0805,1425,0
PCXCQ.US,5,20131113,195000,0.0805,0.0805,0.0805,0.0805,775,0
PCXCQ.US,5,20131113,195500,0.0805,0.0805,0.0805,0.0805,7000,0
PCXCQ.US,5,20131113,202000,0.0805,0.0805,0.0805,0.0805,1000,0
PCXCQ.US,5,20131113,204000,0.0806,0.0806,0.0806,0.0806,500,0
PCXCQ.US,5,20131113,204500,0.0805,0.0805,0.0780,0.0805,112650,0
PCXCQ.US,5,20131113,211000,0.0805,0.0805,0.0805,0.0805,7500,0
PCXCQ.US,5,20131113,211500,0.0800,0.0800,0.0800,0.0800,30456,0
PCXCQ.US,5,20131113,212500,0.0790,0.0790,0.0785,0.0785,18500,0
PCXCQ.US,5,20131113,213000,0.0800,0.0800,0.0784,0.0784,772,0
PCXCQ.US,5,20131113,214000,0.0800,0.0800,0.0800,0.0800,10000,0
PCXCQ.US,5,20131113,214500,0.0800,0.0800,0.0800,0.0800,10000,0
PCXCQ.US,5,20131113,215000,0.0800,0.0800,0.0780,0.0800,41000,0
PCXCQ.US,5,20131114,153500,0.0790,0.0810,0.0790,0.0810,21500,0
PCXCQ.US,5,20131114,154000,0.0790,0.0790,0.0790,0.0790,5720,0
PCXCQ.US,5,20131114,155500,0.0820,0.0825,0.0800,0.0824,83000,0
PCXCQ.US,5,20131114,160000,0.0824,0.0824,0.0824,0.0824,5000,0
PCXCQ.US,5,20131114,160500,0.0824,0.0824,0.0824,0.0824,4000,0
PCXCQ.US,5,20131114,161500,0.0824,0.0840,0.0821,0.0825,141946,0
PCXCQ.US,5,20131114,162000,0.0850,0.0850,0.0830,0.0830,23446,0
PCXCQ.US,5,20131114,162500,0.0822,0.0822,0.0822,0.0822,100,0
PCXCQ.US,5,20131114,163000,0.0850,0.0850,0.0822,0.0822,10020,0
PCXCQ.US,5,20131114,163500,0.0822,0.0822,0.0822,0.0822,10863,0
PCXCQ.US,5,20131114,170500,0.0822,0.0822,0.0822,0.0822,300,0
PCXCQ.US,5,20131114,171500,0.0822,0.0827,0.0822,0.0827,5100,0
PCXCQ.US,5,20131114,174000,0.0822,0.0822,0.0822,0.0822,1840,0
PCXCQ.US,5,20131114,175000,0.0822,0.0822,0.0822,0.0822,1000,0
PCXCQ.US,5,20131114,175500,0.0850,0.0850,0.0850,0.0850,1588,0
PCXCQ.US,5,20131114,181500,0.0843,0.0849,0.0822,0.0822,10680,0
PCXCQ.US,5,20131114,184000,0.0825,0.0825,0.0822,0.0822,24000,0
