<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEB-A.US,5,20131112,204000,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131112,204500,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131112,210000,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131112,211000,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131112,211500,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131112,215000,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131112,215500,25.5000,25.5000,25.5000,25.5000,100,0
PEB-A.US,5,20131113,155500,25.4600,25.4700,25.4600,25.4700,1100,0
PEB-A.US,5,20131113,194500,25.4700,25.4700,25.4700,25.4700,100,0
PEB-A.US,5,20131113,213000,25.5000,25.5000,25.5000,25.5000,500,0
PEB-A.US,5,20131115,175000,25.5100,25.5100,25.5100,25.5100,200,0
PEB-A.US,5,20131115,190000,25.5100,25.5100,25.5100,25.5100,1491,0
PEB-A.US,5,20131115,195500,25.6000,25.6000,25.6000,25.6000,340,0
PEB-A.US,5,20131115,210500,25.5100,25.5100,25.5100,25.5100,900,0
PEB-A.US,5,20131115,214500,25.5500,25.5500,25.5500,25.5500,200,0
PEB-A.US,5,20131118,161500,25.4800,25.4800,25.4800,25.4800,400,0
PEB-A.US,5,20131118,164000,25.5000,25.5000,25.4900,25.4900,300,0
PEB-A.US,5,20131118,164500,25.4900,25.4900,25.4800,25.4800,700,0
PEB-A.US,5,20131118,165000,25.4800,25.5000,25.4800,25.4800,2400,0
PEB-A.US,5,20131118,175000,25.5000,25.5000,25.5000,25.5000,600,0
PEB-A.US,5,20131118,184500,25.4800,25.5000,25.4800,25.5000,500,0
PEB-A.US,5,20131120,192500,25.5000,25.5000,25.5000,25.5000,300,0
PEB-A.US,5,20131120,193000,25.5000,25.5000,25.5000,25.5000,2300,0
PEB-A.US,5,20131120,193500,25.5000,25.5000,25.5000,25.5000,1900,0
PEB-A.US,5,20131120,194000,25.5000,25.5000,25.5000,25.5000,400,0
PEB-A.US,5,20131120,194500,25.5000,25.5000,25.5000,25.5000,400,0
PEB-A.US,5,20131121,172000,25.3600,25.3600,25.3600,25.3600,500,0
PEB-A.US,5,20131121,173000,25.3600,25.3600,25.3600,25.3600,400,0
PEB-A.US,5,20131121,210000,25.3700,25.3700,25.3700,25.3700,200,0
PEB-A.US,5,20131121,212000,25.3900,25.3900,25.3900,25.3900,100,0
PEB-A.US,5,20131122,194000,25.5000,25.5000,25.5000,25.5000,150,0
PEB-A.US,5,20131122,203000,25.4500,25.4500,25.4500,25.4500,400,0
PEB-A.US,5,20131125,210500,25.3800,25.3800,25.3800,25.3800,100,0
PEB-A.US,5,20131126,180000,25.5100,25.5100,25.4000,25.4000,400,0
PEB-A.US,5,20131126,192000,25.5100,25.5100,25.5100,25.5100,100,0
PEB-A.US,5,20131126,201500,25.4100,25.4100,25.4000,25.4000,900,0
PEB-A.US,5,20131127,170500,25.5000,25.7300,25.5000,25.7300,700,0
PEB-A.US,5,20131127,175500,25.4600,25.4600,25.4600,25.4600,100,0
PEB-A.US,5,20131127,183500,25.4500,25.4500,25.4000,25.4000,452,0
PEB-A.US,5,20131127,213000,25.2500,25.2500,25.2500,25.2500,1900,0
PEB-A.US,5,20131127,213500,25.2500,25.2500,25.2500,25.2500,100,0
PEB-A.US,5,20131127,214000,25.2500,25.2500,25.2500,25.2500,100,0
PEB-A.US,5,20131127,215000,25.2500,25.2500,25.2500,25.2500,800,0
PEB-A.US,5,20131127,215500,25.2500,25.2500,25.2500,25.2500,10100,0
PEB-A.US,5,20131127,220000,25.2500,25.2500,25.2500,25.2500,4000,0
PEB-A.US,5,20131127,220500,25.2500,25.2500,25.2500,25.2500,300,0
PEB-A.US,5,20131129,181000,25.3400,25.3400,25.3300,25.3300,1500,0
PEB-A.US,5,20131129,185500,25.3000,25.3000,25.3000,25.3000,700,0
PEB-A.US,5,20131129,190000,25.3000,25.3000,25.3000,25.3000,800,0
PEB-A.US,5,20131202,172000,25.3600,25.3600,25.3600,25.3600,500,0
PEB-A.US,5,20131202,173500,25.3600,25.3600,25.3400,25.3600,1100,0
PEB-A.US,5,20131203,163000,25.4600,25.7600,25.4600,25.7600,600,0
PEB-A.US,5,20131206,210000,25.5100,25.5100,25.4700,25.4700,570,0
PEB-A.US,5,20131206,214500,25.0200,25.0500,25.0200,25.0500,1100000,0
PEB-A.US,5,20131209,194500,25.2500,25.2500,25.2500,25.2500,20000,0
