<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEB.US,5,20131112,153500,28.7000,28.7000,28.5500,28.5500,800,0
PEB.US,5,20131112,154000,28.6100,28.6200,28.6100,28.6200,300,0
PEB.US,5,20131112,154500,28.6100,28.6300,28.6100,28.6200,400,0
PEB.US,5,20131112,155000,28.6200,28.6200,28.6100,28.6200,600,0
PEB.US,5,20131112,155500,28.6000,28.6200,28.6000,28.6200,800,0
PEB.US,5,20131112,160000,28.6200,28.7500,28.6200,28.7500,1900,0
PEB.US,5,20131112,160500,28.7500,28.7600,28.6700,28.7200,3361,0
PEB.US,5,20131112,161000,28.7400,28.7400,28.7200,28.7300,600,0
PEB.US,5,20131112,161500,28.7300,28.7900,28.7300,28.7800,1400,0
PEB.US,5,20131112,162000,28.7900,28.9000,28.7900,28.9000,1739,0
PEB.US,5,20131112,162500,28.9000,28.9000,28.8700,28.8900,4500,0
PEB.US,5,20131112,163000,28.9100,28.9200,28.9100,28.9200,600,0
PEB.US,5,20131112,163500,28.9400,28.9500,28.9200,28.9400,4900,0
PEB.US,5,20131112,164000,28.9500,28.9700,28.9100,28.9100,2200,0
PEB.US,5,20131112,164500,28.9700,28.9700,28.9300,28.9500,700,0
PEB.US,5,20131112,165000,28.9500,28.9700,28.9500,28.9700,800,0
PEB.US,5,20131112,165500,28.9700,28.9800,28.9700,28.9800,400,0
PEB.US,5,20131112,170000,28.9700,28.9700,28.9300,28.9500,3000,0
PEB.US,5,20131112,170500,28.9500,29.0100,28.9400,29.0100,5300,0
PEB.US,5,20131112,171000,29.0300,29.0300,29.0000,29.0100,3100,0
PEB.US,5,20131112,171500,29.0100,29.0900,28.9900,29.0900,4800,0
PEB.US,5,20131112,172000,29.0600,29.1000,29.0600,29.0900,1100,0
PEB.US,5,20131112,172500,29.0900,29.1000,29.0800,29.1000,3000,0
PEB.US,5,20131112,173000,29.0900,29.1000,29.0800,29.0900,4000,0
PEB.US,5,20131112,173500,29.0500,29.0500,28.9700,28.9900,1000,0
PEB.US,5,20131112,174000,28.9800,28.9900,28.8500,28.8700,6193,0
PEB.US,5,20131112,174500,28.8500,28.9200,28.8400,28.8900,2120,0
PEB.US,5,20131112,175000,28.8600,28.8800,28.8400,28.8800,938,0
PEB.US,5,20131112,175500,28.8900,28.9200,28.8900,28.9200,600,0
PEB.US,5,20131112,180000,28.9300,28.9400,28.9200,28.9400,500,0
PEB.US,5,20131112,180500,28.9400,28.9400,28.9100,28.9400,1900,0
PEB.US,5,20131112,181000,28.9400,28.9400,28.8000,28.8700,6026,0
PEB.US,5,20131112,181500,28.8800,28.8900,28.8400,28.8900,2315,0
PEB.US,5,20131112,182000,28.8900,28.8900,28.8400,28.8800,2400,0
PEB.US,5,20131112,182500,28.8800,28.8900,28.8700,28.8800,1500,0
PEB.US,5,20131112,183000,28.8200,28.8400,28.7300,28.8200,5600,0
PEB.US,5,20131112,183500,28.8400,28.9400,28.8300,28.9400,19487,0
PEB.US,5,20131112,184000,28.9500,28.9700,28.9500,28.9500,3547,0
PEB.US,5,20131112,184500,28.9600,28.9800,28.9500,28.9800,700,0
PEB.US,5,20131112,185000,28.9900,29.0400,28.9900,29.0400,2700,0
PEB.US,5,20131112,185500,29.0400,29.0700,29.0400,29.0400,3700,0
PEB.US,5,20131112,190000,29.0400,29.0600,29.0000,29.0500,3300,0
PEB.US,5,20131112,190500,29.0500,29.0600,29.0400,29.0600,1600,0
