<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKE.US,5,20131112,154500,27.6400,27.6400,27.6100,27.6100,544,0
PKE.US,5,20131112,160000,27.6500,27.6500,27.6500,27.6500,100,0
PKE.US,5,20131112,160500,27.5900,27.6200,27.5800,27.5800,800,0
PKE.US,5,20131112,161000,27.5600,27.6400,27.4400,27.4500,2094,0
PKE.US,5,20131112,161500,27.5800,27.6100,27.4500,27.6100,2100,0
PKE.US,5,20131112,162000,27.6400,27.8000,27.5200,27.8000,1900,0
PKE.US,5,20131112,162500,27.8000,27.9600,27.8000,27.9600,2200,0
PKE.US,5,20131112,163000,28.1400,28.3500,27.9500,28.2000,2400,0
PKE.US,5,20131112,163500,27.9600,28.1000,27.7600,27.7600,3400,0
PKE.US,5,20131112,164000,27.7600,27.8200,27.6000,27.8200,2100,0
PKE.US,5,20131112,164500,27.7500,27.9500,27.7500,27.9500,900,0
PKE.US,5,20131112,170000,27.7600,27.7600,27.7600,27.7600,100,0
PKE.US,5,20131112,170500,27.8800,27.8800,27.8800,27.8800,100,0
PKE.US,5,20131112,171500,27.7900,27.7900,27.7900,27.7900,100,0
PKE.US,5,20131112,172000,27.8000,27.8000,27.8000,27.8000,100,0
PKE.US,5,20131112,173500,27.8800,27.8800,27.8800,27.8800,300,0
PKE.US,5,20131112,174000,27.8400,27.8400,27.8100,27.8100,502,0
PKE.US,5,20131112,181000,27.7000,27.8100,27.6900,27.6900,300,0
PKE.US,5,20131112,181500,27.6900,27.7000,27.6900,27.7000,200,0
PKE.US,5,20131112,182500,27.7100,27.7100,27.7100,27.7100,100,0
PKE.US,5,20131112,183000,27.7100,27.7100,27.7100,27.7100,100,0
PKE.US,5,20131112,184500,27.7500,27.7500,27.7400,27.7400,200,0
PKE.US,5,20131112,185000,27.7500,27.7500,27.7500,27.7500,400,0
PKE.US,5,20131112,185500,27.7500,27.7500,27.7400,27.7400,300,0
PKE.US,5,20131112,190000,27.6900,27.6900,27.6900,27.6900,200,0
PKE.US,5,20131112,190500,27.6800,27.6800,27.6800,27.6800,100,0
PKE.US,5,20131112,191000,27.7500,27.7500,27.7500,27.7500,100,0
PKE.US,5,20131112,192000,27.6800,27.6800,27.6800,27.6800,100,0
PKE.US,5,20131112,194000,27.6800,27.6800,27.6800,27.6800,100,0
PKE.US,5,20131112,194500,27.6300,27.6300,27.6300,27.6300,100,0
PKE.US,5,20131112,195500,27.6500,27.6500,27.6500,27.6500,100,0
PKE.US,5,20131112,200000,27.6800,27.6800,27.6800,27.6800,200,0
