<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PL.US,5,20131112,154500,46.5100,46.5100,46.5100,46.5100,100,0
PL.US,5,20131112,155000,46.3700,46.5700,46.3700,46.5700,1926,0
PL.US,5,20131112,155500,46.4800,46.4800,46.3600,46.4100,1842,0
PL.US,5,20131112,160000,46.3400,46.5000,46.2900,46.5000,3050,0
PL.US,5,20131112,160500,46.6000,46.6000,46.3300,46.3300,6092,0
PL.US,5,20131112,161000,46.2300,46.2700,46.2300,46.2400,4215,0
PL.US,5,20131112,161500,46.2900,46.2900,46.0700,46.0700,3411,0
PL.US,5,20131112,162000,46.0600,46.2700,46.0500,46.2400,6150,0
PL.US,5,20131112,162500,46.2000,46.2200,46.0800,46.0800,600,0
PL.US,5,20131112,163000,46.1200,46.2200,46.1200,46.2200,2002,0
PL.US,5,20131112,163500,46.2400,46.2900,46.1700,46.1700,800,0
PL.US,5,20131112,164000,46.1700,46.2200,46.1600,46.2200,1133,0
PL.US,5,20131112,164500,46.2400,46.2400,46.2100,46.2200,400,0
PL.US,5,20131112,165000,46.2100,46.2400,46.1900,46.2400,1100,0
PL.US,5,20131112,165500,46.2400,46.2400,46.0900,46.2100,9738,0
PL.US,5,20131112,170000,46.1900,46.2700,46.1400,46.1900,14904,0
PL.US,5,20131112,170500,46.1600,46.1900,46.1600,46.1800,400,0
PL.US,5,20131112,171000,46.1900,46.1900,46.1500,46.1600,800,0
PL.US,5,20131112,171500,46.0800,46.1700,46.0800,46.1700,910,0
PL.US,5,20131112,172000,46.1800,46.2000,46.1500,46.2000,500,0
PL.US,5,20131112,172500,46.2300,46.2300,46.1200,46.1800,2289,0
PL.US,5,20131112,173000,46.2100,46.2200,46.1200,46.2000,3249,0
PL.US,5,20131112,173500,46.2100,46.2300,46.2000,46.2100,600,0
PL.US,5,20131112,174000,46.2200,46.2300,46.1500,46.1500,1400,0
PL.US,5,20131112,174500,46.1700,46.1700,46.1200,46.1500,1184,0
PL.US,5,20131112,175000,46.1500,46.1600,46.0800,46.1600,2200,0
PL.US,5,20131112,175500,46.1300,46.1800,46.1300,46.1800,300,0
PL.US,5,20131112,180000,46.1500,46.2400,46.1200,46.2000,1237,0
PL.US,5,20131112,180500,46.1800,46.2100,46.1600,46.2100,3504,0
PL.US,5,20131112,181000,46.1900,46.1900,46.0100,46.0400,4024,0
PL.US,5,20131112,181500,46.0600,46.1000,46.0600,46.0700,800,0
PL.US,5,20131112,182000,46.1200,46.1500,46.1000,46.1500,5707,0
