<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNX.US,5,20131112,155500,43.7600,43.7600,43.7600,43.7600,200,0
PNX.US,5,20131112,160000,43.7300,43.7300,43.7300,43.7300,200,0
PNX.US,5,20131112,161000,43.8200,43.8200,43.8200,43.8200,100,0
PNX.US,5,20131112,162000,43.9000,43.9000,43.7300,43.7300,200,0
PNX.US,5,20131112,162500,43.6700,43.6700,43.6700,43.6700,100,0
PNX.US,5,20131112,164500,43.8600,43.9000,43.8600,43.9000,800,0
PNX.US,5,20131112,165000,44.0500,44.0500,44.0500,44.0500,400,0
PNX.US,5,20131112,171000,44.0500,44.2500,44.0500,44.2500,400,0
PNX.US,5,20131112,173000,44.0000,44.0000,43.9900,43.9900,300,0
PNX.US,5,20131112,174500,43.8100,43.8100,43.8100,43.8100,300,0
PNX.US,5,20131112,175000,43.8100,43.8100,43.8100,43.8100,100,0
PNX.US,5,20131112,180500,43.7500,43.8700,43.7500,43.8700,200,0
PNX.US,5,20131112,181500,43.8300,43.8300,43.8300,43.8300,100,0
PNX.US,5,20131112,183500,43.7600,43.7600,43.7600,43.7600,300,0
PNX.US,5,20131112,184500,43.7600,43.8700,43.7600,43.7900,1000,0
PNX.US,5,20131112,185500,43.6300,43.6300,43.6300,43.6300,200,0
PNX.US,5,20131112,190500,43.5500,43.5500,43.5500,43.5500,100,0
PNX.US,5,20131112,192000,43.5700,43.5700,43.5700,43.5700,100,0
PNX.US,5,20131112,193500,43.5100,43.6100,43.4200,43.4200,700,0
PNX.US,5,20131112,194000,43.3700,43.3700,43.3700,43.3700,200,0
PNX.US,5,20131112,194500,43.2200,43.2200,42.9800,43.0300,1700,0
PNX.US,5,20131112,200000,43.0300,43.0300,43.0300,43.0300,100,0
PNX.US,5,20131112,201000,43.1600,43.1600,43.1600,43.1600,100,0
PNX.US,5,20131112,202500,43.2500,43.2500,43.2500,43.2500,100,0
PNX.US,5,20131112,203000,43.2500,43.2500,43.2300,43.2500,300,0
PNX.US,5,20131112,203500,43.4600,43.4600,43.4600,43.4600,600,0
PNX.US,5,20131112,204500,43.3300,43.5200,43.3300,43.4600,600,0
PNX.US,5,20131112,205000,43.3300,43.6600,43.3300,43.5400,500,0
PNX.US,5,20131112,205500,43.6000,43.6000,43.6000,43.6000,100,0
PNX.US,5,20131112,210000,43.5500,43.5500,43.5500,43.5500,100,0
PNX.US,5,20131112,210500,43.6100,43.6100,43.6100,43.6100,100,0
PNX.US,5,20131112,211000,43.5500,43.7300,43.5400,43.5400,400,0
PNX.US,5,20131112,212000,43.7700,43.7700,43.7700,43.7700,100,0
PNX.US,5,20131112,214500,43.6700,43.7600,43.6500,43.6800,1000,0
PNX.US,5,20131112,215000,43.6500,43.6500,43.5700,43.5700,900,0
PNX.US,5,20131112,215500,43.5500,43.6400,43.5400,43.5400,500,0
PNX.US,5,20131112,220000,43.5500,43.5600,43.4500,43.4800,900,0
PNX.US,5,20131112,220500,43.4800,43.4800,43.4800,43.4800,721,0
PNX.US,5,20131113,160000,43.4200,43.4200,43.4200,43.4200,300,0
PNX.US,5,20131113,164000,43.5500,43.6200,43.4900,43.4900,600,0
PNX.US,5,20131113,164500,43.5000,43.5000,43.4900,43.4900,200,0
PNX.US,5,20131113,165500,43.7500,43.7500,43.7500,43.7500,100,0
PNX.US,5,20131113,175500,43.6500,43.9200,43.6500,43.9200,200,0
PNX.US,5,20131113,180000,43.9600,43.9600,43.9600,43.9600,100,0
PNX.US,5,20131113,180500,43.5800,43.8000,43.5500,43.6000,3376,0
PNX.US,5,20131113,181000,43.8900,44.2000,43.8800,44.2000,2110,0
PNX.US,5,20131113,181500,44.0000,44.4700,44.0000,44.4700,250,0
PNX.US,5,20131113,182000,44.4000,44.4000,44.4000,44.4000,100,0
PNX.US,5,20131113,183500,44.4000,44.4000,44.1300,44.1400,400,0
PNX.US,5,20131113,184000,44.4000,44.4000,44.4000,44.4000,100,0
PNX.US,5,20131113,184500,44.2300,44.2300,44.2300,44.2300,500,0
PNX.US,5,20131113,185000,44.4800,44.4800,44.4800,44.4800,100,0
PNX.US,5,20131113,185500,44.4400,44.4400,44.4400,44.4400,100,0
PNX.US,5,20131113,190500,44.4500,44.4800,44.2900,44.3900,2800,0
PNX.US,5,20131113,191000,44.2200,44.2200,44.2200,44.2200,200,0
PNX.US,5,20131113,191500,44.1300,44.1300,44.1200,44.1200,325,0
PNX.US,5,20131113,194500,44.2000,44.2000,44.2000,44.2000,100,0
PNX.US,5,20131113,195000,44.3900,44.3900,44.3900,44.3900,100,0
PNX.US,5,20131113,195500,44.4500,44.5000,44.4500,44.4900,4900,0
PNX.US,5,20131113,200000,44.6300,44.6900,44.4800,44.6900,1000,0
PNX.US,5,20131113,200500,44.8300,44.8800,44.6500,44.8800,4400,0
PNX.US,5,20131113,201000,44.8800,44.8800,44.7300,44.7300,9484,0
PNX.US,5,20131113,201500,44.8400,44.8400,44.6000,44.6000,6632,0
PNX.US,5,20131113,202000,44.4600,44.6000,44.3500,44.4000,1900,0
PNX.US,5,20131113,202500,44.3700,44.3700,44.3700,44.3700,100,0
PNX.US,5,20131113,203500,44.6200,44.6900,44.4400,44.6900,1300,0
PNX.US,5,20131113,204000,44.7800,44.7800,44.4300,44.4300,950,0
PNX.US,5,20131113,210000,44.5900,44.5900,44.5900,44.5900,100,0
PNX.US,5,20131113,210500,44.5200,44.5200,44.4800,44.4800,300,0
PNX.US,5,20131113,211000,44.4800,44.4800,44.4800,44.4800,200,0
PNX.US,5,20131113,213000,44.4700,44.4700,44.4700,44.4700,100,0
PNX.US,5,20131113,213500,44.4300,44.4300,44.4000,44.4200,700,0
PNX.US,5,20131113,214000,44.4000,44.4000,44.3500,44.3500,814,0
PNX.US,5,20131113,214500,44.2700,44.2700,44.2700,44.2700,100,0
PNX.US,5,20131113,220000,44.2500,44.2900,44.2300,44.2800,900,0
PNX.US,5,20131113,220500,44.2900,44.3100,44.2900,44.3100,922,0
PNX.US,5,20131114,154000,44.7800,44.8200,44.7800,44.8200,1050,0
PNX.US,5,20131114,154500,44.7200,44.7200,44.7200,44.7200,100,0
PNX.US,5,20131114,155000,44.8500,44.8600,44.3900,44.3900,400,0
PNX.US,5,20131114,155500,44.3700,44.3700,44.3700,44.3700,100,0
PNX.US,5,20131114,160000,44.6800,44.6800,44.6800,44.6800,200,0
PNX.US,5,20131114,162000,44.7200,44.7400,44.3800,44.3900,2400,0
PNX.US,5,20131114,162500,44.3900,44.3900,44.3900,44.3900,100,0
PNX.US,5,20131114,164500,44.3700,44.3700,44.3600,44.3600,400,0
PNX.US,5,20131114,172000,44.3500,44.3500,44.3500,44.3500,100,0
PNX.US,5,20131114,174000,44.6500,44.6500,44.6500,44.6500,100,0
PNX.US,5,20131114,180500,44.4500,44.4500,44.4400,44.4400,300,0
PNX.US,5,20131114,181000,44.5700,44.5700,44.5700,44.5700,400,0
PNX.US,5,20131114,183000,44.7400,44.7400,44.7400,44.7400,100,0
PNX.US,5,20131114,193500,44.6300,44.6300,44.6300,44.6300,100,0
PNX.US,5,20131114,194500,44.5000,44.5000,44.5000,44.5000,200,0
PNX.US,5,20131114,205500,44.7500,44.8400,44.6300,44.8400,2434,0
PNX.US,5,20131114,210000,44.8700,44.8700,44.8700,44.8700,100,0
PNX.US,5,20131114,212000,44.7500,44.7500,44.7500,44.7500,100,0
PNX.US,5,20131114,215000,44.7400,44.7400,44.7400,44.7400,100,0
PNX.US,5,20131114,220000,44.7400,44.7500,44.7300,44.7400,701,0
PNX.US,5,20131114,220500,44.5400,44.5400,44.5400,44.5400,697,0
PNX.US,5,20131115,162000,44.5100,44.5100,44.4400,44.4400,300,0
PNX.US,5,20131115,170500,44.4600,44.4600,44.4600,44.4600,100,0
PNX.US,5,20131115,171000,44.4600,44.5100,44.4600,44.5100,200,0
PNX.US,5,20131115,174500,44.4000,44.4000,44.4000,44.4000,200,0
PNX.US,5,20131115,175000,44.5200,44.5200,44.5200,44.5200,100,0
PNX.US,5,20131115,175500,44.5100,44.5100,44.5100,44.5100,100,0
PNX.US,5,20131115,180500,44.3700,44.3700,44.3700,44.3700,125,0
PNX.US,5,20131115,181000,44.5000,44.8500,44.5000,44.8500,690,0
PNX.US,5,20131115,183000,44.8800,44.8800,44.6100,44.6100,200,0
PNX.US,5,20131115,185000,44.6000,44.6000,44.6000,44.6000,100,0
PNX.US,5,20131115,194000,44.8300,44.8300,44.8300,44.8300,100,0
PNX.US,5,20131115,195500,44.6200,44.6200,44.4400,44.4400,800,0
PNX.US,5,20131115,200000,44.4400,44.4400,44.4400,44.4400,200,0
PNX.US,5,20131115,202500,44.3900,44.5700,44.3600,44.5700,400,0
PNX.US,5,20131115,204500,44.5700,44.5700,44.5700,44.5700,100,0
PNX.US,5,20131115,212500,44.5400,44.6000,44.5400,44.6000,1300,0
PNX.US,5,20131115,214000,44.5000,44.5300,44.5000,44.5000,300,0
PNX.US,5,20131115,215000,44.5000,44.5000,44.4700,44.5000,513,0
PNX.US,5,20131115,215500,44.6000,44.6000,44.5700,44.6000,2277,0
PNX.US,5,20131115,220000,44.5800,44.5800,44.5800,44.5800,100,0
PNX.US,5,20131115,220500,44.5800,44.5800,44.5800,44.5800,1763,0
PNX.US,5,20131118,153500,44.6000,44.6000,44.6000,44.6000,100,0
PNX.US,5,20131118,160500,44.6500,44.6500,44.6500,44.6500,400,0
PNX.US,5,20131118,161000,44.6500,44.6500,44.6500,44.6500,100,0
PNX.US,5,20131118,164500,44.7800,44.8500,44.7800,44.8500,400,0
PNX.US,5,20131118,165000,44.8500,44.8500,44.8500,44.8500,400,0
PNX.US,5,20131118,165500,44.8600,44.9000,44.8500,44.8800,2520,0
PNX.US,5,20131118,170000,44.9700,44.9700,44.9700,44.9700,100,0
PNX.US,5,20131118,171500,44.8600,44.8600,44.8600,44.8600,669,0
PNX.US,5,20131118,172000,44.8600,45.0000,44.8600,44.9800,2430,0
PNX.US,5,20131118,172500,44.9500,44.9500,44.9500,44.9500,100,0
PNX.US,5,20131118,173000,45.1500,45.1500,45.0000,45.0000,200,0
PNX.US,5,20131118,174000,45.2000,45.2000,45.2000,45.2000,100,0
PNX.US,5,20131118,175000,45.5000,45.5000,45.5000,45.5000,130,0
PNX.US,5,20131118,180000,45.5000,45.5000,45.3700,45.3700,1100,0
PNX.US,5,20131118,180500,45.3700,45.3700,45.3700,45.3700,230,0
PNX.US,5,20131118,181000,45.4600,45.5000,45.4600,45.5000,1400,0
PNX.US,5,20131118,183500,45.9000,45.9000,45.9000,45.9000,100,0
PNX.US,5,20131118,184000,45.9900,45.9900,45.8100,45.8400,555,0
PNX.US,5,20131118,185000,46.0000,46.0000,45.9100,45.9100,1100,0
PNX.US,5,20131118,192000,45.8900,45.8900,45.8900,45.8900,100,0
PNX.US,5,20131118,192500,45.9000,45.9000,45.9000,45.9000,200,0
PNX.US,5,20131118,193000,45.8500,45.8500,45.8500,45.8500,250,0
PNX.US,5,20131118,193500,46.0000,46.0500,46.0000,46.0500,200,0
PNX.US,5,20131118,194000,46.3100,46.3100,46.3100,46.3100,100,0
PNX.US,5,20131118,194500,46.3500,46.3500,46.3500,46.3500,200,0
PNX.US,5,20131118,195000,46.3900,46.3900,46.3900,46.3900,100,0
PNX.US,5,20131118,195500,46.4200,46.4200,46.4000,46.4000,200,0
PNX.US,5,20131118,200000,46.4400,46.4600,46.1400,46.4500,950,0
PNX.US,5,20131118,201000,46.4600,46.4600,46.4600,46.4600,500,0
PNX.US,5,20131118,201500,46.4600,47.0000,46.4600,46.8300,3883,0
PNX.US,5,20131118,202000,47.0000,47.1400,47.0000,47.1400,250,0
PNX.US,5,20131118,202500,46.9000,47.0000,46.9000,46.9200,714,0
PNX.US,5,20131118,204000,46.8500,46.8500,46.5000,46.5000,230,0
