<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNY.US,5,20131112,153500,33.0500,33.0500,33.0300,33.0300,200,0
PNY.US,5,20131112,154000,33.1400,33.1400,33.1400,33.1400,400,0
PNY.US,5,20131112,154500,33.1100,33.1100,33.1100,33.1100,100,0
PNY.US,5,20131112,155000,33.1100,33.1100,33.0900,33.0900,1000,0
PNY.US,5,20131112,155500,33.0900,33.0900,33.0000,33.0000,950,0
PNY.US,5,20131112,160000,33.0600,33.0700,33.0500,33.0700,300,0
PNY.US,5,20131112,160500,33.0000,33.0000,33.0000,33.0000,100,0
PNY.US,5,20131112,161000,33.0700,33.0700,33.0000,33.0500,1400,0
PNY.US,5,20131112,161500,33.0300,33.0500,33.0300,33.0500,300,0
PNY.US,5,20131112,162000,33.0600,33.1000,33.0600,33.0900,2200,0
PNY.US,5,20131112,162500,33.1500,33.1500,33.0600,33.0900,1600,0
PNY.US,5,20131112,163000,33.0800,33.1000,33.0800,33.1000,200,0
PNY.US,5,20131112,163500,33.0900,33.1000,33.0300,33.0300,1832,0
PNY.US,5,20131112,164000,33.0700,33.1000,33.0700,33.0800,747,0
PNY.US,5,20131112,164500,33.0800,33.0800,33.0500,33.0500,400,0
PNY.US,5,20131112,165000,33.0500,33.1000,33.0500,33.1000,990,0
PNY.US,5,20131112,165500,33.0800,33.1100,33.0800,33.1100,500,0
PNY.US,5,20131112,170000,33.1100,33.1100,33.0700,33.0700,800,0
PNY.US,5,20131112,170500,33.0800,33.1100,33.0700,33.1100,2625,0
PNY.US,5,20131112,171000,33.1100,33.1200,33.0800,33.1000,900,0
PNY.US,5,20131112,171500,33.1400,33.1400,33.1200,33.1200,500,0
PNY.US,5,20131112,172000,33.0800,33.0800,33.0800,33.0800,100,0
PNY.US,5,20131112,172500,33.1000,33.1200,33.0900,33.0900,552,0
PNY.US,5,20131112,173000,33.1000,33.1400,33.0800,33.1400,1100,0
PNY.US,5,20131112,173500,33.1400,33.1500,33.0900,33.0900,5720,0
PNY.US,5,20131112,174000,33.0800,33.1300,33.0700,33.0800,3586,0
PNY.US,5,20131112,174500,33.0700,33.1400,33.0700,33.0800,4700,0
PNY.US,5,20131112,175000,33.0900,33.1100,33.0300,33.0500,7200,0
PNY.US,5,20131112,175500,33.0600,33.0700,33.0100,33.0100,1389,0
PNY.US,5,20131112,180000,33.0400,33.0500,33.0100,33.0500,1236,0
PNY.US,5,20131112,180500,33.0600,33.0800,33.0100,33.0400,2858,0
PNY.US,5,20131112,181000,33.0100,33.0100,32.9600,32.9700,1101,0
PNY.US,5,20131112,181500,33.0000,33.0000,32.9400,32.9400,1300,0
PNY.US,5,20131112,182000,32.9100,32.9100,32.8400,32.9000,603,0
PNY.US,5,20131112,182500,32.9000,32.9000,32.8500,32.8700,700,0
PNY.US,5,20131112,183000,32.8800,32.8800,32.7900,32.7900,1300,0
PNY.US,5,20131112,183500,32.7700,32.8000,32.7500,32.8000,1100,0
PNY.US,5,20131112,184000,32.8200,32.8200,32.7700,32.7900,500,0
PNY.US,5,20131112,184500,32.8600,32.8600,32.8200,32.8200,905,0
PNY.US,5,20131112,185000,32.8500,32.8500,32.8500,32.8500,100,0
PNY.US,5,20131112,185500,32.8300,32.8300,32.8300,32.8300,200,0
PNY.US,5,20131112,190000,32.8200,32.8300,32.7700,32.7700,300,0
PNY.US,5,20131112,190500,32.8000,32.8300,32.8000,32.8300,400,0
PNY.US,5,20131112,191000,32.8100,32.8500,32.8100,32.8300,1000,0
PNY.US,5,20131112,191500,32.8800,32.8800,32.8400,32.8600,1110,0
PNY.US,5,20131112,192000,32.8600,32.8600,32.8400,32.8600,1200,0
PNY.US,5,20131112,192500,32.8800,32.8900,32.8800,32.8900,400,0
PNY.US,5,20131112,193000,32.8900,32.9000,32.8300,32.8300,2098,0
PNY.US,5,20131112,193500,32.8400,32.8400,32.8100,32.8200,1025,0
PNY.US,5,20131112,194000,32.7800,32.7800,32.7400,32.7800,2667,0
PNY.US,5,20131112,194500,32.7900,32.7900,32.7500,32.7500,2398,0
PNY.US,5,20131112,195000,32.7800,32.7800,32.7800,32.7800,200,0
PNY.US,5,20131112,195500,32.7800,32.7800,32.7500,32.7500,606,0
PNY.US,5,20131112,200000,32.8000,32.8000,32.8000,32.8000,100,0
PNY.US,5,20131112,200500,32.7700,32.8000,32.7700,32.7900,1175,0
PNY.US,5,20131112,201000,32.7600,32.7700,32.7600,32.7700,300,0
PNY.US,5,20131112,201500,32.7700,32.7700,32.7700,32.7700,300,0
PNY.US,5,20131112,202000,32.7900,32.8000,32.7600,32.8000,1452,0
PNY.US,5,20131112,202500,32.8100,32.8200,32.8100,32.8200,1332,0
PNY.US,5,20131112,203000,32.8300,32.8300,32.8100,32.8100,400,0
PNY.US,5,20131112,203500,32.8100,32.8200,32.8100,32.8100,400,0
PNY.US,5,20131112,204000,32.8200,32.8200,32.8100,32.8100,600,0
PNY.US,5,20131112,204500,32.8300,32.8800,32.8300,32.8800,734,0
PNY.US,5,20131112,205000,32.8500,32.8900,32.8500,32.8800,700,0
PNY.US,5,20131112,205500,32.8500,32.8700,32.8500,32.8700,200,0
PNY.US,5,20131112,210000,32.8900,32.9400,32.8900,32.9400,813,0
PNY.US,5,20131112,210500,32.9400,32.9400,32.9400,32.9400,200,0
PNY.US,5,20131112,211000,32.9400,32.9600,32.9200,32.9200,2298,0
PNY.US,5,20131112,211500,32.9500,32.9700,32.9400,32.9400,2400,0
PNY.US,5,20131112,212000,32.9600,32.9900,32.9600,32.9700,2583,0
PNY.US,5,20131112,212500,32.9600,32.9700,32.9600,32.9600,700,0
PNY.US,5,20131112,213000,32.9500,32.9500,32.9100,32.9500,2101,0
