<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POL.US,5,20131112,153500,30.3100,30.3100,30.2500,30.2700,10095,0
POL.US,5,20131112,154000,30.3000,30.3000,30.1800,30.1800,18653,0
POL.US,5,20131112,154500,30.0900,30.1300,30.0700,30.1300,900,0
POL.US,5,20131112,155000,30.1300,30.1500,30.1300,30.1300,1610,0
POL.US,5,20131112,155500,30.1300,30.1300,30.1100,30.1200,969,0
POL.US,5,20131112,160000,30.1300,30.1500,30.1100,30.1100,1331,0
POL.US,5,20131112,160500,30.1100,30.1100,30.0100,30.0800,4000,0
POL.US,5,20131112,161000,30.0500,30.0700,30.0200,30.0300,2235,0
POL.US,5,20131112,161500,30.0300,30.0700,30.0300,30.0700,700,0
POL.US,5,20131112,162000,30.0300,30.1600,30.0300,30.1300,1100,0
POL.US,5,20131112,162500,30.1300,30.1300,30.0600,30.1000,900,0
POL.US,5,20131112,163000,30.1000,30.1000,30.0300,30.0700,2100,0
POL.US,5,20131112,163500,30.0800,30.0800,30.0600,30.0600,300,0
POL.US,5,20131112,164000,30.1100,30.1200,30.0900,30.1100,600,0
POL.US,5,20131112,164500,30.0700,30.0700,30.0600,30.0600,300,0
POL.US,5,20131112,165000,30.1200,30.1200,30.0800,30.0900,1000,0
POL.US,5,20131112,165500,30.0800,30.0900,30.0800,30.0900,400,0
POL.US,5,20131112,170000,30.0800,30.0800,30.0200,30.0500,2878,0
POL.US,5,20131112,170500,30.0600,30.0900,30.0500,30.0500,1800,0
POL.US,5,20131112,171000,30.0800,30.0900,30.0600,30.0700,1400,0
POL.US,5,20131112,171500,30.0900,30.1400,30.0900,30.1000,900,0
POL.US,5,20131112,172000,30.1200,30.1300,30.1000,30.1200,1710,0
POL.US,5,20131112,172500,30.1000,30.2200,30.0900,30.2200,16470,0
POL.US,5,20131112,173000,30.2200,30.2500,30.1300,30.1500,14157,0
POL.US,5,20131112,173500,30.1500,30.1700,30.1300,30.1700,1100,0
POL.US,5,20131112,174000,30.1800,30.1800,30.1000,30.1000,1400,0
POL.US,5,20131112,174500,30.1200,30.1300,30.1200,30.1300,200,0
POL.US,5,20131112,175000,30.1700,30.1800,30.1100,30.1200,5300,0
POL.US,5,20131112,175500,30.1000,30.1300,30.0800,30.1200,10701,0
POL.US,5,20131112,180000,30.1100,30.1200,30.0800,30.0800,800,0
POL.US,5,20131112,180500,30.0900,30.1000,30.0800,30.1000,300,0
POL.US,5,20131112,181000,30.0900,30.1200,29.9700,30.0100,4300,0
POL.US,5,20131112,181500,30.0500,30.0600,30.0500,30.0600,900,0
POL.US,5,20131112,182000,30.0600,30.1000,30.0400,30.0500,3000,0
POL.US,5,20131112,182500,30.0400,30.0500,30.0200,30.0400,1500,0
POL.US,5,20131112,183000,30.0400,30.0700,30.0400,30.0600,500,0
POL.US,5,20131112,183500,30.0200,30.0200,29.9700,30.0100,14502,0
POL.US,5,20131112,184000,30.0300,30.0900,30.0300,30.0900,2300,0
POL.US,5,20131112,184500,30.1000,30.1400,30.1000,30.1400,9294,0
POL.US,5,20131112,185000,30.1400,30.1400,30.1300,30.1300,500,0
POL.US,5,20131112,190000,30.1400,30.1500,30.1400,30.1500,800,0
POL.US,5,20131112,190500,30.1300,30.1300,30.1300,30.1300,200,0
POL.US,5,20131112,191000,30.1500,30.1500,30.1300,30.1300,200,0
POL.US,5,20131112,191500,30.1500,30.1500,30.0700,30.1100,8762,0
POL.US,5,20131112,192000,30.1200,30.1400,30.1200,30.1400,600,0
