<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRGO.US,5,20131112,153500,149.3800,149.3800,148.9000,149.3100,9286,0
PRGO.US,5,20131112,154000,149.3200,149.7400,149.3200,149.6200,15251,0
PRGO.US,5,20131112,154500,149.6800,150.1800,149.6000,150.1800,23928,0
PRGO.US,5,20131112,155000,150.1100,150.3000,150.0500,150.2800,6167,0
PRGO.US,5,20131112,155500,150.3000,150.4100,150.2100,150.3000,9860,0
PRGO.US,5,20131112,160000,150.3000,150.4400,150.2200,150.3200,5584,0
PRGO.US,5,20131112,160500,150.3300,150.4000,150.0500,150.1200,11549,0
PRGO.US,5,20131112,161000,150.0500,150.1200,149.9600,149.9800,10562,0
PRGO.US,5,20131112,161500,150.0000,150.0500,149.9400,149.9800,7987,0
PRGO.US,5,20131112,162000,149.9500,150.0000,149.8900,149.9800,42944,0
PRGO.US,5,20131112,162500,149.9800,149.9800,149.8000,149.8900,32557,0
PRGO.US,5,20131112,163000,149.9000,149.9000,149.8200,149.9000,16429,0
PRGO.US,5,20131112,163500,149.9000,150.0200,149.9000,150.0200,16337,0
PRGO.US,5,20131112,164000,150.0100,150.3500,150.0100,150.2700,6981,0
PRGO.US,5,20131112,164500,150.2800,150.2800,150.0000,150.1700,11900,0
PRGO.US,5,20131112,165000,150.1900,150.4500,150.1900,150.2700,6331,0
PRGO.US,5,20131112,165500,150.3400,150.4500,150.3000,150.4500,11842,0
PRGO.US,5,20131112,170000,150.4500,150.4800,150.3100,150.3800,15710,0
PRGO.US,5,20131112,170500,150.3500,150.4800,150.2900,150.4300,8300,0
PRGO.US,5,20131112,171000,150.4500,150.4500,150.2800,150.3500,14780,0
PRGO.US,5,20131112,171500,150.3200,150.4400,150.2300,150.3000,38188,0
PRGO.US,5,20131112,172000,150.3000,150.4000,150.2500,150.2500,11237,0
PRGO.US,5,20131112,172500,150.2100,150.2100,150.0800,150.0800,14554,0
PRGO.US,5,20131112,173000,150.1000,150.1500,150.0300,150.1400,9954,0
PRGO.US,5,20131112,173500,150.1200,150.1700,149.9900,150.0100,4997,0
PRGO.US,5,20131112,174000,150.0100,150.0500,149.8200,149.8600,6885,0
PRGO.US,5,20131112,174500,149.8500,149.9600,149.7400,149.9600,6300,0
PRGO.US,5,20131112,175000,150.0100,150.0500,149.9000,150.0000,5400,0
PRGO.US,5,20131112,175500,150.0300,150.1400,150.0200,150.1400,4128,0
PRGO.US,5,20131112,180000,150.1400,150.2000,150.1100,150.1100,5702,0
PRGO.US,5,20131112,180500,150.1100,150.2400,149.9800,150.0300,21714,0
PRGO.US,5,20131112,181000,150.0300,150.0500,149.8100,149.8100,6689,0
PRGO.US,5,20131112,181500,149.8700,150.0100,149.8700,149.9800,7274,0
PRGO.US,5,20131112,182000,149.9900,150.0300,149.9400,150.0000,7500,0
PRGO.US,5,20131112,182500,150.0100,150.0500,149.9500,150.0300,3699,0
PRGO.US,5,20131112,183000,150.0200,150.1000,150.0000,150.1000,1800,0
PRGO.US,5,20131112,183500,150.0100,150.0300,149.9400,149.9700,2100,0
PRGO.US,5,20131112,184000,149.9200,149.9400,149.9000,149.9400,1100,0
PRGO.US,5,20131112,184500,149.9500,150.0500,149.9500,150.0400,3163,0
PRGO.US,5,20131112,185000,150.0600,150.1000,149.9900,150.0200,23200,0
PRGO.US,5,20131112,185500,150.0400,150.1300,150.0400,150.1300,700,0
PRGO.US,5,20131112,190000,150.1200,150.1200,150.0600,150.0800,2120,0
PRGO.US,5,20131112,190500,150.1000,150.1000,149.9400,150.0000,12002,0
PRGO.US,5,20131112,191000,150.0000,150.0600,149.9400,150.0600,8703,0
PRGO.US,5,20131112,191500,150.0400,150.1200,150.0400,150.0700,1900,0
PRGO.US,5,20131112,192000,150.0500,150.0900,150.0100,150.0400,3537,0
PRGO.US,5,20131112,192500,150.0200,150.0900,150.0000,150.0300,21210,0
PRGO.US,5,20131112,193000,150.0300,150.1100,149.9500,149.9500,11009,0
PRGO.US,5,20131112,193500,149.9900,150.0200,149.8300,149.8800,3700,0
PRGO.US,5,20131112,194000,149.8500,149.9600,149.8000,149.8700,25200,0
PRGO.US,5,20131112,194500,149.9100,149.9200,149.8200,149.8700,3700,0
PRGO.US,5,20131112,195000,149.8700,149.9600,149.8400,149.9600,26967,0
PRGO.US,5,20131112,195500,149.9400,149.9800,149.8200,149.9300,10900,0
PRGO.US,5,20131112,200000,149.9500,149.9700,149.8400,149.9000,12008,0
PRGO.US,5,20131112,200500,149.9600,149.9600,149.8700,149.8800,9300,0
PRGO.US,5,20131112,201000,149.8600,149.9300,149.8500,149.8500,8347,0
PRGO.US,5,20131112,201500,149.8400,149.9500,149.8400,149.8800,13503,0
PRGO.US,5,20131112,202000,149.9000,149.9500,149.8000,149.9500,8301,0
PRGO.US,5,20131112,202500,149.9200,150.0500,149.9200,150.0000,15758,0
PRGO.US,5,20131112,203000,150.0100,150.0800,149.8200,149.9600,17069,0
PRGO.US,5,20131112,203500,149.9400,149.9900,149.9300,149.9700,3123,0
PRGO.US,5,20131112,204000,149.9700,150.1000,149.9400,150.0500,32445,0
PRGO.US,5,20131112,204500,150.0400,150.0400,149.9400,150.0300,10700,0
PRGO.US,5,20131112,205000,150.0300,150.1100,149.9700,150.0800,5134,0
PRGO.US,5,20131112,205500,150.1300,150.1400,150.0200,150.1100,9276,0
PRGO.US,5,20131112,210000,150.1300,150.3500,150.0900,150.2900,6110,0
PRGO.US,5,20131112,210500,150.3600,150.3800,150.2600,150.2800,7850,0
PRGO.US,5,20131112,211000,150.2600,150.3700,150.2600,150.3400,9359,0
PRGO.US,5,20131112,211500,150.3200,150.3500,150.2300,150.2300,6154,0
PRGO.US,5,20131112,212000,150.2000,150.2400,150.1900,150.2300,15639,0
PRGO.US,5,20131112,212500,150.2400,150.2700,150.0600,150.1000,5328,0
PRGO.US,5,20131112,213000,150.1000,150.1100,149.9000,149.9300,12397,0
PRGO.US,5,20131112,213500,149.9500,150.0200,149.9300,150.0000,8620,0
PRGO.US,5,20131112,214000,149.9500,150.0100,149.9300,149.9600,7700,0
PRGO.US,5,20131112,214500,149.9700,150.0500,149.9600,150.0400,7135,0
PRGO.US,5,20131112,215000,150.0200,150.0300,149.9000,149.9300,7958,0
PRGO.US,5,20131112,215500,149.9400,150.0100,149.9000,149.9700,8100,0
PRGO.US,5,20131112,220000,149.9700,150.0800,149.9000,150.0100,19746,0
PRGO.US,5,20131112,220500,150.0300,150.0300,150.0300,150.0300,22415,0
PRGO.US,5,20131113,153500,149.6500,150.2900,149.5200,150.1000,7375,0
PRGO.US,5,20131113,154000,150.0900,150.3600,150.0200,150.0700,16403,0
PRGO.US,5,20131113,154500,150.0800,150.3800,149.8600,150.0600,18789,0
PRGO.US,5,20131113,155000,150.0700,150.0700,149.6500,149.6500,10292,0
PRGO.US,5,20131113,155500,149.6600,149.6600,149.4000,149.4000,5063,0
PRGO.US,5,20131113,160000,149.4100,149.4900,149.1300,149.3700,10343,0
PRGO.US,5,20131113,160500,149.4200,149.4300,149.1700,149.4300,6445,0
PRGO.US,5,20131113,161000,149.4400,149.5600,149.3300,149.5200,49500,0
