<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSF.US,5,20131112,153500,23.6200,23.6200,23.6100,23.6200,600,0
PSF.US,5,20131112,154000,23.6200,23.6400,23.6200,23.6200,300,0
PSF.US,5,20131112,154500,23.6700,23.6700,23.6700,23.6700,100,0
PSF.US,5,20131112,155000,23.7000,23.7000,23.7000,23.7000,100,0
PSF.US,5,20131112,155500,23.7200,23.7200,23.7200,23.7200,100,0
PSF.US,5,20131112,160500,23.7500,23.7500,23.7500,23.7500,200,0
PSF.US,5,20131112,161000,23.7500,23.7500,23.7200,23.7400,2000,0
PSF.US,5,20131112,161500,23.7500,23.7500,23.7300,23.7300,200,0
PSF.US,5,20131112,162000,23.7500,23.7500,23.7500,23.7500,100,0
PSF.US,5,20131112,162500,23.7500,23.7700,23.7500,23.7700,200,0
PSF.US,5,20131112,163500,23.7700,23.7700,23.7700,23.7700,500,0
PSF.US,5,20131112,164500,23.7700,23.7900,23.7700,23.7900,625,0
PSF.US,5,20131112,165000,23.7800,23.7900,23.7800,23.7900,1405,0
PSF.US,5,20131112,165500,23.7900,23.7900,23.7700,23.7700,500,0
PSF.US,5,20131112,170000,23.7800,23.7800,23.7800,23.7800,100,0
PSF.US,5,20131112,171000,23.7900,23.7900,23.7900,23.7900,200,0
PSF.US,5,20131112,172000,23.7800,23.7800,23.7700,23.7700,2580,0
PSF.US,5,20131112,172500,23.7400,23.7400,23.7400,23.7400,1000,0
PSF.US,5,20131112,173000,23.7700,23.7700,23.7700,23.7700,100,0
PSF.US,5,20131112,175000,23.7700,23.7700,23.7300,23.7300,1439,0
PSF.US,5,20131112,183000,23.7300,23.7300,23.7300,23.7300,1000,0
PSF.US,5,20131112,183500,23.7700,23.7700,23.7700,23.7700,1368,0
PSF.US,5,20131112,185000,23.7700,23.7700,23.7700,23.7700,200,0
PSF.US,5,20131112,190500,23.7300,23.7300,23.7300,23.7300,2198,0
PSF.US,5,20131112,191500,23.7300,23.7300,23.7300,23.7300,200,0
PSF.US,5,20131112,192500,23.7300,23.7300,23.7300,23.7300,100,0
PSF.US,5,20131112,193500,23.7500,23.7500,23.7300,23.7300,220,0
PSF.US,5,20131112,194000,23.7500,23.7500,23.7500,23.7500,140,0
PSF.US,5,20131112,195500,23.7400,23.7500,23.7300,23.7500,808,0
PSF.US,5,20131112,200000,23.7300,23.7300,23.7200,23.7300,1300,0
PSF.US,5,20131112,201500,23.7200,23.7300,23.7000,23.7300,800,0
PSF.US,5,20131112,202000,23.7300,23.7300,23.7300,23.7300,300,0
PSF.US,5,20131112,202500,23.7300,23.7300,23.7300,23.7300,469,0
PSF.US,5,20131112,204000,23.7300,23.7300,23.6900,23.6900,1550,0
PSF.US,5,20131112,204500,23.7100,23.7100,23.7100,23.7100,100,0
PSF.US,5,20131112,205500,23.7100,23.7100,23.7100,23.7100,400,0
PSF.US,5,20131112,210000,23.7100,23.7100,23.7100,23.7100,600,0
PSF.US,5,20131112,210500,23.7300,23.7300,23.7300,23.7300,200,0
PSF.US,5,20131112,212000,23.7300,23.7300,23.7300,23.7300,300,0
PSF.US,5,20131112,212500,23.7300,23.7300,23.7000,23.7300,1955,0
PSF.US,5,20131112,214000,23.7400,23.7400,23.7400,23.7400,300,0
PSF.US,5,20131112,220000,23.7100,23.7500,23.7100,23.7500,500,0
PSF.US,5,20131113,153500,23.6800,23.7500,23.6800,23.7500,300,0
PSF.US,5,20131113,154000,23.7800,23.7900,23.7500,23.7500,400,0
PSF.US,5,20131113,154500,23.7000,23.7200,23.6700,23.6900,2000,0
PSF.US,5,20131113,155500,23.6900,23.6900,23.6900,23.6900,400,0
PSF.US,5,20131113,161000,23.6800,23.6800,23.6800,23.6800,500,0
PSF.US,5,20131113,161500,23.7800,23.7800,23.6700,23.7400,3577,0
PSF.US,5,20131113,162000,23.7400,23.7400,23.7400,23.7400,1236,0
PSF.US,5,20131113,163000,23.6800,23.6800,23.6800,23.6800,520,0
PSF.US,5,20131113,164000,23.7000,23.7400,23.7000,23.7400,500,0
PSF.US,5,20131113,165500,23.7400,23.7400,23.7400,23.7400,556,0
PSF.US,5,20131113,170000,23.7100,23.7100,23.7100,23.7100,800,0
PSF.US,5,20131113,171000,23.6700,23.6700,23.6700,23.6700,1000,0
PSF.US,5,20131113,173500,23.7500,23.7500,23.7500,23.7500,1000,0
PSF.US,5,20131113,174500,23.6900,23.7100,23.6900,23.7100,1175,0
PSF.US,5,20131113,175000,23.6900,23.6900,23.6900,23.6900,500,0
PSF.US,5,20131113,180000,23.7100,23.7100,23.7100,23.7100,300,0
PSF.US,5,20131113,180500,23.7500,23.7500,23.7500,23.7500,400,0
PSF.US,5,20131113,184000,23.7500,23.7500,23.7500,23.7500,300,0
PSF.US,5,20131113,190000,23.7500,23.7500,23.7000,23.7000,1400,0
PSF.US,5,20131113,191000,23.7200,23.7200,23.7200,23.7200,100,0
PSF.US,5,20131113,192000,23.7200,23.7200,23.7200,23.7200,100,0
PSF.US,5,20131113,194500,23.7200,23.7200,23.7200,23.7200,100,0
PSF.US,5,20131113,195500,23.6900,23.6900,23.6900,23.6900,100,0
PSF.US,5,20131113,200500,23.6900,23.6900,23.6900,23.6900,246,0
PSF.US,5,20131113,201000,23.7200,23.7200,23.6900,23.6900,300,0
PSF.US,5,20131113,202000,23.6900,23.6900,23.6900,23.6900,977,0
PSF.US,5,20131113,203000,23.6900,23.7200,23.6900,23.7200,350,0
PSF.US,5,20131113,204000,23.7200,23.7200,23.7200,23.7200,2500,0
PSF.US,5,20131113,204500,23.7500,23.7500,23.7200,23.7200,500,0
PSF.US,5,20131113,205000,23.7400,23.7600,23.7400,23.7600,421,0
PSF.US,5,20131113,210000,23.7600,23.7700,23.7600,23.7700,1145,0
PSF.US,5,20131113,210500,23.7900,23.8100,23.7900,23.7900,1630,0
PSF.US,5,20131113,211500,23.8000,23.8000,23.7900,23.7900,2300,0
PSF.US,5,20131113,212000,23.7900,23.7900,23.7900,23.7900,1800,0
PSF.US,5,20131113,212500,23.7900,23.7900,23.7900,23.7900,200,0
PSF.US,5,20131113,213500,23.7900,23.7900,23.7900,23.7900,100,0
PSF.US,5,20131113,214000,23.7700,23.7700,23.7700,23.7700,200,0
PSF.US,5,20131113,214500,23.7700,23.7800,23.7700,23.7800,200,0
PSF.US,5,20131113,215000,23.7800,23.7800,23.7800,23.7800,100,0
PSF.US,5,20131113,220000,23.7900,23.7900,23.7900,23.7900,100,0
PSF.US,5,20131114,153500,23.8100,23.8100,23.7100,23.7100,200,0
PSF.US,5,20131114,154000,23.7100,23.7100,23.7000,23.7000,700,0
PSF.US,5,20131114,154500,23.7200,23.7400,23.7200,23.7400,2300,0
PSF.US,5,20131114,155000,23.7400,23.7400,23.7400,23.7400,300,0
PSF.US,5,20131114,155500,23.7400,23.7900,23.7400,23.7900,2300,0
PSF.US,5,20131114,160000,23.7400,23.7400,23.7400,23.7400,200,0
PSF.US,5,20131114,161000,23.7800,23.8300,23.7800,23.8300,2300,0
PSF.US,5,20131114,161500,23.8200,23.8200,23.8100,23.8100,324,0
PSF.US,5,20131114,162000,23.8100,23.8400,23.8100,23.8400,800,0
PSF.US,5,20131114,163000,23.8400,23.8400,23.8400,23.8400,200,0
PSF.US,5,20131114,164500,23.8300,23.8500,23.8200,23.8200,3266,0
PSF.US,5,20131114,165000,23.8400,23.8500,23.8200,23.8500,2810,0
PSF.US,5,20131114,170500,23.8400,23.8600,23.8400,23.8500,640,0
PSF.US,5,20131114,171000,23.8600,23.8600,23.8600,23.8600,150,0
PSF.US,5,20131114,171500,23.8700,23.8700,23.8700,23.8700,700,0
PSF.US,5,20131114,172000,23.8800,23.8800,23.8600,23.8600,390,0
PSF.US,5,20131114,172500,23.8800,23.8800,23.8800,23.8800,300,0
PSF.US,5,20131114,173000,23.8800,23.8800,23.8800,23.8800,320,0
PSF.US,5,20131114,180000,23.8900,23.8900,23.8700,23.8700,900,0
PSF.US,5,20131114,182000,23.8700,23.8700,23.8700,23.8700,370,0
PSF.US,5,20131114,182500,23.8600,23.8600,23.8600,23.8600,1500,0
PSF.US,5,20131114,184000,23.8500,23.8500,23.8500,23.8500,162,0
PSF.US,5,20131114,190500,23.8500,23.8500,23.8400,23.8500,1800,0
PSF.US,5,20131114,192500,23.8800,23.8800,23.8800,23.8800,2100,0
PSF.US,5,20131114,193000,23.9000,23.9000,23.8800,23.8800,206,0
PSF.US,5,20131114,195000,23.8400,23.8400,23.8400,23.8400,2000,0
PSF.US,5,20131114,195500,23.8700,23.9000,23.8700,23.9000,4800,0
PSF.US,5,20131114,202000,23.8600,23.8600,23.8600,23.8600,400,0
PSF.US,5,20131114,203000,23.8700,23.8700,23.8700,23.8700,250,0
PSF.US,5,20131114,205000,23.8500,23.8500,23.8500,23.8500,200,0
PSF.US,5,20131114,205500,23.8800,23.9200,23.8500,23.8700,2400,0
PSF.US,5,20131114,210000,23.8900,23.8900,23.8500,23.8500,900,0
