<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWE.US,5,20131112,153500,8.6800,8.6800,8.6400,8.6500,14070,0
PWE.US,5,20131112,154000,8.6400,8.6400,8.6000,8.6100,49774,0
PWE.US,5,20131112,154500,8.6100,8.6100,8.5800,8.5900,50854,0
PWE.US,5,20131112,155000,8.6000,8.6100,8.5800,8.6000,38021,0
PWE.US,5,20131112,155500,8.6000,8.6000,8.5700,8.5800,52542,0
PWE.US,5,20131112,160000,8.5900,8.5900,8.5800,8.5900,12967,0
PWE.US,5,20131112,160500,8.5900,8.5900,8.5500,8.5500,41574,0
PWE.US,5,20131112,161000,8.5500,8.5600,8.5000,8.5200,204069,0
PWE.US,5,20131112,161500,8.5200,8.5300,8.5200,8.5300,27713,0
PWE.US,5,20131112,162000,8.5300,8.5700,8.5200,8.5700,69000,0
PWE.US,5,20131112,162500,8.5700,8.5700,8.5400,8.5400,23100,0
PWE.US,5,20131112,163000,8.5400,8.5500,8.5300,8.5400,10812,0
PWE.US,5,20131112,163500,8.5400,8.5500,8.5200,8.5200,41766,0
PWE.US,5,20131112,164000,8.5200,8.5400,8.5100,8.5300,52248,0
PWE.US,5,20131112,164500,8.5300,8.5400,8.5200,8.5300,29979,0
PWE.US,5,20131112,165000,8.5300,8.5500,8.5200,8.5200,29421,0
PWE.US,5,20131112,165500,8.5200,8.5300,8.5000,8.5100,40712,0
PWE.US,5,20131112,170000,8.5000,8.5200,8.5000,8.5000,63514,0
PWE.US,5,20131112,170500,8.5000,8.5100,8.4700,8.5000,104926,0
PWE.US,5,20131112,171000,8.4900,8.5000,8.4800,8.4900,104625,0
PWE.US,5,20131112,171500,8.4900,8.5400,8.4900,8.5400,37392,0
PWE.US,5,20131112,172000,8.5300,8.5400,8.5300,8.5300,18675,0
PWE.US,5,20131112,172500,8.5300,8.5300,8.5200,8.5300,16946,0
PWE.US,5,20131112,173000,8.5200,8.5400,8.5200,8.5300,34934,0
PWE.US,5,20131112,173500,8.5300,8.5400,8.4900,8.4900,148815,0
PWE.US,5,20131112,174000,8.4900,8.5000,8.4900,8.4900,29832,0
PWE.US,5,20131112,174500,8.5000,8.5000,8.4800,8.4900,71835,0
PWE.US,5,20131112,175000,8.4800,8.4900,8.4700,8.4800,58382,0
PWE.US,5,20131112,175500,8.4800,8.4900,8.4700,8.4800,106516,0
PWE.US,5,20131112,180000,8.4800,8.4800,8.4300,8.4300,79859,0
PWE.US,5,20131112,180500,8.4400,8.4800,8.4400,8.4700,172229,0
PWE.US,5,20131112,181000,8.4700,8.4700,8.4400,8.4500,21592,0
PWE.US,5,20131112,181500,8.4500,8.4800,8.4400,8.4700,136304,0
PWE.US,5,20131112,182000,8.4700,8.4800,8.4600,8.4700,72306,0
PWE.US,5,20131112,182500,8.4800,8.4800,8.4700,8.4800,10636,0
PWE.US,5,20131112,183000,8.4800,8.5000,8.4700,8.4700,70850,0
PWE.US,5,20131112,183500,8.4600,8.4800,8.4600,8.4800,18379,0
PWE.US,5,20131112,184000,8.4800,8.4900,8.4700,8.4800,28800,0
PWE.US,5,20131112,184500,8.4800,8.4900,8.4700,8.4800,30240,0
PWE.US,5,20131112,185000,8.4700,8.4800,8.4700,8.4800,17388,0
PWE.US,5,20131112,185500,8.4800,8.4900,8.4700,8.4800,37137,0
PWE.US,5,20131112,190000,8.4800,8.4800,8.4700,8.4700,11119,0
PWE.US,5,20131112,190500,8.4800,8.4800,8.4600,8.4600,26025,0
PWE.US,5,20131112,191000,8.4600,8.4600,8.4500,8.4500,15701,0
PWE.US,5,20131112,191500,8.4600,8.4600,8.4500,8.4500,4619,0
PWE.US,5,20131112,192000,8.4500,8.4600,8.4500,8.4500,18200,0
PWE.US,5,20131112,192500,8.4600,8.4600,8.4500,8.4500,11796,0
PWE.US,5,20131112,193000,8.4500,8.4600,8.4400,8.4400,16977,0
PWE.US,5,20131112,193500,8.4400,8.4500,8.4300,8.4300,24502,0
PWE.US,5,20131112,194000,8.4300,8.4400,8.4200,8.4200,41287,0
PWE.US,5,20131112,194500,8.4200,8.4300,8.4100,8.4300,21730,0
PWE.US,5,20131112,195000,8.4300,8.4400,8.4200,8.4300,13527,0
PWE.US,5,20131112,195500,8.4400,8.4500,8.4400,8.4500,7700,0
PWE.US,5,20131112,200000,8.4500,8.4500,8.4400,8.4500,5270,0
PWE.US,5,20131112,200500,8.4500,8.4600,8.4300,8.4300,21359,0
PWE.US,5,20131112,201000,8.4400,8.4400,8.4200,8.4200,8910,0
PWE.US,5,20131112,201500,8.4200,8.4300,8.4100,8.4200,32078,0
PWE.US,5,20131112,202000,8.4200,8.4200,8.4000,8.4200,41992,0
PWE.US,5,20131112,202500,8.4200,8.4200,8.4100,8.4200,9208,0
PWE.US,5,20131112,203000,8.4100,8.4200,8.4000,8.4100,21654,0
PWE.US,5,20131112,203500,8.4100,8.4100,8.3800,8.3800,103927,0
PWE.US,5,20131112,204000,8.3800,8.4000,8.3800,8.3900,36239,0
PWE.US,5,20131112,204500,8.4000,8.4000,8.3700,8.3900,71674,0
PWE.US,5,20131112,205000,8.3900,8.3900,8.3500,8.3500,60935,0
PWE.US,5,20131112,205500,8.3600,8.3900,8.3500,8.3900,73525,0
PWE.US,5,20131112,210000,8.3900,8.4100,8.3800,8.4000,39868,0
PWE.US,5,20131112,210500,8.4100,8.4100,8.3800,8.3900,39895,0
PWE.US,5,20131112,211000,8.3900,8.3900,8.3800,8.3900,23223,0
PWE.US,5,20131112,211500,8.3900,8.3900,8.3700,8.3800,34621,0
PWE.US,5,20131112,212000,8.3800,8.3800,8.3600,8.3800,34269,0
PWE.US,5,20131112,212500,8.3800,8.3800,8.3200,8.3500,114341,0
PWE.US,5,20131112,213000,8.3400,8.3600,8.3400,8.3500,48670,0
PWE.US,5,20131112,213500,8.3500,8.3700,8.3500,8.3600,74849,0
PWE.US,5,20131112,214000,8.3600,8.3700,8.3500,8.3600,47271,0
PWE.US,5,20131112,214500,8.3600,8.3700,8.3500,8.3600,31186,0
PWE.US,5,20131112,215000,8.3600,8.3800,8.3600,8.3800,45786,0
