<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYN.US,5,20131112,160000,8.7000,8.7000,8.6800,8.6800,1800,0
PYN.US,5,20131112,162000,8.6900,8.6900,8.6900,8.6900,600,0
PYN.US,5,20131112,162500,8.7000,8.7000,8.7000,8.7000,354,0
PYN.US,5,20131112,170500,8.7000,8.7000,8.7000,8.7000,115,0
PYN.US,5,20131112,171500,8.6900,8.6900,8.6900,8.6900,200,0
PYN.US,5,20131112,173500,8.7000,8.7300,8.7000,8.7000,1670,0
PYN.US,5,20131112,174000,8.7200,8.7200,8.7200,8.7200,300,0
PYN.US,5,20131112,183500,8.7400,8.7800,8.7400,8.7800,1950,0
PYN.US,5,20131112,190000,8.8000,8.8000,8.8000,8.8000,400,0
PYN.US,5,20131112,192000,8.8000,8.8000,8.8000,8.8000,100,0
PYN.US,5,20131112,193500,8.7400,8.7500,8.7400,8.7500,1000,0
PYN.US,5,20131112,194000,8.7200,8.7200,8.7200,8.7200,1000,0
PYN.US,5,20131112,201000,8.7500,8.7500,8.7000,8.7000,346,0
PYN.US,5,20131112,203500,8.7500,8.7500,8.7400,8.7400,1472,0
PYN.US,5,20131112,211000,8.7600,8.7600,8.7600,8.7600,200,0
PYN.US,5,20131112,212000,8.7400,8.7400,8.7400,8.7400,943,0
PYN.US,5,20131112,213000,8.8000,8.8000,8.8000,8.8000,200,0
PYN.US,5,20131112,215000,8.7800,8.7800,8.7800,8.7800,100,0
PYN.US,5,20131112,215500,8.8000,8.8000,8.8000,8.8000,400,0
PYN.US,5,20131112,220000,8.8000,8.8000,8.8000,8.8000,200,0
PYN.US,5,20131113,155000,8.8500,8.8500,8.8000,8.8000,500,0
PYN.US,5,20131113,160500,8.7800,8.7800,8.7800,8.7800,200,0
PYN.US,5,20131113,162000,8.8200,8.8200,8.8200,8.8200,100,0
PYN.US,5,20131113,163000,8.8200,8.8200,8.8200,8.8200,200,0
PYN.US,5,20131113,174500,8.7800,8.7800,8.7800,8.7800,200,0
PYN.US,5,20131113,175000,8.7700,8.7900,8.7700,8.7900,300,0
PYN.US,5,20131113,183500,8.7400,8.7400,8.7400,8.7400,118,0
PYN.US,5,20131113,184000,8.7400,8.7400,8.7400,8.7400,118,0
PYN.US,5,20131113,184500,8.7400,8.7400,8.7400,8.7400,118,0
PYN.US,5,20131113,185000,8.7400,8.7400,8.7400,8.7400,117,0
PYN.US,5,20131113,185500,8.7900,8.7900,8.7900,8.7900,200,0
PYN.US,5,20131113,192000,8.7200,8.7200,8.7200,8.7200,100,0
PYN.US,5,20131113,195000,8.7600,8.7600,8.7200,8.7600,400,0
PYN.US,5,20131113,195500,8.7400,8.7400,8.7300,8.7300,200,0
PYN.US,5,20131113,200000,8.7300,8.7300,8.7300,8.7300,200,0
PYN.US,5,20131113,201000,8.7600,8.7600,8.7200,8.7200,615,0
PYN.US,5,20131113,201500,8.7600,8.7600,8.7400,8.7400,300,0
PYN.US,5,20131113,202000,8.7300,8.7600,8.7300,8.7600,2100,0
PYN.US,5,20131113,204000,8.7300,8.7300,8.7300,8.7300,100,0
PYN.US,5,20131113,205500,8.7700,8.7700,8.7700,8.7700,100,0
PYN.US,5,20131113,212500,8.7600,8.7600,8.7600,8.7600,400,0
PYN.US,5,20131113,213000,8.7700,8.8000,8.7600,8.8000,700,0
PYN.US,5,20131113,214000,8.7700,8.7700,8.7300,8.7300,3500,0
PYN.US,5,20131113,214500,8.8000,8.8200,8.8000,8.8200,400,0
PYN.US,5,20131113,215000,8.7300,8.8100,8.7300,8.8100,2700,0
PYN.US,5,20131113,215500,8.8100,8.8100,8.7800,8.7800,400,0
PYN.US,5,20131113,220000,8.8300,8.8300,8.7300,8.7300,300,0
PYN.US,5,20131114,165000,8.7600,8.7800,8.7600,8.7600,500,0
PYN.US,5,20131114,165500,8.7700,8.7700,8.7400,8.7500,2938,0
PYN.US,5,20131114,170000,8.7300,8.7600,8.7200,8.7600,11500,0
PYN.US,5,20131114,181000,8.7900,8.7900,8.7900,8.7900,200,0
PYN.US,5,20131114,185000,8.7800,8.7800,8.7800,8.7800,200,0
PYN.US,5,20131114,185500,8.7700,8.7700,8.7600,8.7600,1000,0
PYN.US,5,20131114,190000,8.7700,8.7700,8.7500,8.7700,2144,0
PYN.US,5,20131114,191500,8.7500,8.7500,8.7500,8.7500,100,0
PYN.US,5,20131114,192000,8.7500,8.7500,8.7400,8.7400,900,0
PYN.US,5,20131114,192500,8.7100,8.7300,8.7000,8.7100,4954,0
