<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAS-B.US,5,20131112,155000,24.4000,24.4000,24.4000,24.4000,100,0
RAS-B.US,5,20131112,172500,24.6200,24.6200,24.6000,24.6000,400,0
RAS-B.US,5,20131112,174000,24.6500,24.6500,24.6500,24.6500,500,0
RAS-B.US,5,20131112,181000,24.4000,24.4000,24.4000,24.4000,100,0
RAS-B.US,5,20131112,202500,24.6000,24.6000,24.6000,24.6000,100,0
RAS-B.US,5,20131112,205500,24.6400,24.6400,24.6400,24.6400,100,0
RAS-B.US,5,20131112,215500,24.6400,24.6400,24.6400,24.6400,300,0
RAS-B.US,5,20131113,200000,24.6300,24.6300,24.6300,24.6300,400,0
RAS-B.US,5,20131113,204500,24.6300,24.6300,24.6300,24.6300,100,0
RAS-B.US,5,20131114,164500,24.6300,24.6300,24.5900,24.5900,1300,0
RAS-B.US,5,20131114,175000,24.6000,24.6000,24.6000,24.6000,200,0
RAS-B.US,5,20131114,200500,24.5100,24.5100,24.5100,24.5100,400,0
RAS-B.US,5,20131114,203000,24.5300,24.5300,24.5300,24.5300,112,0
RAS-B.US,5,20131114,211000,24.5700,24.5800,24.5700,24.5800,1200,0
RAS-B.US,5,20131114,213500,24.5700,24.5700,24.5700,24.5700,1000,0
RAS-B.US,5,20131114,215500,24.5700,24.5700,24.5700,24.5700,200,0
RAS-B.US,5,20131115,161500,24.6500,24.6500,24.6500,24.6500,700,0
RAS-B.US,5,20131115,163000,24.6500,24.6500,24.6500,24.6500,400,0
RAS-B.US,5,20131115,202000,24.6000,24.6000,24.6000,24.6000,300,0
RAS-B.US,5,20131115,204500,24.6000,24.6200,24.6000,24.6100,400,0
RAS-B.US,5,20131115,212000,24.5300,24.5300,24.5300,24.5300,1000,0
RAS-B.US,5,20131118,163000,24.3800,24.3800,24.3500,24.3500,1000,0
RAS-B.US,5,20131118,183000,24.4700,24.4700,24.4700,24.4700,200,0
RAS-B.US,5,20131118,211500,24.4600,24.4600,24.4600,24.4600,226,0
RAS-B.US,5,20131118,213000,24.4900,24.4900,24.4900,24.4900,200,0
RAS-B.US,5,20131119,163000,24.3800,24.3800,24.3800,24.3800,400,0
RAS-B.US,5,20131119,171500,24.4900,24.4900,24.4900,24.4900,550,0
RAS-B.US,5,20131119,173000,24.6500,24.6500,24.6400,24.6400,400,0
RAS-B.US,5,20131119,181000,24.6200,24.6400,24.6200,24.6400,300,0
RAS-B.US,5,20131119,191000,24.5200,24.5200,24.5200,24.5200,100,0
RAS-B.US,5,20131119,205000,24.4900,24.4900,24.4900,24.4900,1990,0
RAS-B.US,5,20131120,155000,24.5000,24.5000,24.5000,24.5000,400,0
RAS-B.US,5,20131120,181000,24.5000,24.5000,24.5000,24.5000,115,0
RAS-B.US,5,20131120,192000,24.5000,24.5000,24.5000,24.5000,200,0
RAS-B.US,5,20131120,213000,24.5500,24.5500,24.5500,24.5500,395,0
RAS-B.US,5,20131120,215000,24.5500,24.5500,24.5500,24.5500,100,0
RAS-B.US,5,20131121,162500,24.6000,24.6000,24.6000,24.6000,200,0
RAS-B.US,5,20131121,170000,24.6000,24.6000,24.6000,24.6000,100,0
RAS-B.US,5,20131121,180000,24.4200,24.4200,24.4200,24.4200,101,0
RAS-B.US,5,20131121,205500,24.6300,24.6800,24.6100,24.6800,5989,0
RAS-B.US,5,20131121,210000,24.6800,24.7800,24.5600,24.5600,865,0
RAS-B.US,5,20131122,172000,24.6500,24.6500,24.6500,24.6500,800,0
RAS-B.US,5,20131122,172500,24.7400,24.7400,24.7400,24.7400,600,0
RAS-B.US,5,20131122,173000,24.6500,24.6500,24.6500,24.6500,100,0
RAS-B.US,5,20131122,192000,24.6500,24.6500,24.6500,24.6500,2610,0
RAS-B.US,5,20131122,220000,24.7200,24.7200,24.6800,24.6800,1400,0
RAS-B.US,5,20131125,171500,24.7100,24.7100,24.7100,24.7100,400,0
RAS-B.US,5,20131125,200000,24.4300,24.5700,24.3500,24.5300,800,0
RAS-B.US,5,20131125,200500,24.6000,24.6000,24.6000,24.6000,100,0
RAS-B.US,5,20131125,201000,24.6000,24.6000,24.6000,24.6000,1227,0
RAS-B.US,5,20131125,212000,24.6400,24.6400,24.6400,24.6400,200,0
RAS-B.US,5,20131126,203000,24.7300,24.7300,24.7300,24.7300,690,0
RAS-B.US,5,20131126,203500,24.6900,24.6900,24.6900,24.6900,800,0
RAS-B.US,5,20131126,213000,24.7300,24.7300,24.7300,24.7300,300,0
RAS-B.US,5,20131126,213500,24.6800,24.6800,24.6800,24.6800,100,0
RAS-B.US,5,20131126,215500,24.7300,24.7300,24.7300,24.7300,200,0
RAS-B.US,5,20131127,160500,24.1700,24.1700,24.1700,24.1700,100,0
RAS-B.US,5,20131127,184500,24.1500,24.1500,24.1500,24.1500,200,0
RAS-B.US,5,20131127,185000,24.1600,24.1600,24.1600,24.1600,150,0
RAS-B.US,5,20131127,201500,24.0200,24.0200,24.0200,24.0200,100,0
RAS-B.US,5,20131127,205000,24.0700,24.0700,24.0700,24.0700,100,0
RAS-B.US,5,20131127,211500,24.0500,24.1800,24.0200,24.1800,800,0
RAS-B.US,5,20131127,214500,24.0200,24.0200,24.0200,24.0200,188,0
RAS-B.US,5,20131127,220000,24.0400,24.0400,24.0400,24.0400,262,0
RAS-B.US,5,20131129,161500,24.1800,24.2000,24.1800,24.2000,400,0
RAS-B.US,5,20131129,185000,24.2000,24.2000,24.2000,24.2000,800,0
RAS-B.US,5,20131202,163000,24.1200,24.1200,24.1200,24.1200,662,0
RAS-B.US,5,20131202,164500,24.1200,24.1200,24.1200,24.1200,660,0
RAS-B.US,5,20131202,184500,24.0200,24.0600,24.0200,24.0600,400,0
RAS-B.US,5,20131202,201000,24.0400,24.0400,24.0400,24.0400,100,0
