<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBC.US,5,20131112,153500,72.5900,72.9000,72.5900,72.9000,600,0
RBC.US,5,20131112,154000,72.8600,72.8700,72.5800,72.7900,500,0
RBC.US,5,20131112,154500,72.8000,72.8000,72.8000,72.8000,200,0
RBC.US,5,20131112,160000,72.9500,72.9700,72.9200,72.9200,800,0
RBC.US,5,20131112,160500,72.9100,72.9100,72.7200,72.7900,9042,0
RBC.US,5,20131112,161000,72.7800,72.8700,72.7800,72.8700,1256,0
RBC.US,5,20131112,161500,72.8800,72.9600,72.8000,72.8100,1600,0
RBC.US,5,20131112,162000,72.8000,73.0100,72.8000,72.9900,2600,0
RBC.US,5,20131112,162500,73.1000,73.1000,72.8000,72.8000,3620,0
RBC.US,5,20131112,163000,72.8000,72.8000,72.8000,72.8000,700,0
RBC.US,5,20131112,163500,72.8100,72.8700,72.6800,72.7800,3100,0
RBC.US,5,20131112,164000,72.8200,72.8200,72.7600,72.7600,400,0
RBC.US,5,20131112,164500,72.7700,72.7800,72.7700,72.7700,700,0
RBC.US,5,20131112,165000,72.7700,72.8300,72.7700,72.7700,800,0
RBC.US,5,20131112,165500,72.7700,72.8400,72.7700,72.8400,1500,0
RBC.US,5,20131112,170000,72.8800,72.8900,72.8200,72.8700,600,0
RBC.US,5,20131112,170500,72.8300,72.8300,72.8300,72.8300,500,0
RBC.US,5,20131112,171000,72.8300,72.8700,72.8000,72.8000,1700,0
RBC.US,5,20131112,171500,72.8400,73.1300,72.8400,73.1300,8000,0
RBC.US,5,20131112,172000,73.0300,73.2200,73.0300,73.2200,2700,0
RBC.US,5,20131112,172500,73.2100,73.2900,73.2100,73.2700,1000,0
RBC.US,5,20131112,173000,73.2200,73.3500,73.2200,73.3100,700,0
RBC.US,5,20131112,173500,73.3500,73.4200,73.3500,73.4100,1000,0
RBC.US,5,20131112,174000,73.4100,73.4400,73.3800,73.4300,7010,0
RBC.US,5,20131112,174500,73.4100,73.4600,73.3700,73.4000,1000,0
RBC.US,5,20131112,175000,73.4000,73.4200,73.2900,73.3000,6500,0
RBC.US,5,20131112,175500,73.3500,73.3500,73.3500,73.3500,100,0
RBC.US,5,20131112,180000,73.3400,73.3600,73.3300,73.3300,1000,0
RBC.US,5,20131112,180500,73.3200,73.3400,73.2900,73.3400,3000,0
RBC.US,5,20131112,181000,73.3400,73.3600,73.1400,73.2300,9231,0
RBC.US,5,20131112,181500,73.2500,73.2700,73.2000,73.2200,2900,0
RBC.US,5,20131112,182000,73.2200,73.3200,73.2000,73.3200,2200,0
RBC.US,5,20131112,182500,73.2400,73.2600,73.1200,73.1300,2400,0
RBC.US,5,20131112,183000,73.0600,73.0600,72.9800,72.9800,1700,0
RBC.US,5,20131112,183500,72.9800,72.9800,72.8600,72.9400,3700,0
RBC.US,5,20131112,184000,73.0000,73.0000,72.9300,72.9300,200,0
RBC.US,5,20131112,184500,72.9300,73.0000,72.9300,73.0000,1104,0
RBC.US,5,20131112,185000,73.0100,73.0500,72.9900,73.0400,910,0
RBC.US,5,20131112,185500,73.0400,73.0500,72.9700,73.0300,1900,0
RBC.US,5,20131112,190000,72.9900,72.9900,72.9300,72.9300,1200,0
RBC.US,5,20131112,190500,72.9700,72.9700,72.9200,72.9200,2000,0
RBC.US,5,20131112,191000,72.8600,72.9100,72.8500,72.9100,500,0
RBC.US,5,20131112,191500,72.8500,72.9200,72.8500,72.9000,1500,0
RBC.US,5,20131112,192000,72.8800,72.9700,72.8800,72.9700,1900,0
RBC.US,5,20131112,192500,72.9300,73.0200,72.9300,72.9700,1000,0
RBC.US,5,20131112,193000,72.9300,72.9800,72.8800,72.9100,4600,0
RBC.US,5,20131112,193500,72.8500,72.9100,72.8500,72.9100,1500,0
RBC.US,5,20131112,194000,72.8300,72.9000,72.8300,72.8900,1300,0
RBC.US,5,20131112,194500,72.9000,72.9000,72.8800,72.8800,800,0
RBC.US,5,20131112,195000,72.8800,72.9600,72.8800,72.8900,1200,0
RBC.US,5,20131112,195500,72.9100,72.9800,72.9100,72.9400,900,0
RBC.US,5,20131112,200000,72.9600,73.0300,72.9600,72.9800,500,0
RBC.US,5,20131112,200500,73.0300,73.0300,72.9400,72.9700,2400,0
RBC.US,5,20131112,201000,72.9400,72.9700,72.9200,72.9200,1900,0
RBC.US,5,20131112,201500,72.9300,73.0400,72.9200,73.0400,3300,0
RBC.US,5,20131112,202000,73.0500,73.0700,73.0000,73.0700,400,0
RBC.US,5,20131112,202500,73.0900,73.0900,73.0800,73.0900,1000,0
RBC.US,5,20131112,203000,73.0900,73.1200,73.0900,73.1000,2731,0
RBC.US,5,20131112,203500,73.1000,73.1700,73.1000,73.1500,1780,0
RBC.US,5,20131112,204000,73.1600,73.1800,73.1200,73.1500,4600,0
RBC.US,5,20131112,204500,73.1700,73.2000,73.0900,73.1200,19931,0
RBC.US,5,20131112,205000,73.1800,73.1800,73.1800,73.1800,100,0
RBC.US,5,20131112,205500,73.2500,73.2600,73.0900,73.0900,3000,0
RBC.US,5,20131112,210000,73.1300,73.2500,73.1200,73.2400,3608,0
RBC.US,5,20131112,210500,73.2500,73.2800,73.2500,73.2700,700,0
RBC.US,5,20131112,211000,73.2900,73.3700,73.2900,73.3600,1600,0
RBC.US,5,20131112,211500,73.3700,73.4000,73.3000,73.3000,4272,0
RBC.US,5,20131112,212000,73.3000,73.3400,73.2700,73.2700,3900,0
RBC.US,5,20131112,212500,73.3100,73.3300,73.2200,73.2200,3400,0
RBC.US,5,20131112,213000,73.2400,73.3100,73.2400,73.2900,1981,0
RBC.US,5,20131112,213500,73.3000,73.3100,73.2600,73.3000,14323,0
RBC.US,5,20131112,214000,73.2800,73.3300,73.2800,73.3100,1500,0
RBC.US,5,20131112,214500,73.3300,73.3700,73.3200,73.3400,5700,0
RBC.US,5,20131112,215000,73.2700,73.2700,73.1500,73.1600,8500,0
RBC.US,5,20131112,215500,73.1700,73.2400,73.1700,73.1900,6355,0
RBC.US,5,20131112,220000,73.1900,73.3100,73.1900,73.3000,23359,0
RBC.US,5,20131112,220500,73.3100,73.3100,73.3100,73.3100,11181,0
RBC.US,5,20131113,153500,72.9600,73.0000,72.9000,73.0000,800,0
RBC.US,5,20131113,154000,73.1700,73.3000,73.1700,73.1800,2100,0
RBC.US,5,20131113,155000,73.3800,73.4800,73.3800,73.4800,503,0
RBC.US,5,20131113,155500,73.4800,73.4900,73.3800,73.3800,600,0
RBC.US,5,20131113,160000,73.3200,73.3900,73.3200,73.3900,200,0
RBC.US,5,20131113,160500,73.4800,73.4900,73.4300,73.4800,800,0
RBC.US,5,20131113,161000,73.3700,73.3700,73.3700,73.3700,100,0
RBC.US,5,20131113,161500,73.3100,73.3100,73.3100,73.3100,100,0
RBC.US,5,20131113,162000,73.4200,73.4200,73.4200,73.4200,300,0
RBC.US,5,20131113,162500,73.4400,73.4400,73.4400,73.4400,100,0
RBC.US,5,20131113,163000,73.3800,73.4600,73.3800,73.4200,1000,0
RBC.US,5,20131113,163500,73.3500,73.3700,73.3400,73.3600,700,0
RBC.US,5,20131113,164000,73.4200,73.4500,73.4200,73.4500,500,0
RBC.US,5,20131113,164500,73.4500,73.5700,73.4500,73.5700,1300,0
RBC.US,5,20131113,165000,73.5800,73.6400,73.5800,73.6100,1429,0
RBC.US,5,20131113,165500,73.4000,73.4400,73.4000,73.4400,600,0
RBC.US,5,20131113,170000,73.4400,73.4600,73.4400,73.4500,300,0
RBC.US,5,20131113,170500,73.4300,73.4300,73.4300,73.4300,100,0
RBC.US,5,20131113,171000,73.3500,73.3800,73.3000,73.3800,500,0
RBC.US,5,20131113,171500,73.3800,73.3800,73.3200,73.3200,300,0
RBC.US,5,20131113,172000,73.3100,73.3400,73.3000,73.3000,700,0
RBC.US,5,20131113,172500,73.2600,73.2800,73.2500,73.2500,300,0
RBC.US,5,20131113,173000,73.2400,73.2400,73.2100,73.2100,200,0
RBC.US,5,20131113,173500,73.1800,73.3400,73.1500,73.2400,2500,0
RBC.US,5,20131113,174000,73.2800,73.3200,73.2800,73.3200,300,0
RBC.US,5,20131113,174500,73.3800,73.3800,73.3800,73.3800,100,0
RBC.US,5,20131113,175000,73.2500,73.2800,73.2500,73.2800,200,0
RBC.US,5,20131113,175500,73.3000,73.3400,73.3000,73.3000,500,0
RBC.US,5,20131113,180000,73.3700,73.5200,73.3700,73.4900,4300,0
RBC.US,5,20131113,180500,73.4100,73.4800,73.4100,73.4800,300,0
RBC.US,5,20131113,181000,73.5200,73.5200,73.4800,73.5200,700,0
RBC.US,5,20131113,181500,73.5200,73.5200,73.5200,73.5200,200,0
RBC.US,5,20131113,182000,73.5600,73.6500,73.5600,73.6500,300,0
RBC.US,5,20131113,182500,73.6600,73.7600,73.6600,73.6800,1100,0
RBC.US,5,20131113,183000,73.7300,73.7300,73.7300,73.7300,100,0
RBC.US,5,20131113,183500,73.7200,73.7700,73.7200,73.7700,400,0
RBC.US,5,20131113,184000,73.8000,73.8000,73.7700,73.7700,1100,0
RBC.US,5,20131113,184500,73.7900,73.9200,73.7900,73.9200,1244,0
RBC.US,5,20131113,185000,73.8700,73.9100,73.8700,73.9100,200,0
RBC.US,5,20131113,185500,73.8800,73.9400,73.8800,73.9400,900,0
RBC.US,5,20131113,190000,73.9600,73.9900,73.9600,73.9900,4600,0
RBC.US,5,20131113,190500,73.8600,73.8800,73.8600,73.8800,200,0
RBC.US,5,20131113,191000,73.8700,73.8800,73.7700,73.7700,950,0
RBC.US,5,20131113,191500,73.7800,73.8400,73.7800,73.8100,1702,0
RBC.US,5,20131113,192000,73.7700,73.8100,73.7700,73.7900,600,0
RBC.US,5,20131113,192500,73.7900,73.8100,73.7900,73.8100,400,0
RBC.US,5,20131113,193000,73.8200,73.9100,73.8200,73.9100,600,0
RBC.US,5,20131113,193500,73.9300,73.9700,73.9300,73.9700,400,0
RBC.US,5,20131113,194000,73.9400,73.9600,73.9400,73.9400,1500,0
RBC.US,5,20131113,194500,73.9200,73.9200,73.9200,73.9200,100,0
RBC.US,5,20131113,195000,73.9200,73.9700,73.9200,73.9700,2300,0
RBC.US,5,20131113,195500,74.0000,74.0000,73.9400,73.9500,300,0
RBC.US,5,20131113,200000,73.8400,73.9000,73.8200,73.8500,1800,0
RBC.US,5,20131113,200500,73.8400,73.8600,73.8400,73.8600,200,0
RBC.US,5,20131113,201000,73.8300,73.8400,73.7600,73.7800,2100,0
RBC.US,5,20131113,201500,73.7800,73.9200,73.7800,73.8800,1708,0
RBC.US,5,20131113,202000,73.9200,73.9400,73.9000,73.9300,1800,0
RBC.US,5,20131113,203000,73.9000,73.9300,73.8800,73.9100,1500,0
RBC.US,5,20131113,203500,73.8800,73.8800,73.8300,73.8500,2246,0
RBC.US,5,20131113,204000,73.8400,73.8800,73.8400,73.8800,300,0
RBC.US,5,20131113,204500,73.8200,73.8200,73.7100,73.7100,2320,0
RBC.US,5,20131113,205000,73.6800,73.7300,73.6400,73.7000,1100,0
RBC.US,5,20131113,205500,73.6700,73.6800,73.6400,73.6500,2900,0
RBC.US,5,20131113,210000,73.6100,73.6200,73.6100,73.6200,1100,0
RBC.US,5,20131113,210500,73.6100,73.6500,73.6000,73.6400,2300,0
RBC.US,5,20131113,211000,73.6400,73.6700,73.6100,73.6100,2400,0
RBC.US,5,20131113,211500,73.6200,73.7100,73.6200,73.6600,2200,0
RBC.US,5,20131113,212000,73.6400,73.6600,73.6300,73.6400,2000,0
RBC.US,5,20131113,212500,73.6400,73.6900,73.6200,73.6800,1904,0
RBC.US,5,20131113,213000,73.6700,73.7000,73.6600,73.6800,900,0
RBC.US,5,20131113,213500,73.6800,73.6800,73.6500,73.6500,1400,0
RBC.US,5,20131113,214000,73.6700,73.7900,73.6700,73.7800,3061,0
RBC.US,5,20131113,214500,73.7700,73.7800,73.7300,73.7300,1700,0
RBC.US,5,20131113,215000,73.7200,73.8500,73.7100,73.8300,3300,0
RBC.US,5,20131113,215500,73.8400,73.8800,73.7800,73.8000,3127,0
RBC.US,5,20131113,220000,73.8300,73.8600,73.7500,73.8600,6774,0
RBC.US,5,20131113,221000,73.8400,73.8400,73.8400,73.8400,6275,0
RBC.US,5,20131114,153500,74.0000,74.0000,74.0000,74.0000,100,0
RBC.US,5,20131114,154000,74.0000,74.0000,74.0000,74.0000,200,0
RBC.US,5,20131114,155000,73.8900,73.8900,73.8600,73.8600,700,0
RBC.US,5,20131114,160000,73.8400,73.8400,73.6900,73.8300,1100,0
RBC.US,5,20131114,160500,73.7600,73.7600,73.4700,73.6200,3530,0
RBC.US,5,20131114,161000,73.6700,73.6700,73.6000,73.6500,700,0
RBC.US,5,20131114,161500,73.6500,73.7200,73.6500,73.7200,700,0
RBC.US,5,20131114,162000,73.7900,73.7900,73.6300,73.6500,800,0
RBC.US,5,20131114,162500,73.6400,73.6800,73.5900,73.6500,1000,0
RBC.US,5,20131114,163000,73.6400,73.7300,73.6400,73.7000,3700,0
RBC.US,5,20131114,163500,73.7000,73.7000,73.7000,73.7000,100,0
RBC.US,5,20131114,164000,73.8200,73.8200,73.7900,73.7900,300,0
RBC.US,5,20131114,164500,73.8000,73.8000,73.7900,73.8000,400,0
RBC.US,5,20131114,165000,73.7900,73.8100,73.7500,73.8000,1100,0
RBC.US,5,20131114,165500,73.7800,73.7800,73.6900,73.6900,1561,0
RBC.US,5,20131114,170000,73.6500,73.7500,73.6500,73.7400,2000,0
RBC.US,5,20131114,170500,73.8500,73.8500,73.8500,73.8500,100,0
RBC.US,5,20131114,171000,73.7600,73.9100,73.7600,73.8400,1000,0
RBC.US,5,20131114,171500,73.8900,73.9100,73.8700,73.9000,900,0
RBC.US,5,20131114,172000,73.8900,73.9800,73.8900,73.9800,1800,0
RBC.US,5,20131114,172500,73.9500,74.0000,73.9300,73.9700,1601,0
RBC.US,5,20131114,173000,73.9100,73.9300,73.8700,73.8700,400,0
RBC.US,5,20131114,173500,73.8800,73.9100,73.7900,73.7900,1461,0
RBC.US,5,20131114,174000,73.7500,73.7500,73.6300,73.7000,900,0
RBC.US,5,20131114,174500,73.6900,73.7000,73.6900,73.7000,400,0
RBC.US,5,20131114,175000,73.7000,73.8100,73.7000,73.8100,800,0
RBC.US,5,20131114,175500,73.7700,73.7700,73.7300,73.7400,500,0
RBC.US,5,20131114,180000,73.7500,73.7800,73.7300,73.7400,1100,0
RBC.US,5,20131114,180500,73.7500,73.7500,73.7100,73.7100,400,0
RBC.US,5,20131114,181000,73.7200,73.7200,73.7000,73.7200,500,0
RBC.US,5,20131114,181500,73.7000,73.7100,73.6900,73.6900,900,0
RBC.US,5,20131114,182000,73.7000,73.7100,73.5900,73.6800,1200,0
RBC.US,5,20131114,182500,73.6900,73.7000,73.6200,73.6900,1000,0
RBC.US,5,20131114,183000,73.7300,73.7600,73.7300,73.7500,499,0
RBC.US,5,20131114,183500,73.7500,73.7600,73.7000,73.7600,600,0
RBC.US,5,20131114,184000,73.8300,73.8500,73.7600,73.7600,600,0
RBC.US,5,20131114,184500,73.7100,73.7400,73.7100,73.7400,423,0
RBC.US,5,20131114,185000,73.7000,73.7000,73.7000,73.7000,200,0
RBC.US,5,20131114,185500,73.7000,73.7000,73.7000,73.7000,100,0
RBC.US,5,20131114,190000,73.7000,73.7000,73.6900,73.6900,941,0
RBC.US,5,20131114,190500,73.6800,73.7300,73.6800,73.7300,341,0
RBC.US,5,20131114,191000,73.7000,73.7000,73.6500,73.6800,700,0
RBC.US,5,20131114,191500,73.7000,73.7000,73.6600,73.7000,400,0
RBC.US,5,20131114,192000,73.6800,73.7000,73.6500,73.6500,500,0
RBC.US,5,20131114,192500,73.6900,73.7600,73.6900,73.7600,1330,0
RBC.US,5,20131114,193000,73.7500,73.7700,73.7500,73.7500,500,0
RBC.US,5,20131114,193500,73.7200,73.7200,73.7200,73.7200,300,0
RBC.US,5,20131114,194000,73.7200,73.7200,73.7000,73.7000,500,0
RBC.US,5,20131114,194500,73.7000,73.7000,73.6600,73.6600,800,0
RBC.US,5,20131114,195000,73.6500,73.6500,73.6400,73.6400,200,0
