<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REX.US,5,20131112,154500,29.1500,29.1500,29.1400,29.1400,400,0
REX.US,5,20131112,160500,29.2000,29.2000,29.1500,29.1500,400,0
REX.US,5,20131112,161500,29.1500,29.1500,29.1500,29.1500,100,0
REX.US,5,20131112,164500,29.1400,29.1400,29.1400,29.1400,100,0
REX.US,5,20131112,165000,29.1400,29.1400,29.1400,29.1400,100,0
REX.US,5,20131112,170500,29.2700,29.5100,29.1900,29.1900,800,0
REX.US,5,20131112,174000,29.0900,29.0900,29.0900,29.0900,100,0
REX.US,5,20131112,174500,29.0800,29.0800,29.0100,29.0100,1211,0
REX.US,5,20131112,175000,29.0300,29.0300,29.0300,29.0300,100,0
REX.US,5,20131112,180000,29.0300,29.0300,28.9800,28.9800,400,0
REX.US,5,20131112,181500,28.8100,28.8100,28.8100,28.8100,200,0
REX.US,5,20131112,185500,28.8000,28.9000,28.8000,28.9000,2100,0
REX.US,5,20131112,190000,28.9000,28.9000,28.9000,28.9000,578,0
REX.US,5,20131112,190500,28.9000,28.9000,28.9000,28.9000,200,0
REX.US,5,20131112,191500,28.9100,28.9100,28.9100,28.9100,100,0
REX.US,5,20131112,192000,28.9700,28.9800,28.9700,28.9800,200,0
REX.US,5,20131112,193500,28.9900,28.9900,28.9100,28.9100,200,0
REX.US,5,20131112,201000,28.9100,28.9100,28.9100,28.9100,100,0
REX.US,5,20131112,202000,28.9100,28.9100,28.9100,28.9100,100,0
REX.US,5,20131112,202500,28.9000,28.9000,28.9000,28.9000,300,0
REX.US,5,20131112,203000,28.9000,29.0000,28.9000,29.0000,5015,0
REX.US,5,20131112,203500,28.9600,29.0000,28.9600,29.0000,300,0
REX.US,5,20131112,204000,28.9500,28.9500,28.9500,28.9500,100,0
REX.US,5,20131112,204500,28.9400,28.9400,28.9400,28.9400,100,0
REX.US,5,20131112,210000,28.9500,28.9500,28.9500,28.9500,100,0
REX.US,5,20131112,211000,29.0000,29.0000,29.0000,29.0000,1400,0
REX.US,5,20131112,211500,29.0000,29.0000,29.0000,29.0000,600,0
REX.US,5,20131112,212000,29.0700,29.0700,29.0200,29.0200,700,0
REX.US,5,20131112,212500,29.0000,29.0700,29.0000,29.0600,300,0
REX.US,5,20131112,213000,29.0000,29.0000,29.0000,29.0000,100,0
REX.US,5,20131112,214000,28.9500,28.9500,28.9100,28.9100,5503,0
REX.US,5,20131112,214500,28.8300,28.9300,28.8300,28.9300,200,0
REX.US,5,20131112,215000,28.9300,28.9300,28.9200,28.9300,600,0
REX.US,5,20131112,215500,28.9500,29.0000,28.9500,29.0000,400,0
REX.US,5,20131112,220000,28.9700,28.9700,28.8100,28.9100,1350,0
REX.US,5,20131112,221000,28.9900,28.9900,28.9900,28.9900,1533,0
