<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RF.US,5,20131112,153500,9.7600,9.7700,9.7300,9.7600,96221,0
RF.US,5,20131112,154000,9.7600,9.8000,9.7600,9.7800,251895,0
RF.US,5,20131112,154500,9.7700,9.7800,9.7700,9.7800,25200,0
RF.US,5,20131112,155000,9.7700,9.7800,9.7700,9.7700,16305,0
RF.US,5,20131112,155500,9.7800,9.7800,9.7500,9.7600,45721,0
RF.US,5,20131112,160000,9.7500,9.7700,9.7500,9.7600,130732,0
RF.US,5,20131112,160500,9.7700,9.7700,9.7500,9.7700,71230,0
RF.US,5,20131112,161000,9.7700,9.7900,9.7400,9.7600,566109,0
RF.US,5,20131112,161500,9.7600,9.7600,9.7300,9.7400,482537,0
RF.US,5,20131112,162000,9.7300,9.7600,9.7200,9.7600,188268,0
RF.US,5,20131112,162500,9.7500,9.7600,9.7400,9.7400,353806,0
RF.US,5,20131112,163000,9.7500,9.7500,9.7300,9.7400,137701,0
RF.US,5,20131112,163500,9.7400,9.7400,9.7200,9.7200,86681,0
RF.US,5,20131112,164000,9.7300,9.7300,9.7100,9.7200,257965,0
RF.US,5,20131112,164500,9.7200,9.7400,9.7200,9.7400,77951,0
RF.US,5,20131112,165000,9.7400,9.7400,9.7200,9.7300,61579,0
RF.US,5,20131112,165500,9.7200,9.7300,9.7100,9.7100,59172,0
RF.US,5,20131112,170000,9.7100,9.7200,9.6800,9.6800,184207,0
RF.US,5,20131112,170500,9.6900,9.7200,9.6800,9.7200,200069,0
RF.US,5,20131112,171000,9.7200,9.7200,9.6800,9.6800,121613,0
RF.US,5,20131112,171500,9.6800,9.7000,9.6800,9.6800,96535,0
RF.US,5,20131112,172000,9.6800,9.6900,9.6800,9.6900,20828,0
RF.US,5,20131112,172500,9.6800,9.6900,9.6800,9.6900,34866,0
RF.US,5,20131112,173000,9.6900,9.7000,9.6800,9.7000,99917,0
RF.US,5,20131112,173500,9.7000,9.7100,9.6900,9.7100,94943,0
RF.US,5,20131112,174000,9.7000,9.7100,9.6800,9.6800,63683,0
RF.US,5,20131112,174500,9.6800,9.7000,9.6800,9.7000,61444,0
RF.US,5,20131112,175000,9.6900,9.7000,9.6600,9.6700,183821,0
RF.US,5,20131112,175500,9.6600,9.6700,9.6300,9.6400,200494,0
RF.US,5,20131112,180000,9.6400,9.6400,9.6200,9.6200,358411,0
RF.US,5,20131112,180500,9.6200,9.6400,9.6100,9.6300,93604,0
RF.US,5,20131112,181000,9.6300,9.6400,9.6100,9.6100,126777,0
RF.US,5,20131112,181500,9.6100,9.6200,9.6000,9.6200,120509,0
RF.US,5,20131112,182000,9.6100,9.6200,9.6100,9.6200,16495,0
RF.US,5,20131112,182500,9.6100,9.6200,9.6100,9.6200,21655,0
RF.US,5,20131112,183000,9.6200,9.6200,9.6100,9.6200,27006,0
RF.US,5,20131112,183500,9.6200,9.6200,9.6100,9.6200,37374,0
RF.US,5,20131112,184000,9.6200,9.6200,9.6000,9.6000,107749,0
RF.US,5,20131112,184500,9.6000,9.6200,9.6000,9.6200,68949,0
RF.US,5,20131112,185000,9.6200,9.6400,9.6100,9.6400,271671,0
