<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGS.US,5,20131112,153500,15.5400,15.5400,15.4700,15.4700,1704,0
RGS.US,5,20131112,154000,15.4800,15.6000,15.4800,15.6000,600,0
RGS.US,5,20131112,154500,15.5800,15.5900,15.5700,15.5800,1300,0
RGS.US,5,20131112,155000,15.5500,15.5500,15.5400,15.5400,3200,0
RGS.US,5,20131112,160000,15.5300,15.5300,15.4500,15.4800,6100,0
RGS.US,5,20131112,160500,15.5000,15.5000,15.4400,15.4700,8300,0
RGS.US,5,20131112,161000,15.4900,15.5000,15.4900,15.5000,2200,0
RGS.US,5,20131112,161500,15.5000,15.5100,15.4800,15.4800,3399,0
RGS.US,5,20131112,162000,15.4500,15.4900,15.4500,15.4900,1700,0
RGS.US,5,20131112,162500,15.5000,15.5000,15.4800,15.4900,1701,0
RGS.US,5,20131112,163000,15.4900,15.5100,15.4900,15.5100,2500,0
RGS.US,5,20131112,163500,15.5100,15.5100,15.4900,15.5000,2152,0
RGS.US,5,20131112,164000,15.5100,15.5100,15.5100,15.5100,1009,0
RGS.US,5,20131112,164500,15.5000,15.5000,15.5000,15.5000,300,0
RGS.US,5,20131112,165000,15.5100,15.5100,15.4800,15.5100,4611,0
RGS.US,5,20131112,165500,15.5100,15.5700,15.5100,15.5600,5711,0
RGS.US,5,20131112,170000,15.5500,15.6000,15.5100,15.5600,25734,0
RGS.US,5,20131112,170500,15.5600,15.6100,15.5600,15.6000,7498,0
RGS.US,5,20131112,171000,15.5800,15.6200,15.5800,15.6100,1900,0
RGS.US,5,20131112,171500,15.6000,15.6200,15.6000,15.6200,2300,0
RGS.US,5,20131112,172000,15.6200,15.6500,15.6200,15.6400,2900,0
RGS.US,5,20131112,172500,15.6200,15.6400,15.6200,15.6300,1205,0
RGS.US,5,20131112,173000,15.6200,15.6200,15.5900,15.5900,2200,0
RGS.US,5,20131112,173500,15.6000,15.6200,15.6000,15.6100,1400,0
RGS.US,5,20131112,174000,15.6000,15.6000,15.5600,15.5600,8103,0
RGS.US,5,20131112,174500,15.5500,15.6100,15.5300,15.5800,14782,0
RGS.US,5,20131112,175000,15.5700,15.5800,15.5200,15.5300,21101,0
RGS.US,5,20131112,175500,15.5200,15.5300,15.4900,15.5000,13205,0
RGS.US,5,20131112,180000,15.5000,15.5000,15.5000,15.5000,1741,0
RGS.US,5,20131112,180500,15.5000,15.5000,15.4900,15.5000,800,0
RGS.US,5,20131112,181000,15.4900,15.4900,15.4300,15.4400,5264,0
RGS.US,5,20131112,181500,15.4200,15.4300,15.4200,15.4200,1425,0
RGS.US,5,20131112,182000,15.4300,15.4400,15.4300,15.4400,2425,0
RGS.US,5,20131112,182500,15.4500,15.4500,15.4500,15.4500,100,0
RGS.US,5,20131112,183000,15.4500,15.4500,15.4400,15.4400,300,0
RGS.US,5,20131112,183500,15.4400,15.4400,15.4300,15.4300,3710,0
RGS.US,5,20131112,184000,15.4400,15.4900,15.4400,15.4600,9352,0
RGS.US,5,20131112,184500,15.4700,15.4900,15.4600,15.4800,2730,0
RGS.US,5,20131112,185000,15.4900,15.4900,15.4700,15.4900,3705,0
RGS.US,5,20131112,185500,15.4900,15.5200,15.4800,15.5000,5300,0
RGS.US,5,20131112,190000,15.5000,15.5100,15.4800,15.4900,1700,0
RGS.US,5,20131112,190500,15.4900,15.4900,15.4900,15.4900,200,0
RGS.US,5,20131112,191000,15.5000,15.5000,15.5000,15.5000,100,0
RGS.US,5,20131112,191500,15.5000,15.5100,15.5000,15.5100,1800,0
RGS.US,5,20131112,192000,15.5100,15.5200,15.5100,15.5200,600,0
RGS.US,5,20131112,192500,15.5200,15.5200,15.5100,15.5100,1100,0
RGS.US,5,20131112,193000,15.5000,15.5100,15.4800,15.4800,4308,0
RGS.US,5,20131112,193500,15.4900,15.5100,15.4800,15.4900,4380,0
RGS.US,5,20131112,194000,15.5000,15.5200,15.5000,15.5100,2287,0
RGS.US,5,20131112,194500,15.5100,15.5200,15.5100,15.5100,700,0
RGS.US,5,20131112,195000,15.5100,15.5300,15.5100,15.5300,2000,0
RGS.US,5,20131112,195500,15.5300,15.5300,15.5000,15.5000,1501,0
RGS.US,5,20131112,200000,15.5100,15.5100,15.5000,15.5100,700,0
RGS.US,5,20131112,200500,15.5100,15.5100,15.5000,15.5100,500,0
RGS.US,5,20131112,201000,15.5100,15.5100,15.5000,15.5100,3100,0
RGS.US,5,20131112,201500,15.5100,15.5200,15.5100,15.5200,1900,0
RGS.US,5,20131112,202000,15.5200,15.5300,15.5100,15.5300,2181,0
RGS.US,5,20131112,202500,15.5400,15.5500,15.5200,15.5300,1800,0
RGS.US,5,20131112,203000,15.5300,15.5300,15.5300,15.5300,600,0
RGS.US,5,20131112,203500,15.5200,15.5300,15.5100,15.5100,1200,0
RGS.US,5,20131112,204000,15.5200,15.5400,15.5200,15.5300,3700,0
RGS.US,5,20131112,204500,15.5400,15.5400,15.5400,15.5400,800,0
RGS.US,5,20131112,205000,15.5400,15.5400,15.5300,15.5400,1100,0
RGS.US,5,20131112,205500,15.5400,15.5500,15.5400,15.5500,2555,0
RGS.US,5,20131112,210000,15.5400,15.5600,15.5200,15.5400,3900,0
RGS.US,5,20131112,210500,15.5400,15.5400,15.5300,15.5400,1400,0
RGS.US,5,20131112,211000,15.5400,15.5500,15.5400,15.5500,1000,0
RGS.US,5,20131112,211500,15.5500,15.5600,15.5300,15.5400,5100,0
RGS.US,5,20131112,212000,15.5400,15.5500,15.5400,15.5400,3189,0
RGS.US,5,20131112,212500,15.5500,15.5500,15.5300,15.5400,2700,0
RGS.US,5,20131112,213000,15.5400,15.5400,15.5300,15.5400,4673,0
RGS.US,5,20131112,213500,15.5500,15.5600,15.5500,15.5600,6678,0
RGS.US,5,20131112,214000,15.5600,15.5600,15.5500,15.5500,4200,0
RGS.US,5,20131112,214500,15.5600,15.5600,15.5500,15.5600,6900,0
RGS.US,5,20131112,215000,15.5600,15.5600,15.5500,15.5600,7285,0
RGS.US,5,20131112,215500,15.5600,15.5600,15.5500,15.5600,8994,0
RGS.US,5,20131112,220000,15.5500,15.6200,15.5400,15.6100,69408,0
RGS.US,5,20131112,220500,15.6000,15.6000,15.6000,15.6000,23594,0
RGS.US,5,20131113,153500,15.6200,15.6200,15.5900,15.5900,300,0
RGS.US,5,20131113,154000,15.5400,15.5800,15.5400,15.5800,400,0
RGS.US,5,20131113,154500,15.5800,15.6100,15.5800,15.6100,1400,0
RGS.US,5,20131113,155000,15.6300,15.6300,15.6300,15.6300,100,0
RGS.US,5,20131113,155500,15.5700,15.5900,15.5700,15.5900,6000,0
RGS.US,5,20131113,160000,15.6000,15.6700,15.5900,15.6600,4900,0
RGS.US,5,20131113,160500,15.6600,15.6600,15.6600,15.6600,100,0
RGS.US,5,20131113,161000,15.6600,15.6600,15.6000,15.6500,4100,0
RGS.US,5,20131113,161500,15.6400,15.7000,15.6400,15.7000,900,0
RGS.US,5,20131113,162000,15.6900,15.7100,15.6900,15.7100,1241,0
RGS.US,5,20131113,162500,15.7000,15.7000,15.6700,15.6700,1200,0
RGS.US,5,20131113,163000,15.6700,15.6800,15.6700,15.6700,1200,0
RGS.US,5,20131113,163500,15.6700,15.6700,15.6600,15.6600,200,0
RGS.US,5,20131113,164000,15.6600,15.6800,15.6600,15.6800,500,0
RGS.US,5,20131113,164500,15.6800,15.6800,15.6800,15.6800,100,0
RGS.US,5,20131113,165000,15.6800,15.6900,15.6800,15.6900,1534,0
RGS.US,5,20131113,165500,15.6800,15.6800,15.6800,15.6800,800,0
RGS.US,5,20131113,170000,15.6700,15.6800,15.6700,15.6700,700,0
RGS.US,5,20131113,170500,15.6800,15.6800,15.6600,15.6800,4100,0
RGS.US,5,20131113,171000,15.6800,15.6800,15.6700,15.6800,888,0
RGS.US,5,20131113,171500,15.6800,15.6800,15.6500,15.6500,6500,0
RGS.US,5,20131113,172000,15.6400,15.6400,15.6200,15.6200,2800,0
RGS.US,5,20131113,172500,15.6000,15.6200,15.6000,15.6000,1456,0
RGS.US,5,20131113,173000,15.6100,15.6200,15.6000,15.6000,900,0
RGS.US,5,20131113,173500,15.6200,15.6600,15.6200,15.6600,1313,0
RGS.US,5,20131113,174500,15.6400,15.6400,15.6200,15.6200,1700,0
RGS.US,5,20131113,175000,15.6400,15.6500,15.6400,15.6500,2200,0
RGS.US,5,20131113,175500,15.6500,15.6500,15.6400,15.6400,600,0
RGS.US,5,20131113,180000,15.6500,15.6500,15.6500,15.6500,500,0
RGS.US,5,20131113,180500,15.6500,15.6500,15.6500,15.6500,700,0
RGS.US,5,20131113,181000,15.6400,15.6400,15.6100,15.6100,1580,0
RGS.US,5,20131113,182000,15.6300,15.6500,15.6300,15.6400,1450,0
RGS.US,5,20131113,182500,15.6300,15.6500,15.6300,15.6500,650,0
RGS.US,5,20131113,183500,15.6600,15.6700,15.6600,15.6700,500,0
RGS.US,5,20131113,184000,15.6600,15.6700,15.6600,15.6600,1600,0
RGS.US,5,20131113,184500,15.6600,15.6700,15.6500,15.6600,9821,0
RGS.US,5,20131113,185000,15.6600,15.6900,15.6500,15.6800,38712,0
RGS.US,5,20131113,185500,15.6800,15.7500,15.6800,15.7500,20400,0
RGS.US,5,20131113,190000,15.7700,15.7700,15.7300,15.7500,7491,0
RGS.US,5,20131113,190500,15.7500,15.7500,15.7300,15.7300,600,0
RGS.US,5,20131113,191000,15.7400,15.7400,15.7400,15.7400,200,0
RGS.US,5,20131113,191500,15.7400,15.7400,15.7400,15.7400,800,0
RGS.US,5,20131113,192000,15.7500,15.7500,15.7300,15.7400,2005,0
RGS.US,5,20131113,192500,15.7400,15.7400,15.7200,15.7200,1200,0
RGS.US,5,20131113,193000,15.7100,15.7200,15.6800,15.7100,15552,0
RGS.US,5,20131113,193500,15.7100,15.7100,15.7100,15.7100,2515,0
RGS.US,5,20131113,194000,15.7100,15.7200,15.7100,15.7100,1400,0
RGS.US,5,20131113,194500,15.7100,15.7200,15.7100,15.7200,1500,0
RGS.US,5,20131113,195000,15.7200,15.7300,15.7100,15.7300,3400,0
RGS.US,5,20131113,195500,15.7300,15.7300,15.7200,15.7200,700,0
RGS.US,5,20131113,200000,15.7200,15.7300,15.7200,15.7300,900,0
RGS.US,5,20131113,200500,15.7200,15.7300,15.7200,15.7200,3300,0
RGS.US,5,20131113,201000,15.7200,15.7200,15.7000,15.7100,1200,0
RGS.US,5,20131113,201500,15.7000,15.7100,15.7000,15.7100,600,0
RGS.US,5,20131113,202000,15.7000,15.7200,15.7000,15.7100,1100,0
RGS.US,5,20131113,202500,15.7100,15.7100,15.7000,15.7000,6400,0
RGS.US,5,20131113,203000,15.6900,15.7000,15.6900,15.6900,4500,0
RGS.US,5,20131113,203500,15.7000,15.7100,15.6900,15.7000,6043,0
RGS.US,5,20131113,204000,15.7000,15.7100,15.6900,15.7000,6300,0
RGS.US,5,20131113,204500,15.7000,15.7000,15.7000,15.7000,800,0
RGS.US,5,20131113,205000,15.7000,15.7000,15.6900,15.6900,700,0
RGS.US,5,20131113,205500,15.7000,15.7000,15.6900,15.7000,800,0
RGS.US,5,20131113,210000,15.7000,15.7000,15.6900,15.7000,900,0
RGS.US,5,20131113,210500,15.7000,15.7000,15.6700,15.6800,6093,0
RGS.US,5,20131113,211000,15.6800,15.6800,15.6700,15.6800,1100,0
RGS.US,5,20131113,211500,15.6700,15.6800,15.6700,15.6700,3400,0
RGS.US,5,20131113,212000,15.6800,15.7000,15.6700,15.6700,23470,0
RGS.US,5,20131113,212500,15.6700,15.6800,15.6600,15.6800,3900,0
RGS.US,5,20131113,213000,15.6900,15.7000,15.6800,15.7000,5900,0
RGS.US,5,20131113,213500,15.6900,15.7000,15.6800,15.6900,5898,0
RGS.US,5,20131113,214000,15.6800,15.7000,15.6800,15.6900,12928,0
RGS.US,5,20131113,214500,15.6800,15.7000,15.6700,15.6900,12131,0
RGS.US,5,20131113,215000,15.6900,15.7300,15.6900,15.7300,7678,0
RGS.US,5,20131113,215500,15.7300,15.7300,15.7100,15.7200,10924,0
RGS.US,5,20131113,220000,15.7200,15.7500,15.7100,15.7500,25884,0
RGS.US,5,20131113,220500,15.7500,15.7500,15.7500,15.7500,669,0
RGS.US,5,20131113,221000,15.7500,15.7500,15.7500,15.7500,35198,0
RGS.US,5,20131114,153500,15.8500,15.8500,15.7200,15.7500,4611,0
RGS.US,5,20131114,154000,15.7500,15.8600,15.7500,15.7900,14967,0
RGS.US,5,20131114,154500,15.7900,15.7900,15.7300,15.7500,4100,0
RGS.US,5,20131114,155000,15.7500,15.8100,15.7400,15.7400,5200,0
