<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RH.US,5,20131112,153500,74.3300,74.3300,73.9500,74.2400,3642,0
RH.US,5,20131112,154000,74.1900,74.2200,73.6600,73.6600,6007,0
RH.US,5,20131112,154500,73.6900,73.9700,73.2600,73.4200,12937,0
RH.US,5,20131112,155000,73.3800,73.4600,73.1500,73.3600,7129,0
RH.US,5,20131112,155500,73.4500,73.9700,73.3500,73.5000,14221,0
RH.US,5,20131112,160000,73.4500,73.4500,72.6500,72.6500,6636,0
RH.US,5,20131112,160500,72.7900,72.7900,72.6500,72.7000,2461,0
RH.US,5,20131112,161000,72.8500,72.9400,72.6500,72.7500,5390,0
RH.US,5,20131112,161500,72.9400,73.0000,72.6000,72.6000,3500,0
RH.US,5,20131112,162000,72.5500,72.9200,72.5300,72.7700,6102,0
RH.US,5,20131112,162500,72.7400,72.8400,72.2500,72.2800,12280,0
RH.US,5,20131112,163000,72.4500,72.4900,72.3300,72.4900,7550,0
RH.US,5,20131112,163500,72.5700,72.7600,72.5000,72.6600,4750,0
RH.US,5,20131112,164000,72.7000,72.7200,72.5500,72.5500,1600,0
RH.US,5,20131112,164500,72.5600,72.5800,72.4500,72.4500,5965,0
RH.US,5,20131112,165000,72.5200,72.5700,72.4500,72.5700,3275,0
RH.US,5,20131112,165500,72.5400,72.5400,71.9300,72.0000,22560,0
RH.US,5,20131112,170000,72.0000,72.0300,71.9200,71.9700,8712,0
RH.US,5,20131112,170500,72.0100,72.0700,72.0000,72.0700,8083,0
RH.US,5,20131112,171000,72.0700,72.1000,71.9700,71.9700,2184,0
RH.US,5,20131112,171500,72.0100,72.2800,71.9700,72.0200,9988,0
RH.US,5,20131112,172000,72.1000,72.1100,71.9400,71.9700,10004,0
RH.US,5,20131112,172500,71.9300,71.9300,71.8500,71.8500,2283,0
RH.US,5,20131112,173000,71.8100,72.1100,71.7800,72.0800,6285,0
RH.US,5,20131112,173500,72.0900,72.6600,72.0900,72.6600,15025,0
RH.US,5,20131112,174000,72.6300,72.7800,72.5100,72.5100,7800,0
RH.US,5,20131112,174500,72.4900,72.5100,72.3200,72.4900,2100,0
RH.US,5,20131112,175000,72.4800,72.8100,72.4600,72.5700,7718,0
RH.US,5,20131112,175500,72.6100,72.7800,72.5800,72.7800,5891,0
RH.US,5,20131112,180000,72.8200,73.1700,72.8000,73.1000,8321,0
RH.US,5,20131112,180500,73.1000,73.1000,72.6600,72.6700,5296,0
RH.US,5,20131112,181000,72.6100,72.6400,72.0200,72.0600,8300,0
RH.US,5,20131112,181500,72.0900,72.1400,72.0300,72.0400,1800,0
RH.US,5,20131112,182000,72.0800,72.5300,72.0500,72.4800,7494,0
RH.US,5,20131112,182500,72.5200,72.5700,72.4000,72.5300,17530,0
