<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLI.US,5,20131112,154500,96.9800,96.9800,96.6800,96.6800,600,0
RLI.US,5,20131112,155000,96.8200,96.8200,96.8200,96.8200,468,0
RLI.US,5,20131112,155500,96.8300,96.8300,96.8300,96.8300,100,0
RLI.US,5,20131112,160000,96.9800,96.9800,96.9800,96.9800,100,0
RLI.US,5,20131112,160500,96.9200,96.9200,96.6000,96.6300,800,0
RLI.US,5,20131112,161000,96.7200,96.7200,96.5100,96.6500,759,0
RLI.US,5,20131112,161500,96.7100,96.8100,96.7100,96.8100,300,0
RLI.US,5,20131112,162000,96.8500,96.9900,96.6400,96.6400,300,0
RLI.US,5,20131112,162500,96.6000,96.6000,96.6000,96.6000,100,0
RLI.US,5,20131112,163000,96.8500,96.8500,96.6200,96.6200,300,0
RLI.US,5,20131112,163500,96.7900,96.7900,96.7900,96.7900,100,0
RLI.US,5,20131112,170000,96.6000,96.6600,96.6000,96.6400,500,0
RLI.US,5,20131112,171000,96.9100,96.9600,96.8500,96.9600,400,0
RLI.US,5,20131112,171500,96.6800,96.6800,96.6800,96.6800,100,0
RLI.US,5,20131112,172000,96.6600,96.6600,96.6600,96.6600,200,0
RLI.US,5,20131112,173500,96.8000,96.8000,96.7700,96.7700,200,0
RLI.US,5,20131112,174000,96.7700,96.7900,96.7700,96.7900,200,0
RLI.US,5,20131112,174500,96.7700,96.7700,96.6100,96.6100,300,0
RLI.US,5,20131112,175000,96.3000,96.3000,96.3000,96.3000,100,0
RLI.US,5,20131112,180000,96.4700,96.4700,96.3900,96.3900,700,0
RLI.US,5,20131112,181000,96.3000,96.3000,96.2500,96.2500,350,0
RLI.US,5,20131112,182000,96.0600,96.0600,95.8000,95.8000,3300,0
RLI.US,5,20131112,182500,95.8000,95.8000,95.6100,95.7200,2400,0
RLI.US,5,20131112,183000,96.0400,96.0400,95.7500,95.7500,200,0
RLI.US,5,20131112,183500,95.8600,95.8600,95.8600,95.8600,100,0
RLI.US,5,20131112,184000,95.5400,95.5400,95.5400,95.5400,100,0
RLI.US,5,20131112,185000,95.5800,95.6000,95.4400,95.5700,2083,0
RLI.US,5,20131112,185500,95.6800,95.6800,95.5600,95.5600,1268,0
RLI.US,5,20131112,190000,95.5400,95.5400,95.5400,95.5400,300,0
RLI.US,5,20131112,190500,95.4300,95.5000,95.3700,95.5000,500,0
RLI.US,5,20131112,191000,95.4500,95.4500,95.4500,95.4500,100,0
RLI.US,5,20131112,191500,95.4400,95.4400,95.4400,95.4400,100,0
RLI.US,5,20131112,192000,95.2900,95.2900,95.0900,95.0900,3300,0
RLI.US,5,20131112,192500,95.1000,95.4400,94.8900,95.3100,7820,0
RLI.US,5,20131112,193000,95.4800,95.5300,95.2200,95.5300,1565,0
RLI.US,5,20131112,193500,95.5100,95.5100,95.1400,95.2000,1021,0
RLI.US,5,20131112,194000,95.3000,95.3000,95.3000,95.3000,100,0
