<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RM.US,5,20131112,154000,31.4800,31.6000,31.4800,31.6000,300,0
RM.US,5,20131112,154500,31.3800,31.3800,31.3400,31.3400,200,0
RM.US,5,20131112,155000,31.3300,31.3300,31.3300,31.3300,498,0
RM.US,5,20131112,155500,31.3300,31.3300,31.3300,31.3300,200,0
RM.US,5,20131112,160000,31.3300,31.3300,31.3300,31.3300,100,0
RM.US,5,20131112,160500,31.3300,31.3800,31.3300,31.3300,400,0
RM.US,5,20131112,161000,31.2600,31.2600,31.2600,31.2600,100,0
RM.US,5,20131112,161500,31.1900,31.3000,31.1900,31.3000,200,0
RM.US,5,20131112,162000,31.1900,31.1900,31.1900,31.1900,100,0
RM.US,5,20131112,162500,31.3000,31.3000,31.3000,31.3000,100,0
RM.US,5,20131112,163000,31.1600,31.1600,31.1600,31.1600,100,0
RM.US,5,20131112,163500,31.1600,31.1600,31.0700,31.0700,200,0
RM.US,5,20131112,164000,31.0200,31.0200,31.0000,31.0000,300,0
RM.US,5,20131112,164500,31.0000,31.0000,30.9900,30.9900,300,0
RM.US,5,20131112,165000,30.8800,30.9800,30.8800,30.9800,200,0
RM.US,5,20131112,165500,30.8800,30.8800,30.8800,30.8800,100,0
RM.US,5,20131112,170000,30.8200,30.8200,30.8000,30.8000,255,0
RM.US,5,20131112,170500,30.8300,30.8400,30.8300,30.8400,300,0
RM.US,5,20131112,171500,30.9300,30.9300,30.8400,30.8400,200,0
RM.US,5,20131112,172000,30.9300,30.9400,30.9100,30.9100,300,0
RM.US,5,20131112,172500,30.9500,30.9500,30.9200,30.9300,300,0
RM.US,5,20131112,173000,30.9400,30.9600,30.9400,30.9600,600,0
RM.US,5,20131112,173500,30.8900,30.8900,30.8700,30.8700,200,0
RM.US,5,20131112,174000,30.8700,30.8700,30.8400,30.8400,300,0
RM.US,5,20131112,175000,30.8200,30.8200,30.6200,30.6900,1007,0
RM.US,5,20131112,175500,30.7000,30.7000,30.7000,30.7000,100,0
RM.US,5,20131112,180000,30.7100,30.7800,30.7100,30.7800,200,0
RM.US,5,20131112,181000,30.7300,30.7300,30.7300,30.7300,100,0
RM.US,5,20131112,183000,30.7100,30.8200,30.7100,30.8200,1600,0
RM.US,5,20131112,185000,30.7100,30.8400,30.7100,30.8400,400,0
RM.US,5,20131112,191000,30.7600,30.7600,30.6900,30.6900,200,0
RM.US,5,20131112,191500,30.7600,30.7600,30.7600,30.7600,300,0
RM.US,5,20131112,192000,30.7600,30.7700,30.7600,30.7700,200,0
RM.US,5,20131112,192500,30.7300,30.7800,30.7300,30.7800,1000,0
RM.US,5,20131112,193500,30.7200,30.7500,30.7200,30.7500,1200,0
RM.US,5,20131112,194000,30.7300,30.7900,30.7300,30.7900,300,0
RM.US,5,20131112,194500,30.7300,30.7300,30.7300,30.7300,100,0
RM.US,5,20131112,195500,30.7400,30.7400,30.7400,30.7400,100,0
RM.US,5,20131112,200000,30.7600,30.7600,30.7600,30.7600,100,0
RM.US,5,20131112,201000,30.6900,30.6900,30.6900,30.6900,100,0
RM.US,5,20131112,201500,30.7600,30.7600,30.7300,30.7300,600,0
RM.US,5,20131112,202000,30.8000,30.8000,30.8000,30.8000,200,0
RM.US,5,20131112,202500,30.8000,30.8000,30.8000,30.8000,300,0
RM.US,5,20131112,203500,30.7900,30.8000,30.7900,30.8000,300,0
RM.US,5,20131112,204000,30.7600,30.7600,30.7600,30.7600,100,0
RM.US,5,20131112,204500,30.6500,30.6500,30.6400,30.6500,300,0
RM.US,5,20131112,205000,30.6400,30.6500,30.6400,30.6400,400,0
RM.US,5,20131112,205500,30.6400,30.6400,30.5500,30.5800,400,0
RM.US,5,20131112,210000,30.6700,30.6700,30.6700,30.6700,100,0
RM.US,5,20131112,210500,30.7300,30.7300,30.7300,30.7300,200,0
RM.US,5,20131112,211000,30.8300,30.8600,30.8300,30.8500,400,0
RM.US,5,20131112,212000,30.8600,30.9400,30.8600,30.9400,800,0
RM.US,5,20131112,212500,31.0300,31.0300,31.0300,31.0300,100,0
RM.US,5,20131112,213000,30.9700,30.9700,30.9000,30.9000,300,0
RM.US,5,20131112,213500,30.9300,31.0100,30.8400,31.0100,1200,0
RM.US,5,20131112,214000,30.9300,30.9300,30.7300,30.7300,1600,0
RM.US,5,20131112,214500,30.7500,30.7500,30.7300,30.7400,400,0
RM.US,5,20131112,215000,30.7800,30.8800,30.7200,30.8800,3100,0
RM.US,5,20131112,215500,30.8700,30.8700,30.6400,30.6400,1700,0
RM.US,5,20131112,220000,30.6500,30.6600,30.4200,30.4600,9315,0
RM.US,5,20131112,220500,30.5400,30.5400,30.5400,30.5400,1533,0
RM.US,5,20131113,160000,30.3100,30.3100,30.2900,30.2900,300,0
