<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RS.US,5,20131112,153500,74.9900,75.0000,74.9900,75.0000,1781,0
RS.US,5,20131112,154000,75.0000,75.0000,74.7200,74.7200,932,0
RS.US,5,20131112,154500,74.7800,75.1700,74.7800,75.1400,2000,0
RS.US,5,20131112,155000,75.0100,75.0200,74.8400,74.8400,1900,0
RS.US,5,20131112,155500,74.8100,74.8600,74.7500,74.8600,2500,0
RS.US,5,20131112,160000,74.8900,74.9600,74.8200,74.8500,1600,0
RS.US,5,20131112,160500,74.8400,74.8500,74.6400,74.6400,7301,0
RS.US,5,20131112,161000,74.6600,74.7500,74.6400,74.7200,2000,0
RS.US,5,20131112,161500,74.7200,74.7600,74.6000,74.6400,2200,0
RS.US,5,20131112,162000,74.5600,74.7400,74.5600,74.7000,2800,0
RS.US,5,20131112,162500,74.6700,74.6700,74.5800,74.5900,1200,0
RS.US,5,20131112,163000,74.5900,74.6700,74.5900,74.6700,1500,0
RS.US,5,20131112,163500,74.6800,74.7200,74.5600,74.6400,2800,0
RS.US,5,20131112,164000,74.6100,74.7500,74.6100,74.6100,3686,0
RS.US,5,20131112,164500,74.5600,74.5600,74.5000,74.5400,1000,0
RS.US,5,20131112,165000,74.5800,74.6100,74.5000,74.6100,2400,0
RS.US,5,20131112,165500,74.6200,74.6200,74.5500,74.6100,2900,0
RS.US,5,20131112,170000,74.5900,74.5900,74.4800,74.5400,1170,0
RS.US,5,20131112,170500,74.5400,74.5500,74.3700,74.4600,3790,0
RS.US,5,20131112,171000,74.4500,74.4500,74.4000,74.4000,1300,0
RS.US,5,20131112,171500,74.3300,74.5800,74.3300,74.5000,2320,0
RS.US,5,20131112,172000,74.4700,74.4900,74.4300,74.4500,3692,0
RS.US,5,20131112,172500,74.4500,74.4900,74.4000,74.4000,7173,0
RS.US,5,20131112,173000,74.4100,74.4400,74.4100,74.4400,200,0
RS.US,5,20131112,173500,74.5000,74.6100,74.5000,74.5400,300,0
RS.US,5,20131112,174000,74.5500,74.5500,74.4000,74.4000,300,0
RS.US,5,20131112,175000,74.2600,74.3600,74.2100,74.3300,1600,0
RS.US,5,20131112,175500,74.3700,74.3700,74.3100,74.3100,235,0
RS.US,5,20131112,180000,74.3000,74.3000,74.2600,74.2600,200,0
RS.US,5,20131112,180500,74.2700,74.2700,74.2500,74.2700,2600,0
RS.US,5,20131112,181000,74.2200,74.2200,74.0600,74.0600,800,0
RS.US,5,20131112,181500,74.1200,74.1300,74.1200,74.1200,600,0
RS.US,5,20131112,182000,74.0700,74.1000,74.0200,74.0800,900,0
RS.US,5,20131112,182500,74.0500,74.0500,73.9700,73.9700,700,0
RS.US,5,20131112,183000,74.0100,74.0800,73.9800,73.9800,3420,0
RS.US,5,20131112,183500,73.9200,73.9200,73.8300,73.8900,1300,0
RS.US,5,20131112,184000,73.9700,74.0200,73.9700,74.0200,900,0
RS.US,5,20131112,184500,74.0000,74.0000,73.9400,73.9600,768,0
RS.US,5,20131112,185000,74.1000,74.1100,74.1000,74.1100,200,0
RS.US,5,20131112,185500,74.1000,74.1400,74.1000,74.1400,400,0
RS.US,5,20131112,190000,74.1000,74.1000,74.0800,74.0900,400,0
RS.US,5,20131112,190500,74.0500,74.0500,74.0500,74.0500,100,0
RS.US,5,20131112,191000,74.0600,74.0700,74.0600,74.0700,300,0
RS.US,5,20131112,191500,74.1400,74.1600,74.1400,74.1600,600,0
RS.US,5,20131112,192000,74.1500,74.2000,74.1400,74.2000,1600,0
RS.US,5,20131112,192500,74.2000,74.2600,74.2000,74.2600,1991,0
RS.US,5,20131112,193000,74.2400,74.2400,74.1000,74.1500,1100,0
RS.US,5,20131112,193500,74.1300,74.2200,74.0700,74.0700,2200,0
RS.US,5,20131112,194000,74.1500,74.1500,74.0600,74.0600,300,0
RS.US,5,20131112,194500,74.1200,74.1200,73.9600,74.0400,1200,0
RS.US,5,20131112,195000,74.0600,74.1000,74.0600,74.1000,400,0
RS.US,5,20131112,195500,74.1300,74.1800,74.1300,74.1800,400,0
RS.US,5,20131112,200000,74.1800,74.1800,74.1300,74.1300,900,0
RS.US,5,20131112,200500,74.1500,74.1500,74.1300,74.1300,600,0
RS.US,5,20131112,201000,74.1300,74.1500,74.1300,74.1500,1000,0
