<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVT.US,5,20131112,154000,15.0900,15.1700,15.0900,15.1000,2800,0
RVT.US,5,20131112,154500,15.1400,15.1500,15.1100,15.1500,4595,0
RVT.US,5,20131112,155000,15.1500,15.1700,15.1500,15.1600,1407,0
RVT.US,5,20131112,155500,15.1600,15.1700,15.1300,15.1700,1200,0
RVT.US,5,20131112,160000,15.1700,15.1700,15.1700,15.1700,100,0
RVT.US,5,20131112,160500,15.1600,15.1600,15.1300,15.1400,500,0
RVT.US,5,20131112,161000,15.1400,15.1400,15.1200,15.1200,2300,0
RVT.US,5,20131112,161500,15.1300,15.1300,15.1300,15.1300,100,0
RVT.US,5,20131112,162000,15.1300,15.1500,15.1200,15.1500,685,0
RVT.US,5,20131112,162500,15.1200,15.1600,15.1200,15.1600,400,0
RVT.US,5,20131112,163000,15.1600,15.1600,15.1600,15.1600,200,0
RVT.US,5,20131112,163500,15.1300,15.1400,15.1100,15.1100,16236,0
RVT.US,5,20131112,164000,15.1100,15.1100,15.1000,15.1000,3023,0
RVT.US,5,20131112,164500,15.1000,15.1200,15.1000,15.1200,700,0
RVT.US,5,20131112,165000,15.1200,15.1200,15.1200,15.1200,150,0
RVT.US,5,20131112,165500,15.1200,15.1300,15.1200,15.1200,2300,0
RVT.US,5,20131112,170000,15.1100,15.1100,15.1100,15.1100,900,0
RVT.US,5,20131112,170500,15.1300,15.1300,15.1300,15.1300,210,0
RVT.US,5,20131112,172000,15.1100,15.1200,15.1100,15.1100,502,0
RVT.US,5,20131112,172500,15.1200,15.1200,15.1000,15.1100,1600,0
RVT.US,5,20131112,173000,15.1000,15.1000,15.1000,15.1000,2527,0
RVT.US,5,20131112,173500,15.1000,15.1100,15.1000,15.1000,3807,0
RVT.US,5,20131112,174000,15.1000,15.1100,15.1000,15.1100,973,0
RVT.US,5,20131112,174500,15.1100,15.1100,15.1100,15.1100,200,0
RVT.US,5,20131112,175500,15.1100,15.1100,15.1100,15.1100,609,0
RVT.US,5,20131112,180000,15.0900,15.0900,15.0800,15.0800,1400,0
RVT.US,5,20131112,181000,15.0900,15.0900,15.0500,15.0500,7425,0
RVT.US,5,20131112,181500,15.0500,15.0500,15.0400,15.0400,2400,0
RVT.US,5,20131112,182000,15.0300,15.0600,15.0300,15.0600,1512,0
RVT.US,5,20131112,182500,15.0300,15.0300,15.0300,15.0300,5774,0
RVT.US,5,20131112,183000,15.0600,15.0600,15.0500,15.0500,606,0
RVT.US,5,20131112,183500,15.0300,15.0300,15.0300,15.0300,1215,0
RVT.US,5,20131112,184000,15.0500,15.0500,15.0500,15.0500,691,0
RVT.US,5,20131112,184500,15.0300,15.0300,15.0200,15.0300,2300,0
RVT.US,5,20131112,185000,15.0400,15.0400,15.0400,15.0400,429,0
RVT.US,5,20131112,185500,15.0400,15.0500,15.0400,15.0500,1200,0
RVT.US,5,20131112,190000,15.0600,15.0600,15.0400,15.0400,2865,0
RVT.US,5,20131112,190500,15.0500,15.0600,15.0500,15.0500,925,0
RVT.US,5,20131112,191000,15.0600,15.0600,15.0600,15.0600,800,0
RVT.US,5,20131112,191500,15.0600,15.0600,15.0500,15.0600,400,0
RVT.US,5,20131112,192000,15.0600,15.0600,15.0600,15.0600,300,0
RVT.US,5,20131112,192500,15.0600,15.0900,15.0600,15.0900,400,0
RVT.US,5,20131112,193000,15.0900,15.0900,15.0900,15.0900,200,0
RVT.US,5,20131112,193500,15.1000,15.1000,15.0600,15.0600,300,0
RVT.US,5,20131112,194000,15.0900,15.0900,15.0600,15.0600,200,0
RVT.US,5,20131112,194500,15.0700,15.0700,15.0300,15.0300,1540,0
RVT.US,5,20131112,195000,15.0400,15.0400,15.0200,15.0200,2300,0
RVT.US,5,20131112,195500,15.0300,15.0300,15.0300,15.0300,5301,0
RVT.US,5,20131112,200000,15.0400,15.0400,15.0300,15.0300,1450,0
RVT.US,5,20131112,200500,15.0400,15.0400,15.0400,15.0400,1400,0
RVT.US,5,20131112,201000,15.0400,15.0400,15.0400,15.0400,1000,0
RVT.US,5,20131112,201500,15.0400,15.0400,15.0400,15.0400,1420,0
RVT.US,5,20131112,202000,15.0400,15.0500,15.0400,15.0500,2250,0
RVT.US,5,20131112,202500,15.0500,15.0800,15.0500,15.0800,1200,0
RVT.US,5,20131112,203000,15.0700,15.0700,15.0500,15.0500,1000,0
RVT.US,5,20131112,203500,15.0500,15.0500,15.0400,15.0400,1378,0
RVT.US,5,20131112,204000,15.0500,15.0500,15.0500,15.0500,302,0
RVT.US,5,20131112,204500,15.0400,15.0400,15.0400,15.0400,200,0
RVT.US,5,20131112,205000,15.0400,15.0500,15.0400,15.0500,5938,0
RVT.US,5,20131112,210000,15.0500,15.0800,15.0400,15.0600,9443,0
RVT.US,5,20131112,210500,15.0800,15.0900,15.0800,15.0800,4066,0
RVT.US,5,20131112,211000,15.0900,15.0900,15.0900,15.0900,1408,0
RVT.US,5,20131112,211500,15.1100,15.1100,15.1100,15.1100,3200,0
RVT.US,5,20131112,212500,15.1000,15.1200,15.1000,15.1100,3575,0
RVT.US,5,20131112,213000,15.1000,15.1200,15.1000,15.1200,6427,0
RVT.US,5,20131112,213500,15.1200,15.1400,15.1200,15.1400,3330,0
RVT.US,5,20131112,214000,15.1400,15.1500,15.1400,15.1400,3361,0
RVT.US,5,20131112,214500,15.1500,15.1600,15.1400,15.1600,3347,0
RVT.US,5,20131112,215000,15.1700,15.1700,15.1600,15.1700,3960,0
RVT.US,5,20131112,215500,15.1500,15.1700,15.1400,15.1500,5800,0
RVT.US,5,20131112,220000,15.1400,15.1600,15.1400,15.1600,2000,0
RVT.US,5,20131113,154000,15.0700,15.0700,15.0700,15.0700,1400,0
RVT.US,5,20131113,154500,15.0700,15.0700,15.0600,15.0600,2900,0
RVT.US,5,20131113,155000,15.0700,15.0700,15.0700,15.0700,1148,0
RVT.US,5,20131113,155500,15.0900,15.0900,15.0600,15.0600,2100,0
RVT.US,5,20131113,160000,15.0800,15.1000,15.0500,15.1000,6819,0
RVT.US,5,20131113,160500,15.1300,15.1400,15.1300,15.1400,1200,0
RVT.US,5,20131113,161000,15.1400,15.1400,15.1100,15.1100,1487,0
RVT.US,5,20131113,161500,15.1400,15.1400,15.1300,15.1300,3092,0
RVT.US,5,20131113,162000,15.1200,15.1200,15.1200,15.1200,100,0
RVT.US,5,20131113,162500,15.1300,15.1300,15.1100,15.1100,2800,0
RVT.US,5,20131113,163000,15.1300,15.1600,15.1200,15.1600,3322,0
RVT.US,5,20131113,163500,15.1600,15.1600,15.1600,15.1600,650,0
RVT.US,5,20131113,164500,15.1300,15.1600,15.1300,15.1300,815,0
RVT.US,5,20131113,165000,15.1500,15.1500,15.1500,15.1500,1921,0
RVT.US,5,20131113,165500,15.1500,15.1600,15.1500,15.1600,808,0
RVT.US,5,20131113,170000,15.1700,15.1700,15.1300,15.1300,2400,0
RVT.US,5,20131113,171000,15.1500,15.1700,15.1400,15.1700,1000,0
RVT.US,5,20131113,171500,15.1400,15.1400,15.1400,15.1400,263,0
RVT.US,5,20131113,172000,15.1400,15.1500,15.1400,15.1500,886,0
RVT.US,5,20131113,173000,15.1600,15.1600,15.1300,15.1300,6182,0
RVT.US,5,20131113,174000,15.1400,15.1400,15.1400,15.1400,164,0
RVT.US,5,20131113,174500,15.1500,15.1600,15.1500,15.1600,698,0
RVT.US,5,20131113,175000,15.1600,15.1600,15.1600,15.1600,325,0
RVT.US,5,20131113,175500,15.1300,15.1300,15.1300,15.1300,100,0
RVT.US,5,20131113,180000,15.1600,15.1600,15.1600,15.1600,300,0
RVT.US,5,20131113,180500,15.1600,15.1600,15.1600,15.1600,300,0
RVT.US,5,20131113,181000,15.1600,15.1600,15.1600,15.1600,100,0
RVT.US,5,20131113,181500,15.1700,15.1700,15.1500,15.1700,3000,0
RVT.US,5,20131113,182000,15.1500,15.1800,15.1500,15.1600,10110,0
RVT.US,5,20131113,182500,15.1900,15.2000,15.1900,15.2000,2400,0
RVT.US,5,20131113,183000,15.2100,15.2300,15.2100,15.2300,1600,0
RVT.US,5,20131113,183500,15.2100,15.2100,15.2100,15.2100,700,0
RVT.US,5,20131113,184000,15.2000,15.2000,15.1900,15.1900,1000,0
RVT.US,5,20131113,184500,15.2100,15.2100,15.2100,15.2100,2850,0
RVT.US,5,20131113,185000,15.2200,15.2200,15.2200,15.2200,1900,0
RVT.US,5,20131113,185500,15.2000,15.2000,15.1900,15.1900,1500,0
RVT.US,5,20131113,190000,15.2200,15.2200,15.2200,15.2200,100,0
RVT.US,5,20131113,192000,15.2100,15.2200,15.2000,15.2000,2061,0
RVT.US,5,20131113,192500,15.2200,15.2300,15.2200,15.2200,3195,0
RVT.US,5,20131113,193000,15.2300,15.2300,15.2300,15.2300,1690,0
RVT.US,5,20131113,193500,15.2200,15.2200,15.1900,15.2000,4268,0
RVT.US,5,20131113,194000,15.2100,15.2100,15.2100,15.2100,945,0
RVT.US,5,20131113,194500,15.2300,15.2400,15.2200,15.2300,1653,0
RVT.US,5,20131113,200000,15.2200,15.2400,15.2200,15.2400,300,0
RVT.US,5,20131113,200500,15.2300,15.2400,15.2300,15.2400,1100,0
RVT.US,5,20131113,201500,15.2400,15.2400,15.2400,15.2400,608,0
RVT.US,5,20131113,202000,15.2200,15.2300,15.2200,15.2300,1364,0
RVT.US,5,20131113,202500,15.2200,15.2400,15.2200,15.2400,1482,0
RVT.US,5,20131113,203000,15.2400,15.2400,15.2400,15.2400,200,0
RVT.US,5,20131113,203500,15.2400,15.2400,15.2400,15.2400,200,0
RVT.US,5,20131113,204000,15.2400,15.2400,15.2200,15.2400,700,0
RVT.US,5,20131113,204500,15.2400,15.2400,15.2400,15.2400,200,0
RVT.US,5,20131113,205000,15.2200,15.2400,15.2000,15.2400,4043,0
RVT.US,5,20131113,210000,15.2000,15.2300,15.2000,15.2300,2873,0
RVT.US,5,20131113,210500,15.2400,15.2400,15.2200,15.2200,2228,0
RVT.US,5,20131113,211500,15.2400,15.2400,15.2300,15.2400,3000,0
RVT.US,5,20131113,212000,15.2200,15.2200,15.2200,15.2200,200,0
RVT.US,5,20131113,212500,15.2100,15.2200,15.2100,15.2200,1376,0
RVT.US,5,20131113,213000,15.2500,15.2500,15.2200,15.2500,5749,0
RVT.US,5,20131113,213500,15.2400,15.2400,15.2400,15.2400,222,0
RVT.US,5,20131113,214000,15.2500,15.2600,15.2400,15.2600,1960,0
RVT.US,5,20131113,214500,15.2500,15.2500,15.2500,15.2500,922,0
RVT.US,5,20131113,215000,15.2400,15.2500,15.2200,15.2500,2930,0
RVT.US,5,20131113,215500,15.2300,15.2400,15.2200,15.2400,2100,0
RVT.US,5,20131113,220000,15.2500,15.2500,15.2500,15.2500,507,0
RVT.US,5,20131114,153500,15.2200,15.2600,15.2200,15.2600,800,0
RVT.US,5,20131114,154000,15.2200,15.2300,15.2000,15.2200,3042,0
RVT.US,5,20131114,154500,15.2000,15.2000,15.1800,15.1800,1559,0
RVT.US,5,20131114,155000,15.1800,15.1800,15.1700,15.1700,3500,0
RVT.US,5,20131114,155500,15.1800,15.1900,15.1800,15.1900,620,0
RVT.US,5,20131114,160000,15.1900,15.2100,15.1900,15.2100,602,0
RVT.US,5,20131114,160500,15.1700,15.1800,15.1400,15.1400,4300,0
RVT.US,5,20131114,161000,15.1400,15.1400,15.1400,15.1400,441,0
RVT.US,5,20131114,161500,15.1500,15.1600,15.1500,15.1600,3299,0
RVT.US,5,20131114,162000,15.1800,15.1800,15.1700,15.1700,2122,0
RVT.US,5,20131114,162500,15.1700,15.1800,15.1700,15.1800,1483,0
RVT.US,5,20131114,163000,15.1600,15.1800,15.1600,15.1600,1456,0
RVT.US,5,20131114,163500,15.1600,15.1600,15.1600,15.1600,160,0
RVT.US,5,20131114,164000,15.1800,15.2100,15.1800,15.2100,2556,0
RVT.US,5,20131114,164500,15.2100,15.2100,15.1900,15.1900,815,0
RVT.US,5,20131114,165000,15.2000,15.2100,15.2000,15.2000,625,0
RVT.US,5,20131114,165500,15.2000,15.2100,15.2000,15.2100,3805,0
RVT.US,5,20131114,170500,15.2200,15.2200,15.2200,15.2200,800,0
RVT.US,5,20131114,172000,15.2000,15.2400,15.2000,15.2300,2017,0
RVT.US,5,20131114,172500,15.2500,15.2600,15.2400,15.2400,1400,0
RVT.US,5,20131114,173000,15.2400,15.2600,15.2400,15.2600,1265,0
RVT.US,5,20131114,173500,15.2400,15.2600,15.2400,15.2500,3300,0
RVT.US,5,20131114,174000,15.2300,15.2500,15.2300,15.2300,1382,0
RVT.US,5,20131114,174500,15.2100,15.2100,15.2100,15.2100,1520,0
RVT.US,5,20131114,175000,15.2100,15.2100,15.2100,15.2100,100,0
RVT.US,5,20131114,175500,15.2200,15.2200,15.2200,15.2200,378,0
RVT.US,5,20131114,180000,15.2200,15.2200,15.2200,15.2200,100,0
RVT.US,5,20131114,180500,15.2100,15.2100,15.2100,15.2100,600,0
RVT.US,5,20131114,181000,15.2300,15.2300,15.2300,15.2300,900,0
RVT.US,5,20131114,181500,15.2100,15.2100,15.2100,15.2100,1187,0
RVT.US,5,20131114,182000,15.2200,15.2200,15.2200,15.2200,1000,0
RVT.US,5,20131114,182500,15.2100,15.2200,15.2000,15.2200,1000,0
RVT.US,5,20131114,183000,15.2000,15.2000,15.2000,15.2000,1600,0
RVT.US,5,20131114,183500,15.2200,15.2200,15.2200,15.2200,2200,0
RVT.US,5,20131114,184500,15.2200,15.2200,15.2200,15.2200,500,0
RVT.US,5,20131114,185000,15.2200,15.2200,15.2100,15.2200,984,0
RVT.US,5,20131114,190500,15.2000,15.2000,15.2000,15.2000,746,0
RVT.US,5,20131114,191000,15.2200,15.2200,15.2200,15.2200,600,0
