<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAR.US,5,20131112,153500,16.3000,16.4800,16.3000,16.4800,1600,0
SAR.US,5,20131112,154000,16.4800,16.4800,16.1200,16.1200,3904,0
SAR.US,5,20131112,154500,16.2200,16.4800,16.2200,16.2600,4310,0
SAR.US,5,20131112,155000,16.2800,16.2800,16.2800,16.2800,200,0
SAR.US,5,20131112,155500,16.2900,16.2900,16.2900,16.2900,100,0
SAR.US,5,20131112,160000,16.2800,16.4700,16.2600,16.2600,1200,0
SAR.US,5,20131112,160500,16.3300,16.3300,16.3200,16.3200,300,0
SAR.US,5,20131112,161000,16.3100,16.3100,16.3100,16.3100,100,0
SAR.US,5,20131112,162000,16.3400,16.3400,16.3400,16.3400,154,0
SAR.US,5,20131112,163500,16.3300,16.3300,16.3300,16.3300,300,0
SAR.US,5,20131112,164000,16.3000,16.3000,16.3000,16.3000,1100,0
SAR.US,5,20131112,164500,16.2700,16.2700,16.2600,16.2600,700,0
SAR.US,5,20131112,165000,16.2600,16.3000,16.2600,16.3000,400,0
SAR.US,5,20131112,170000,16.2500,16.2500,16.2500,16.2500,300,0
SAR.US,5,20131112,170500,16.1500,16.1500,16.1500,16.1500,100,0
SAR.US,5,20131112,171000,16.2400,16.2400,16.2400,16.2400,150,0
SAR.US,5,20131112,171500,16.1800,16.1800,16.1500,16.1500,355,0
SAR.US,5,20131112,172500,16.1100,16.1100,15.6700,15.7000,8293,0
SAR.US,5,20131112,173000,15.8000,15.8000,15.8000,15.8000,800,0
SAR.US,5,20131112,173500,15.8600,15.8600,15.8600,15.8600,100,0
SAR.US,5,20131112,174000,15.9100,15.9100,15.8000,15.8000,3100,0
SAR.US,5,20131112,175500,15.6700,15.7500,15.6700,15.7500,1715,0
SAR.US,5,20131112,180000,15.6300,15.6300,15.5600,15.5900,301,0
SAR.US,5,20131112,180500,15.6500,15.9400,15.6500,15.9400,1072,0
SAR.US,5,20131112,181000,15.8100,15.8100,15.8100,15.8100,100,0
SAR.US,5,20131112,182000,15.8000,15.8000,15.8000,15.8000,100,0
SAR.US,5,20131112,182500,15.9400,15.9400,15.9400,15.9400,3000,0
SAR.US,5,20131112,185000,15.8200,15.9200,15.8200,15.9200,700,0
SAR.US,5,20131112,191500,15.8300,15.8300,15.8000,15.8200,2500,0
SAR.US,5,20131112,192000,15.8500,15.9000,15.8500,15.9000,700,0
SAR.US,5,20131112,192500,15.8500,15.8500,15.8500,15.8500,100,0
SAR.US,5,20131112,193000,15.8800,15.8800,15.8800,15.8800,100,0
SAR.US,5,20131112,193500,15.8800,15.8800,15.8800,15.8800,100,0
SAR.US,5,20131112,194000,15.8800,15.8800,15.8500,15.8800,1600,0
SAR.US,5,20131112,201000,15.9000,15.9000,15.9000,15.9000,100,0
SAR.US,5,20131112,201500,15.9000,15.9000,15.9000,15.9000,1000,0
SAR.US,5,20131112,202500,15.8800,15.9500,15.8800,15.9500,4700,0
SAR.US,5,20131112,203500,16.1100,16.1100,16.1000,16.1000,575,0
SAR.US,5,20131112,204000,15.9500,15.9500,15.9500,15.9500,100,0
SAR.US,5,20131112,204500,16.0500,16.0500,15.8500,15.8500,1100,0
SAR.US,5,20131112,205000,15.8500,15.8500,15.8500,15.8500,200,0
SAR.US,5,20131112,205500,15.8500,15.8500,15.8500,15.8500,100,0
SAR.US,5,20131112,210000,15.9000,15.9000,15.9000,15.9000,100,0
SAR.US,5,20131112,210500,15.9000,15.9000,15.9000,15.9000,1390,0
SAR.US,5,20131112,212000,16.2600,16.2600,15.9000,15.9000,800,0
SAR.US,5,20131112,212500,15.9000,15.9000,15.9000,15.9000,100,0
SAR.US,5,20131112,213500,15.9100,15.9100,15.9100,15.9100,100,0
SAR.US,5,20131112,215000,16.0000,16.0000,15.9000,15.9000,2300,0
SAR.US,5,20131112,215500,15.8500,15.8900,15.8500,15.8900,700,0
SAR.US,5,20131112,220000,15.8500,16.0000,15.8500,15.8500,2690,0
SAR.US,5,20131113,153500,15.8000,15.8000,15.6100,15.6100,547,0
SAR.US,5,20131113,154500,15.7500,15.8000,15.7500,15.8000,600,0
SAR.US,5,20131113,155000,15.7900,15.8900,15.7600,15.8400,4598,0
SAR.US,5,20131113,160500,15.8900,15.8900,15.8900,15.8900,100,0
SAR.US,5,20131113,161000,15.9600,15.9600,15.9500,15.9500,400,0
SAR.US,5,20131113,161500,15.9000,16.1600,15.8800,16.1600,700,0
SAR.US,5,20131113,162000,16.2700,16.2700,16.1900,16.1900,1500,0
SAR.US,5,20131113,172000,16.2200,16.2200,16.2200,16.2200,149,0
SAR.US,5,20131113,174000,15.8700,16.2100,15.8700,16.2100,200,0
SAR.US,5,20131113,180500,15.9000,15.9000,15.9000,15.9000,100,0
SAR.US,5,20131113,181000,15.9000,15.9000,15.9000,15.9000,300,0
SAR.US,5,20131113,191000,16.1000,16.1500,16.1000,16.1500,2113,0
SAR.US,5,20131113,191500,15.9200,15.9200,15.9200,15.9200,100,0
SAR.US,5,20131113,192500,15.9500,15.9500,15.9500,15.9500,100,0
SAR.US,5,20131113,193500,15.9100,15.9100,15.9100,15.9100,100,0
SAR.US,5,20131113,195000,16.0000,16.0000,15.9900,16.0000,500,0
SAR.US,5,20131113,195500,16.0000,16.0200,15.9400,15.9400,609,0
SAR.US,5,20131113,200500,15.9300,15.9300,15.9300,15.9300,265,0
SAR.US,5,20131113,201000,15.9500,15.9500,15.9500,15.9500,100,0
SAR.US,5,20131113,201500,15.9600,15.9600,15.9600,15.9600,100,0
SAR.US,5,20131113,202500,16.0000,16.2700,16.0000,16.2700,1200,0
SAR.US,5,20131113,203000,16.2700,16.2700,16.0500,16.0500,450,0
SAR.US,5,20131113,203500,16.0500,16.2000,16.0500,16.2000,900,0
SAR.US,5,20131113,204000,16.0000,16.0000,16.0000,16.0000,223,0
SAR.US,5,20131113,204500,15.9700,16.0000,15.9300,16.0000,1477,0
SAR.US,5,20131113,205000,16.1000,16.1000,16.1000,16.1000,100,0
SAR.US,5,20131113,205500,15.9200,16.0500,15.9200,16.0500,300,0
SAR.US,5,20131113,210000,16.0700,16.0700,16.0000,16.0000,1400,0
SAR.US,5,20131113,210500,15.9100,15.9100,15.9100,15.9100,100,0
SAR.US,5,20131113,211000,15.9500,15.9500,15.9500,15.9500,100,0
SAR.US,5,20131113,211500,15.9500,15.9500,15.9500,15.9500,100,0
SAR.US,5,20131113,212000,15.9500,15.9500,15.9500,15.9500,100,0
SAR.US,5,20131113,212500,15.9300,15.9300,15.9300,15.9300,100,0
SAR.US,5,20131113,213000,15.9100,15.9100,15.9100,15.9100,100,0
SAR.US,5,20131113,214000,16.0000,16.0000,15.9700,15.9700,500,0
SAR.US,5,20131113,214500,16.1000,16.1000,16.0500,16.0500,200,0
SAR.US,5,20131113,215000,16.1000,16.1100,16.1000,16.1100,200,0
SAR.US,5,20131113,215500,15.9500,15.9500,15.9500,15.9500,200,0
SAR.US,5,20131113,220000,15.9500,15.9600,15.9500,15.9600,500,0
SAR.US,5,20131114,154500,15.9700,15.9700,15.9700,15.9700,100,0
SAR.US,5,20131114,155000,16.0100,16.1200,16.0100,16.1200,300,0
SAR.US,5,20131114,155500,15.9600,16.0900,15.9100,15.9100,600,0
SAR.US,5,20131114,160000,15.9000,15.9000,15.9000,15.9000,900,0
SAR.US,5,20131114,160500,15.9000,15.9000,15.9000,15.9000,100,0
SAR.US,5,20131114,161000,15.9000,15.9000,15.9000,15.9000,100,0
SAR.US,5,20131114,161500,16.0000,16.0000,16.0000,16.0000,350,0
SAR.US,5,20131114,164500,16.4000,16.4000,16.4000,16.4000,1000,0
SAR.US,5,20131114,170500,16.1600,16.2000,16.1600,16.2000,300,0
SAR.US,5,20131114,171000,16.2000,16.3500,16.2000,16.3500,333,0
SAR.US,5,20131114,171500,15.9100,15.9100,15.9100,15.9100,100,0
SAR.US,5,20131114,173500,16.1500,16.1500,16.1500,16.1500,100,0
SAR.US,5,20131114,174000,15.9700,15.9700,15.9700,15.9700,100,0
SAR.US,5,20131114,182000,16.1000,16.1000,15.9600,16.0000,1000,0
SAR.US,5,20131114,184000,15.9700,15.9700,15.9700,15.9700,100,0
SAR.US,5,20131114,184500,16.0400,16.0400,16.0400,16.0400,300,0
SAR.US,5,20131114,185000,16.0200,16.0400,16.0200,16.0400,500,0
SAR.US,5,20131114,190500,16.1000,16.1000,16.0900,16.0900,600,0
SAR.US,5,20131114,193000,16.0000,16.0000,16.0000,16.0000,100,0
SAR.US,5,20131114,194000,16.0000,16.0000,16.0000,16.0000,100,0
SAR.US,5,20131114,194500,16.1000,16.1000,16.1000,16.1000,228,0
SAR.US,5,20131114,200500,16.0200,16.0200,16.0200,16.0200,100,0
SAR.US,5,20131114,201500,16.1100,16.1100,16.1000,16.1000,1139,0
SAR.US,5,20131114,202500,16.0200,16.0200,16.0200,16.0200,100,0
SAR.US,5,20131114,203000,16.0100,16.0100,16.0100,16.0100,100,0
SAR.US,5,20131114,204000,16.0000,16.0000,16.0000,16.0000,100,0
SAR.US,5,20131114,204500,16.0200,16.0200,16.0200,16.0200,552,0
SAR.US,5,20131114,205000,16.0000,16.0000,16.0000,16.0000,100,0
SAR.US,5,20131114,205500,16.0000,16.0000,16.0000,16.0000,100,0
SAR.US,5,20131114,210500,16.0000,16.0000,16.0000,16.0000,100,0
SAR.US,5,20131114,211000,16.0000,16.1000,16.0000,16.0600,801,0
SAR.US,5,20131114,211500,16.0200,16.0200,16.0200,16.0200,100,0
SAR.US,5,20131114,212500,16.0000,16.0000,16.0000,16.0000,700,0
