<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBH.US,5,20131112,153500,27.2400,27.3100,27.1200,27.3000,4119,0
SBH.US,5,20131112,154000,27.2300,27.2400,27.0700,27.0700,4843,0
SBH.US,5,20131112,154500,27.0800,27.1500,27.0700,27.0800,8000,0
SBH.US,5,20131112,155000,27.0800,27.1400,27.0300,27.0900,10835,0
SBH.US,5,20131112,155500,27.1000,27.1400,27.1000,27.1200,9490,0
SBH.US,5,20131112,160000,27.1100,27.1500,27.1000,27.1100,8900,0
SBH.US,5,20131112,160500,27.1000,27.1400,27.1000,27.1100,22568,0
SBH.US,5,20131112,161000,27.1100,27.1100,27.0700,27.1000,21307,0
SBH.US,5,20131112,161500,27.1000,27.1000,27.0200,27.0300,8000,0
SBH.US,5,20131112,162000,27.0300,27.1200,27.0200,27.1200,13600,0
SBH.US,5,20131112,162500,27.1100,27.1700,27.1100,27.1600,10557,0
SBH.US,5,20131112,163000,27.1700,27.2100,27.1700,27.1900,14632,0
SBH.US,5,20131112,163500,27.1900,27.2100,27.1800,27.2100,7956,0
SBH.US,5,20131112,164000,27.2100,27.2300,27.2100,27.2300,12976,0
SBH.US,5,20131112,164500,27.2300,27.2900,27.2200,27.2900,17876,0
SBH.US,5,20131112,165000,27.2800,27.3200,27.2800,27.2900,19950,0
SBH.US,5,20131112,165500,27.2700,27.2900,27.2600,27.2700,13050,0
SBH.US,5,20131112,170000,27.2700,27.2800,27.2700,27.2800,4000,0
SBH.US,5,20131112,170500,27.2800,27.2800,27.2500,27.2600,9280,0
SBH.US,5,20131112,171000,27.2600,27.2600,27.1900,27.1900,13935,0
SBH.US,5,20131112,171500,27.2000,27.2400,27.2000,27.2400,11733,0
SBH.US,5,20131112,172000,27.2400,27.2800,27.2200,27.2800,11757,0
SBH.US,5,20131112,172500,27.2800,27.3000,27.2800,27.3000,6534,0
SBH.US,5,20131112,173000,27.2900,27.3100,27.2900,27.3000,4000,0
SBH.US,5,20131112,173500,27.3000,27.3100,27.2900,27.2900,5700,0
SBH.US,5,20131112,174000,27.3000,27.3000,27.2400,27.2400,7944,0
SBH.US,5,20131112,174500,27.2400,27.2400,27.1800,27.1900,8457,0
SBH.US,5,20131112,175000,27.1900,27.2300,27.1800,27.2300,14513,0
SBH.US,5,20131112,175500,27.2300,27.2300,27.2200,27.2300,3200,0
SBH.US,5,20131112,180000,27.2200,27.2600,27.2200,27.2600,9770,0
SBH.US,5,20131112,180500,27.2600,27.2600,27.2400,27.2600,13570,0
SBH.US,5,20131112,181000,27.2500,27.2700,27.2400,27.2500,8450,0
SBH.US,5,20131112,181500,27.2500,27.2700,27.2500,27.2600,5316,0
SBH.US,5,20131112,182000,27.2700,27.2700,27.2400,27.2500,11566,0
SBH.US,5,20131112,182500,27.2500,27.2500,27.2100,27.2100,11085,0
SBH.US,5,20131112,183000,27.2100,27.2100,27.1800,27.2000,12482,0
SBH.US,5,20131112,183500,27.2000,27.2100,27.1800,27.2000,9040,0
SBH.US,5,20131112,184000,27.2200,27.2200,27.1900,27.2000,4800,0
SBH.US,5,20131112,184500,27.2000,27.2200,27.1800,27.2200,33828,0
SBH.US,5,20131112,185000,27.2100,27.2200,27.2100,27.2100,1800,0
SBH.US,5,20131112,185500,27.2100,27.2200,27.2000,27.2100,5847,0
SBH.US,5,20131112,190000,27.2000,27.2000,27.1300,27.1300,12994,0
