<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBW.US,5,20131112,154000,12.3100,12.3100,12.3100,12.3100,500,0
SBW.US,5,20131112,154500,12.3100,12.3100,12.3100,12.3100,400,0
SBW.US,5,20131112,155500,12.2300,12.2500,12.2300,12.2500,2190,0
SBW.US,5,20131112,161000,12.2400,12.2900,12.2400,12.2900,900,0
SBW.US,5,20131112,161500,12.2300,12.2300,12.2100,12.2100,2500,0
SBW.US,5,20131112,162000,12.2400,12.2400,12.2400,12.2400,200,0
SBW.US,5,20131112,165500,12.2300,12.2500,12.2300,12.2400,800,0
SBW.US,5,20131112,171500,12.2200,12.2400,12.2200,12.2400,6500,0
SBW.US,5,20131112,172000,12.2300,12.2300,12.2300,12.2300,233,0
SBW.US,5,20131112,173500,12.2200,12.2200,12.2100,12.2100,300,0
SBW.US,5,20131112,174000,12.2200,12.2200,12.2100,12.2100,3257,0
SBW.US,5,20131112,174500,12.2000,12.2000,12.2000,12.2000,4033,0
SBW.US,5,20131112,175000,12.2000,12.2000,12.2000,12.2000,300,0
SBW.US,5,20131112,181500,12.2000,12.2000,12.2000,12.2000,300,0
SBW.US,5,20131112,182500,12.2000,12.2000,12.2000,12.2000,600,0
SBW.US,5,20131112,183000,12.2000,12.2100,12.2000,12.2100,3000,0
SBW.US,5,20131112,184000,12.2000,12.2000,12.2000,12.2000,100,0
SBW.US,5,20131112,184500,12.2000,12.2000,12.2000,12.2000,1000,0
SBW.US,5,20131112,185500,12.2000,12.2000,12.2000,12.2000,1500,0
SBW.US,5,20131112,190500,12.1900,12.1900,12.1800,12.1900,2400,0
SBW.US,5,20131112,191000,12.1800,12.1800,12.1800,12.1800,600,0
SBW.US,5,20131112,191500,12.1900,12.1900,12.1900,12.1900,450,0
SBW.US,5,20131112,192000,12.1800,12.1800,12.1700,12.1700,2800,0
SBW.US,5,20131112,193000,12.1800,12.1900,12.1800,12.1900,700,0
SBW.US,5,20131112,193500,12.2100,12.2100,12.2100,12.2100,1500,0
SBW.US,5,20131112,200000,12.1800,12.1800,12.1800,12.1800,567,0
SBW.US,5,20131112,200500,12.1900,12.1900,12.1800,12.1800,500,0
SBW.US,5,20131112,201000,12.1900,12.2200,12.1900,12.1900,4200,0
SBW.US,5,20131112,203500,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131112,204000,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131112,204500,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131112,205000,12.1400,12.1400,12.1400,12.1400,200,0
SBW.US,5,20131112,205500,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131112,210500,12.1900,12.2100,12.1800,12.1800,1100,0
SBW.US,5,20131112,211000,12.2000,12.2000,12.2000,12.2000,1000,0
SBW.US,5,20131112,212000,12.1900,12.1900,12.1900,12.1900,100,0
SBW.US,5,20131112,212500,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131112,213000,12.1800,12.1800,12.1800,12.1800,300,0
SBW.US,5,20131112,213500,12.1800,12.1800,12.1800,12.1800,285,0
SBW.US,5,20131112,214000,12.1800,12.1800,12.1800,12.1800,573,0
SBW.US,5,20131112,214500,12.1800,12.1900,12.1800,12.1900,594,0
SBW.US,5,20131112,215000,12.1500,12.1900,12.1500,12.1900,1452,0
SBW.US,5,20131112,215500,12.1800,12.1800,12.1800,12.1800,400,0
SBW.US,5,20131112,220000,12.1800,12.2100,12.1800,12.1800,1400,0
SBW.US,5,20131112,220500,12.2100,12.2100,12.2100,12.2100,166,0
SBW.US,5,20131113,153500,12.1300,12.1300,12.0900,12.1100,500,0
SBW.US,5,20131113,155000,12.1000,12.1000,12.1000,12.1000,200,0
SBW.US,5,20131113,160000,12.1100,12.1100,12.1100,12.1100,666,0
SBW.US,5,20131113,161000,12.1100,12.1100,12.1100,12.1100,100,0
SBW.US,5,20131113,161500,12.1100,12.1100,12.1100,12.1100,100,0
SBW.US,5,20131113,162000,12.1300,12.1300,12.1300,12.1300,700,0
SBW.US,5,20131113,162500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131113,164000,12.1400,12.1400,12.1400,12.1400,100,0
SBW.US,5,20131113,165500,12.1100,12.1100,12.1100,12.1100,200,0
SBW.US,5,20131113,172500,12.1100,12.1100,12.1100,12.1100,200,0
SBW.US,5,20131113,174500,12.1300,12.1400,12.1300,12.1400,950,0
SBW.US,5,20131113,175500,12.1400,12.1400,12.1400,12.1400,100,0
SBW.US,5,20131113,180000,12.1200,12.1200,12.1200,12.1200,300,0
SBW.US,5,20131113,180500,12.1200,12.1200,12.1200,12.1200,308,0
SBW.US,5,20131113,181000,12.1200,12.1200,12.1200,12.1200,225,0
SBW.US,5,20131113,181500,12.1200,12.1200,12.1200,12.1200,300,0
SBW.US,5,20131113,182000,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131113,182500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131113,183000,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131113,183500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131113,184000,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131113,184500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131113,185000,12.0900,12.1200,12.0900,12.1100,1200,0
SBW.US,5,20131113,190000,12.1200,12.1500,12.1200,12.1300,1500,0
SBW.US,5,20131113,191500,12.1200,12.1900,12.1200,12.1800,3156,0
SBW.US,5,20131113,194000,12.1600,12.1600,12.1500,12.1500,525,0
SBW.US,5,20131113,194500,12.1500,12.1500,12.1500,12.1500,300,0
SBW.US,5,20131113,202000,12.1500,12.1500,12.1500,12.1500,200,0
SBW.US,5,20131113,202500,12.1700,12.1700,12.1700,12.1700,371,0
SBW.US,5,20131113,203000,12.1400,12.1400,12.1400,12.1400,200,0
SBW.US,5,20131113,203500,12.1400,12.1400,12.1100,12.1100,6190,0
SBW.US,5,20131113,204000,12.1600,12.1600,12.1600,12.1600,1113,0
SBW.US,5,20131113,204500,12.1100,12.1100,12.1100,12.1100,400,0
SBW.US,5,20131113,205500,12.1100,12.1100,12.1100,12.1100,400,0
SBW.US,5,20131113,211000,12.1100,12.1400,12.1100,12.1400,500,0
SBW.US,5,20131113,211500,12.1100,12.1100,12.1100,12.1100,3687,0
SBW.US,5,20131113,212500,12.1100,12.1100,12.1100,12.1100,500,0
SBW.US,5,20131113,213000,12.1100,12.1100,12.1100,12.1100,525,0
SBW.US,5,20131113,214000,12.1100,12.1100,12.1100,12.1100,600,0
SBW.US,5,20131113,214500,12.1100,12.1500,12.1100,12.1200,400,0
SBW.US,5,20131113,215000,12.1400,12.1400,12.1300,12.1300,200,0
SBW.US,5,20131113,215500,12.1300,12.1400,12.1200,12.1200,3050,0
SBW.US,5,20131113,220000,12.1300,12.1500,12.1200,12.1200,1390,0
SBW.US,5,20131114,153500,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131114,154500,12.1400,12.1400,12.1400,12.1400,264,0
SBW.US,5,20131114,155000,12.1400,12.1400,12.1400,12.1400,100,0
SBW.US,5,20131114,155500,12.1400,12.1400,12.1400,12.1400,400,0
SBW.US,5,20131114,160500,12.1300,12.1300,12.1000,12.1000,1491,0
SBW.US,5,20131114,161000,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131114,161500,12.1100,12.1100,12.1100,12.1100,600,0
SBW.US,5,20131114,163000,12.1000,12.1000,12.1000,12.1000,413,0
SBW.US,5,20131114,164500,12.1000,12.1000,12.1000,12.1000,100,0
SBW.US,5,20131114,165500,12.0900,12.0900,12.0900,12.0900,100,0
SBW.US,5,20131114,170000,12.1100,12.1100,12.0900,12.0900,600,0
SBW.US,5,20131114,170500,12.0900,12.0900,12.0600,12.0800,2700,0
SBW.US,5,20131114,171000,12.0800,12.0900,12.0800,12.0900,1350,0
SBW.US,5,20131114,172000,12.0800,12.0800,12.0800,12.0800,100,0
SBW.US,5,20131114,172500,12.1200,12.1300,12.0900,12.1300,1200,0
SBW.US,5,20131114,173000,12.1300,12.1400,12.1300,12.1400,1736,0
SBW.US,5,20131114,173500,12.1600,12.1700,12.1600,12.1700,5500,0
SBW.US,5,20131114,174500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,175000,12.1600,12.1600,12.1600,12.1600,800,0
SBW.US,5,20131114,180000,12.1700,12.1700,12.1700,12.1700,400,0
SBW.US,5,20131114,181500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,182000,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,182500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,183000,12.1300,12.1300,12.1300,12.1300,2100,0
SBW.US,5,20131114,183500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,184000,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,184500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,185000,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,190000,12.1300,12.1700,12.1300,12.1300,762,0
SBW.US,5,20131114,190500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131114,191000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,191500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,192000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,192500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,193500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,194000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,194500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,195000,12.1200,12.1500,12.1200,12.1500,400,0
SBW.US,5,20131114,200500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,201000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,201500,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131114,202000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,202500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,203000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,203500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,204000,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131114,204500,12.0900,12.0900,12.0900,12.0900,1100,0
SBW.US,5,20131114,205000,12.0900,12.0900,12.0900,12.0900,1100,0
SBW.US,5,20131114,205500,12.1300,12.1300,12.1300,12.1300,1000,0
SBW.US,5,20131114,210000,12.1000,12.1000,12.1000,12.1000,100,0
SBW.US,5,20131114,210500,12.1000,12.1000,12.1000,12.1000,100,0
SBW.US,5,20131114,211000,12.1000,12.1000,12.1000,12.1000,100,0
SBW.US,5,20131114,211500,12.1000,12.1000,12.1000,12.1000,200,0
SBW.US,5,20131114,212000,12.1000,12.1000,12.1000,12.1000,100,0
SBW.US,5,20131114,212500,12.1000,12.1300,12.1000,12.1000,363,0
SBW.US,5,20131114,213000,12.1000,12.1000,12.0800,12.0900,1400,0
SBW.US,5,20131114,213500,12.0900,12.0900,12.0900,12.0900,200,0
SBW.US,5,20131114,214000,12.0900,12.0900,12.0900,12.0900,200,0
SBW.US,5,20131114,214500,12.0900,12.1200,12.0900,12.1200,1670,0
SBW.US,5,20131114,215000,12.1200,12.1200,12.1000,12.1000,1421,0
SBW.US,5,20131114,215500,12.1200,12.1400,12.1200,12.1400,2500,0
SBW.US,5,20131114,220000,12.1400,12.1600,12.1300,12.1500,3380,0
SBW.US,5,20131114,220500,12.1600,12.1600,12.1600,12.1600,100,0
SBW.US,5,20131115,155500,12.1700,12.1800,12.1600,12.1800,5100,0
SBW.US,5,20131115,162000,12.1600,12.1900,12.1600,12.1900,1000,0
SBW.US,5,20131115,171500,12.1600,12.1600,12.1600,12.1600,800,0
SBW.US,5,20131115,172000,12.1600,12.2300,12.1600,12.2300,589,0
SBW.US,5,20131115,172500,12.1800,12.2300,12.1800,12.2300,4268,0
SBW.US,5,20131115,173000,12.2300,12.2300,12.2300,12.2300,1400,0
SBW.US,5,20131115,173500,12.2300,12.2300,12.2300,12.2300,100,0
SBW.US,5,20131115,174000,12.2100,12.2100,12.2100,12.2100,100,0
SBW.US,5,20131115,175000,12.2300,12.2500,12.2300,12.2500,1000,0
SBW.US,5,20131115,180000,12.2100,12.2100,12.1900,12.1900,700,0
SBW.US,5,20131115,181000,12.1900,12.2400,12.1900,12.2400,1109,0
SBW.US,5,20131115,182000,12.1900,12.1900,12.1900,12.1900,400,0
SBW.US,5,20131115,183000,12.1900,12.1900,12.1900,12.1900,100,0
SBW.US,5,20131115,183500,12.1900,12.1900,12.1900,12.1900,600,0
SBW.US,5,20131115,184500,12.1800,12.1800,12.1800,12.1800,300,0
SBW.US,5,20131115,185500,12.1800,12.1800,12.1800,12.1800,800,0
SBW.US,5,20131115,190000,12.2100,12.2100,12.2100,12.2100,100,0
SBW.US,5,20131115,190500,12.1800,12.1800,12.1800,12.1800,300,0
SBW.US,5,20131115,191500,12.1800,12.1800,12.1800,12.1800,300,0
SBW.US,5,20131115,193000,12.1800,12.1800,12.1800,12.1800,300,0
SBW.US,5,20131115,194000,12.2000,12.2000,12.1800,12.1800,733,0
SBW.US,5,20131115,195000,12.1800,12.1800,12.1800,12.1800,300,0
SBW.US,5,20131115,200000,12.1700,12.1700,12.1700,12.1700,300,0
SBW.US,5,20131115,200500,12.1700,12.1700,12.1700,12.1700,100,0
SBW.US,5,20131115,201500,12.1700,12.1700,12.1700,12.1700,300,0
SBW.US,5,20131115,202000,12.1700,12.1700,12.1700,12.1700,100,0
SBW.US,5,20131115,202500,12.1600,12.1600,12.1600,12.1600,300,0
SBW.US,5,20131115,203500,12.1600,12.1600,12.1600,12.1600,400,0
SBW.US,5,20131115,204500,12.1600,12.1600,12.1600,12.1600,300,0
SBW.US,5,20131115,205500,12.1600,12.1600,12.1600,12.1600,300,0
SBW.US,5,20131115,210500,12.1600,12.1600,12.1600,12.1600,400,0
SBW.US,5,20131115,211000,12.1600,12.1600,12.1600,12.1600,100,0
SBW.US,5,20131115,212000,12.1400,12.1400,12.1400,12.1400,400,0
SBW.US,5,20131115,212500,12.1700,12.1700,12.1700,12.1700,100,0
SBW.US,5,20131115,213000,12.1700,12.1700,12.1500,12.1500,400,0
SBW.US,5,20131115,213500,12.1700,12.1800,12.1600,12.1600,400,0
SBW.US,5,20131115,214000,12.1800,12.1800,12.1800,12.1800,100,0
SBW.US,5,20131115,214500,12.2100,12.2100,12.1800,12.1800,1115,0
SBW.US,5,20131115,215000,12.1800,12.1900,12.1800,12.1900,400,0
SBW.US,5,20131115,215500,12.1800,12.1900,12.1800,12.1800,800,0
SBW.US,5,20131115,220000,12.1800,12.2100,12.1400,12.1600,1900,0
SBW.US,5,20131118,153500,12.1600,12.1600,12.1600,12.1600,100,0
SBW.US,5,20131118,154000,12.1500,12.1500,12.1500,12.1500,100,0
SBW.US,5,20131118,154500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131118,155000,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131118,155500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131118,160000,12.1200,12.1200,12.1200,12.1200,200,0
SBW.US,5,20131118,160500,12.1200,12.1200,12.1200,12.1200,100,0
SBW.US,5,20131118,161500,12.1200,12.1300,12.1200,12.1300,400,0
SBW.US,5,20131118,162500,12.1300,12.1400,12.1300,12.1400,223,0
SBW.US,5,20131118,163000,12.1300,12.1300,12.1300,12.1300,200,0
SBW.US,5,20131118,163500,12.1300,12.1300,12.1300,12.1300,700,0
SBW.US,5,20131118,164500,12.1300,12.1400,12.1300,12.1400,2100,0
SBW.US,5,20131118,165000,12.1300,12.1500,12.1300,12.1500,3300,0
SBW.US,5,20131118,165500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131118,170000,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131118,170500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131118,171000,12.1300,12.1300,12.1300,12.1300,1307,0
SBW.US,5,20131118,171500,12.1300,12.1300,12.1300,12.1300,100,0
SBW.US,5,20131118,172000,12.1300,12.1700,12.1300,12.1700,2060,0
SBW.US,5,20131118,173000,12.1400,12.1400,12.1400,12.1400,2125,0
SBW.US,5,20131118,173500,12.1400,12.1400,12.1400,12.1400,2100,0
SBW.US,5,20131118,174000,12.1400,12.1400,12.1400,12.1400,1100,0
SBW.US,5,20131118,174500,12.1400,12.1400,12.1400,12.1400,100,0
SBW.US,5,20131118,175000,12.1400,12.1400,12.1400,12.1400,100,0
SBW.US,5,20131118,175500,12.1500,12.1600,12.1500,12.1600,253,0
SBW.US,5,20131118,180000,12.1500,12.1500,12.1500,12.1500,100,0
SBW.US,5,20131118,180500,12.1500,12.1500,12.1500,12.1500,300,0
SBW.US,5,20131118,181000,12.1500,12.1500,12.1500,12.1500,400,0
SBW.US,5,20131118,181500,12.1600,12.1600,12.1500,12.1500,1600,0
SBW.US,5,20131118,182000,12.1500,12.1500,12.1500,12.1500,100,0
SBW.US,5,20131118,182500,12.1500,12.1500,12.1500,12.1500,100,0
SBW.US,5,20131118,183500,12.1500,12.1500,12.1500,12.1500,100,0
SBW.US,5,20131118,184000,12.1500,12.1500,12.1300,12.1300,824,0
