<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SB.US,5,20131112,153500,8.3200,8.3200,8.2800,8.2800,600,0
SB.US,5,20131112,154000,8.3200,8.3400,8.3100,8.3200,4726,0
SB.US,5,20131112,154500,8.2900,8.2900,8.2800,8.2800,1300,0
SB.US,5,20131112,155000,8.2800,8.3200,8.2400,8.3200,2700,0
SB.US,5,20131112,155500,8.3500,8.3500,8.3300,8.3300,1100,0
SB.US,5,20131112,160000,8.3200,8.3400,8.2800,8.2800,2500,0
SB.US,5,20131112,160500,8.2600,8.2600,8.2500,8.2500,6280,0
SB.US,5,20131112,161000,8.2500,8.2500,8.2300,8.2300,1680,0
SB.US,5,20131112,161500,8.2300,8.2800,8.2300,8.2600,1600,0
SB.US,5,20131112,162000,8.2800,8.2800,8.2600,8.2600,500,0
SB.US,5,20131112,162500,8.2800,8.2900,8.2400,8.2500,2575,0
SB.US,5,20131112,163000,8.2300,8.2800,8.2300,8.2700,3700,0
SB.US,5,20131112,163500,8.2700,8.3100,8.2400,8.2500,42091,0
SB.US,5,20131112,164000,8.2500,8.2500,8.2500,8.2500,500,0
SB.US,5,20131112,164500,8.2500,8.2700,8.2500,8.2700,2725,0
SB.US,5,20131112,165000,8.2700,8.2900,8.2700,8.2900,1439,0
SB.US,5,20131112,165500,8.2800,8.2800,8.2500,8.2500,1400,0
SB.US,5,20131112,170000,8.2500,8.2600,8.2500,8.2500,3500,0
SB.US,5,20131112,170500,8.2600,8.2600,8.2400,8.2400,3200,0
SB.US,5,20131112,171000,8.2500,8.2500,8.2300,8.2500,2533,0
SB.US,5,20131112,171500,8.2500,8.2800,8.2500,8.2700,2300,0
SB.US,5,20131112,172000,8.2800,8.2800,8.2600,8.2600,960,0
SB.US,5,20131112,172500,8.2600,8.2600,8.2500,8.2500,2500,0
SB.US,5,20131112,173000,8.2500,8.2500,8.2500,8.2500,1300,0
SB.US,5,20131112,173500,8.2600,8.2600,8.2500,8.2600,2000,0
SB.US,5,20131112,174000,8.2600,8.2700,8.2000,8.2000,22838,0
SB.US,5,20131112,174500,8.2200,8.2200,8.1900,8.1900,2100,0
