<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCS.US,5,20131112,154000,15.9100,15.9800,15.9100,15.9200,400,0
SCS.US,5,20131112,154500,15.9200,15.9300,15.7900,15.9000,8434,0
SCS.US,5,20131112,155000,15.8300,15.9200,15.8100,15.8600,13100,0
SCS.US,5,20131112,155500,15.9000,15.9400,15.8700,15.9400,14960,0
SCS.US,5,20131112,160000,15.9200,15.9800,15.9200,15.9800,1300,0
SCS.US,5,20131112,160500,15.9700,15.9800,15.9600,15.9800,1700,0
SCS.US,5,20131112,161000,15.9800,15.9800,15.9800,15.9800,300,0
SCS.US,5,20131112,161500,16.0400,16.0900,16.0400,16.0800,1100,0
SCS.US,5,20131112,162000,16.0900,16.0900,16.0800,16.0800,400,0
SCS.US,5,20131112,162500,16.0600,16.0800,16.0600,16.0800,500,0
SCS.US,5,20131112,163000,16.0200,16.0500,16.0200,16.0400,700,0
SCS.US,5,20131112,164500,16.0300,16.0400,16.0100,16.0300,1278,0
SCS.US,5,20131112,165000,16.0300,16.0300,15.9800,15.9800,3096,0
SCS.US,5,20131112,165500,15.9900,15.9900,15.9900,15.9900,100,0
SCS.US,5,20131112,170000,15.9700,15.9700,15.9600,15.9600,300,0
SCS.US,5,20131112,171500,15.9800,16.0200,15.9800,16.0200,3199,0
SCS.US,5,20131112,172000,16.0100,16.0400,16.0100,16.0400,200,0
SCS.US,5,20131112,172500,16.0200,16.0400,15.9900,16.0000,4900,0
SCS.US,5,20131112,173000,16.0100,16.0600,16.0000,16.0200,5200,0
SCS.US,5,20131112,173500,16.0600,16.0800,16.0600,16.0700,400,0
SCS.US,5,20131112,174000,16.0600,16.0600,16.0400,16.0500,900,0
SCS.US,5,20131112,175000,16.0300,16.0500,16.0200,16.0500,1241,0
SCS.US,5,20131112,180000,16.0600,16.0800,16.0600,16.0800,400,0
SCS.US,5,20131112,180500,16.0600,16.0800,16.0000,16.0000,7878,0
SCS.US,5,20131112,181000,15.9800,15.9800,15.9200,15.9200,3112,0
SCS.US,5,20131112,182000,15.9100,15.9400,15.9000,15.9400,1729,0
SCS.US,5,20131112,182500,15.9400,15.9400,15.9000,15.9100,800,0
SCS.US,5,20131112,183500,15.8900,15.9000,15.8800,15.8800,700,0
SCS.US,5,20131112,184000,15.8900,15.9100,15.8900,15.9100,200,0
SCS.US,5,20131112,184500,15.9100,15.9100,15.9100,15.9100,100,0
SCS.US,5,20131112,185000,15.9300,15.9500,15.9300,15.9500,200,0
SCS.US,5,20131112,185500,15.9400,15.9500,15.9400,15.9500,1500,0
SCS.US,5,20131112,190000,15.9500,15.9500,15.9300,15.9300,526,0
SCS.US,5,20131112,191500,15.9600,15.9800,15.9500,15.9800,1400,0
SCS.US,5,20131112,192000,15.9900,16.0100,15.9800,15.9900,3700,0
SCS.US,5,20131112,192500,15.9900,16.0000,15.9900,16.0000,1600,0
SCS.US,5,20131112,193000,16.0000,16.0000,15.9900,15.9900,2708,0
SCS.US,5,20131112,193500,15.9600,15.9600,15.9600,15.9600,100,0
SCS.US,5,20131112,194000,15.9600,15.9800,15.9500,15.9800,500,0
SCS.US,5,20131112,194500,15.9900,16.0000,15.9900,15.9900,317,0
SCS.US,5,20131112,195000,15.9800,16.0000,15.9700,15.9900,740,0
SCS.US,5,20131112,200000,15.9900,15.9900,15.9700,15.9700,2400,0
SCS.US,5,20131112,200500,15.9800,15.9800,15.9800,15.9800,500,0
SCS.US,5,20131112,201500,15.9700,16.0000,15.9700,16.0000,1100,0
SCS.US,5,20131112,202000,15.9900,16.0000,15.9800,15.9900,2650,0
SCS.US,5,20131112,202500,16.0000,16.0000,15.9900,15.9900,400,0
SCS.US,5,20131112,203000,16.0000,16.0000,16.0000,16.0000,100,0
SCS.US,5,20131112,203500,15.9900,15.9900,15.9900,15.9900,100,0
SCS.US,5,20131112,204000,15.9900,16.0000,15.9900,15.9900,3200,0
SCS.US,5,20131112,204500,16.0100,16.0100,16.0000,16.0000,1000,0
SCS.US,5,20131112,205000,15.9900,16.0000,15.9900,16.0000,300,0
SCS.US,5,20131112,205500,16.0000,16.0100,16.0000,16.0100,200,0
SCS.US,5,20131112,210000,16.0200,16.0400,16.0000,16.0200,1000,0
SCS.US,5,20131112,210500,16.0200,16.0200,15.9900,16.0100,10102,0
SCS.US,5,20131112,211000,16.0200,16.0200,16.0000,16.0000,200,0
SCS.US,5,20131112,211500,16.0300,16.0300,16.0200,16.0300,600,0
SCS.US,5,20131112,212000,16.0200,16.0600,16.0200,16.0600,600,0
SCS.US,5,20131112,212500,16.0600,16.0600,16.0300,16.0500,1391,0
