<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGU.US,5,20131112,153500,5.6300,5.6300,5.6200,5.6200,1924,0
SGU.US,5,20131112,160000,5.6200,5.6200,5.6100,5.6100,200,0
SGU.US,5,20131112,161000,5.6100,5.6100,5.6000,5.6100,1200,0
SGU.US,5,20131112,161500,5.6000,5.6000,5.5900,5.5900,2890,0
SGU.US,5,20131112,162000,5.6100,5.6100,5.6000,5.6000,200,0
SGU.US,5,20131112,163500,5.6100,5.6100,5.6100,5.6100,100,0
SGU.US,5,20131112,164500,5.6000,5.6000,5.6000,5.6000,500,0
SGU.US,5,20131112,165000,5.6100,5.6100,5.6100,5.6100,178,0
SGU.US,5,20131112,165500,5.6100,5.6100,5.6100,5.6100,292,0
SGU.US,5,20131112,170500,5.5900,5.5900,5.5900,5.5900,2500,0
SGU.US,5,20131112,171000,5.6000,5.6000,5.6000,5.6000,3000,0
SGU.US,5,20131112,171500,5.6000,5.6000,5.6000,5.6000,708,0
SGU.US,5,20131112,172500,5.5900,5.5900,5.5900,5.5900,400,0
SGU.US,5,20131112,185000,5.5900,5.6000,5.5900,5.5900,881,0
SGU.US,5,20131112,190500,5.5900,5.5900,5.5900,5.5900,250,0
SGU.US,5,20131112,191000,5.5900,5.5900,5.5900,5.5900,596,0
SGU.US,5,20131112,192000,5.5900,5.5900,5.5900,5.5900,1965,0
SGU.US,5,20131112,193500,5.5900,5.5900,5.5900,5.5900,302,0
SGU.US,5,20131112,200000,5.5900,5.5900,5.5900,5.5900,400,0
SGU.US,5,20131112,201500,5.5900,5.5900,5.5900,5.5900,220,0
SGU.US,5,20131112,203500,5.5800,5.5800,5.5800,5.5800,100,0
SGU.US,5,20131112,204000,5.5800,5.5800,5.5800,5.5800,100,0
SGU.US,5,20131112,212500,5.5900,5.5900,5.5900,5.5900,200,0
SGU.US,5,20131112,215000,5.5900,5.5900,5.5900,5.5900,1600,0
SGU.US,5,20131112,220000,5.5900,5.5900,5.5900,5.5900,400,0
SGU.US,5,20131112,221000,5.5900,5.5900,5.5900,5.5900,200,0
SGU.US,5,20131113,153500,5.5800,5.5800,5.5800,5.5800,100,0
SGU.US,5,20131113,154000,5.5900,5.5900,5.5900,5.5900,100,0
SGU.US,5,20131113,154500,5.5800,5.5800,5.5800,5.5800,800,0
SGU.US,5,20131113,155000,5.5800,5.5900,5.5800,5.5900,2484,0
SGU.US,5,20131113,155500,5.5800,5.5800,5.5800,5.5800,200,0
SGU.US,5,20131113,161000,5.5800,5.5800,5.5800,5.5800,747,0
SGU.US,5,20131113,163500,5.5900,5.5900,5.5900,5.5900,100,0
SGU.US,5,20131113,164000,5.5900,5.5900,5.5900,5.5900,680,0
SGU.US,5,20131113,164500,5.5800,5.5800,5.5800,5.5800,400,0
SGU.US,5,20131113,165500,5.5900,5.5900,5.5900,5.5900,100,0
SGU.US,5,20131113,170000,5.5900,5.5900,5.5900,5.5900,200,0
SGU.US,5,20131113,170500,5.5900,5.5900,5.5900,5.5900,350,0
SGU.US,5,20131113,171000,5.5900,5.5900,5.5900,5.5900,100,0
SGU.US,5,20131113,172000,5.5800,5.5800,5.5800,5.5800,300,0
SGU.US,5,20131113,172500,5.5800,5.5900,5.5000,5.5100,23439,0
SGU.US,5,20131113,173000,5.5100,5.5100,5.5100,5.5100,800,0
SGU.US,5,20131113,174500,5.5600,5.5600,5.5600,5.5600,3600,0
SGU.US,5,20131113,175000,5.5600,5.5600,5.5300,5.5300,1800,0
SGU.US,5,20131113,175500,5.5100,5.5500,5.5000,5.5500,4400,0
SGU.US,5,20131113,180000,5.5400,5.5400,5.5200,5.5200,500,0
SGU.US,5,20131113,182500,5.5500,5.5500,5.5200,5.5200,1447,0
SGU.US,5,20131113,185500,5.5400,5.5400,5.5300,5.5400,300,0
SGU.US,5,20131113,191500,5.5200,5.5200,5.5000,5.5000,5000,0
SGU.US,5,20131113,192000,5.5000,5.5500,5.5000,5.5500,1990,0
SGU.US,5,20131113,193000,5.5200,5.5200,5.5200,5.5200,2000,0
SGU.US,5,20131113,194500,5.5200,5.5300,5.5200,5.5300,2235,0
SGU.US,5,20131113,195500,5.5400,5.5500,5.5100,5.5100,3654,0
SGU.US,5,20131113,200000,5.5300,5.5300,5.5300,5.5300,652,0
SGU.US,5,20131113,202000,5.5200,5.5200,5.5200,5.5200,1000,0
SGU.US,5,20131113,204000,5.5300,5.5300,5.5300,5.5300,800,0
SGU.US,5,20131113,204500,5.5200,5.5200,5.5200,5.5200,123,0
SGU.US,5,20131113,205500,5.5200,5.5200,5.5200,5.5200,200,0
SGU.US,5,20131113,210500,5.5400,5.5400,5.5400,5.5400,1200,0
SGU.US,5,20131113,215000,5.5400,5.5400,5.5200,5.5200,2700,0
SGU.US,5,20131113,215500,5.5400,5.5400,5.5100,5.5200,1264,0
SGU.US,5,20131113,220000,5.5100,5.5100,5.5000,5.5000,4900,0
SGU.US,5,20131113,220500,5.5300,5.5300,5.5300,5.5300,300,0
SGU.US,5,20131114,153500,5.5800,5.5900,5.5800,5.5800,553,0
SGU.US,5,20131114,154500,5.5500,5.5600,5.5500,5.5600,2281,0
SGU.US,5,20131114,160000,5.5600,5.5600,5.5600,5.5600,100,0
SGU.US,5,20131114,162000,5.5600,5.5700,5.5600,5.5700,2242,0
SGU.US,5,20131114,162500,5.5700,5.5700,5.5600,5.5600,350,0
SGU.US,5,20131114,163500,5.5700,5.5700,5.5700,5.5700,590,0
SGU.US,5,20131114,164000,5.5600,5.5600,5.5600,5.5600,100,0
SGU.US,5,20131114,165500,5.5700,5.5700,5.5700,5.5700,1200,0
SGU.US,5,20131114,170000,5.5600,5.5700,5.5600,5.5600,928,0
SGU.US,5,20131114,171500,5.5700,5.5700,5.5700,5.5700,100,0
SGU.US,5,20131114,172500,5.5700,5.5700,5.5700,5.5700,1100,0
SGU.US,5,20131114,173000,5.5900,5.5900,5.5900,5.5900,100,0
SGU.US,5,20131114,173500,5.5900,5.5900,5.5900,5.5900,100,0
SGU.US,5,20131114,180500,5.6000,5.6000,5.6000,5.6000,100,0
SGU.US,5,20131114,181000,5.6000,5.6000,5.6000,5.6000,1600,0
SGU.US,5,20131114,184000,5.5900,5.6000,5.5600,5.5600,3200,0
SGU.US,5,20131114,184500,5.5700,5.5700,5.5700,5.5700,200,0
SGU.US,5,20131114,185000,5.5600,5.5600,5.5600,5.5600,338,0
SGU.US,5,20131114,185500,5.5600,5.5700,5.5600,5.5700,1438,0
SGU.US,5,20131114,190000,5.5600,5.5600,5.5600,5.5600,1000,0
SGU.US,5,20131114,190500,5.5700,5.5700,5.5700,5.5700,500,0
SGU.US,5,20131114,193500,5.5600,5.5600,5.5600,5.5600,500,0
SGU.US,5,20131114,194000,5.5700,5.5700,5.5700,5.5700,200,0
SGU.US,5,20131114,194500,5.5700,5.5700,5.5700,5.5700,100,0
SGU.US,5,20131114,195500,5.5600,5.5700,5.5500,5.5600,1600,0
SGU.US,5,20131114,201000,5.5500,5.5600,5.5500,5.5600,414,0
SGU.US,5,20131114,202500,5.5600,5.5600,5.5600,5.5600,200,0
SGU.US,5,20131114,203000,5.5500,5.5500,5.5500,5.5500,100,0
SGU.US,5,20131114,203500,5.5500,5.5500,5.5500,5.5500,300,0
SGU.US,5,20131114,204000,5.5500,5.5500,5.5500,5.5500,500,0
SGU.US,5,20131114,205500,5.5500,5.5500,5.5500,5.5500,200,0
SGU.US,5,20131114,212500,5.5600,5.5600,5.5600,5.5600,1000,0
SGU.US,5,20131114,213000,5.5500,5.5500,5.5500,5.5500,360,0
SGU.US,5,20131114,214000,5.5600,5.5600,5.5600,5.5600,100,0
SGU.US,5,20131114,214500,5.5500,5.5500,5.5500,5.5500,600,0
SGU.US,5,20131114,215000,5.5400,5.5400,5.5400,5.5400,1500,0
SGU.US,5,20131114,215500,5.5500,5.5500,5.5500,5.5500,101,0
SGU.US,5,20131114,220000,5.5400,5.5500,5.5400,5.5500,1000,0
SGU.US,5,20131114,221000,5.5800,5.5800,5.5800,5.5800,630,0
SGU.US,5,20131115,155500,5.5700,5.5700,5.5700,5.5700,1000,0
SGU.US,5,20131115,160000,5.5700,5.5700,5.5500,5.5500,600,0
SGU.US,5,20131115,160500,5.5600,5.5600,5.5600,5.5600,6720,0
SGU.US,5,20131115,161500,5.5600,5.5600,5.5600,5.5600,500,0
SGU.US,5,20131115,162500,5.5600,5.5600,5.5600,5.5600,200,0
SGU.US,5,20131115,163000,5.5700,5.5700,5.5700,5.5700,101,0
SGU.US,5,20131115,164000,5.5300,5.5700,5.5300,5.5700,1045,0
SGU.US,5,20131115,170500,5.5600,5.5600,5.5600,5.5600,370,0
SGU.US,5,20131115,173500,5.5600,5.5600,5.5600,5.5600,100,0
SGU.US,5,20131115,174500,5.5700,5.5700,5.5700,5.5700,200,0
SGU.US,5,20131115,175500,5.5700,5.5700,5.5700,5.5700,300,0
SGU.US,5,20131115,180000,5.5400,5.5600,5.5400,5.5600,1900,0
SGU.US,5,20131115,180500,5.5700,5.5700,5.5700,5.5700,100,0
SGU.US,5,20131115,181000,5.5700,5.5700,5.5700,5.5700,100,0
SGU.US,5,20131115,182000,5.5700,5.5700,5.5700,5.5700,100,0
SGU.US,5,20131115,183000,5.5600,5.5600,5.5600,5.5600,100,0
SGU.US,5,20131115,184000,5.5500,5.5500,5.5400,5.5400,1200,0
SGU.US,5,20131115,184500,5.5300,5.5300,5.5300,5.5300,500,0
SGU.US,5,20131115,185000,5.5300,5.5300,5.5300,5.5300,200,0
SGU.US,5,20131115,190500,5.5300,5.5400,5.5300,5.5400,1100,0
SGU.US,5,20131115,191000,5.5400,5.5400,5.5400,5.5400,100,0
SGU.US,5,20131115,191500,5.5400,5.5400,5.5400,5.5400,1425,0
SGU.US,5,20131115,192500,5.5500,5.5500,5.5500,5.5500,100,0
SGU.US,5,20131115,193000,5.5500,5.5500,5.5400,5.5400,609,0
SGU.US,5,20131115,193500,5.5500,5.5500,5.5500,5.5500,100,0
SGU.US,5,20131115,194000,5.5500,5.5500,5.5500,5.5500,269,0
SGU.US,5,20131115,194500,5.5500,5.5500,5.5500,5.5500,200,0
SGU.US,5,20131115,195000,5.5500,5.5500,5.5500,5.5500,100,0
SGU.US,5,20131115,195500,5.5500,5.5500,5.5500,5.5500,200,0
SGU.US,5,20131115,200500,5.5500,5.5500,5.5500,5.5500,200,0
SGU.US,5,20131115,201000,5.5500,5.5500,5.5500,5.5500,150,0
SGU.US,5,20131115,202500,5.5500,5.5500,5.5500,5.5500,3500,0
SGU.US,5,20131115,203000,5.5500,5.6200,5.5500,5.6200,8000,0
SGU.US,5,20131115,203500,5.6000,5.6000,5.6000,5.6000,2200,0
SGU.US,5,20131115,204500,5.5800,5.5800,5.5800,5.5800,500,0
SGU.US,5,20131115,210500,5.5600,5.5700,5.5600,5.5700,710,0
SGU.US,5,20131115,212000,5.5900,5.5900,5.5600,5.5700,713,0
SGU.US,5,20131115,212500,5.5900,5.5900,5.5600,5.5600,5592,0
SGU.US,5,20131115,213000,5.5600,5.5900,5.5600,5.5600,9611,0
SGU.US,5,20131115,214500,5.5500,5.5500,5.5500,5.5500,4200,0
SGU.US,5,20131115,215500,5.5600,5.5600,5.5600,5.5600,100,0
SGU.US,5,20131115,220000,5.5600,5.5600,5.5400,5.5400,2200,0
SGU.US,5,20131118,153500,5.5500,5.5500,5.5500,5.5500,300,0
SGU.US,5,20131118,155500,5.5500,5.5500,5.5500,5.5500,686,0
SGU.US,5,20131118,160500,5.5400,5.5400,5.5300,5.5300,1300,0
SGU.US,5,20131118,161000,5.5400,5.5400,5.5000,5.5000,2638,0
SGU.US,5,20131118,161500,5.5000,5.5000,5.5000,5.5000,2400,0
SGU.US,5,20131118,162000,5.5300,5.5300,5.5300,5.5300,107,0
SGU.US,5,20131118,171500,5.5300,5.5300,5.5300,5.5300,432,0
SGU.US,5,20131118,174500,5.5400,5.5400,5.5300,5.5300,2500,0
SGU.US,5,20131118,175500,5.5300,5.5300,5.5300,5.5300,200,0
SGU.US,5,20131118,182000,5.5300,5.5300,5.5300,5.5300,200,0
SGU.US,5,20131118,183500,5.5300,5.5300,5.5300,5.5300,600,0
SGU.US,5,20131118,184500,5.5200,5.5200,5.5200,5.5200,4700,0
SGU.US,5,20131118,191000,5.5000,5.5100,5.4500,5.4500,1704,0
SGU.US,5,20131118,191500,5.4800,5.4800,5.4700,5.4700,1500,0
SGU.US,5,20131118,192000,5.4800,5.4800,5.4800,5.4800,100,0
SGU.US,5,20131118,195000,5.5200,5.5200,5.5200,5.5200,1000,0
SGU.US,5,20131118,200000,5.5100,5.5100,5.5100,5.5100,200,0
SGU.US,5,20131118,200500,5.5000,5.5000,5.5000,5.5000,1107,0
SGU.US,5,20131118,201000,5.5200,5.5200,5.5000,5.5000,2000,0
SGU.US,5,20131118,205500,5.5100,5.5100,5.5000,5.5000,500,0
SGU.US,5,20131118,210500,5.5000,5.5100,5.5000,5.5100,1450,0
SGU.US,5,20131118,211500,5.5100,5.5100,5.5100,5.5100,600,0
SGU.US,5,20131118,213500,5.4800,5.4900,5.4500,5.4600,1709,0
SGU.US,5,20131118,214500,5.4700,5.4800,5.4600,5.4800,2854,0
SGU.US,5,20131118,215000,5.4800,5.4800,5.4800,5.4800,1000,0
SGU.US,5,20131118,220000,5.4800,5.4800,5.4600,5.4600,1329,0
SGU.US,5,20131119,153500,5.4600,5.4600,5.4600,5.4600,100,0
SGU.US,5,20131119,154500,5.4400,5.4700,5.4400,5.4700,200,0
SGU.US,5,20131119,155000,5.4400,5.4400,5.4400,5.4400,825,0
SGU.US,5,20131119,160000,5.4300,5.4300,5.4300,5.4300,280,0
SGU.US,5,20131119,160500,5.4300,5.4300,5.4300,5.4300,8000,0
SGU.US,5,20131119,161500,5.4300,5.4300,5.4300,5.4300,1000,0
SGU.US,5,20131119,163000,5.4600,5.4600,5.4600,5.4600,200,0
SGU.US,5,20131119,170000,5.4400,5.4400,5.4300,5.4300,558,0
SGU.US,5,20131119,170500,5.4600,5.4600,5.4500,5.4500,250,0
SGU.US,5,20131119,172500,5.4600,5.4600,5.4600,5.4600,300,0
