<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHG.US,5,20131112,153500,41.1800,41.1900,41.1700,41.1900,500,0
SHG.US,5,20131112,154000,41.1900,41.3300,41.1800,41.2700,1000,0
SHG.US,5,20131112,154500,41.3200,41.3500,41.2900,41.3500,1000,0
SHG.US,5,20131112,155000,41.3600,41.3600,41.3500,41.3600,600,0
SHG.US,5,20131112,155500,41.3300,41.3300,41.3200,41.3200,1200,0
SHG.US,5,20131112,160000,41.3600,41.3600,41.3600,41.3600,100,0
SHG.US,5,20131112,160500,41.3600,41.3600,41.3600,41.3600,100,0
SHG.US,5,20131112,161000,41.3400,41.3500,41.3400,41.3500,400,0
SHG.US,5,20131112,161500,41.3600,41.3600,41.3600,41.3600,100,0
SHG.US,5,20131112,162000,41.4100,41.4300,41.3700,41.4300,900,0
SHG.US,5,20131112,162500,41.4300,41.4300,41.4300,41.4300,100,0
SHG.US,5,20131112,163000,41.4200,41.4200,41.4200,41.4200,100,0
SHG.US,5,20131112,164000,41.3900,41.4100,41.3800,41.3800,400,0
SHG.US,5,20131112,165000,41.4000,41.4200,41.4000,41.4200,312,0
SHG.US,5,20131112,170000,41.3900,41.3900,41.3800,41.3800,400,0
SHG.US,5,20131112,170500,41.3800,41.4300,41.3800,41.4300,2400,0
SHG.US,5,20131112,172500,41.4200,41.4800,41.3900,41.3900,1200,0
SHG.US,5,20131112,173000,41.4700,41.4700,41.4700,41.4700,100,0
SHG.US,5,20131112,174000,41.4700,41.4700,41.4700,41.4700,100,0
SHG.US,5,20131112,174500,41.4700,41.4700,41.4700,41.4700,100,0
SHG.US,5,20131112,180000,41.4400,41.4400,41.4400,41.4400,100,0
SHG.US,5,20131112,180500,41.4400,41.4400,41.4400,41.4400,100,0
SHG.US,5,20131112,181000,41.3900,41.4300,41.3900,41.4300,374,0
SHG.US,5,20131112,181500,41.4000,41.4000,41.4000,41.4000,100,0
SHG.US,5,20131112,183500,41.3900,41.3900,41.3900,41.3900,100,0
SHG.US,5,20131112,185000,41.3900,41.3900,41.3900,41.3900,100,0
SHG.US,5,20131112,190000,41.3900,41.3900,41.3900,41.3900,100,0
SHG.US,5,20131112,192500,41.3900,41.3900,41.3900,41.3900,500,0
SHG.US,5,20131112,194000,41.3500,41.3500,41.3500,41.3500,400,0
SHG.US,5,20131112,194500,41.3000,41.3100,41.3000,41.3100,1795,0
SHG.US,5,20131112,195000,41.3300,41.3300,41.3300,41.3300,100,0
SHG.US,5,20131112,200500,41.3200,41.3200,41.3200,41.3200,300,0
