<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SJR.US,5,20131112,153500,23.3700,23.4100,23.2300,23.3900,6500,0
SJR.US,5,20131112,154000,23.3700,23.4500,23.3700,23.4400,1655,0
SJR.US,5,20131112,154500,23.4200,23.4700,23.4200,23.4600,1300,0
SJR.US,5,20131112,155000,23.4500,23.4700,23.4100,23.4200,2054,0
SJR.US,5,20131112,155500,23.4400,23.4400,23.4300,23.4300,1200,0
SJR.US,5,20131112,160000,23.4100,23.4400,23.4000,23.4400,700,0
SJR.US,5,20131112,160500,23.4000,23.4000,23.3600,23.4000,1000,0
SJR.US,5,20131112,161000,23.4100,23.4200,23.4000,23.4200,1250,0
SJR.US,5,20131112,161500,23.4100,23.4100,23.3600,23.3600,2131,0
SJR.US,5,20131112,162000,23.3700,23.4000,23.3500,23.4000,1800,0
SJR.US,5,20131112,162500,23.4000,23.4000,23.3700,23.3800,1200,0
SJR.US,5,20131112,163000,23.3700,23.3700,23.3600,23.3700,1100,0
SJR.US,5,20131112,163500,23.3800,23.3800,23.3700,23.3700,800,0
SJR.US,5,20131112,164000,23.3800,23.3800,23.3700,23.3700,300,0
SJR.US,5,20131112,164500,23.3600,23.3600,23.3400,23.3500,1000,0
SJR.US,5,20131112,165000,23.3600,23.3700,23.3600,23.3700,700,0
SJR.US,5,20131112,165500,23.3600,23.3600,23.3200,23.3300,5140,0
SJR.US,5,20131112,170000,23.3200,23.3300,23.3000,23.3000,4300,0
SJR.US,5,20131112,170500,23.3000,23.3000,23.2700,23.3000,7997,0
SJR.US,5,20131112,171000,23.3000,23.3000,23.2700,23.2800,1712,0
SJR.US,5,20131112,171500,23.2800,23.2900,23.2700,23.2800,1500,0
SJR.US,5,20131112,172000,23.2800,23.2800,23.2200,23.2300,3600,0
SJR.US,5,20131112,172500,23.2300,23.2500,23.2300,23.2500,786,0
SJR.US,5,20131112,173000,23.2800,23.2800,23.2500,23.2700,1984,0
SJR.US,5,20131112,173500,23.2800,23.2900,23.2600,23.2600,2300,0
SJR.US,5,20131112,174000,23.2700,23.2700,23.2200,23.2400,1700,0
