<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SJW.US,5,20131112,154000,27.6300,27.6300,27.6300,27.6300,100,0
SJW.US,5,20131112,154500,27.7900,27.7900,27.7900,27.7900,100,0
SJW.US,5,20131112,155000,27.7000,27.7000,27.6900,27.6900,200,0
SJW.US,5,20131112,155500,27.6200,27.6300,27.4500,27.6300,400,0
SJW.US,5,20131112,161000,27.5400,27.5400,27.5100,27.5100,863,0
SJW.US,5,20131112,163500,27.5700,27.7800,27.5700,27.7800,300,0
SJW.US,5,20131112,165000,27.7900,27.7900,27.7900,27.7900,100,0
SJW.US,5,20131112,175000,27.7300,27.7300,27.7100,27.7100,600,0
SJW.US,5,20131112,180000,27.6900,27.6900,27.6900,27.6900,500,0
SJW.US,5,20131112,181000,27.7000,27.7000,27.3900,27.6100,3809,0
SJW.US,5,20131112,193500,27.4900,27.4900,27.4900,27.4900,100,0
SJW.US,5,20131112,194000,27.5000,27.5000,27.5000,27.5000,100,0
SJW.US,5,20131112,200500,27.4300,27.4800,27.4300,27.4800,250,0
SJW.US,5,20131112,202000,27.4900,27.4900,27.4900,27.4900,100,0
SJW.US,5,20131112,203500,27.4600,27.4700,27.4600,27.4600,1900,0
SJW.US,5,20131112,204000,27.5000,27.5100,27.4700,27.4700,1200,0
SJW.US,5,20131112,204500,27.4700,27.4700,27.4700,27.4700,300,0
SJW.US,5,20131112,205000,27.4200,27.4200,27.4200,27.4200,100,0
SJW.US,5,20131112,210000,27.4700,27.5000,27.4600,27.5000,760,0
SJW.US,5,20131112,210500,27.5200,27.5400,27.5200,27.5400,700,0
SJW.US,5,20131112,211000,27.5300,27.5300,27.5300,27.5300,100,0
SJW.US,5,20131112,211500,27.5000,27.5700,27.5000,27.5700,300,0
SJW.US,5,20131112,212500,27.5300,27.6200,27.5300,27.6200,300,0
SJW.US,5,20131112,213500,27.5500,27.5500,27.5500,27.5500,100,0
SJW.US,5,20131112,214500,27.5800,27.6800,27.5800,27.6600,1300,0
SJW.US,5,20131112,215000,27.6800,27.6900,27.6500,27.6700,1300,0
SJW.US,5,20131112,215500,27.6700,27.6700,27.5800,27.6200,1265,0
SJW.US,5,20131112,220000,27.6300,27.7900,27.6300,27.7800,2207,0
SJW.US,5,20131112,221000,27.7700,27.7700,27.7700,27.7700,2533,0
SJW.US,5,20131113,154500,27.5400,27.5400,27.5200,27.5200,300,0
SJW.US,5,20131113,161000,27.5400,27.5400,27.5400,27.5400,100,0
SJW.US,5,20131113,161500,27.4500,27.5000,27.4500,27.5000,974,0
SJW.US,5,20131113,162500,27.6200,27.6200,27.6200,27.6200,100,0
SJW.US,5,20131113,164500,27.6100,27.6100,27.6100,27.6100,100,0
SJW.US,5,20131113,170500,27.5000,27.5100,27.5000,27.5000,400,0
SJW.US,5,20131113,171000,27.4500,27.4500,27.4500,27.4500,577,0
SJW.US,5,20131113,173000,27.5200,27.6300,27.5200,27.6300,800,0
SJW.US,5,20131113,175500,27.5300,27.5300,27.5300,27.5300,200,0
SJW.US,5,20131113,192000,27.6200,27.6200,27.6200,27.6200,100,0
SJW.US,5,20131113,192500,27.7000,27.7000,27.7000,27.7000,500,0
SJW.US,5,20131113,193000,27.6300,27.6800,27.4200,27.6800,2306,0
SJW.US,5,20131113,194000,27.6800,27.7800,27.6800,27.7700,1000,0
SJW.US,5,20131113,194500,27.8800,27.8900,27.8500,27.8700,1100,0
SJW.US,5,20131113,195000,27.8700,27.8700,27.8300,27.8300,700,0
SJW.US,5,20131113,200000,27.8100,27.9900,27.8100,27.8400,500,0
SJW.US,5,20131113,200500,27.8000,27.8000,27.8000,27.8000,200,0
SJW.US,5,20131113,202000,27.8000,27.8000,27.8000,27.8000,100,0
SJW.US,5,20131113,203500,27.8500,27.8700,27.8000,27.8100,1500,0
SJW.US,5,20131113,204000,27.8100,27.8100,27.8100,27.8100,200,0
SJW.US,5,20131113,204500,27.8000,27.8000,27.8000,27.8000,100,0
SJW.US,5,20131113,210500,27.6700,27.6700,27.6700,27.6700,100,0
SJW.US,5,20131113,211000,27.8100,27.8300,27.7600,27.7600,800,0
SJW.US,5,20131113,211500,27.7800,27.7800,27.7800,27.7800,100,0
SJW.US,5,20131113,212500,27.8100,27.8500,27.7800,27.7800,400,0
SJW.US,5,20131113,213000,27.8200,27.8200,27.7800,27.7800,200,0
SJW.US,5,20131113,213500,27.7800,27.8500,27.7700,27.7800,1000,0
SJW.US,5,20131113,214000,27.8500,27.8500,27.8500,27.8500,100,0
SJW.US,5,20131113,215000,27.8000,27.8800,27.7900,27.8500,1700,0
SJW.US,5,20131113,215500,27.8100,27.8100,27.7200,27.7500,800,0
SJW.US,5,20131113,220000,27.8300,27.9000,27.8000,27.8000,600,0
SJW.US,5,20131113,221000,27.8400,27.8400,27.8400,27.8400,2223,0
SJW.US,5,20131114,153500,27.9000,27.9000,27.9000,27.9000,437,0
SJW.US,5,20131114,161000,27.7400,27.7600,27.7100,27.7100,600,0
SJW.US,5,20131114,164000,27.7800,27.7800,27.7800,27.7800,102,0
SJW.US,5,20131114,170000,27.8200,27.9000,27.7000,27.7000,1500,0
SJW.US,5,20131114,180500,27.7500,27.7500,27.6800,27.6800,500,0
SJW.US,5,20131114,181000,27.7400,27.7400,27.7400,27.7400,100,0
SJW.US,5,20131114,184000,27.6600,27.6600,27.6600,27.6600,100,0
SJW.US,5,20131114,185000,27.6500,27.6500,27.6400,27.6400,200,0
SJW.US,5,20131114,195500,27.6400,27.6400,27.6200,27.6200,975,0
SJW.US,5,20131114,200000,27.6200,27.6400,27.5700,27.5700,1000,0
SJW.US,5,20131114,203500,27.6200,27.6200,27.6200,27.6200,100,0
SJW.US,5,20131114,204500,27.5300,27.5300,27.5300,27.5300,100,0
SJW.US,5,20131114,205000,27.5300,27.6200,27.5100,27.5100,4793,0
SJW.US,5,20131114,210000,27.5100,27.5100,27.5100,27.5100,100,0
SJW.US,5,20131114,211000,27.5300,27.5300,27.5300,27.5300,300,0
SJW.US,5,20131114,212000,27.6000,27.6000,27.6000,27.6000,400,0
SJW.US,5,20131114,212500,27.6000,27.6000,27.6000,27.6000,200,0
SJW.US,5,20131114,213000,27.6100,27.6100,27.5100,27.6100,600,0
SJW.US,5,20131114,213500,27.5100,27.5100,27.5100,27.5100,200,0
SJW.US,5,20131114,214000,27.5200,27.5200,27.5200,27.5200,100,0
SJW.US,5,20131114,214500,27.5400,27.5400,27.5400,27.5400,300,0
SJW.US,5,20131114,215000,27.6000,27.6000,27.5200,27.5200,200,0
SJW.US,5,20131114,215500,27.5200,27.5900,27.5200,27.5900,700,0
SJW.US,5,20131114,220000,27.5900,27.6000,27.5300,27.5600,2697,0
SJW.US,5,20131114,221000,27.5600,27.5600,27.5600,27.5600,961,0
SJW.US,5,20131115,153500,27.2400,27.2400,27.2400,27.2400,200,0
SJW.US,5,20131115,154500,27.3800,27.3800,27.3800,27.3800,100,0
SJW.US,5,20131115,155000,27.6600,27.6600,27.6600,27.6600,100,0
SJW.US,5,20131115,155500,27.7200,27.7200,27.4200,27.4200,2000,0
SJW.US,5,20131115,160000,27.7000,27.7000,27.6900,27.6900,200,0
SJW.US,5,20131115,161000,27.4500,27.4500,27.4500,27.4500,100,0
SJW.US,5,20131115,162000,27.4800,27.4800,27.4600,27.4700,500,0
SJW.US,5,20131115,162500,27.4700,27.4700,27.4400,27.4500,300,0
SJW.US,5,20131115,163000,27.4500,27.4700,27.4500,27.4700,200,0
SJW.US,5,20131115,170000,27.4500,27.4500,27.4500,27.4500,100,0
SJW.US,5,20131115,175000,27.4700,27.4800,27.4700,27.4800,200,0
SJW.US,5,20131115,175500,27.5000,27.5000,27.3900,27.3900,300,0
SJW.US,5,20131115,181000,27.4600,27.4700,27.4600,27.4600,300,0
SJW.US,5,20131115,183000,27.4800,27.4800,27.4800,27.4800,100,0
SJW.US,5,20131115,184500,27.5400,27.5400,27.4200,27.4200,700,0
SJW.US,5,20131115,191000,27.6100,27.6100,27.6100,27.6100,100,0
SJW.US,5,20131115,191500,27.5800,27.5800,27.5600,27.5600,500,0
SJW.US,5,20131115,194000,27.5200,27.5500,27.4600,27.5000,1800,0
SJW.US,5,20131115,194500,27.5000,27.5200,27.5000,27.5200,400,0
SJW.US,5,20131115,195000,27.5200,27.5200,27.5200,27.5200,100,0
SJW.US,5,20131115,200000,27.5200,27.5200,27.5200,27.5200,100,0
SJW.US,5,20131115,200500,27.5100,27.5100,27.4700,27.5100,400,0
SJW.US,5,20131115,201000,27.5300,27.5300,27.5300,27.5300,100,0
SJW.US,5,20131115,201500,27.5200,27.5200,27.5200,27.5200,100,0
SJW.US,5,20131115,202000,27.5000,27.5100,27.5000,27.5100,500,0
SJW.US,5,20131115,202500,27.5400,27.5600,27.5000,27.5000,300,0
SJW.US,5,20131115,205500,27.5600,27.7100,27.5000,27.6200,2700,0
SJW.US,5,20131115,210000,27.5800,27.5800,27.4700,27.4700,500,0
SJW.US,5,20131115,211000,27.4700,27.4700,27.4700,27.4700,100,0
SJW.US,5,20131115,211500,27.5000,27.5000,27.4700,27.4700,300,0
SJW.US,5,20131115,212000,27.4400,27.5200,27.3400,27.3400,4900,0
SJW.US,5,20131115,213000,27.5000,27.6000,27.4600,27.6000,800,0
SJW.US,5,20131115,214000,27.5500,27.5500,27.4000,27.4700,900,0
SJW.US,5,20131115,214500,27.5100,27.5200,27.5100,27.5200,300,0
SJW.US,5,20131115,215000,27.5000,27.6500,27.4800,27.6200,1100,0
SJW.US,5,20131115,215500,27.5200,27.6100,27.5200,27.5200,1300,0
SJW.US,5,20131115,220000,27.5400,27.6000,27.4900,27.5900,3800,0
SJW.US,5,20131115,221000,27.5700,27.5700,27.5700,27.5700,3792,0
SJW.US,5,20131118,153500,27.4700,27.4700,27.4700,27.4700,100,0
