<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMSMY.US,5,20131112,153500,9.1500,9.1500,9.1500,9.1500,166,0
SMSMY.US,5,20131112,154000,9.1500,9.1500,9.1500,9.1500,400,0
SMSMY.US,5,20131112,154500,9.1600,9.1600,9.1500,9.1500,6400,0
SMSMY.US,5,20131112,155500,9.1500,9.1500,9.1500,9.1500,6950,0
SMSMY.US,5,20131112,171000,9.1400,9.1400,9.1300,9.1300,2300,0
SMSMY.US,5,20131112,172000,9.1300,9.1300,9.1300,9.1300,2500,0
SMSMY.US,5,20131112,194500,9.1100,9.1599,9.1100,9.1599,1123,0
SMSMY.US,5,20131112,195000,9.1000,9.1000,9.0900,9.0900,6000,0
SMSMY.US,5,20131112,203000,9.1299,9.1300,9.1299,9.1300,751,0
SMSMY.US,5,20131112,214500,9.1300,9.1300,9.1300,9.1300,610,0
SMSMY.US,5,20131112,215500,9.1100,9.1300,9.1100,9.1100,4430,0
SMSMY.US,5,20131112,220000,9.1300,9.1300,9.1300,9.1300,700,0
SMSMY.US,5,20131113,155500,9.2200,9.2200,9.2200,9.2200,934,0
SMSMY.US,5,20131113,171000,9.2300,9.2300,9.2300,9.2300,5000,0
SMSMY.US,5,20131113,171500,9.2300,9.2300,9.2300,9.2300,100,0
SMSMY.US,5,20131113,172000,9.2100,9.2100,9.2000,9.2000,255,0
SMSMY.US,5,20131113,174500,9.2200,9.2200,9.2200,9.2200,2700,0
SMSMY.US,5,20131113,175000,9.2300,9.2300,9.2300,9.2300,5000,0
SMSMY.US,5,20131113,175500,9.2300,9.2300,9.2300,9.2300,1878,0
SMSMY.US,5,20131113,180000,9.2300,9.2300,9.2300,9.2300,4000,0
SMSMY.US,5,20131113,181500,9.2300,9.2300,9.2300,9.2300,1150,0
SMSMY.US,5,20131113,195000,9.2500,9.2500,9.2500,9.2500,200,0
SMSMY.US,5,20131113,200500,9.2499,9.2499,9.2499,9.2499,143,0
SMSMY.US,5,20131113,201500,9.2401,9.2401,9.2401,9.2401,1000,0
SMSMY.US,5,20131113,203000,9.2500,9.2500,9.2500,9.2500,5600,0
SMSMY.US,5,20131113,203500,9.2400,9.2400,9.2400,9.2400,1500,0
SMSMY.US,5,20131113,210000,9.2400,9.2400,9.2400,9.2400,300,0
SMSMY.US,5,20131113,212000,9.2499,9.2500,9.2499,9.2500,5101,0
SMSMY.US,5,20131113,213000,9.2500,9.2500,9.2500,9.2500,200,0
SMSMY.US,5,20131113,214500,9.2600,9.2600,9.2600,9.2600,5000,0
SMSMY.US,5,20131113,215500,9.2700,9.2700,9.2700,9.2700,14400,0
SMSMY.US,5,20131113,220000,9.2700,9.2800,9.2700,9.2800,12700,0
SMSMY.US,5,20131114,153500,9.3600,9.3600,9.3600,9.3600,100,0
SMSMY.US,5,20131114,155000,9.3600,9.3600,9.3600,9.3600,2000,0
SMSMY.US,5,20131114,155500,9.3600,9.3600,9.3600,9.3600,1000,0
SMSMY.US,5,20131114,161000,9.3600,9.3600,9.3600,9.3600,100,0
SMSMY.US,5,20131114,164500,9.3800,9.3800,9.3800,9.3800,3300,0
SMSMY.US,5,20131114,165000,9.3800,9.3800,9.3800,9.3800,200,0
SMSMY.US,5,20131114,165500,9.3700,9.3700,9.3700,9.3700,300,0
SMSMY.US,5,20131114,170000,9.3700,9.3900,9.3700,9.3900,2700,0
SMSMY.US,5,20131114,172000,9.3700,9.3700,9.3700,9.3700,572,0
SMSMY.US,5,20131114,172500,9.3900,9.4400,9.3900,9.4100,4897,0
SMSMY.US,5,20131114,173500,9.4100,9.4100,9.4100,9.4100,285,0
SMSMY.US,5,20131114,174000,9.4100,9.4100,9.4100,9.4100,2500,0
SMSMY.US,5,20131114,183500,9.4100,9.4100,9.4100,9.4100,2500,0
SMSMY.US,5,20131114,184000,9.4100,9.4100,9.4100,9.4100,2500,0
SMSMY.US,5,20131114,192000,9.4100,9.4100,9.4100,9.4100,209,0
SMSMY.US,5,20131114,193000,9.4100,9.4100,9.4100,9.4100,5000,0
SMSMY.US,5,20131114,193500,9.4100,9.4100,9.4000,9.4000,15200,0
SMSMY.US,5,20131114,194500,9.3620,9.3620,9.3620,9.3620,1499,0
SMSMY.US,5,20131114,210000,9.3800,9.3800,9.3700,9.3800,22900,0
SMSMY.US,5,20131114,211000,9.3800,9.3800,9.3700,9.3800,11700,0
SMSMY.US,5,20131114,214500,9.3800,9.3800,9.3800,9.3800,48400,0
SMSMY.US,5,20131114,215500,9.3890,9.3890,9.3890,9.3890,619,0
SMSMY.US,5,20131114,220000,9.3900,9.3900,9.3900,9.3900,158,0
SMSMY.US,5,20131115,154500,9.6800,9.6800,9.6800,9.6800,10000,0
SMSMY.US,5,20131115,155000,9.7000,9.7000,9.7000,9.7000,700,0
SMSMY.US,5,20131115,155500,9.7000,9.7000,9.7000,9.7000,3300,0
SMSMY.US,5,20131115,160500,9.7300,9.7300,9.7300,9.7300,1000,0
SMSMY.US,5,20131115,171000,9.7000,9.7000,9.7000,9.7000,2096,0
SMSMY.US,5,20131115,171500,9.7000,9.7000,9.7000,9.7000,1000,0
SMSMY.US,5,20131115,172000,9.7300,9.7300,9.7300,9.7300,1500,0
SMSMY.US,5,20131115,172500,9.7000,9.7000,9.6800,9.6800,600,0
SMSMY.US,5,20131115,180000,9.6800,9.6800,9.6800,9.6800,500,0
SMSMY.US,5,20131115,182000,9.7200,9.7200,9.7200,9.7200,535,0
SMSMY.US,5,20131115,191000,9.7200,9.7200,9.7200,9.7200,500,0
SMSMY.US,5,20131115,195000,9.7000,9.7000,9.7000,9.7000,507,0
SMSMY.US,5,20131115,200000,9.7000,9.7000,9.7000,9.7000,300,0
SMSMY.US,5,20131115,202500,9.7200,9.7200,9.7200,9.7200,507,0
SMSMY.US,5,20131115,204500,9.7100,9.7100,9.7100,9.7100,176,0
SMSMY.US,5,20131115,205000,9.7000,9.7200,9.7000,9.7200,1500,0
SMSMY.US,5,20131115,210000,9.6800,9.6800,9.6800,9.6800,205,0
SMSMY.US,5,20131115,211000,9.7000,9.7000,9.6900,9.6900,5000,0
SMSMY.US,5,20131115,211500,9.7100,9.7100,9.7100,9.7100,1000,0
SMSMY.US,5,20131115,212000,9.7100,9.7300,9.7100,9.7300,14742,0
SMSMY.US,5,20131115,212500,9.7300,9.7300,9.7300,9.7300,4000,0
SMSMY.US,5,20131115,213000,9.7300,9.7300,9.7300,9.7300,500,0
SMSMY.US,5,20131115,213500,9.7300,9.7300,9.7300,9.7300,2500,0
SMSMY.US,5,20131115,215000,9.7300,9.7300,9.7200,9.7300,6800,0
SMSMY.US,5,20131115,215500,9.7300,9.7300,9.7200,9.7200,13400,0
SMSMY.US,5,20131115,220000,9.7200,9.7500,9.7200,9.7500,554,0
SMSMY.US,5,20131118,153500,9.7600,9.7600,9.7600,9.7600,100,0
SMSMY.US,5,20131118,154000,9.7600,9.7900,9.7600,9.7900,10200,0
SMSMY.US,5,20131118,154500,9.7800,9.7800,9.7800,9.7800,840,0
SMSMY.US,5,20131118,155500,9.7800,9.7800,9.7800,9.7800,2500,0
SMSMY.US,5,20131118,160000,9.7800,9.7900,9.7800,9.7900,7500,0
SMSMY.US,5,20131118,160500,9.7900,9.7900,9.7800,9.7800,5750,0
SMSMY.US,5,20131118,162000,9.7900,9.7900,9.7900,9.7900,1000,0
