<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPN.US,5,20131112,153500,28.0000,28.0400,27.7100,27.7900,9943,0
SPN.US,5,20131112,154000,27.7800,27.7800,27.6600,27.6800,11080,0
SPN.US,5,20131112,154500,27.6800,27.7800,27.6600,27.7500,15096,0
SPN.US,5,20131112,155000,27.7300,27.7700,27.6300,27.7300,42581,0
SPN.US,5,20131112,155500,27.7600,27.8100,27.7300,27.8000,13931,0
SPN.US,5,20131112,160000,27.7900,27.8000,27.6100,27.6300,25587,0
SPN.US,5,20131112,160500,27.6600,27.6600,27.4600,27.5000,33935,0
SPN.US,5,20131112,161000,27.5300,27.5900,27.4600,27.5900,39619,0
SPN.US,5,20131112,161500,27.5700,27.6200,27.4600,27.4800,34543,0
SPN.US,5,20131112,162000,27.4500,27.6100,27.3900,27.6000,48088,0
SPN.US,5,20131112,162500,27.6100,27.7200,27.5500,27.6500,65101,0
SPN.US,5,20131112,163000,27.6500,27.6900,27.6400,27.6900,13057,0
SPN.US,5,20131112,163500,27.6900,27.7500,27.5900,27.6000,35255,0
SPN.US,5,20131112,164000,27.5900,27.6200,27.5400,27.5700,9707,0
SPN.US,5,20131112,164500,27.5600,27.5900,27.5300,27.5900,10708,0
SPN.US,5,20131112,165000,27.5800,27.6000,27.5400,27.5800,10432,0
SPN.US,5,20131112,165500,27.5600,27.5800,27.4700,27.5000,34264,0
SPN.US,5,20131112,170000,27.4900,27.5100,27.4300,27.4600,10702,0
SPN.US,5,20131112,170500,27.4500,27.5000,27.4300,27.4300,27332,0
SPN.US,5,20131112,171000,27.4000,27.4200,27.3600,27.3600,7093,0
SPN.US,5,20131112,171500,27.3700,27.4400,27.3500,27.4000,10906,0
SPN.US,5,20131112,172000,27.4000,27.4700,27.3800,27.4600,3825,0
SPN.US,5,20131112,172500,27.4600,27.4700,27.4300,27.4300,29601,0
SPN.US,5,20131112,173000,27.4400,27.4900,27.4400,27.4900,8499,0
SPN.US,5,20131112,173500,27.5000,27.5600,27.4900,27.5000,20000,0
SPN.US,5,20131112,174000,27.5000,27.5000,27.3600,27.3800,45550,0
SPN.US,5,20131112,174500,27.3800,27.4100,27.3400,27.3500,10736,0
SPN.US,5,20131112,175000,27.3500,27.3500,27.3100,27.3100,9097,0
SPN.US,5,20131112,175500,27.3200,27.3400,27.3000,27.3300,8246,0
SPN.US,5,20131112,180000,27.3300,27.3400,27.2600,27.2800,9026,0
SPN.US,5,20131112,180500,27.2700,27.3200,27.2600,27.3200,34618,0
SPN.US,5,20131112,181000,27.3100,27.3200,27.2600,27.2900,8240,0
SPN.US,5,20131112,181500,27.3000,27.3200,27.2800,27.3000,3400,0
SPN.US,5,20131112,182000,27.2900,27.3200,27.2800,27.3200,4840,0
SPN.US,5,20131112,182500,27.3100,27.3100,27.2600,27.3100,9846,0
SPN.US,5,20131112,183000,27.3000,27.3100,27.2700,27.2800,4138,0
