<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQM.US,5,20131112,153500,27.3100,27.3100,27.1600,27.1700,1400,0
SQM.US,5,20131112,154000,27.1500,27.2600,27.1300,27.1300,1400,0
SQM.US,5,20131112,154500,27.2000,27.2700,27.1700,27.2300,2533,0
SQM.US,5,20131112,155000,27.2000,27.2500,27.1100,27.2000,4420,0
SQM.US,5,20131112,155500,27.2200,27.2300,27.1200,27.1200,2484,0
SQM.US,5,20131112,160000,27.1300,27.1700,27.1100,27.1500,1775,0
SQM.US,5,20131112,160500,27.1500,27.1600,27.1100,27.1100,2485,0
SQM.US,5,20131112,161000,27.1100,27.1100,27.1100,27.1100,440,0
SQM.US,5,20131112,161500,27.1300,27.1400,27.1100,27.1100,1100,0
SQM.US,5,20131112,162000,27.1200,27.1500,27.1000,27.1400,15799,0
SQM.US,5,20131112,162500,27.1400,27.1400,27.0600,27.0900,4011,0
SQM.US,5,20131112,163000,27.0700,27.1000,27.0700,27.0800,2579,0
SQM.US,5,20131112,163500,27.0500,27.0500,27.0400,27.0400,1069,0
SQM.US,5,20131112,164000,27.0500,27.0900,27.0400,27.0600,17009,0
SQM.US,5,20131112,164500,27.0500,27.0500,27.0500,27.0500,300,0
SQM.US,5,20131112,165000,27.0700,27.0700,27.0500,27.0500,3764,0
SQM.US,5,20131112,165500,27.0600,27.0600,27.0600,27.0600,1025,0
SQM.US,5,20131112,170000,27.0500,27.0600,27.0400,27.0600,6865,0
SQM.US,5,20131112,170500,27.0300,27.0300,26.9600,26.9800,24673,0
SQM.US,5,20131112,171000,26.9800,26.9900,26.9600,26.9900,4600,0
SQM.US,5,20131112,171500,26.9800,26.9800,26.9400,26.9500,7730,0
SQM.US,5,20131112,172000,26.9600,26.9800,26.9400,26.9600,13173,0
SQM.US,5,20131112,172500,26.9700,26.9900,26.9700,26.9900,600,0
SQM.US,5,20131112,173000,26.9700,26.9900,26.9700,26.9800,2000,0
SQM.US,5,20131112,173500,27.0000,27.0600,27.0000,27.0400,1550,0
SQM.US,5,20131112,174000,27.0600,27.0800,27.0500,27.0600,1200,0
SQM.US,5,20131112,174500,27.0800,27.1200,27.0800,27.1200,700,0
SQM.US,5,20131112,175000,27.1300,27.1300,27.1300,27.1300,200,0
SQM.US,5,20131112,175500,27.1200,27.1800,27.1200,27.1600,11633,0
SQM.US,5,20131112,180000,27.1600,27.2000,27.1600,27.2000,1400,0
SQM.US,5,20131112,180500,27.2000,27.2100,27.1800,27.2000,5800,0
SQM.US,5,20131112,181000,27.2000,27.2100,27.1900,27.2100,1933,0
