<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRC.US,5,20131112,153500,9.9400,10.0200,9.9200,10.0000,27845,0
SRC.US,5,20131112,154000,10.0000,10.0000,9.9800,10.0000,28564,0
SRC.US,5,20131112,154500,9.9900,10.0000,9.9800,9.9900,92547,0
SRC.US,5,20131112,155000,9.9900,10.0000,9.9800,10.0000,49423,0
SRC.US,5,20131112,155500,9.9900,10.0000,9.9900,10.0000,4710,0
SRC.US,5,20131112,160000,9.9900,10.0000,9.9700,9.9900,73672,0
SRC.US,5,20131112,160500,10.0000,10.0000,9.9900,10.0000,32835,0
SRC.US,5,20131112,161000,10.0000,10.0000,9.9900,9.9900,8687,0
SRC.US,5,20131112,161500,9.9900,10.0200,9.9900,10.0100,139911,0
SRC.US,5,20131112,162000,10.0100,10.0200,10.0100,10.0200,20727,0
SRC.US,5,20131112,162500,10.0200,10.0300,10.0000,10.0000,60164,0
SRC.US,5,20131112,163000,10.0000,10.0400,9.9800,10.0200,137744,0
SRC.US,5,20131112,163500,10.0100,10.1300,10.0100,10.1000,221687,0
SRC.US,5,20131112,164000,10.1000,10.1100,10.0900,10.1100,51799,0
SRC.US,5,20131112,164500,10.1000,10.1200,10.1000,10.1000,103048,0
SRC.US,5,20131112,165000,10.1000,10.1000,10.0800,10.1000,43919,0
SRC.US,5,20131112,165500,10.1000,10.1000,10.0900,10.1000,29118,0
SRC.US,5,20131112,170000,10.0900,10.1200,10.0900,10.1200,85397,0
SRC.US,5,20131112,170500,10.1200,10.1200,10.1000,10.1000,23145,0
SRC.US,5,20131112,171000,10.1000,10.1000,10.0800,10.0800,102847,0
SRC.US,5,20131112,171500,10.0900,10.1000,10.0800,10.1000,10967,0
SRC.US,5,20131112,172000,10.1000,10.1000,10.0900,10.1000,13766,0
SRC.US,5,20131112,172500,10.0900,10.1100,10.0900,10.1000,55378,0
SRC.US,5,20131112,173000,10.1100,10.1100,10.1000,10.1000,26612,0
SRC.US,5,20131112,173500,10.1000,10.1100,10.0900,10.1000,36840,0
SRC.US,5,20131112,174000,10.1000,10.1100,10.0900,10.1000,65155,0
SRC.US,5,20131112,174500,10.1000,10.1000,10.0900,10.1000,26232,0
SRC.US,5,20131112,175000,10.1000,10.1000,10.0900,10.1000,18450,0
SRC.US,5,20131112,175500,10.1000,10.1000,10.0900,10.1000,18633,0
SRC.US,5,20131112,180000,10.0900,10.1000,10.0900,10.1000,31802,0
SRC.US,5,20131112,180500,10.0900,10.1000,10.0900,10.1000,36236,0
SRC.US,5,20131112,181000,10.1000,10.1000,10.0900,10.0900,14414,0
SRC.US,5,20131112,181500,10.0900,10.0900,10.0800,10.0900,59553,0
SRC.US,5,20131112,182000,10.0800,10.0800,10.0700,10.0800,11646,0
SRC.US,5,20131112,182500,10.0700,10.0800,10.0700,10.0800,4009,0
SRC.US,5,20131112,183000,10.0700,10.0800,10.0700,10.0800,16400,0
SRC.US,5,20131112,183500,10.0800,10.0800,10.0700,10.0800,31293,0
SRC.US,5,20131112,184000,10.0800,10.0800,10.0700,10.0800,8302,0
SRC.US,5,20131112,184500,10.0800,10.1200,10.0700,10.1000,226499,0
SRC.US,5,20131112,185000,10.1000,10.1300,10.1000,10.1100,62416,0
SRC.US,5,20131112,185500,10.1100,10.1200,10.1100,10.1200,8268,0
SRC.US,5,20131112,190000,10.1200,10.1300,10.1100,10.1200,22615,0
SRC.US,5,20131112,190500,10.1200,10.1500,10.1200,10.1200,74379,0
SRC.US,5,20131112,191000,10.1200,10.1300,10.1100,10.1100,8840,0
SRC.US,5,20131112,191500,10.1100,10.1100,10.1000,10.1100,4298,0
SRC.US,5,20131112,192000,10.1000,10.1100,10.1000,10.1100,6026,0
SRC.US,5,20131112,192500,10.1000,10.1100,10.1000,10.1000,7174,0
SRC.US,5,20131112,193000,10.1000,10.1100,10.1000,10.1000,8767,0
SRC.US,5,20131112,193500,10.1000,10.1100,10.0800,10.0900,44480,0
SRC.US,5,20131112,194000,10.0800,10.0900,10.0800,10.0900,21737,0
SRC.US,5,20131112,194500,10.0800,10.0900,10.0500,10.0500,71046,0
SRC.US,5,20131112,195000,10.0500,10.0600,10.0300,10.0300,28930,0
SRC.US,5,20131112,195500,10.0400,10.0600,10.0300,10.0600,39072,0
SRC.US,5,20131112,200000,10.0500,10.0600,10.0500,10.0600,17526,0
SRC.US,5,20131112,200500,10.0500,10.0600,10.0500,10.0500,34577,0
SRC.US,5,20131112,201000,10.0600,10.0600,10.0500,10.0600,9900,0
SRC.US,5,20131112,201500,10.0600,10.0600,10.0500,10.0600,2203,0
SRC.US,5,20131112,202000,10.0500,10.0600,10.0500,10.0600,28504,0
SRC.US,5,20131112,202500,10.0600,10.0600,10.0500,10.0600,7100,0
SRC.US,5,20131112,203000,10.0600,10.0600,10.0500,10.0600,8336,0
SRC.US,5,20131112,203500,10.0600,10.0600,10.0400,10.0500,31257,0
SRC.US,5,20131112,204000,10.0500,10.0500,10.0400,10.0400,9562,0
SRC.US,5,20131112,204500,10.0400,10.0500,10.0100,10.0200,140784,0
SRC.US,5,20131112,205000,10.0100,10.0200,10.0100,10.0200,24057,0
SRC.US,5,20131112,205500,10.0200,10.0200,10.0100,10.0200,28996,0
SRC.US,5,20131112,210000,10.0200,10.0300,10.0100,10.0300,39302,0
SRC.US,5,20131112,210500,10.0300,10.0300,10.0200,10.0200,11100,0
SRC.US,5,20131112,211000,10.0300,10.0300,10.0200,10.0200,29257,0
SRC.US,5,20131112,211500,10.0300,10.0300,10.0200,10.0200,33564,0
SRC.US,5,20131112,212000,10.0300,10.0300,10.0200,10.0200,22900,0
SRC.US,5,20131112,212500,10.0300,10.0300,10.0200,10.0300,52298,0
SRC.US,5,20131112,213000,10.0200,10.0300,10.0200,10.0300,34622,0
SRC.US,5,20131112,213500,10.0300,10.0300,10.0200,10.0300,17694,0
SRC.US,5,20131112,214000,10.0300,10.0300,10.0100,10.0200,116024,0
SRC.US,5,20131112,214500,10.0200,10.0200,10.0100,10.0100,33056,0
SRC.US,5,20131112,215000,10.0200,10.0300,10.0200,10.0300,71502,0
SRC.US,5,20131112,215500,10.0300,10.0300,10.0200,10.0300,28950,0
SRC.US,5,20131112,220000,10.0300,10.0300,10.0200,10.0200,80650,0
SRC.US,5,20131112,220500,10.0300,10.0300,10.0300,10.0300,240483,0
SRC.US,5,20131113,153500,9.9700,10.0000,9.9700,9.9900,38903,0
SRC.US,5,20131113,154000,10.0000,10.0300,9.9900,10.0300,40931,0
SRC.US,5,20131113,154500,10.0300,10.0800,10.0300,10.0700,32589,0
SRC.US,5,20131113,155000,10.0700,10.0800,10.0700,10.0700,9600,0
SRC.US,5,20131113,155500,10.0800,10.0800,10.0600,10.0700,22466,0
SRC.US,5,20131113,160000,10.0700,10.0900,10.0700,10.0900,10757,0
SRC.US,5,20131113,160500,10.0800,10.0900,10.0800,10.0900,26177,0
SRC.US,5,20131113,161000,10.0900,10.0900,10.0700,10.0800,40075,0
SRC.US,5,20131113,161500,10.0800,10.1000,10.0700,10.0900,16451,0
SRC.US,5,20131113,162000,10.0800,10.0900,10.0800,10.0800,32125,0
SRC.US,5,20131113,162500,10.0900,10.1100,10.0900,10.1000,32811,0
SRC.US,5,20131113,163000,10.0900,10.1000,10.0900,10.0900,15861,0
SRC.US,5,20131113,163500,10.0900,10.1000,10.0900,10.1000,6157,0
SRC.US,5,20131113,164000,10.1000,10.1100,10.0900,10.1000,33739,0
SRC.US,5,20131113,164500,10.1000,10.1100,10.1000,10.1100,16686,0
SRC.US,5,20131113,165000,10.1100,10.1100,10.0900,10.0900,12620,0
SRC.US,5,20131113,165500,10.1000,10.1000,10.1000,10.1000,4400,0
SRC.US,5,20131113,170000,10.1000,10.1000,10.0900,10.1000,4300,0
SRC.US,5,20131113,170500,10.1000,10.1000,10.1000,10.1000,1300,0
SRC.US,5,20131113,171000,10.1000,10.1000,10.0800,10.0900,58928,0
SRC.US,5,20131113,171500,10.0900,10.0900,10.0800,10.0900,17438,0
SRC.US,5,20131113,172000,10.0900,10.0900,10.0800,10.0900,22788,0
SRC.US,5,20131113,172500,10.0900,10.0900,10.0800,10.0900,13243,0
SRC.US,5,20131113,173000,10.0900,10.0900,10.0700,10.0900,49635,0
SRC.US,5,20131113,173500,10.0800,10.0900,10.0700,10.0800,27856,0
SRC.US,5,20131113,174000,10.0800,10.0800,10.0700,10.0800,15783,0
SRC.US,5,20131113,174500,10.0700,10.0800,10.0700,10.0700,1250,0
SRC.US,5,20131113,175000,10.0800,10.0800,10.0700,10.0800,16296,0
SRC.US,5,20131113,175500,10.0800,10.1000,10.0800,10.1000,16904,0
SRC.US,5,20131113,180000,10.1000,10.1000,10.0900,10.1000,2347,0
SRC.US,5,20131113,180500,10.1000,10.1000,10.0800,10.1000,58988,0
SRC.US,5,20131113,181000,10.1000,10.1000,10.0900,10.1000,29579,0
SRC.US,5,20131113,181500,10.1000,10.1100,10.0900,10.1100,41564,0
SRC.US,5,20131113,182000,10.1100,10.1100,10.1000,10.1100,8400,0
SRC.US,5,20131113,182500,10.1100,10.1100,10.1000,10.1100,4678,0
SRC.US,5,20131113,183000,10.1100,10.1100,10.1000,10.1000,7822,0
SRC.US,5,20131113,183500,10.1000,10.1100,10.0800,10.0800,35213,0
SRC.US,5,20131113,184000,10.0800,10.0900,10.0600,10.0600,27852,0
SRC.US,5,20131113,184500,10.0600,10.0600,10.0400,10.0400,26120,0
SRC.US,5,20131113,185000,10.0400,10.0500,10.0400,10.0400,11000,0
SRC.US,5,20131113,185500,10.0400,10.0600,10.0400,10.0600,16240,0
SRC.US,5,20131113,190000,10.0600,10.0700,10.0600,10.0700,11838,0
SRC.US,5,20131113,190500,10.0600,10.0700,10.0600,10.0700,22938,0
SRC.US,5,20131113,191000,10.0700,10.0700,10.0300,10.0300,27205,0
SRC.US,5,20131113,191500,10.0400,10.0400,10.0300,10.0400,600,0
SRC.US,5,20131113,192000,10.0400,10.0500,10.0300,10.0500,10132,0
SRC.US,5,20131113,192500,10.0500,10.0700,10.0400,10.0600,63231,0
SRC.US,5,20131113,193000,10.0600,10.0800,10.0600,10.0800,14258,0
SRC.US,5,20131113,193500,10.0800,10.1000,10.0700,10.1000,40228,0
SRC.US,5,20131113,194000,10.0900,10.1000,10.0800,10.0800,43669,0
SRC.US,5,20131113,194500,10.0800,10.0800,10.0600,10.0600,4642,0
SRC.US,5,20131113,195000,10.0600,10.0700,10.0500,10.0600,36542,0
SRC.US,5,20131113,195500,10.0600,10.0700,10.0500,10.0500,28229,0
SRC.US,5,20131113,200000,10.0600,10.0700,10.0500,10.0600,21203,0
SRC.US,5,20131113,200500,10.0600,10.0700,10.0400,10.0400,35400,0
SRC.US,5,20131113,201000,10.0400,10.0600,10.0400,10.0500,73832,0
SRC.US,5,20131113,201500,10.0400,10.0700,10.0400,10.0700,25725,0
SRC.US,5,20131113,202000,10.0700,10.0800,10.0700,10.0800,5000,0
SRC.US,5,20131113,202500,10.0800,10.0800,10.0700,10.0800,3104,0
SRC.US,5,20131113,203000,10.0800,10.0800,10.0700,10.0700,20116,0
SRC.US,5,20131113,203500,10.0800,10.0800,10.0500,10.0600,85140,0
SRC.US,5,20131113,204000,10.0600,10.0700,10.0600,10.0700,7492,0
SRC.US,5,20131113,204500,10.0600,10.0700,10.0400,10.0500,75656,0
SRC.US,5,20131113,205000,10.0400,10.0500,10.0400,10.0400,37500,0
SRC.US,5,20131113,205500,10.0400,10.0500,10.0400,10.0500,1385,0
SRC.US,5,20131113,210000,10.0500,10.0500,10.0400,10.0500,2398,0
SRC.US,5,20131113,210500,10.0500,10.0500,10.0400,10.0500,12850,0
SRC.US,5,20131113,211000,10.0500,10.0500,10.0300,10.0300,36211,0
SRC.US,5,20131113,211500,10.0300,10.0400,10.0200,10.0300,28142,0
SRC.US,5,20131113,212000,10.0200,10.0300,10.0000,10.0100,70179,0
SRC.US,5,20131113,212500,10.0200,10.0200,10.0100,10.0100,24653,0
SRC.US,5,20131113,213000,10.0200,10.0200,10.0000,10.0100,17187,0
SRC.US,5,20131113,213500,10.0100,10.0200,10.0000,10.0000,44889,0
SRC.US,5,20131113,214000,10.0000,10.0200,10.0000,10.0200,31800,0
SRC.US,5,20131113,214500,10.0100,10.0200,10.0100,10.0100,17893,0
SRC.US,5,20131113,215000,10.0100,10.0500,10.0100,10.0500,76159,0
SRC.US,5,20131113,215500,10.0500,10.0700,10.0400,10.0700,78880,0
SRC.US,5,20131113,220000,10.0600,10.0900,10.0600,10.0900,191710,0
SRC.US,5,20131113,220500,10.0900,10.0900,10.0800,10.0800,276206,0
SRC.US,5,20131114,153500,10.0500,10.1500,10.0300,10.1400,31785,0
SRC.US,5,20131114,154000,10.1300,10.1700,10.1300,10.1700,33144,0
SRC.US,5,20131114,154500,10.1700,10.1700,10.1100,10.1200,41408,0
SRC.US,5,20131114,155000,10.1100,10.1400,10.1100,10.1400,18285,0
SRC.US,5,20131114,155500,10.1300,10.1400,10.1200,10.1200,10433,0
SRC.US,5,20131114,160000,10.1200,10.1300,10.1100,10.1100,16092,0
SRC.US,5,20131114,160500,10.1200,10.1600,10.1100,10.1500,15226,0
SRC.US,5,20131114,161000,10.1400,10.1600,10.1400,10.1600,8779,0
SRC.US,5,20131114,161500,10.1600,10.1700,10.1300,10.1300,23147,0
SRC.US,5,20131114,162000,10.1300,10.1600,10.1300,10.1500,17372,0
SRC.US,5,20131114,162500,10.1400,10.1600,10.1300,10.1500,37406,0
SRC.US,5,20131114,163000,10.1600,10.2200,10.1600,10.2100,62414,0
SRC.US,5,20131114,163500,10.2000,10.2200,10.2000,10.2100,33025,0
SRC.US,5,20131114,164000,10.2100,10.2200,10.2100,10.2200,12325,0
SRC.US,5,20131114,164500,10.2200,10.2400,10.2200,10.2200,144548,0
SRC.US,5,20131114,165000,10.2200,10.2200,10.1900,10.2100,31540,0
SRC.US,5,20131114,165500,10.2100,10.2100,10.2000,10.2000,19092,0
SRC.US,5,20131114,170000,10.2100,10.2200,10.2000,10.2200,25652,0
SRC.US,5,20131114,170500,10.2200,10.2300,10.2000,10.2200,22724,0
SRC.US,5,20131114,171000,10.2200,10.2300,10.2000,10.2300,43559,0
SRC.US,5,20131114,171500,10.2300,10.2300,10.2000,10.2200,35265,0
SRC.US,5,20131114,172000,10.2200,10.2400,10.2000,10.2200,38228,0
SRC.US,5,20131114,172500,10.2300,10.2500,10.2300,10.2400,17733,0
SRC.US,5,20131114,173000,10.2400,10.2400,10.2000,10.2000,116249,0
SRC.US,5,20131114,173500,10.2100,10.2100,10.1800,10.1900,29853,0
SRC.US,5,20131114,174000,10.1800,10.1900,10.1500,10.1700,47565,0
SRC.US,5,20131114,174500,10.1700,10.1700,10.1600,10.1700,4164,0
SRC.US,5,20131114,175000,10.1700,10.1900,10.1600,10.1700,16123,0
SRC.US,5,20131114,175500,10.1800,10.1800,10.1700,10.1700,10626,0
SRC.US,5,20131114,180000,10.1700,10.1700,10.1600,10.1600,6500,0
SRC.US,5,20131114,180500,10.1700,10.1700,10.1600,10.1700,2000,0
SRC.US,5,20131114,181000,10.1700,10.1700,10.1600,10.1700,7811,0
SRC.US,5,20131114,181500,10.1700,10.1700,10.1600,10.1700,11229,0
SRC.US,5,20131114,182000,10.1600,10.1700,10.1500,10.1600,21500,0
