<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSD.US,5,20131112,153500,35.5400,35.5400,35.5400,35.5400,200,0
SSD.US,5,20131112,154500,35.5300,35.5700,35.5300,35.5700,300,0
SSD.US,5,20131112,155000,35.5200,35.5900,35.5200,35.5900,300,0
SSD.US,5,20131112,155500,35.6000,35.6900,35.6000,35.6900,2111,0
SSD.US,5,20131112,160000,35.6600,35.6900,35.6200,35.6200,500,0
SSD.US,5,20131112,160500,35.6400,35.6700,35.5600,35.5600,700,0
SSD.US,5,20131112,161000,35.6000,35.6400,35.5600,35.5800,1425,0
SSD.US,5,20131112,161500,35.5900,35.6000,35.5800,35.5800,800,0
SSD.US,5,20131112,162000,35.5700,35.6100,35.5700,35.6000,2009,0
SSD.US,5,20131112,162500,35.6500,35.6500,35.6000,35.6100,620,0
SSD.US,5,20131112,163500,35.5800,35.5800,35.5800,35.5800,200,0
SSD.US,5,20131112,164000,35.5700,35.5800,35.5700,35.5800,300,0
SSD.US,5,20131112,164500,35.6000,35.6000,35.6000,35.6000,300,0
SSD.US,5,20131112,165000,35.6000,35.6300,35.6000,35.6200,1400,0
SSD.US,5,20131112,165500,35.6000,35.6000,35.6000,35.6000,200,0
SSD.US,5,20131112,170000,35.5900,35.5900,35.5400,35.5400,600,0
SSD.US,5,20131112,170500,35.5900,35.5900,35.5900,35.5900,900,0
SSD.US,5,20131112,171000,35.5700,35.5700,35.5600,35.5600,400,0
SSD.US,5,20131112,171500,35.5300,35.5700,35.5300,35.5700,600,0
SSD.US,5,20131112,172000,35.6400,35.6700,35.5900,35.6700,2708,0
SSD.US,5,20131112,172500,35.6600,35.6600,35.6600,35.6600,200,0
SSD.US,5,20131112,173000,35.6200,35.6900,35.6200,35.6900,1100,0
SSD.US,5,20131112,173500,35.6700,35.6800,35.6700,35.6800,500,0
SSD.US,5,20131112,174000,35.6600,35.6600,35.6100,35.6100,600,0
SSD.US,5,20131112,175000,35.5900,35.6000,35.4700,35.4700,2100,0
SSD.US,5,20131112,175500,35.4900,35.4900,35.4900,35.4900,400,0
SSD.US,5,20131112,180500,35.5500,35.6000,35.5500,35.6000,500,0
SSD.US,5,20131112,181000,35.5700,35.5700,35.4200,35.4200,1800,0
SSD.US,5,20131112,181500,35.4300,35.4400,35.4300,35.4400,200,0
SSD.US,5,20131112,182000,35.4800,35.4800,35.4800,35.4800,100,0
SSD.US,5,20131112,182500,35.4400,35.4400,35.3300,35.3300,800,0
SSD.US,5,20131112,183000,35.3400,35.3400,35.3400,35.3400,100,0
SSD.US,5,20131112,183500,35.3600,35.3600,35.3600,35.3600,400,0
SSD.US,5,20131112,184000,35.3200,35.3200,35.3200,35.3200,200,0
SSD.US,5,20131112,184500,35.3800,35.3800,35.3600,35.3600,346,0
SSD.US,5,20131112,185000,35.3800,35.4200,35.3800,35.4000,700,0
SSD.US,5,20131112,185500,35.4100,35.4100,35.4100,35.4100,200,0
SSD.US,5,20131112,190000,35.4400,35.4400,35.3900,35.3900,1100,0
SSD.US,5,20131112,190500,35.3900,35.4100,35.3900,35.4100,700,0
SSD.US,5,20131112,191000,35.3900,35.4300,35.3900,35.4300,1000,0
SSD.US,5,20131112,191500,35.4600,35.5000,35.4600,35.5000,548,0
SSD.US,5,20131112,192000,35.5200,35.5200,35.5100,35.5100,300,0
SSD.US,5,20131112,192500,35.5700,35.5700,35.5700,35.5700,100,0
SSD.US,5,20131112,193000,35.5600,35.5900,35.5200,35.5200,500,0
SSD.US,5,20131112,193500,35.5300,35.5300,35.4600,35.4600,1000,0
SSD.US,5,20131112,194000,35.4900,35.5100,35.4700,35.5100,1200,0
SSD.US,5,20131112,194500,35.5300,35.5300,35.5100,35.5100,300,0
SSD.US,5,20131112,195000,35.5300,35.6200,35.5300,35.6200,600,0
SSD.US,5,20131112,195500,35.5800,35.5800,35.5800,35.5800,200,0
SSD.US,5,20131112,200000,35.6100,35.6100,35.5200,35.5200,2900,0
SSD.US,5,20131112,201000,35.5400,35.5400,35.5100,35.5300,700,0
SSD.US,5,20131112,201500,35.5600,35.5600,35.5400,35.5400,800,0
SSD.US,5,20131112,202000,35.5600,35.5600,35.5400,35.5400,1000,0
SSD.US,5,20131112,202500,35.5400,35.5600,35.5100,35.5100,1000,0
SSD.US,5,20131112,203000,35.5100,35.5100,35.4400,35.4400,700,0
SSD.US,5,20131112,204000,35.5200,35.5200,35.4800,35.4800,2000,0
SSD.US,5,20131112,204500,35.4900,35.5100,35.4900,35.5100,200,0
SSD.US,5,20131112,205000,35.5200,35.5300,35.5100,35.5300,900,0
