<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STI.US,5,20131112,153500,35.7200,35.7200,35.5500,35.6000,24679,0
STI.US,5,20131112,154000,35.6400,35.6900,35.6100,35.6500,18379,0
STI.US,5,20131112,154500,35.6400,35.6600,35.5800,35.6000,19500,0
STI.US,5,20131112,155000,35.6100,35.6400,35.5700,35.5800,48995,0
STI.US,5,20131112,155500,35.5700,35.5700,35.4700,35.4900,43366,0
STI.US,5,20131112,160000,35.4900,35.4900,35.4000,35.4500,44712,0
STI.US,5,20131112,160500,35.4500,35.4800,35.4000,35.4200,93832,0
STI.US,5,20131112,161000,35.4200,35.4300,35.3800,35.4100,42634,0
STI.US,5,20131112,161500,35.4100,35.4100,35.3400,35.3400,30136,0
STI.US,5,20131112,162000,35.3300,35.4000,35.3200,35.3900,104653,0
STI.US,5,20131112,162500,35.3900,35.3900,35.3500,35.3600,33703,0
STI.US,5,20131112,163000,35.3700,35.3900,35.3500,35.3900,12850,0
STI.US,5,20131112,163500,35.4000,35.4100,35.3300,35.3300,38388,0
STI.US,5,20131112,164000,35.3400,35.4100,35.3300,35.3900,53632,0
STI.US,5,20131112,164500,35.3800,35.4200,35.3800,35.4200,30296,0
STI.US,5,20131112,165000,35.4200,35.4200,35.3300,35.3400,32974,0
STI.US,5,20131112,165500,35.3500,35.3600,35.3300,35.3500,60337,0
STI.US,5,20131112,170000,35.3600,35.3600,35.2900,35.3000,83887,0
STI.US,5,20131112,170500,35.3000,35.3800,35.2900,35.3800,28468,0
STI.US,5,20131112,171000,35.3700,35.4000,35.3200,35.3300,25200,0
STI.US,5,20131112,171500,35.3300,35.3500,35.3000,35.3000,14053,0
STI.US,5,20131112,172000,35.3100,35.3100,35.2800,35.2900,14906,0
STI.US,5,20131112,172500,35.2800,35.3000,35.2700,35.2800,18374,0
STI.US,5,20131112,173000,35.2800,35.3100,35.2700,35.2800,21230,0
STI.US,5,20131112,173500,35.2900,35.3200,35.2600,35.3200,48425,0
STI.US,5,20131112,174000,35.3100,35.3200,35.2300,35.2300,31522,0
STI.US,5,20131112,174500,35.2300,35.2400,35.1800,35.2000,94597,0
STI.US,5,20131112,175000,35.1900,35.2100,35.1600,35.2000,51660,0
STI.US,5,20131112,175500,35.1900,35.2200,35.1600,35.1700,21101,0
STI.US,5,20131112,180000,35.1800,35.1800,35.1600,35.1700,14641,0
STI.US,5,20131112,180500,35.1700,35.2000,35.1500,35.1900,34962,0
STI.US,5,20131112,181000,35.2000,35.2000,35.1000,35.1100,53143,0
STI.US,5,20131112,181500,35.1200,35.1400,35.1000,35.1100,85870,0
STI.US,5,20131112,182000,35.1100,35.1200,35.0800,35.0900,30847,0
STI.US,5,20131112,182500,35.0900,35.1300,35.0700,35.1200,25249,0
STI.US,5,20131112,183000,35.1200,35.1600,35.1100,35.1500,17734,0
STI.US,5,20131112,183500,35.1500,35.1800,35.1100,35.1300,29810,0
STI.US,5,20131112,184000,35.1400,35.1400,35.1000,35.1200,13965,0
STI.US,5,20131112,184500,35.1100,35.1400,35.1100,35.1300,16242,0
STI.US,5,20131112,185000,35.1300,35.1500,35.1300,35.1300,9440,0
STI.US,5,20131112,185500,35.1400,35.1600,35.1300,35.1400,11335,0
STI.US,5,20131112,190000,35.1400,35.1500,35.1100,35.1200,18250,0
STI.US,5,20131112,190500,35.1200,35.1300,35.1100,35.1200,15000,0
STI.US,5,20131112,191000,35.1200,35.1300,35.1000,35.1300,19068,0
STI.US,5,20131112,191500,35.1300,35.1400,35.1000,35.1100,41974,0
STI.US,5,20131112,192000,35.1100,35.1200,35.1000,35.1000,33591,0
STI.US,5,20131112,192500,35.1000,35.1200,35.1000,35.1000,20993,0
STI.US,5,20131112,193000,35.1000,35.1200,35.0700,35.0700,87968,0
STI.US,5,20131112,193500,35.0700,35.0700,35.0400,35.0600,51810,0
STI.US,5,20131112,194000,35.0600,35.0700,35.0200,35.0600,35105,0
STI.US,5,20131112,194500,35.0600,35.0700,35.0300,35.0500,29901,0
STI.US,5,20131112,195000,35.0500,35.1000,35.0400,35.0800,34105,0
STI.US,5,20131112,195500,35.0800,35.0900,35.0600,35.0600,18500,0
STI.US,5,20131112,200000,35.0700,35.0900,35.0500,35.0500,32584,0
STI.US,5,20131112,200500,35.0500,35.0800,35.0500,35.0800,33158,0
STI.US,5,20131112,201000,35.0800,35.1100,35.0800,35.1100,13477,0
STI.US,5,20131112,201500,35.1000,35.1100,35.0800,35.0800,18702,0
STI.US,5,20131112,202000,35.0900,35.1200,35.0700,35.1100,23111,0
STI.US,5,20131112,202500,35.1200,35.1400,35.1100,35.1200,9747,0
STI.US,5,20131112,203000,35.1100,35.1200,35.0800,35.1000,19276,0
STI.US,5,20131112,203500,35.1000,35.1200,35.0800,35.1200,15900,0
STI.US,5,20131112,204000,35.1200,35.1700,35.1200,35.1600,25675,0
STI.US,5,20131112,204500,35.1600,35.1800,35.1500,35.1800,9726,0
STI.US,5,20131112,205000,35.1800,35.2000,35.1700,35.2000,12543,0
STI.US,5,20131112,205500,35.1900,35.2100,35.1800,35.2000,35307,0
STI.US,5,20131112,210000,35.2100,35.2500,35.2100,35.2200,23822,0
STI.US,5,20131112,210500,35.2300,35.2500,35.2300,35.2300,23193,0
STI.US,5,20131112,211000,35.2200,35.2500,35.2200,35.2300,19632,0
STI.US,5,20131112,211500,35.2400,35.2600,35.2100,35.2100,26676,0
STI.US,5,20131112,212000,35.2200,35.2300,35.2100,35.2300,17094,0
STI.US,5,20131112,212500,35.2200,35.2300,35.1600,35.1700,78907,0
STI.US,5,20131112,213000,35.1700,35.1900,35.1400,35.1600,24128,0
STI.US,5,20131112,213500,35.1600,35.1800,35.1500,35.1700,40485,0
STI.US,5,20131112,214000,35.1800,35.2100,35.1800,35.2100,41827,0
STI.US,5,20131112,214500,35.2100,35.2200,35.2000,35.2200,25457,0
STI.US,5,20131112,215000,35.2100,35.2200,35.1400,35.1500,73139,0
STI.US,5,20131112,215500,35.1600,35.1600,35.1100,35.1200,177737,0
