<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STNG.US,5,20131112,153500,11.9800,12.1000,11.8300,12.0300,16998,0
STNG.US,5,20131112,154000,12.0300,12.0300,11.9600,11.9700,3935,0
STNG.US,5,20131112,154500,11.9800,11.9800,11.8800,11.9200,10650,0
STNG.US,5,20131112,155000,11.9300,11.9800,11.9300,11.9800,6089,0
STNG.US,5,20131112,155500,11.9900,12.0000,11.9200,11.9600,4758,0
STNG.US,5,20131112,160000,11.9500,11.9600,11.9300,11.9500,4901,0
STNG.US,5,20131112,160500,11.9600,11.9600,11.8100,11.8200,17315,0
STNG.US,5,20131112,161000,11.8100,11.8200,11.8000,11.8200,7896,0
STNG.US,5,20131112,161500,11.8200,11.8600,11.8100,11.8600,21805,0
STNG.US,5,20131112,162000,11.8700,11.9000,11.8600,11.8900,8800,0
STNG.US,5,20131112,162500,11.9000,11.9000,11.8500,11.8500,9211,0
STNG.US,5,20131112,163000,11.8500,11.8600,11.8500,11.8500,8300,0
STNG.US,5,20131112,163500,11.8500,11.8500,11.8300,11.8300,15118,0
STNG.US,5,20131112,164000,11.8400,11.8600,11.8300,11.8600,10000,0
STNG.US,5,20131112,164500,11.8600,11.8700,11.8500,11.8700,5400,0
STNG.US,5,20131112,165000,11.8600,11.9000,11.8600,11.8900,5600,0
STNG.US,5,20131112,165500,11.9000,11.9000,11.8900,11.8900,1700,0
STNG.US,5,20131112,170000,11.9000,11.9000,11.8100,11.8100,10351,0
STNG.US,5,20131112,170500,11.8100,11.8600,11.8100,11.8600,8444,0
STNG.US,5,20131112,171000,11.8500,11.8600,11.8300,11.8300,10268,0
STNG.US,5,20131112,171500,11.8300,11.8700,11.8300,11.8500,14456,0
STNG.US,5,20131112,172000,11.8600,11.8600,11.8500,11.8500,2300,0
STNG.US,5,20131112,172500,11.8500,11.8600,11.8200,11.8200,13899,0
STNG.US,5,20131112,173000,11.8200,11.8300,11.8200,11.8200,3564,0
STNG.US,5,20131112,173500,11.8200,11.8200,11.8100,11.8100,5400,0
STNG.US,5,20131112,174000,11.8100,11.8100,11.7600,11.7700,20112,0
STNG.US,5,20131112,174500,11.7600,11.7700,11.7600,11.7600,600,0
STNG.US,5,20131112,175000,11.7600,11.7900,11.7400,11.7800,20140,0
STNG.US,5,20131112,175500,11.7800,11.7900,11.7700,11.7900,4419,0
STNG.US,5,20131112,180000,11.7900,11.8100,11.7900,11.8100,3800,0
STNG.US,5,20131112,180500,11.8000,11.8000,11.7700,11.7700,3700,0
STNG.US,5,20131112,181000,11.7700,11.7700,11.6800,11.6800,19208,0
STNG.US,5,20131112,181500,11.7000,11.7100,11.6800,11.7100,14076,0
STNG.US,5,20131112,182000,11.7000,11.7500,11.7000,11.7500,3000,0
STNG.US,5,20131112,182500,11.7400,11.7500,11.7300,11.7300,9774,0
STNG.US,5,20131112,183000,11.7200,11.7300,11.7200,11.7200,900,0
STNG.US,5,20131112,183500,11.7300,11.7300,11.7000,11.7000,10801,0
STNG.US,5,20131112,184000,11.7100,11.7300,11.7100,11.7300,8728,0
STNG.US,5,20131112,184500,11.7300,11.7500,11.7300,11.7500,3599,0
STNG.US,5,20131112,185000,11.7400,11.7500,11.7400,11.7500,3178,0
STNG.US,5,20131112,185500,11.7500,11.7600,11.7500,11.7500,1500,0
STNG.US,5,20131112,190000,11.7600,11.7600,11.7300,11.7400,6498,0
STNG.US,5,20131112,190500,11.7300,11.7300,11.7000,11.7000,5365,0
STNG.US,5,20131112,191000,11.7000,11.7100,11.6900,11.7000,14884,0
STNG.US,5,20131112,191500,11.7000,11.7100,11.7000,11.7100,2500,0
STNG.US,5,20131112,192000,11.7000,11.7100,11.7000,11.7000,3300,0
