<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STZ_B.US,5,20131114,215000,68.0000,68.1600,68.0000,68.1600,200,0
STZ_B.US,5,20131114,215500,68.1600,68.1600,68.1600,68.1600,100,0
STZ_B.US,5,20131115,192500,69.2500,69.2500,69.2500,69.2500,120,0
STZ_B.US,5,20131118,205500,69.0300,69.1300,69.0300,69.1300,526,0
STZ_B.US,5,20131118,215000,68.9800,68.9800,68.9800,68.9800,100,0
STZ_B.US,5,20131119,154000,68.9800,68.9800,68.9800,68.9800,600,0
STZ_B.US,5,20131119,154500,68.8000,68.8000,68.8000,68.8000,100,0
STZ_B.US,5,20131120,185500,69.0000,69.0000,69.0000,69.0000,200,0
STZ_B.US,5,20131121,180000,69.2500,69.2500,69.2400,69.2400,200,0
STZ_B.US,5,20131122,200500,69.9000,69.9000,69.9000,69.9000,1000,0
STZ_B.US,5,20131122,203000,70.0300,70.0300,70.0300,70.0300,100,0
STZ_B.US,5,20131122,212000,70.2600,70.2600,70.2600,70.2600,100,0
STZ_B.US,5,20131122,212500,70.0600,70.0600,70.0600,70.0600,100,0
STZ_B.US,5,20131127,153500,70.3700,70.3700,70.3700,70.3700,300,0
STZ_B.US,5,20131127,154500,70.5100,70.5100,70.5100,70.5100,200,0
STZ_B.US,5,20131127,214500,71.0300,71.0300,70.4900,70.4900,9600,0
STZ_B.US,5,20131127,215000,71.0700,71.0700,70.5000,70.5000,7201,0
STZ_B.US,5,20131129,184500,70.4000,70.4000,70.4000,70.4000,100,0
STZ_B.US,5,20131205,175500,70.1400,70.1400,70.1400,70.1400,125,0
STZ_B.US,5,20131206,221000,72.0000,72.0000,72.0000,72.0000,140,0
STZ_B.US,5,20131209,200000,71.1000,71.1000,71.1000,71.1000,100,0
STZ_B.US,5,20131209,200500,71.0500,71.0500,71.0500,71.0500,100,0
