<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SU.US,5,20131112,153500,34.9300,35.0900,34.8500,34.8500,61529,0
SU.US,5,20131112,154000,34.8600,34.9700,34.8100,34.9700,41945,0
SU.US,5,20131112,154500,34.9700,35.1100,34.9400,35.1000,122245,0
SU.US,5,20131112,155000,35.1000,35.1500,34.9900,35.0600,73170,0
SU.US,5,20131112,155500,35.0700,35.0800,35.0200,35.0300,28004,0
SU.US,5,20131112,160000,35.0200,35.0500,35.0000,35.0400,68091,0
SU.US,5,20131112,160500,35.0400,35.1100,35.0100,35.0400,44109,0
SU.US,5,20131112,161000,35.0400,35.0400,35.0000,35.0200,23111,0
SU.US,5,20131112,161500,35.0200,35.0700,35.0200,35.0400,20345,0
SU.US,5,20131112,162000,35.0400,35.1200,35.0200,35.0900,42061,0
SU.US,5,20131112,162500,35.0900,35.1300,35.0600,35.0600,24011,0
SU.US,5,20131112,163000,35.0600,35.1000,35.0400,35.1000,14301,0
SU.US,5,20131112,163500,35.0900,35.1100,35.0000,35.0000,38044,0
SU.US,5,20131112,164000,35.0000,35.0600,34.9900,35.0500,44469,0
SU.US,5,20131112,164500,35.0500,35.0900,35.0400,35.0700,42608,0
SU.US,5,20131112,165000,35.0800,35.1200,35.0700,35.0800,32008,0
SU.US,5,20131112,165500,35.0800,35.0900,35.0400,35.0700,21125,0
SU.US,5,20131112,170000,35.0800,35.0900,35.0400,35.0500,77368,0
SU.US,5,20131112,170500,35.0500,35.0700,35.0100,35.0400,152287,0
SU.US,5,20131112,171000,35.0300,35.0500,35.0200,35.0300,39918,0
SU.US,5,20131112,171500,35.0300,35.0600,35.0300,35.0400,20615,0
SU.US,5,20131112,172000,35.0400,35.0700,35.0300,35.0700,18530,0
SU.US,5,20131112,172500,35.0700,35.1100,35.0700,35.1000,22605,0
SU.US,5,20131112,173000,35.1000,35.1500,35.0900,35.1400,17437,0
SU.US,5,20131112,173500,35.1300,35.1600,35.1300,35.1400,15400,0
SU.US,5,20131112,174000,35.1400,35.1700,35.1300,35.1400,23026,0
SU.US,5,20131112,174500,35.1500,35.1700,35.1300,35.1600,31312,0
SU.US,5,20131112,175000,35.1500,35.1600,35.0600,35.0800,35669,0
SU.US,5,20131112,175500,35.0800,35.0800,35.0200,35.0200,13060,0
SU.US,5,20131112,180000,35.0200,35.0300,34.9900,35.0100,29486,0
SU.US,5,20131112,180500,35.0200,35.0500,35.0100,35.0500,28682,0
SU.US,5,20131112,181000,35.0500,35.0500,35.0100,35.0200,13838,0
SU.US,5,20131112,181500,35.0300,35.0600,35.0200,35.0400,21220,0
SU.US,5,20131112,182000,35.0300,35.1000,35.0300,35.0800,26986,0
SU.US,5,20131112,182500,35.0700,35.1200,35.0700,35.1000,23870,0
SU.US,5,20131112,183000,35.1000,35.1100,35.0600,35.0700,18119,0
SU.US,5,20131112,183500,35.0600,35.0800,35.0600,35.0800,35888,0
SU.US,5,20131112,184000,35.0900,35.1100,35.0800,35.1100,37255,0
SU.US,5,20131112,184500,35.1100,35.1400,35.1000,35.1400,57610,0
SU.US,5,20131112,185000,35.1400,35.1700,35.1400,35.1500,18109,0
SU.US,5,20131112,185500,35.1500,35.1700,35.1500,35.1500,28654,0
SU.US,5,20131112,190000,35.1500,35.1500,35.0900,35.1000,31514,0
SU.US,5,20131112,190500,35.1000,35.1000,35.0700,35.0700,5763,0
SU.US,5,20131112,191000,35.0800,35.1200,35.0500,35.0800,79589,0
SU.US,5,20131112,191500,35.0800,35.1100,35.0600,35.0700,20177,0
SU.US,5,20131112,192000,35.0700,35.0700,35.0500,35.0500,4716,0
SU.US,5,20131112,192500,35.0500,35.0700,35.0500,35.0600,12754,0
SU.US,5,20131112,193000,35.0700,35.0700,35.0400,35.0500,35791,0
SU.US,5,20131112,193500,35.0500,35.0500,35.0100,35.0100,12481,0
