<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWN.US,5,20131112,153500,35.9500,36.1100,35.7900,36.0200,25163,0
SWN.US,5,20131112,154000,35.9900,36.0500,35.8000,35.9800,28459,0
SWN.US,5,20131112,154500,35.9900,36.0100,35.8600,35.9300,56249,0
SWN.US,5,20131112,155000,35.9700,36.0800,35.9300,36.0700,36390,0
SWN.US,5,20131112,155500,36.0700,36.0700,35.9700,36.0000,41218,0
SWN.US,5,20131112,160000,36.0000,36.1200,35.9900,36.1200,42845,0
SWN.US,5,20131112,160500,36.1300,36.1400,36.0400,36.0800,55701,0
SWN.US,5,20131112,161000,36.0600,36.0700,35.9500,36.0300,35401,0
SWN.US,5,20131112,161500,36.0100,36.0800,36.0100,36.0600,18259,0
SWN.US,5,20131112,162000,36.0600,36.2500,36.0400,36.2500,38107,0
SWN.US,5,20131112,162500,36.2500,36.2600,36.1400,36.1400,12781,0
SWN.US,5,20131112,163000,36.1400,36.1400,36.0900,36.1100,18220,0
SWN.US,5,20131112,163500,36.1200,36.1500,36.0100,36.0400,30489,0
SWN.US,5,20131112,164000,36.0300,36.0700,36.0100,36.0300,12601,0
SWN.US,5,20131112,164500,36.0200,36.0600,35.9900,36.0600,44941,0
SWN.US,5,20131112,165000,36.0400,36.0400,36.0100,36.0300,9300,0
SWN.US,5,20131112,165500,36.0300,36.0300,35.9700,35.9700,9700,0
SWN.US,5,20131112,170000,35.9700,35.9700,35.9300,35.9400,8700,0
SWN.US,5,20131112,170500,35.9400,35.9500,35.8300,35.8700,27334,0
SWN.US,5,20131112,171000,35.8700,35.9000,35.8300,35.8300,12456,0
SWN.US,5,20131112,171500,35.8500,35.9000,35.8400,35.8600,13694,0
SWN.US,5,20131112,172000,35.8700,35.8900,35.8500,35.8900,11549,0
SWN.US,5,20131112,172500,35.8900,35.9500,35.8600,35.9400,16700,0
SWN.US,5,20131112,173000,35.9400,35.9500,35.9100,35.9100,14534,0
SWN.US,5,20131112,173500,35.9200,35.9300,35.8900,35.9100,17774,0
SWN.US,5,20131112,174000,35.9100,35.9100,35.8600,35.8600,13629,0
SWN.US,5,20131112,174500,35.8700,35.8900,35.8400,35.8700,9763,0
SWN.US,5,20131112,175000,35.8700,35.8800,35.8400,35.8700,7600,0
SWN.US,5,20131112,175500,35.8700,35.8900,35.8600,35.8800,29277,0
SWN.US,5,20131112,180000,35.8800,35.9000,35.8700,35.8700,34627,0
SWN.US,5,20131112,180500,35.8700,35.9000,35.8500,35.8500,15319,0
SWN.US,5,20131112,181000,35.8700,35.8700,35.7900,35.8100,12785,0
