<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXE.US,5,20131112,153500,20.5000,20.5000,20.4200,20.4200,400,0
SXE.US,5,20131112,155500,20.2100,20.2100,20.2100,20.2100,100,0
SXE.US,5,20131112,182500,20.0000,20.4500,20.0000,20.2000,500,0
SXE.US,5,20131112,183000,20.0700,20.1600,20.0700,20.1500,300,0
SXE.US,5,20131112,183500,20.0800,20.2700,20.0800,20.1200,400,0
SXE.US,5,20131112,184000,20.1600,20.1600,19.9200,19.9200,300,0
SXE.US,5,20131112,184500,20.2000,20.4400,20.2000,20.4000,300,0
SXE.US,5,20131112,185000,20.4000,20.4000,20.4000,20.4000,200,0
SXE.US,5,20131112,185500,20.2600,20.2600,20.2600,20.2600,200,0
SXE.US,5,20131112,190000,20.3900,20.3900,20.3700,20.3700,200,0
SXE.US,5,20131112,191500,20.0500,20.0500,20.0500,20.0500,100,0
SXE.US,5,20131112,215500,20.4000,20.5000,20.4000,20.4400,686,0
SXE.US,5,20131112,220000,20.5100,20.5400,20.5100,20.5400,200,0
SXE.US,5,20131112,220500,20.5300,20.5300,20.5300,20.5300,3524,0
SXE.US,5,20131113,160000,20.6500,20.6500,20.4000,20.4000,300,0
SXE.US,5,20131113,162500,20.6300,20.6300,20.6300,20.6300,129,0
SXE.US,5,20131113,172000,20.5000,20.5000,20.5000,20.5000,500,0
SXE.US,5,20131113,174000,20.5400,20.5400,20.4500,20.4500,529,0
SXE.US,5,20131113,180000,20.5700,20.5700,20.5700,20.5700,1750,0
SXE.US,5,20131113,182500,20.6300,20.6300,20.6300,20.6300,100,0
SXE.US,5,20131113,183000,20.6400,20.6400,20.6400,20.6400,200,0
SXE.US,5,20131113,183500,20.4300,20.6400,20.4300,20.6300,300,0
SXE.US,5,20131113,184000,20.3700,20.6200,20.2100,20.2100,500,0
SXE.US,5,20131113,184500,20.1700,20.5700,20.1700,20.5500,500,0
SXE.US,5,20131113,185000,20.1700,20.5600,20.1700,20.1900,500,0
SXE.US,5,20131113,185500,20.1900,20.5400,20.1900,20.5400,300,0
SXE.US,5,20131113,190000,20.1900,20.4400,20.0500,20.0500,1200,0
SXE.US,5,20131113,192500,20.0000,20.0000,20.0000,20.0000,100,0
SXE.US,5,20131113,194500,20.0000,20.0000,20.0000,20.0000,1000,0
SXE.US,5,20131113,202000,19.7700,19.7700,19.7700,19.7700,100,0
SXE.US,5,20131113,203000,19.7800,19.7900,19.7500,19.7500,1800,0
SXE.US,5,20131113,203500,19.7500,19.7500,19.6300,19.6400,2100,0
SXE.US,5,20131113,204000,19.7500,19.7500,19.7500,19.7500,1265,0
SXE.US,5,20131113,211500,19.5300,19.5300,19.5300,19.5300,199,0
SXE.US,5,20131113,213000,19.7400,19.9700,19.7400,19.9700,5000,0
SXE.US,5,20131113,213500,19.8800,19.8800,19.8800,19.8800,100,0
SXE.US,5,20131113,214000,19.9100,19.9100,19.9100,19.9100,100,0
SXE.US,5,20131113,214500,19.9100,19.9100,19.9100,19.9100,200,0
SXE.US,5,20131113,215000,19.8900,19.8900,19.8800,19.8800,300,0
SXE.US,5,20131113,215500,19.8600,19.8700,19.8400,19.8400,1000,0
SXE.US,5,20131113,220000,19.5600,20.0400,19.5600,19.7300,13640,0
SXE.US,5,20131113,220500,20.2400,20.2400,20.2400,20.2400,1198,0
SXE.US,5,20131114,153500,20.1100,20.1100,20.0800,20.0800,200,0
SXE.US,5,20131114,154000,20.0200,20.0200,20.0200,20.0200,100,0
SXE.US,5,20131114,160000,19.6500,19.6500,19.6500,19.6500,500,0
SXE.US,5,20131114,160500,20.0400,20.0400,20.0400,20.0400,231,0
SXE.US,5,20131114,162000,19.7200,19.7200,19.7200,19.7200,200,0
SXE.US,5,20131114,162500,19.6900,19.6900,19.6900,19.6900,200,0
SXE.US,5,20131114,170000,19.6600,19.6900,19.6600,19.6700,500,0
SXE.US,5,20131114,173000,19.7100,19.7500,19.7100,19.7500,300,0
SXE.US,5,20131114,173500,19.7500,19.7500,19.7500,19.7500,100,0
SXE.US,5,20131114,174500,19.7500,19.7500,19.7500,19.7500,100,0
