<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCCA.US,5,20131112,204500,24.3500,24.3900,24.3500,24.3900,1000,0
TCCA.US,5,20131112,210000,24.3500,24.3500,24.3500,24.3500,970,0
TCCA.US,5,20131112,210500,24.3500,24.3500,24.3500,24.3500,700,0
TCCA.US,5,20131112,211500,24.4400,24.4500,24.4400,24.4400,1880,0
TCCA.US,5,20131113,161500,24.4000,24.4000,24.4000,24.4000,600,0
TCCA.US,5,20131113,162500,24.3500,24.3700,24.3500,24.3700,400,0
TCCA.US,5,20131113,164500,24.3500,24.3500,24.3500,24.3500,300,0
TCCA.US,5,20131113,174500,24.3400,24.3500,24.3400,24.3500,501,0
TCCA.US,5,20131113,181500,24.3000,24.3000,24.3000,24.3000,700,0
TCCA.US,5,20131113,183500,24.2100,24.2100,24.2100,24.2100,300,0
TCCA.US,5,20131113,184500,24.2200,24.2200,24.2100,24.2100,300,0
TCCA.US,5,20131113,191500,24.2100,24.2100,24.2100,24.2100,400,0
TCCA.US,5,20131113,195000,24.2200,24.2200,24.2100,24.2100,500,0
TCCA.US,5,20131113,195500,24.2100,24.2100,24.2100,24.2100,400,0
TCCA.US,5,20131113,200000,24.2100,24.2100,24.2100,24.2100,200,0
TCCA.US,5,20131113,201500,24.2200,24.2200,24.2200,24.2200,200,0
TCCA.US,5,20131113,205500,24.3300,24.3300,24.3000,24.3000,600,0
TCCA.US,5,20131113,215500,24.3200,24.3200,24.3100,24.3100,600,0
TCCA.US,5,20131113,220000,24.3000,24.3100,24.2300,24.3100,700,0
TCCA.US,5,20131114,162000,24.1400,24.1400,24.1400,24.1400,500,0
TCCA.US,5,20131114,190500,24.4400,24.4900,24.4400,24.4900,800,0
TCCA.US,5,20131114,202000,24.2500,24.4800,24.2300,24.4800,1064,0
TCCA.US,5,20131114,213000,24.5100,24.5100,24.5100,24.5100,448,0
TCCA.US,5,20131115,163500,24.4900,24.5100,24.4900,24.5100,752,0
TCCA.US,5,20131115,171500,24.3600,24.3600,24.3100,24.3100,240,0
TCCA.US,5,20131118,155000,24.5300,24.5500,24.5300,24.5400,980,0
TCCA.US,5,20131118,204500,24.4500,24.4500,24.4500,24.4500,600,0
TCCA.US,5,20131118,210500,24.5400,24.5400,24.5400,24.5400,325,0
TCCA.US,5,20131118,211000,24.5300,24.5300,24.5300,24.5300,100,0
TCCA.US,5,20131118,220000,24.5300,24.5300,24.5300,24.5300,100,0
