<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCO.US,5,20131112,153500,65.6900,65.9200,65.6600,65.6600,400,0
TCO.US,5,20131112,154000,65.5300,65.7000,65.5100,65.5100,1600,0
TCO.US,5,20131112,154500,65.7000,65.8000,65.6300,65.6300,1562,0
TCO.US,5,20131112,155000,65.6000,65.7100,65.6000,65.6500,7500,0
TCO.US,5,20131112,155500,65.6600,65.7600,65.6400,65.7500,6739,0
TCO.US,5,20131112,160000,65.7600,65.8000,65.6500,65.8000,56682,0
TCO.US,5,20131112,160500,65.8100,65.8100,65.6000,65.6100,3500,0
TCO.US,5,20131112,161000,65.6800,65.7400,65.6700,65.6700,3413,0
TCO.US,5,20131112,161500,65.5900,65.6200,65.5000,65.5100,31161,0
TCO.US,5,20131112,162000,65.5000,65.6500,65.5000,65.6500,19634,0
TCO.US,5,20131112,162500,65.6200,65.6200,65.5500,65.5500,900,0
TCO.US,5,20131112,163000,65.5600,65.6600,65.5100,65.6400,5009,0
TCO.US,5,20131112,163500,65.6800,65.6900,65.5800,65.6200,4766,0
TCO.US,5,20131112,164000,65.7000,65.7000,65.6600,65.6600,1600,0
TCO.US,5,20131112,164500,65.6100,65.7000,65.6000,65.6800,7700,0
TCO.US,5,20131112,165000,65.6800,65.7000,65.6300,65.6900,4254,0
TCO.US,5,20131112,165500,65.7000,65.7000,65.6300,65.6800,2771,0
TCO.US,5,20131112,170000,65.6800,65.6800,65.6400,65.6500,999,0
TCO.US,5,20131112,170500,65.6500,65.6800,65.6100,65.6500,10824,0
TCO.US,5,20131112,171000,65.6400,65.7100,65.6400,65.6900,3763,0
TCO.US,5,20131112,171500,65.6800,65.7600,65.6600,65.7000,7593,0
TCO.US,5,20131112,172000,65.6900,65.6900,65.6200,65.6700,10022,0
TCO.US,5,20131112,172500,65.6500,65.6800,65.6300,65.6700,5856,0
TCO.US,5,20131112,173000,65.6900,65.6900,65.6400,65.6500,4400,0
TCO.US,5,20131112,173500,65.6400,65.7200,65.6300,65.7000,21604,0
TCO.US,5,20131112,174000,65.7000,65.7000,65.6100,65.6500,10917,0
TCO.US,5,20131112,174500,65.6500,65.6900,65.6000,65.6000,33406,0
TCO.US,5,20131112,175000,65.6000,65.6800,65.5600,65.6500,64123,0
TCO.US,5,20131112,175500,65.5800,65.5800,65.4600,65.4600,10939,0
TCO.US,5,20131112,180000,65.4400,65.5400,65.4400,65.4700,27265,0
TCO.US,5,20131112,180500,65.4400,65.5300,65.4100,65.5200,14475,0
TCO.US,5,20131112,181000,65.5300,65.5300,65.3900,65.4100,9706,0
TCO.US,5,20131112,181500,65.4000,65.4400,65.3800,65.4100,14084,0
TCO.US,5,20131112,182000,65.3900,65.4400,65.3800,65.4400,11100,0
TCO.US,5,20131112,182500,65.4200,65.4500,65.4100,65.4300,3357,0
TCO.US,5,20131112,183000,65.4100,65.4400,65.4100,65.4300,1700,0
TCO.US,5,20131112,183500,65.4100,65.4500,65.3800,65.4300,10715,0
